"selectedUser","date","dailyNetWorth"
"anbessa100","2017-04-29",200000
"anbessa100","2017-04-30",199974.318509375
"anbessa100","2017-05-01",199876.339117595
"anbessa100","2017-05-02",199836.307798259
"anbessa100","2017-05-03",199855.74549815
"anbessa100","2017-05-04",199890.940206715
"anbessa100","2017-05-05",200000.81340234
"anbessa100","2017-05-06",200134.23085417
"anbessa100","2017-05-07",200327.391095647
"anbessa100","2017-05-08",200503.486314217
"anbessa100","2017-05-09",200376.061392713
"anbessa100","2017-05-10",200338.128979937
"anbessa100","2017-05-11",200260.712788668
"anbessa100","2017-05-12",200275.922256501
"anbessa100","2017-05-13",199540.282889598
"anbessa100","2017-05-14",200170.208043505
"anbessa100","2017-05-15",200080.227491609
"anbessa100","2017-05-16",199949.359324444
"anbessa100","2017-05-17",200058.621860478
"anbessa100","2017-05-18",200122.576615639
"anbessa100","2017-05-19",200395.707552824
"anbessa100","2017-05-20",200489.724861793
"anbessa100","2017-05-21",199994.388822999
"anbessa100","2017-05-22",198922.592068916
"anbessa100","2017-05-23",199540.566184322
"anbessa100","2017-05-24",200376.428453393
"anbessa100","2017-05-25",199493.39889199
"anbessa100","2017-05-26",199814.728042502
"anbessa100","2017-05-27",199875.841506433
"anbessa100","2017-05-28",199935.04309556
"anbessa100","2017-05-29",200254.885786736
"anbessa100","2017-05-30",200274.015777113
"anbessa100","2017-05-31",199295.115400647
"anbessa100","2017-06-01",199322.376306088
"anbessa100","2017-06-02",199829.231462072
"anbessa100","2017-06-03",199704.534444064
"anbessa100","2017-06-04",199607.272949196
"anbessa100","2017-06-05",200186.252176429
"anbessa100","2017-06-06",200385.213568576
"anbessa100","2017-06-07",200440.53804498
"anbessa100","2017-06-08",200771.952146063
"anbessa100","2017-06-09",201803.330786569
"anbessa100","2017-06-10",201664.799126954
"anbessa100","2017-06-11",202597.049005669
"anbessa100","2017-06-12",203046.787626688
"anbessa100","2017-06-13",204200.336253298
"anbessa100","2017-06-14",203039.370991275
"anbessa100","2017-06-15",203172.1438535
"anbessa100","2017-06-16",202637.83582424
"anbessa100","2017-06-17",203044.780057887
"anbessa100","2017-06-18",202736.034531789
"anbessa100","2017-06-19",203750.669306752
"anbessa100","2017-06-20",203294.754848786
"anbessa100","2017-06-21",203209.24598822
"anbessa100","2017-06-22",202472.996580231
"anbessa100","2017-06-23",202572.93173436
"anbessa100","2017-06-24",201244.807896516
"anbessa100","2017-06-25",201186.004623442
"anbessa100","2017-06-26",200592.732395367
"anbessa100","2017-06-27",199963.922586409
"anbessa100","2017-06-28",201357.921241794
"anbessa100","2017-06-29",199660.95197108
"anbessa100","2017-06-30",199337.631242475
"anbessa100","2017-07-01",198445.240557611
"anbessa100","2017-07-02",199059.806204586
"anbessa100","2017-07-03",198350.407722956
"anbessa100","2017-07-04",197902.531891592
"anbessa100","2017-07-05",197792.505090608
"anbessa100","2017-07-06",194884.694112441
"anbessa100","2017-07-07",192609.826771843
"anbessa100","2017-07-08",193805.356183952
"anbessa100","2017-07-09",190781.315447231
"anbessa100","2017-07-10",186595.853334166
"anbessa100","2017-07-11",184927.185122443
"anbessa100","2017-07-12",185754.3592946
"anbessa100","2017-07-13",186725.759408414
"anbessa100","2017-07-14",187082.088261021
"anbessa100","2017-07-15",185596.217911178
"anbessa100","2017-07-16",182891.741196455
"anbessa100","2017-07-17",185805.179649123
"anbessa100","2017-07-18",187143.702708621
"anbessa100","2017-07-19",186177.911625715
"anbessa100","2017-07-20",188381.86033949
"anbessa100","2017-07-21",188338.548373096
"anbessa100","2017-07-22",190302.818949679
"anbessa100","2017-07-23",187725.468126053
"anbessa100","2017-07-24",187298.825089027
"anbessa100","2017-07-25",184166.931404787
"anbessa100","2017-07-26",183513.439384835
"anbessa100","2017-07-27",184169.088718219
"anbessa100","2017-07-28",179498.563807734
"anbessa100","2017-07-29",179804.904287662
"anbessa100","2017-07-30",179850.964784425
"anbessa100","2017-07-31",180365.347557778
"anbessa100","2017-08-01",181648.504092434
"anbessa100","2017-08-02",182886.493840506
"anbessa100","2017-08-03",183439.503010776
"anbessa100","2017-08-04",183951.359734219
"anbessa100","2017-08-05",185720.94105104
"anbessa100","2017-08-06",188159.493582908
"anbessa100","2017-08-07",188743.165135868
"anbessa100","2017-08-08",189140.041116633
"anbessa100","2017-08-09",189320.088363663
"anbessa100","2017-08-10",189022.022530182
"anbessa100","2017-08-11",191872.557003278
"anbessa100","2017-08-12",192946.771042305
"anbessa100","2017-08-13",193372.193704627
"anbessa100","2017-08-14",196537.504863904
"anbessa100","2017-08-15",196234.595539457
"anbessa100","2017-08-16",200090.953034552
"anbessa100","2017-08-17",199501.170637802
"anbessa100","2017-08-18",195537.027153871
"anbessa100","2017-08-19",200918.908653669
"anbessa100","2017-08-20",202382.760135143
"anbessa100","2017-08-21",201194.196174365
"anbessa100","2017-08-22",201633.839301292
"anbessa100","2017-08-23",202581.851141336
"anbessa100","2017-08-24",205117.092281826
"anbessa100","2017-08-25",202980.067929574
"anbessa100","2017-08-26",201369.602239321
"anbessa100","2017-08-27",202296.638984267
"anbessa100","2017-08-28",205656.766827404
"anbessa100","2017-08-29",206113.77069438
"anbessa100","2017-08-30",204569.913607955
"anbessa100","2017-08-31",205139.400912548
"anbessa100","2017-09-01",210026.583805026
"anbessa100","2017-09-02",200484.457829752
"anbessa100","2017-09-03",200494.748935155
"anbessa100","2017-09-04",189537.189952009
"anbessa100","2017-09-05",193968.585780965
"anbessa100","2017-09-06",197815.494479532
"anbessa100","2017-09-07",200176.351404626
"anbessa100","2017-09-08",192622.585643147
"anbessa100","2017-09-09",195100.867411863
"anbessa100","2017-09-10",193412.210028339
