X,Buy/Neutral/Sell,tweets,replies,retweets,favs,user,timeStamp,new_tweets,new_dts,assigned_member,coinMentioned,termsMentioned
1,0,"<a href=""/hashtag/Substratum?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Substratum</b></a> Alpha II Video w/ <a href=""/overridepro"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""22405550""><s>@</s><b>overridepro</b></a>

In this video you see just how easy it will be to turn on the <a href=""/search?q=%24SUB&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>SUB</b></a> Network using our Friendly User Interface which is key for Mainstream Adoption.

Full Video: <a href=""https://t.co/TPkU14sWzt"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://youtu.be/vttmhC2oWTY"" class=""twitter-timeline-link"" target=""_blank"" title=""https://youtu.be/vttmhC2oWTY""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/vttmhC2oWTY</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>

<a href=""/hashtag/cryptocurrency?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>cryptocurrency</b></a> <a href=""/hashtag/blockchain?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>blockchain</b></a> <a href=""/hashtag/bitcoin?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>bitcoin</b></a> <a href=""/hashtag/technology?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>technology</b></a><a href=""https://t.co/l6zb4xXXbX"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/l6zb4xXXbX</a>",88,376,807,officialmcafee,2018-02-02 13:19:00,alpha ii video w in this video you see just how easy it will be to turn on the network using our friendly user interface which is key for mainstream adoptionfull video,1517548740,daryl,FALSE,TRUE
2,0,"<a href=""https://t.co/WLJYQmRqOK"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://ERISTICA.COM"" class=""twitter-timeline-link"" target=""_blank"" title=""http://ERISTICA.COM""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ERISTICA.COM</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> PRICE INCREASE:<a href=""https://t.co/vQQ83wbkjW"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://blog.eristica.com/%EF%B8%8Fimportant-announcement-48-hours-until-the-increase-40f6eaa60cba"" class=""twitter-timeline-link u-hidden"" target=""_blank"" title=""https://blog.eristica.com/%EF%B8%8Fimportant-announcement-48-hours-until-the-increase-40f6eaa60cba""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">blog.eristica.com/%EF%B8%8Fimpor</span><span class=""invisible"">tant-announcement-48-hours-until-the-increase-40f6eaa60cba</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>",156,72,215,officialmcafee,2018-02-02 10:37:00,price increase,1517539020,daryl,FALSE,TRUE
3,0,Looking for a woman with ex SOF military experience to join my live in Security team. My wife is begining to resent the testosterone level emitted by my exclusively male team. Need someone with heavy experience in action during warfare. Email johnmcafe@gmail.com.,416,206,1300,officialmcafee,2018-02-02 06:32:00,looking for a woman with ex sof military experience to join my live in security team my wife is begining to resent the testosterone level emitted by my exclusively male team need someone with heavy experience in action during warfare email johnmcafegmailcom,1517524320,daryl,TRUE,TRUE
5,1,"Coin Brothers - ""Buy the Fucking Dip""

<a href=""https://t.co/L6VttudZu4"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://www.youtube.com/watch?v=l4v8rLEI4Pg&amp;sns=tw"" class=""twitter-timeline-link"" target=""_blank"" title=""https://www.youtube.com/watch?v=l4v8rLEI4Pg&amp;sns=tw""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">youtube.com/watch?v=l4v8rL</span><span class=""invisible"">EI4Pg&amp;sns=tw</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> via <a href=""/YouTube"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""10228272""><s>@</s><b>youtube</b></a>",296,401,1300,officialmcafee,2018-02-02 04:19:00,coin brothers buy the fucking dip via,1517516340,daryl,FALSE,TRUE
6,1,Lot's of people asking me over the past two days whether my bet is still on (that I will eat my dick if Bitcoin does not reach $1 million by the end of 2020). ABSOLUTELY!!! It is a bet that I cannot possibly use. Use your heads people! Run the numbers that crypto folks well know.,984,2100,6000,officialmcafee,2018-02-02 04:12:00,lot's of people asking me over the past two days whether my bet is still on that i will eat my dick if bitcoin does not reach million by the end of absolutely it is a bet that i cannot possibly use use your heads people run the numbers that crypto folks well know,1517515920,daryl,TRUE,TRUE
8,0,Call for White papers: There are more than 50 new ICOs per week now. We clearly have not seen them all. If you are planning an ICO we would love to review your product and your plans. Please send email to McAfee.icoteam@gmail.com. Founders or employees only please.,320,203,960,officialmcafee,2018-02-01 16:23:00,call for white papers there are more than new icos per week now we clearly have not seen them all if you are planning an ico we would love to review your product and your plans please send email to mcafeeicoteamgmailcom founders or employees only please,1517473380,daryl,FALSE,TRUE
9,0,"We are in a revolution against the waning power of governments and bankers. Their only weapon is sowing fear. If you give into that fear, then it impedes and delays our inevitable victory. Cryptocurrencies are not crashing. They are bending against the impotent wind of the past.",1400,6400,15000,officialmcafee,2018-02-01 10:54:00,we are in a revolution against the waning power of governments and bankers their only weapon is sowing fear if you give into that fear then it impedes and delays our inevitable victory cryptocurrencies are not crashing they are bending against the impotent wind of the past,1517453640,daryl,TRUE,TRUE
11,0,"Freelancers are 35% of the workforce. <a href=""https://t.co/eedR6h9xJK"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://WWW.FREELANCERCOIN.IO"" class=""twitter-timeline-link"" target=""_blank"" title=""http://WWW.FREELANCERCOIN.IO""><span class=""tco-ellipsis""></span><span class=""invisible"">http://WWW.</span><span class=""js-display-url"">FREELANCERCOIN.IO</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> removes middlemen for professional mourners, psychics, ethical hackers, ghost writers, professional apologizers, sperm donors and thousands of freelancers. Partnered with METTL and soon with Google. A sound buy.",222,139,588,officialmcafee,2018-02-01 10:08:00,freelancers are of the workforce removes middlemen for professional mourners psychics ethical hackers ghost writers professional apologizers sperm donors and thousands of freelancers partnered with mettl and soon with google a sound buy,1517450880,daryl,TRUE,TRUE
14,0,"John McAfee Group Buy T-Shirt

18,90 $ ! EU &amp; USA FREE SHIPPING

<a href=""https://t.co/U0v78eeXs5"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://gameofcryptos.com/collections/round-neck/products/john-mcafee-unisex-softstyle-t-shirt?variant=1507490660400"" class=""twitter-timeline-link"" target=""_blank"" title=""https://gameofcryptos.com/collections/round-neck/products/john-mcafee-unisex-softstyle-t-shirt?variant=1507490660400""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">gameofcryptos.com/collections/ro</span><span class=""invisible"">und-neck/products/john-mcafee-unisex-softstyle-t-shirt?variant=1507490660400</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>

<a href=""/hashtag/JohnMcAfee?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>JohnMcAfee</b></a> <a href=""/hashtag/bitcoin?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>bitcoin</b></a> <a href=""/hashtag/crypto?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>crypto</b></a> <a href=""/hashtag/cryptocurrency?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>cryptocurrency</b></a> <a href=""/hashtag/Cryptocurrencies?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Cryptocurrencies</b></a> <a href=""/hashtag/cryptocrash?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>cryptocrash</b></a> <a href=""/hashtag/cryptocurrencynews?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>cryptocurrencynews</b></a> <a href=""/hashtag/hodl?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>hodl</b></a> <a href=""/hashtag/ICO?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ICO</b></a> <a href=""/hashtag/bitcoinaccepted?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>bitcoinaccepted</b></a> <a href=""/hashtag/bitcointorneiros?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>bitcointorneiros</b></a> <a href=""/hashtag/blockchain?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>blockchain</b></a><a href=""https://t.co/bp2jYzILcl"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/bp2jYzILcl</a>",57,45,169,officialmcafee,2018-01-30 13:04:00,john mcafee group buy tshirt eu amp usa free shipping,1517288640,daryl,TRUE,TRUE
16,1,"The <a href=""https://t.co/WLJYQmRqOK"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://ERISTICA.COM"" class=""twitter-timeline-link"" target=""_blank"" title=""http://ERISTICA.COM""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ERISTICA.COM</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> ICO is performing well. The token price is going up 50% tomorrow. If you invest in ICOs you should check this one out before tomorrow.",240,152,474,officialmcafee,2018-01-31 08:19:00,the ico is performing well the token price is going up tomorrow if you invest in icos you should check this one out before tomorrow,1517357940,daryl,FALSE,TRUE
