,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,leg,rebound,crash,points,dow,media,mainstream,view,mind,think
iter1_cv_split2,leg,lower,crash,instead,dow,think,ain,brutal,points,view
iter1_cv_split3,lower,leg,instead,dow,think,points,brutal,ain,preceeding,similiar
iter1_cv_split4,leg,lower,rebound,think,view,traders,mind,drop,preceeding,similiar
iter1_cv_split5,rebound,instead,crash,brutal,ain,mainstream,media,potentially,similiar,preceeding
iter2_cv_split1,crash,think,dow,points,brutal,ain,mind,leg,traders,brace
iter2_cv_split2,leg,crash,instead,rebound,think,view,ain,brutal,similiar,preceeding
iter2_cv_split3,lower,rebound,dow,instead,leg,points,trend,media,mainstream,brutal
iter2_cv_split4,leg,instead,lower,crash,rebound,view,similiar,preceeding,mainstream,media
iter2_cv_split5,lower,instead,dow,leg,think,media,mainstream,traders,view,points
iter3_cv_split1,lower,rebound,crash,instead,dow,points,preceeding,fractals,similiar,traders
iter3_cv_split2,leg,crash,lower,rebound,view,traders,brutal,stopping,ain,mind
iter3_cv_split3,leg,lower,instead,rebound,dow,points,ain,brutal,media,mainstream
iter3_cv_split4,think,instead,crash,leg,brutal,ain,mind,similiar,preceeding,media
iter3_cv_split5,leg,dow,points,think,view,mind,brutal,ain,trend,mainstream
iter4_cv_split1,lower,trend,crash,dow,media,mainstream,points,brutal,ain,similiar
iter4_cv_split2,leg,instead,crash,dow,trendline,points,think,view,brutal,ain
iter4_cv_split3,instead,rebound,lower,dow,points,view,brutal,ain,mainstream,media
iter4_cv_split4,leg,lower,rebound,think,traders,drop,stopping,ain,brutal,mind
iter4_cv_split5,leg,rebound,crash,instead,mainstream,media,view,traders,preceeding,similiar
iter5_cv_split1,leg,lower,crash,rebound,instead,view,brutal,ain,think,mainstream
iter5_cv_split2,lower,instead,crash,points,dow,leg,think,view,market,similiar
iter5_cv_split3,leg,rebound,dow,think,mainstream,media,brutal,ain,failed,points
iter5_cv_split4,lower,rebound,crash,dow,think,points,media,mainstream,ain,brutal
iter5_cv_split5,leg,instead,traders,brutal,ain,view,major,mainstream,media,trend
iter6_cv_split1,rebound,instead,crash,dow,points,view,think,traders,mind,preceeding
iter6_cv_split2,lower,instead,dow,think,view,points,brutal,stopping,ain,mainstream
iter6_cv_split3,leg,lower,crash,dow,rebound,mind,media,mainstream,points,ain
iter6_cv_split4,leg,instead,rebound,brutal,ain,traders,mainstream,media,preceeding,similiar
iter6_cv_split5,leg,lower,rebound,instead,crash,view,brutal,ain,mainstream,media
iter7_cv_split1,instead,rebound,dow,points,traders,leg,brutal,ain,mind,view
iter7_cv_split2,leg,lower,rebound,think,instead,crash,mainstream,media,preceeding,similiar
iter7_cv_split3,leg,lower,rebound,crash,dow,points,view,think,brutal,ain
iter7_cv_split4,lower,instead,dow,points,brutal,ain,view,major,trendline,leg
iter7_cv_split5,crash,leg,view,mind,ain,brutal,stopping,media,mainstream,similiar
iter8_cv_split1,leg,lower,rebound,traders,view,mainstream,media,mind,failed,preceeding
iter8_cv_split2,leg,lower,crash,instead,view,brutal,ain,preceeding,similiar,drop
iter8_cv_split3,leg,rebound,dow,think,points,media,mainstream,view,brutal,ain
iter8_cv_split4,lower,instead,crash,dow,points,think,view,major,media,mainstream
iter8_cv_split5,lower,rebound,instead,crash,dow,points,brutal,ain,preceeding,similiar
iter9_cv_split1,leg,lower,crash,rebound,dow,think,points,view,brutal,ain
iter9_cv_split2,leg,lower,rebound,instead,crash,dow,points,think,media,mainstream
iter9_cv_split3,lower,rebound,dow,think,points,mind,media,mainstream,similiar,preceeding
iter9_cv_split4,rebound,lower,instead,crash,mainstream,media,mind,brutal,ain,leg
iter9_cv_split5,leg,instead,crash,view,ain,brutal,similiar,preceeding,heavens,staying
iter10_cv_split1,leg,lower,think,brutal,ain,media,mainstream,heavens,staying,fork
iter10_cv_split2,leg,rebound,points,dow,view,think,traders,media,mainstream,mind
iter10_cv_split3,lower,crash,instead,leg,dow,points,mind,view,brutal,ain
iter10_cv_split4,leg,lower,instead,crash,rebound,dow,points,major,view,think
iter10_cv_split5,rebound,lower,instead,crash,similiar,preceeding,ain,brutal,mainstream,media
iter11_cv_split1,leg,lower,instead,rebound,trend,think,view,preceeding,similiar,ain
iter11_cv_split2,lower,instead,crash,dow,leg,media,mainstream,think,mind,points
iter11_cv_split3,lower,crash,instead,think,dow,points,leg,mind,brutal,ain
iter11_cv_split4,rebound,crash,leg,view,mind,traders,ain,brutal,media,mainstream
iter11_cv_split5,leg,rebound,dow,crash,points,view,traders,similiar,preceeding,mainstream
iter12_cv_split1,crash,instead,dow,trend,leg,points,think,view,brutal,ain
iter12_cv_split2,lower,rebound,instead,crash,dow,points,think,traders,brutal,ain
iter12_cv_split3,leg,crash,instead,rebound,view,similiar,preceeding,mind,mainstream,media
iter12_cv_split4,lower,think,leg,ain,brutal,mind,traders,fractals,similiar,preceeding
iter12_cv_split5,leg,instead,lower,rebound,crash,dow,view,preceeding,similiar,brutal
iter13_cv_split1,instead,dow,points,think,brutal,ain,traders,mind,liquidation,preceeding
iter13_cv_split2,leg,crash,instead,media,mainstream,ain,brutal,view,similiar,preceeding
iter13_cv_split3,leg,lower,rebound,crash,think,view,preceeding,similiar,stopping,brutal
iter13_cv_split4,leg,lower,instead,rebound,dow,crash,trend,points,mainstream,media
iter13_cv_split5,lower,instead,rebound,dow,leg,ain,brutal,view,points,mainstream
iter14_cv_split1,rebound,instead,crash,dow,think,leg,points,ain,brutal,traders
iter14_cv_split2,leg,lower,rebound,dow,instead,media,mainstream,points,brutal,ain
iter14_cv_split3,leg,lower,crash,dow,points,view,mainstream,media,similiar,preceeding
iter14_cv_split4,leg,lower,crash,instead,think,view,mind,mainstream,media,brutal
iter14_cv_split5,rebound,instead,traders,mind,view,brutal,ain,stopping,preceeding,similiar
iter15_cv_split1,crash,dow,think,leg,mind,points,view,media,mainstream,stopping
iter15_cv_split2,lower,leg,instead,rebound,points,dow,ain,brutal,mind,media
iter15_cv_split3,leg,lower,crash,instead,rebound,media,mainstream,trend,similiar,preceeding
iter15_cv_split4,instead,lower,dow,leg,points,think,view,media,mainstream,heavens
iter15_cv_split5,leg,rebound,instead,crash,dow,view,think,drop,points,ain
iter16_cv_split1,leg,crash,lower,dow,points,think,brutal,ain,trendline,media
iter16_cv_split2,leg,rebound,crash,think,mind,view,major,mainstream,media,traders
iter16_cv_split3,lower,instead,dow,think,brutal,ain,points,view,trend,drop
iter16_cv_split4,leg,crash,instead,rebound,dow,trend,think,points,similiar,preceeding
iter16_cv_split5,lower,rebound,instead,leg,view,preceeding,similiar,mainstream,media,brutal
iter17_cv_split1,leg,instead,dow,think,points,mind,brutal,ain,traders,mainstream
iter17_cv_split2,leg,rebound,crash,dow,points,media,mainstream,think,view,traders
iter17_cv_split3,lower,instead,ain,brutal,failed,similiar,preceeding,view,liquidation,trend
iter17_cv_split4,leg,lower,rebound,dow,instead,crash,points,media,mainstream,view
iter17_cv_split5,lower,instead,rebound,leg,crash,think,view,ain,brutal,trendline
iter18_cv_split1,leg,rebound,crash,instead,lower,preceeding,similiar,traders,view,brace
iter18_cv_split2,leg,crash,dow,media,mainstream,points,brutal,ain,major,view
iter18_cv_split3,lower,instead,rebound,dow,points,think,leg,traders,stopping,ain
iter18_cv_split4,lower,leg,dow,points,traders,mainstream,media,brutal,ain,view
iter18_cv_split5,rebound,instead,crash,think,leg,view,brutal,ain,mind,mainstream
iter19_cv_split1,lower,rebound,dow,points,think,brutal,ain,mind,media,mainstream
iter19_cv_split2,lower,crash,leg,instead,trend,similiar,preceeding,mainstream,media,view
iter19_cv_split3,leg,rebound,dow,crash,points,brutal,ain,view,media,mainstream
iter19_cv_split4,lower,rebound,instead,crash,dow,leg,think,points,view,major
iter19_cv_split5,leg,rebound,instead,crash,points,dow,view,traders,mind,ain
iter20_cv_split1,leg,lower,rebound,instead,crash,dow,mainstream,media,points,view
iter20_cv_split2,leg,crash,rebound,dow,lower,failed,points,mind,trend,media
iter20_cv_split3,rebound,leg,instead,ain,brutal,traders,preceeding,similiar,mind,heavens
iter20_cv_split4,rebound,dow,view,think,traders,mainstream,media,mind,points,similiar
iter20_cv_split5,lower,leg,instead,crash,points,dow,think,brutal,ain,trend
iter21_cv_split1,crash,leg,think,brutal,ain,similiar,preceeding,view,trend,liquidation
iter21_cv_split2,lower,rebound,instead,crash,dow,think,points,mainstream,media,leg
iter21_cv_split3,leg,lower,instead,rebound,major,view,traders,mind,preceeding,similiar
iter21_cv_split4,leg,crash,dow,mind,traders,points,view,brutal,ain,media
iter21_cv_split5,lower,rebound,instead,crash,dow,points,think,brutal,ain,mainstream
iter22_cv_split1,lower,rebound,instead,leg,ain,brutal,view,major,preceeding,similiar
iter22_cv_split2,rebound,dow,crash,leg,points,view,media,mainstream,preceeding,similiar
iter22_cv_split3,leg,instead,ain,brutal,mind,mainstream,media,heavens,staying,trendline
iter22_cv_split4,lower,crash,dow,leg,think,mainstream,media,view,making,preceeding
iter22_cv_split5,leg,lower,rebound,instead,crash,dow,view,mainstream,media,think
iter23_cv_split1,rebound,crash,dow,points,brutal,ain,mainstream,media,failed,similiar
