,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,observ,usdt,btce,case,bitfinex,begin,market,posit,crypto,sure
iter1_cv_split2,btce,observ,bitfinex,futur,wedg,moment,dash,buyin,watch,interest
iter1_cv_split3,btce,observ,wedg,seen,buyin,dash,futur,usdt,case,veri
iter1_cv_split4,bitfinex,observ,usdt,case,moment,polo,dash,second,seen,determin
iter1_cv_split5,btce,observ,noth,veri,futur,dash,buyin,previous,bitfinex,wedg
iter2_cv_split1,btce,observ,veri,wedg,futur,usdt,polo,buyin,moment,dash
iter2_cv_split2,btce,observ,dash,bitfinex,polo,wedg,usdt,seen,moment,buyin
iter2_cv_split3,observ,bitfinex,buyin,futur,dash,crypto,moment,case,interest,someth
iter2_cv_split4,btce,observ,dash,futur,bitfinex,usdt,meanwhil,seen,instantbuy,discuss
iter2_cv_split5,btce,observ,bitfinex,wedg,futur,crypto,bought,case,usdt,doji
iter3_cv_split1,observ,bitfinex,futur,veri,btce,wedg,moment,dash,buyin,graph
iter3_cv_split2,observ,btce,bitfinex,usdt,previous,moment,bought,dash,case,instantbuy
iter3_cv_split3,observ,futur,dash,moment,crypto,buyin,wedg,case,posit,interest
iter3_cv_split4,btce,observ,case,bitfinex,usdt,interest,polo,dinosaur,ur,crypto
iter3_cv_split5,btce,futur,sure,wedg,seen,previous,case,usdt,veri,observ
iter4_cv_split1,observ,btce,bitfinex,open,wedg,moment,futur,previous,posit,dash
iter4_cv_split2,btce,observ,bitfinex,dash,buyin,wedg,usdt,moment,ur,crypto
iter4_cv_split3,btce,bitfinex,dash,usdt,futur,observ,ad,buyin,pinch,wedg
iter4_cv_split4,observ,btce,polo,interest,meanwhil,veri,second,case,previous,sure
iter4_cv_split5,btce,veri,usdt,futur,observ,wedg,bitfinex,case,buyin,previous
iter5_cv_split1,observ,btce,dash,instantbuy,moment,pinch,wedg,veri,futur,bitfinex
iter5_cv_split2,bitfinex,seen,btce,case,observ,meanwhil,graph,moment,futur,usdt
iter5_cv_split3,observ,btce,wedg,bitfinex,usdt,buyin,polo,dash,dinosaur,case
iter5_cv_split4,observ,btce,bitfinex,wedg,ani,interest,instantbuy,usdt,sure,futur
iter5_cv_split5,buyin,veri,futur,moment,observ,usdt,crypto,wedg,dash,danc
iter6_cv_split1,usdt,btce,moment,polo,bitfinex,observ,dinosaur,crypto,wedg,interest
iter6_cv_split2,btce,buyin,dash,observ,futur,bitfinex,previous,graph,usdt,meanwhil
iter6_cv_split3,observ,btce,ani,veri,wedg,futur,interest,exhaust,ur,wonder
iter6_cv_split4,btce,observ,wedg,veri,dash,buyin,bitfinex,moment,usdt,seen
iter6_cv_split5,observ,bitfinex,btce,wedg,veri,crypto,second,determin,seen,dash
iter7_cv_split1,observ,btce,usdt,interest,dinosaur,instantbuy,dash,veri,sure,moment
iter7_cv_split2,btce,buyin,bitfinex,wedg,moment,polo,futur,dash,ani,doji
iter7_cv_split3,dash,buyin,bitfinex,observ,usdt,veri,wedg,futur,danc,crypto
iter7_cv_split4,observ,btce,bitfinex,usdt,noth,crypto,open,bought,wedg,solid
iter7_cv_split5,observ,btce,futur,bitfinex,moment,usdt,case,crypto,buyin,posit
iter8_cv_split1,btce,observ,bitfinex,futur,wedg,gt,interest,buyin,dinosaur,previous
iter8_cv_split2,observ,veri,determin,dash,sure,usdt,interest,case,buyin,confus
iter8_cv_split3,btce,observ,futur,case,bitfinex,usdt,polo,danc,buyin,moment
iter8_cv_split4,usdt,observ,veri,btce,wedg,futur,dash,moment,crypto,bitfinex
iter8_cv_split5,btce,ur,dash,crypto,interest,open,bought,meanwhil,bitfinex,futur
iter9_cv_split1,observ,bitfinex,moment,exhaust,polo,aka,wedg,pinch,crypto,posit
iter9_cv_split2,observ,btce,buyin,seen,case,begin,usdt,instantbuy,crypto,futur
iter9_cv_split3,btce,buyin,observ,bitfinex,dash,usdt,intact,futur,crypto,interest
iter9_cv_split4,btce,futur,wedg,dash,ani,buyin,case,usdt,sure,polo
iter9_cv_split5,observ,usdt,wedg,meanwhil,moment,btce,previous,dash,case,second
iter10_cv_split1,observ,btce,bitfinex,case,meanwhil,crypto,polo,wedg,pinch,seen
iter10_cv_split2,btce,observ,dash,bitfinex,usdt,wedg,crypto,posit,buyin,futur
iter10_cv_split3,observ,btce,bitfinex,begin,usdt,ani,open,market,buyin,solid
iter10_cv_split4,btce,usdt,futur,second,wedg,bitfinex,dash,moment,observ,buyin
iter10_cv_split5,observ,seen,btce,previous,futur,wedg,veri,bought,interest,moment
iter11_cv_split1,btce,buyin,moment,case,dash,bitfinex,wedg,usdt,danc,seen
iter11_cv_split2,observ,bitfinex,crypto,dash,seen,btce,wedg,usdt,futur,previous
iter11_cv_split3,observ,bitfinex,moment,futur,btce,wedg,determin,dinosaur,posit,interest
iter11_cv_split4,observ,btce,buyin,usdt,futur,seen,veri,dash,instantbuy,graph
iter11_cv_split5,previous,btce,futur,observ,bitfinex,sure,someth,buyin,case,usdt
iter12_cv_split1,observ,btce,graph,bitfinex,moment,wedg,veri,futur,polo,seen
iter12_cv_split2,btce,observ,futur,buyin,posit,veri,polo,seen,moment,crypto
iter12_cv_split3,observ,case,dash,wedg,bitfinex,crypto,futur,bought,btce,interest
iter12_cv_split4,observ,btce,bitfinex,buyin,wedg,previous,usdt,case,veri,futur
iter12_cv_split5,usdt,btce,dash,polo,bitfinex,interest,sure,second,wedg,posit
iter13_cv_split1,observ,btce,veri,bitfinex,case,wedg,dash,futur,nutshel,open
iter13_cv_split2,observ,usdt,wedg,interest,dash,dinosaur,begin,crypto,btce,determin
iter13_cv_split3,btce,buyin,bitfinex,previous,dash,futur,meanwhil,observ,case,moment
iter13_cv_split4,observ,btce,bitfinex,seen,buyin,ani,moment,dash,wedg,case
iter13_cv_split5,btce,bitfinex,bought,usdt,moment,second,case,seen,ur,danc
iter14_cv_split1,bitfinex,moment,observ,ad,case,interest,sure,graph,instantbuy,pinch
iter14_cv_split2,btce,bitfinex,observ,crypto,futur,usdt,dinosaur,dash,buyin,moment
iter14_cv_split3,observ,btce,wedg,usdt,previous,second,instantbuy,dinosaur,thank,ani
iter14_cv_split4,btce,observ,dash,veri,bitfinex,wedg,futur,interest,buyin,usdt
iter14_cv_split5,btce,observ,usdt,case,buyin,bitfinex,veri,seen,dash,nutshel
iter15_cv_split1,btce,observ,bitfinex,case,market,graph,usdt,wedg,veri,seen
iter15_cv_split2,veri,observ,btce,begin,usdt,futur,polo,moment,ur,instantbuy
iter15_cv_split3,observ,bitfinex,buyin,open,futur,ani,moment,crypto,instantbuy,wonder
iter15_cv_split4,observ,btce,seen,dash,wedg,futur,polo,buyin,moment,bitfinex
iter15_cv_split5,observ,btce,usdt,wedg,bitfinex,dash,case,moment,escal,buyin
iter16_cv_split1,btce,observ,bitfinex,sure,futur,case,open,noth,solid,veri
iter16_cv_split2,observ,futur,wedg,usdt,btce,bitfinex,pinch,crypto,buyin,danc
iter16_cv_split3,observ,ani,wedg,dash,seen,veri,buyin,bitfinex,graph,moment
iter16_cv_split4,observ,btce,interest,posit,moment,usdt,previous,veri,futur,dash
iter16_cv_split5,btce,usdt,buyin,crypto,bitfinex,moment,case,dash,observ,futur
iter17_cv_split1,btce,previous,bitfinex,wedg,case,noth,veri,interest,futur,crypto
iter17_cv_split2,observ,case,btce,moment,wedg,bitfinex,buyin,usdt,futur,instantbuy
iter17_cv_split3,observ,btce,bitfinex,futur,buyin,polo,ani,dash,interest,wedg
iter17_cv_split4,observ,usdt,btce,buyin,posit,dash,veri,moment,crypto,wedg
iter17_cv_split5,observ,btce,dash,seen,bitfinex,moment,graph,meanwhil,futur,case
iter18_cv_split1,btce,observ,bitfinex,usdt,wedg,dash,previous,futur,crypto,seen
iter18_cv_split2,observ,btce,dash,bitfinex,veri,seen,case,instantbuy,moment,wonder
iter18_cv_split3,btce,observ,usdt,buyin,futur,moment,wedg,bitfinex,dash,discuss
iter18_cv_split4,bitfinex,futur,wedg,noth,usdt,previous,case,buyin,sure,solid
iter18_cv_split5,observ,btce,case,usdt,futur,polo,dash,moment,veri,posit
iter19_cv_split1,btce,observ,dash,usdt,futur,wedg,open,bought,bitfinex,veri
iter19_cv_split2,btce,bitfinex,futur,observ,dash,buyin,wedg,usdt,moment,meanwhil
iter19_cv_split3,btce,observ,bitfinex,wedg,veri,dash,interest,usdt,seen,graph
iter19_cv_split4,btce,wedg,observ,polo,buyin,futur,moment,meanwhil,sure,cheap
iter19_cv_split5,observ,btce,bitfinex,usdt,dash,case,interest,moment,ralli,danc
iter20_cv_split1,btce,observ,veri,pinch,wedg,polo,usdt,moment,determin,interest
iter20_cv_split2,observ,bitfinex,case,btce,seen,buyin,usdt,futur,bought,previous
iter20_cv_split3,observ,bitfinex,dash,moment,usdt,crypto,buyin,wedg,previous,wonder
iter20_cv_split4,btce,observ,bitfinex,dash,usdt,moment,futur,seen,previous,wedg
iter20_cv_split5,observ,btce,wedg,bitfinex,moment,futur,veri,epic,recov,interest
iter21_cv_split1,btce,usdt,dash,crypto,seen,bitfinex,case,moment,ur,danc
iter21_cv_split2,btce,observ,wedg,bitfinex,veri,determin,interest,futur,pinch,ad
iter21_cv_split3,btce,observ,moment,futur,wedg,buyin,usdt,crypto,dash,nutshel
iter21_cv_split4,observ,veri,usdt,btce,moment,meanwhil,bitfinex,dash,wedg,previous
