,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.5977011494252874,0.632183908045977,0.9956331877729258,0.6346433770014556,0,15,12,0,84,26,2,15,20,104,0,0,0,436,0,0,3,144
iter1_cv_split2,0.6091954022988506,0.632183908045977,0.9956331877729258,0.6346433770014556,4,23,0,0,81,29,0,16,21,104,0,0,0,435,1,0,2,145
iter1_cv_split3,0.6374269005847953,0.631578947368421,0.9942028985507246,0.6347826086956522,4,5,17,0,82,26,0,14,23,105,0,0,0,436,2,0,2,145
iter1_cv_split4,0.5964912280701754,0.6374269005847953,0.9942028985507246,0.6333333333333333,0,15,10,0,79,30,0,14,23,106,0,0,0,437,0,0,4,143
iter1_cv_split5,0.5906432748538012,0.6374269005847953,0.9927536231884058,0.6333333333333333,4,7,15,2,78,29,0,17,19,105,0,0,0,434,3,0,2,146
iter2_cv_split1,0.5977011494252874,0.632183908045977,0.9941775836972343,0.6346433770014556,0,11,16,0,84,26,0,17,20,104,0,0,0,435,1,0,3,144
iter2_cv_split2,0.6264367816091954,0.632183908045977,0.992721979621543,0.6346433770014556,0,15,12,0,86,24,1,13,23,104,0,0,0,435,1,0,4,143
iter2_cv_split3,0.5964912280701754,0.631578947368421,0.9956521739130435,0.6347826086956522,0,12,14,2,79,27,0,14,23,105,0,0,0,436,2,0,1,146
iter2_cv_split4,0.672514619883041,0.6374269005847953,0.9956521739130435,0.6333333333333333,6,19,0,0,88,21,2,14,21,106,0,0,0,437,0,0,3,144
iter2_cv_split5,0.5555555555555556,0.6374269005847953,0.9898550724637681,0.6333333333333333,3,12,11,0,73,36,2,15,19,105,0,0,0,435,2,0,5,143
iter3_cv_split1,0.5172413793103449,0.632183908045977,0.992721979621543,0.6346433770014556,0,12,15,0,75,35,1,21,15,104,0,0,0,436,0,0,5,142
iter3_cv_split2,0.6379310344827587,0.632183908045977,0.992721979621543,0.6346433770014556,2,10,15,0,85,25,0,13,24,104,0,0,0,432,4,0,1,146
iter3_cv_split3,0.6081871345029239,0.631578947368421,0.9927536231884058,0.6347826086956522,6,6,14,0,73,35,0,12,25,105,0,0,0,437,1,0,4,143
iter3_cv_split4,0.631578947368421,0.6374269005847953,0.9942028985507246,0.6333333333333333,0,20,5,0,88,21,0,17,20,106,0,0,0,437,0,0,4,143
iter3_cv_split5,0.5497076023391813,0.6374269005847953,0.9985507246376811,0.6333333333333333,2,15,9,5,70,34,1,13,22,105,0,0,0,437,0,0,1,147
iter4_cv_split1,0.6666666666666666,0.632183908045977,0.992721979621543,0.6346433770014556,6,13,8,0,91,19,0,18,19,104,0,0,0,435,1,0,4,143
iter4_cv_split2,0.6091954022988506,0.632183908045977,0.9898107714701602,0.6346433770014556,0,15,12,1,83,26,1,13,23,104,0,0,0,434,2,0,5,142
iter4_cv_split3,0.631578947368421,0.631578947368421,0.9956521739130435,0.6347826086956522,3,11,12,4,83,21,0,15,22,105,0,0,0,438,0,0,3,144
iter4_cv_split4,0.5380116959064327,0.6374269005847953,0.9985507246376811,0.6333333333333333,0,25,0,0,69,40,1,13,23,106,0,0,0,437,0,0,1,146
iter4_cv_split5,0.5964912280701754,0.6374269005847953,0.9927536231884058,0.6333333333333333,0,7,19,1,84,24,1,17,18,105,0,0,0,434,3,0,2,146
iter5_cv_split1,0.5344827586206896,0.632183908045977,0.9956331877729258,0.6346433770014556,1,22,4,0,70,40,0,15,22,104,0,0,0,436,0,0,3,144
iter5_cv_split2,0.5977011494252874,0.632183908045977,0.9970887918486172,0.6346433770014556,0,13,14,0,90,20,0,23,14,104,0,0,0,436,0,0,2,145
iter5_cv_split3,0.5730994152046783,0.631578947368421,0.9942028985507246,0.6347826086956522,0,19,7,3,78,27,1,16,20,105,0,0,0,438,0,0,4,143
iter5_cv_split4,0.6140350877192983,0.6374269005847953,0.9898550724637681,0.6333333333333333,0,15,10,1,78,30,0,10,27,106,0,0,0,435,2,0,5,142
iter5_cv_split5,0.672514619883041,0.6374269005847953,0.9956521739130435,0.6333333333333333,0,15,11,0,95,14,0,16,20,105,0,0,0,436,1,0,2,146
iter6_cv_split1,0.6091954022988506,0.632183908045977,0.9941775836972343,0.6346433770014556,3,9,15,0,85,25,0,19,18,104,0,0,0,435,1,0,3,144
iter6_cv_split2,0.5804597701149425,0.632183908045977,0.9956331877729258,0.6346433770014556,0,27,0,3,81,26,0,17,20,104,0,0,0,436,0,0,3,144
iter6_cv_split3,0.6432748538011696,0.631578947368421,0.9927536231884058,0.6347826086956522,11,9,6,0,79,29,1,16,20,105,0,0,0,435,3,0,2,145
iter6_cv_split4,0.6666666666666666,0.6374269005847953,0.9971014492753624,0.6333333333333333,11,10,4,0,84,25,0,18,19,106,0,0,0,437,0,0,2,145
iter6_cv_split5,0.5906432748538012,0.6374269005847953,0.9956521739130435,0.6333333333333333,8,12,6,2,71,36,3,11,22,105,0,0,0,436,1,0,2,146
iter7_cv_split1,0.6206896551724138,0.632183908045977,0.9898107714701602,0.6346433770014556,0,27,0,0,89,21,0,18,19,104,0,0,0,434,2,0,5,142
iter7_cv_split2,0.5919540229885057,0.632183908045977,0.9956331877729258,0.6346433770014556,9,14,4,1,77,32,0,20,17,104,0,0,0,436,0,0,3,144
iter7_cv_split3,0.6549707602339181,0.631578947368421,0.9927536231884058,0.6347826086956522,4,8,14,1,82,25,0,11,26,105,0,0,0,436,2,0,3,144
iter7_cv_split4,0.6432748538011696,0.6374269005847953,0.9971014492753624,0.6333333333333333,7,13,5,2,84,23,1,17,19,106,0,0,0,437,0,0,2,145
iter7_cv_split5,0.631578947368421,0.6374269005847953,0.991304347826087,0.6333333333333333,0,18,8,0,79,30,1,6,29,105,0,0,0,436,1,0,5,143
iter8_cv_split1,0.6264367816091954,0.632183908045977,0.992721979621543,0.6346433770014556,0,18,9,0,85,25,0,13,24,104,0,0,0,433,3,0,2,145
iter8_cv_split2,0.6379310344827587,0.632183908045977,0.9941775836972343,0.6346433770014556,4,11,12,2,83,25,0,13,24,104,0,0,0,434,2,0,2,145
iter8_cv_split3,0.5555555555555556,0.631578947368421,0.9956521739130435,0.6347826086956522,0,16,10,0,81,27,2,21,14,105,0,0,0,438,0,0,3,144
iter8_cv_split4,0.631578947368421,0.6374269005847953,0.9971014492753624,0.6333333333333333,7,15,3,0,76,33,0,12,25,106,0,0,0,437,0,0,2,145
iter8_cv_split5,0.6081871345029239,0.6374269005847953,0.9942028985507246,0.6333333333333333,0,16,10,2,83,24,1,14,21,105,0,0,0,435,2,0,2,146
