,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,futur,crypto,interest,bitcoin,btce,nutshel,wedg,read,someth,observ
iter1_cv_split2,crypto,interest,btce,futur,moment,dash,posit,buyin,want,bitcoin
iter1_cv_split3,crypto,case,interest,everyth,veri,observ,problem,sure,posit,doji
iter1_cv_split4,observ,interest,btce,futur,wedg,crypto,ur,epic,bought,money
iter1_cv_split5,observ,crypto,btce,case,new,futur,determin,posit,graph,ani
iter2_cv_split1,crypto,veri,interest,dash,futur,thank,btce,bitfinex,time,need
iter2_cv_split2,observ,interest,btce,crypto,bitfinex,futur,bitcoin,ur,case,veri
iter2_cv_split3,interest,futur,crypto,market,case,bought,polo,channel,observ,btce
iter2_cv_split4,observ,crypto,case,btce,bitcoin,determin,wedg,ani,sure,th
iter2_cv_split5,crypto,btce,futur,observ,posit,interest,watch,bitcoin,bitfinex,nutshel
iter3_cv_split1,observ,futur,btce,nutshel,crypto,bitcoin,chart,case,interest,coin
iter3_cv_split2,crypto,interest,btce,futur,case,coin,wedg,polo,intact,danc
iter3_cv_split3,crypto,observ,btce,wedg,bitfinex,veri,interest,futur,determin,graph
iter3_cv_split4,observ,bitcoin,interest,posit,crypto,wedg,everyth,futur,epic,coin
iter3_cv_split5,crypto,thank,interest,observ,usdt,want,wonder,ur,everyth,happen
iter4_cv_split1,crypto,observ,btce,case,futur,posit,noth,wedg,new,coin
iter4_cv_split2,crypto,observ,futur,btce,posit,veri,interest,polo,channel,bitcoin
iter4_cv_split3,interest,crypto,bitfinex,determin,doji,previous,futur,observ,everyth,usdt
iter4_cv_split4,observ,interest,crypto,ur,wedg,someth,btce,posit,futur,case
iter4_cv_split5,interest,crypto,btce,posit,case,bitcoin,observ,left,sure,dash
iter5_cv_split1,observ,crypto,btce,futur,interest,someth,thank,graph,polo,wedg
iter5_cv_split2,btce,crypto,nutshel,interest,coin,bitcoin,case,wedg,futur,determin
iter5_cv_split3,btce,observ,crypto,ani,dash,interest,posit,bitfinex,read,fork
iter5_cv_split4,observ,btce,posit,interest,doji,futur,case,epic,bitcoin,market
iter5_cv_split5,crypto,observ,futur,posit,case,interest,ur,sure,coin,bitcoin
iter6_cv_split1,case,crypto,observ,btce,interest,bitcoin,futur,sure,graph,second
iter6_cv_split2,observ,crypto,btce,posit,coin,interest,dash,buyin,bitcoin,left
iter6_cv_split3,crypto,posit,interest,futur,observ,btce,bitfinex,bought,determin,gold
iter6_cv_split4,observ,crypto,interest,futur,polo,epic,wedg,btce,watch,sure
iter6_cv_split5,interest,btce,observ,futur,dash,nutshel,ani,crypto,wedg,peopl
iter7_cv_split1,btce,observ,interest,ani,case,crypto,wedg,polo,futur,reach
iter7_cv_split2,btce,coin,posit,crypto,thing,observ,happen,case,veri,best
iter7_cv_split3,btce,futur,crypto,observ,new,ur,bitfinex,interest,epic,bitcoin
iter7_cv_split4,crypto,interest,futur,bitcoin,someth,case,wedg,cheap,btce,doji
iter7_cv_split5,observ,watch,crypto,case,interest,futur,bitcoin,wedg,ad,posit
iter8_cv_split1,observ,crypto,posit,case,futur,dash,sure,btce,coin,ur
iter8_cv_split2,futur,btce,crypto,ani,interest,bitcoin,nutshel,determin,everyth,thank
iter8_cv_split3,observ,crypto,btce,futur,usdt,everyth,interest,case,new,bought
iter8_cv_split4,crypto,interest,case,meanwhil,observ,watch,posit,second,futur,sure
iter8_cv_split5,btce,observ,crypto,interest,ur,coin,wedg,moment,bitcoin,ralli
iter9_cv_split1,observ,btce,veri,crypto,futur,usdt,posit,interest,doji,bitfinex
iter9_cv_split2,interest,observ,futur,crypto,btce,wedg,thank,market,bitcoin,epic
iter9_cv_split3,crypto,btce,posit,case,new,interest,graph,veri,buyin,usdt
iter9_cv_split4,crypto,futur,interest,bitcoin,observ,bought,wedg,determin,ur,nutshel
iter9_cv_split5,observ,watch,posit,interest,case,left,futur,ur,bitcoin,wedg
iter10_cv_split1,btce,interest,observ,case,bitfinex,crypto,ur,posit,excel,dip
iter10_cv_split2,crypto,futur,bought,bitcoin,dash,someth,th,interest,usdt,doji
iter10_cv_split3,btce,crypto,observ,futur,posit,case,bitfinex,interest,wonder,chart
iter10_cv_split4,observ,interest,crypto,futur,moment,sure,ur,posit,bitcoin,btce
iter10_cv_split5,case,futur,crypto,interest,thank,btce,nutshel,sure,observ,coin
