,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.5747126436781609,0.632183908045977,0.975254730713246,0.6346433770014556,0,21,6,1,84,25,0,21,16,104,0,0,0,435,1,0,16,131
iter1_cv_split2,0.6091954022988506,0.632183908045977,0.9679767103347889,0.6346433770014556,0,22,5,0,96,14,0,27,10,104,0,0,0,434,2,0,20,127
iter1_cv_split3,0.631578947368421,0.631578947368421,0.9652173913043478,0.6347826086956522,0,19,7,0,90,18,0,19,18,105,0,0,0,437,1,0,23,124
iter1_cv_split4,0.6549707602339181,0.6374269005847953,0.9710144927536232,0.6333333333333333,4,15,6,0,93,16,1,21,15,106,0,0,0,435,2,0,18,129
iter1_cv_split5,0.7017543859649122,0.6374269005847953,0.9739130434782609,0.6333333333333333,0,26,0,0,96,13,0,12,24,105,0,0,0,435,2,0,16,132
iter2_cv_split1,0.6609195402298851,0.632183908045977,0.9650655021834061,0.6346433770014556,0,13,14,0,100,10,0,22,15,104,0,0,0,436,0,0,24,123
iter2_cv_split2,0.6264367816091954,0.632183908045977,0.9694323144104804,0.6346433770014556,0,13,14,2,96,12,0,24,13,104,0,0,0,434,2,0,19,128
iter2_cv_split3,0.672514619883041,0.631578947368421,0.972463768115942,0.6347826086956522,4,15,7,0,92,16,0,18,19,105,0,0,0,437,1,0,18,129
iter2_cv_split4,0.6491228070175439,0.6374269005847953,0.9710144927536232,0.6333333333333333,0,25,0,0,93,16,0,19,18,106,0,0,0,437,0,0,20,127
iter2_cv_split5,0.6783625730994152,0.6374269005847953,0.9637681159420289,0.6333333333333333,0,20,6,0,97,12,0,17,19,105,0,0,0,434,3,0,22,126
iter3_cv_split1,0.6781609195402298,0.632183908045977,0.9665211062590975,0.6346433770014556,0,22,5,0,98,12,0,17,20,104,0,0,0,433,3,0,20,127
iter3_cv_split2,0.6666666666666666,0.632183908045977,0.9723435225618632,0.6346433770014556,8,17,2,0,87,23,0,16,21,104,0,0,0,435,1,0,18,129
iter3_cv_split3,0.6666666666666666,0.631578947368421,0.972463768115942,0.6347826086956522,0,18,8,0,100,8,0,23,14,105,0,0,0,437,1,0,18,129
iter3_cv_split4,0.6432748538011696,0.6374269005847953,0.9681159420289855,0.6333333333333333,0,13,12,0,94,15,1,20,16,106,0,0,0,435,2,0,20,127
