,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,leg,crash,preceed,similiar,mistak,view,instead,lower,hold,major
iter1_cv_split2,mistak,brutal,dow,ain,instead,view,drop,lower,major,crash
iter1_cv_split3,crash,rebound,ain,brutal,instead,view,leg,hold,mind,similiar
iter1_cv_split4,leg,rebound,drop,view,brutal,lower,ain,crash,hold,similiar
iter1_cv_split5,crash,leg,rebound,instead,mistak,dow,brutal,ain,potenti,similiar
iter2_cv_split1,mistak,instead,rebound,hold,leg,preceed,similiar,brutal,ain,lower
iter2_cv_split2,leg,brutal,mistak,ain,dow,crash,rebound,hold,view,lower
iter2_cv_split3,view,crash,major,brutal,ain,dow,trend,drop,potenti,preceed
iter2_cv_split4,crash,leg,brutal,ain,mistak,view,instead,drop,major,lower
iter2_cv_split5,leg,crash,rebound,view,similiar,preceed,instead,drop,hold,dow
iter3_cv_split1,crash,instead,mistak,brutal,ain,dow,similiar,preceed,view,stop
iter3_cv_split2,mistak,ain,brutal,leg,instead,view,rebound,hold,drop,lower
iter3_cv_split3,crash,leg,mistak,dow,preceed,similiar,lower,instead,fractal,drop
iter3_cv_split4,leg,mistak,rebound,crash,brutal,hold,ain,view,vix,mind
iter3_cv_split5,crash,rebound,view,hold,similiar,preceed,brutal,lower,ain,drop
iter4_cv_split1,view,ain,brutal,instead,preceed,similiar,lower,crash,major,dow
iter4_cv_split2,crash,mistak,brutal,leg,ain,liquid,lower,view,instead,add
iter4_cv_split3,drop,mistak,leg,instead,rebound,hold,brutal,lower,preceed,similiar
iter4_cv_split4,crash,leg,brutal,ain,drop,view,rebound,hold,dow,trend
iter4_cv_split5,crash,rebound,mistak,hold,leg,view,instead,preceed,similiar,major
iter5_cv_split1,crash,mistak,instead,hold,lower,rebound,brutal,leg,ain,preceed
iter5_cv_split2,crash,rebound,mistak,instead,brutal,ain,dow,hold,view,add
iter5_cv_split3,leg,rebound,instead,view,crash,preceed,similiar,dow,trend,mistak
iter5_cv_split4,leg,drop,brutal,ain,view,hold,lower,mistak,preceed,similiar
iter5_cv_split5,crash,view,dow,drop,leg,similiar,preceed,potenti,major,liquid
