,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,trigger,higher,high,breakout,revers,low,amp,entri,trendlin,retest
iter1_cv_split2,trigger,breakout,high,higher,revers,retest,upsid,trendlin,break,look
iter1_cv_split3,trigger,breakout,high,higher,revers,amp,retest,low,entri,look
iter1_cv_split4,trigger,breakout,revers,higher,high,look,break,entri,retest,trendlin
iter1_cv_split5,trigger,higher,high,breakout,revers,entri,low,upsid,retest,look
iter2_cv_split1,trigger,higher,breakout,revers,high,entri,low,upsid,retest,like
iter2_cv_split2,trigger,breakout,revers,high,higher,retest,upsid,look,low,break
iter2_cv_split3,trigger,breakout,higher,high,revers,entri,look,support,break,soon
iter2_cv_split4,trigger,higher,high,breakout,revers,amp,retest,entri,break,trendlin
iter2_cv_split5,trigger,higher,high,breakout,revers,amp,retest,low,look,break
iter3_cv_split1,trigger,higher,breakout,high,revers,entri,low,retest,look,break
iter3_cv_split2,trigger,higher,high,breakout,amp,break,trendlin,low,look,retest
iter3_cv_split3,trigger,breakout,high,higher,amp,retest,upsid,low,look,support
iter3_cv_split4,trigger,revers,higher,breakout,high,retest,low,entri,volum,trendlin
iter3_cv_split5,trigger,breakout,higher,high,entri,low,upsid,look,break,support
iter4_cv_split1,trigger,higher,breakout,high,revers,amp,support,low,break,retest
iter4_cv_split2,trigger,breakout,revers,high,higher,retest,entri,upsid,soon,like
iter4_cv_split3,trigger,higher,breakout,revers,high,amp,low,look,upsid,break
iter4_cv_split4,trigger,breakout,higher,high,revers,retest,entri,look,low,upsid
iter4_cv_split5,trigger,higher,high,revers,breakout,low,entri,retest,look,break
iter5_cv_split1,trigger,breakout,high,revers,higher,look,retest,break,trendlin,soon
iter5_cv_split2,trigger,higher,high,breakout,revers,low,entri,retest,upsid,support
iter5_cv_split3,trigger,high,higher,breakout,revers,low,look,entri,retest,upsid
iter5_cv_split4,trigger,higher,breakout,revers,high,look,retest,low,break,trendlin
iter5_cv_split5,trigger,breakout,revers,high,higher,upsid,retest,trendlin,low,like
iter6_cv_split1,trigger,breakout,higher,high,revers,retest,trendlin,entri,upsid,low
iter6_cv_split2,trigger,higher,breakout,revers,high,low,look,retest,upsid,support
iter6_cv_split3,trigger,breakout,revers,amp,high,retest,higher,entri,look,upsid
iter6_cv_split4,trigger,higher,breakout,high,revers,low,entri,break,look,support
iter6_cv_split5,trigger,higher,high,revers,breakout,amp,break,low,look,retest
iter7_cv_split1,trigger,breakout,higher,high,revers,retest,upsid,low,break,look
iter7_cv_split2,trigger,higher,breakout,high,revers,retest,low,look,trendlin,entri
iter7_cv_split3,trigger,higher,revers,breakout,amp,high,entri,break,low,trend
iter7_cv_split4,trigger,breakout,higher,high,revers,low,look,upsid,entri,volum
iter7_cv_split5,trigger,high,higher,breakout,revers,amp,retest,look,entri,trendlin
iter8_cv_split1,trigger,higher,breakout,high,revers,retest,low,entri,look,like
iter8_cv_split2,trigger,higher,breakout,high,revers,upsid,low,break,entri,look
iter8_cv_split3,trigger,higher,revers,high,breakout,amp,trendlin,retest,look,low
iter8_cv_split4,trigger,higher,breakout,high,revers,retest,low,entri,break,look
iter8_cv_split5,trigger,breakout,revers,high,higher,look,support,retest,entri,break
iter9_cv_split1,trigger,breakout,higher,revers,high,entri,look,low,upsid,like
iter9_cv_split2,trigger,breakout,higher,high,revers,amp,entri,look,low,retest
iter9_cv_split3,trigger,breakout,revers,higher,high,upsid,look,retest,trendlin,break
iter9_cv_split4,trigger,high,higher,breakout,revers,retest,low,break,upsid,trend
iter9_cv_split5,trigger,higher,revers,high,breakout,low,retest,trendlin,break,look
iter10_cv_split1,trigger,breakout,higher,revers,high,amp,low,upsid,retest,entri
iter10_cv_split2,trigger,higher,revers,high,breakout,break,retest,trendlin,low,support
iter10_cv_split3,trigger,higher,high,breakout,revers,low,break,trendlin,entri,upsid
iter10_cv_split4,trigger,breakout,higher,high,revers,amp,look,retest,trendlin,break
iter10_cv_split5,trigger,breakout,higher,high,revers,retest,upsid,look,entri,low
iter11_cv_split1,trigger,higher,revers,breakout,high,low,entri,retest,break,trendlin
iter11_cv_split2,trigger,breakout,high,higher,revers,look,low,retest,support,volum
iter11_cv_split3,trigger,breakout,higher,high,revers,retest,low,look,trendlin,entri
iter11_cv_split4,trigger,higher,breakout,high,revers,retest,upsid,break,volum,entri
iter11_cv_split5,trigger,higher,high,revers,breakout,amp,upsid,look,entri,support
iter12_cv_split1,trigger,higher,breakout,high,amp,revers,low,break,look,entri
iter12_cv_split2,trigger,higher,breakout,revers,high,amp,retest,low,break,entri
iter12_cv_split3,trigger,breakout,higher,high,revers,upsid,look,entri,retest,low
iter12_cv_split4,trigger,higher,breakout,revers,high,retest,low,look,upsid,trendlin
iter12_cv_split5,trigger,breakout,revers,high,higher,retest,entri,upsid,like,look
iter13_cv_split1,trigger,breakout,higher,high,revers,amp,upsid,look,low,entri
iter13_cv_split2,trigger,higher,breakout,revers,high,low,break,entri,retest,upsid
iter13_cv_split3,trigger,higher,breakout,high,low,revers,trendlin,retest,look,support
iter13_cv_split4,trigger,higher,high,revers,breakout,amp,low,retest,look,trendlin
iter13_cv_split5,trigger,breakout,high,revers,higher,retest,entri,like,look,upsid
iter14_cv_split1,trigger,higher,high,revers,breakout,low,retest,look,upsid,break
iter14_cv_split2,trigger,breakout,high,revers,higher,entri,retest,upsid,look,low
iter14_cv_split3,trigger,higher,revers,breakout,high,amp,low,retest,look,break
iter14_cv_split4,trigger,breakout,amp,high,higher,revers,look,entri,trendlin,upsid
iter14_cv_split5,trigger,higher,breakout,high,revers,trendlin,low,upsid,entri,break
iter15_cv_split1,trigger,breakout,amp,revers,high,higher,look,trendlin,retest,break
iter15_cv_split2,trigger,higher,breakout,high,revers,low,upsid,retest,entri,look
iter15_cv_split3,trigger,breakout,higher,high,revers,look,retest,entri,low,break
iter15_cv_split4,trigger,breakout,higher,high,revers,like,low,upsid,entri,break
iter15_cv_split5,trigger,higher,high,breakout,revers,low,retest,entri,look,trendlin
iter16_cv_split1,trigger,higher,breakout,revers,retest,low,high,trendlin,upsid,look
iter16_cv_split2,trigger,higher,breakout,high,revers,amp,entri,low,look,break
iter16_cv_split3,trigger,high,breakout,higher,revers,look,upsid,retest,like,entri
iter16_cv_split4,trigger,breakout,high,revers,higher,retest,entri,support,low,break
iter16_cv_split5,trigger,higher,revers,breakout,high,low,break,trendlin,entri,upsid
iter17_cv_split1,trigger,breakout,amp,revers,high,higher,retest,entri,look,volum
iter17_cv_split2,trigger,breakout,high,higher,amp,revers,entri,retest,look,trendlin
iter17_cv_split3,trigger,higher,breakout,high,revers,low,retest,trendlin,break,entri
iter17_cv_split4,trigger,higher,high,breakout,revers,low,break,look,like,retest
iter17_cv_split5,trigger,higher,breakout,revers,high,low,look,trendlin,retest,upsid
iter18_cv_split1,trigger,breakout,high,higher,amp,revers,break,entri,upsid,retest
iter18_cv_split2,trigger,higher,high,breakout,revers,entri,low,look,retest,break
iter18_cv_split3,trigger,breakout,revers,higher,high,entri,low,look,upsid,retest
iter18_cv_split4,trigger,breakout,revers,high,higher,retest,break,trendlin,look,entri
