,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,bitcoin,chart,crypto,year,interest,time,trade,market,day,money
iter1_cv_split2,bitcoin,chart,time,crypto,year,start,interest,alt,new,best
iter1_cv_split3,bitcoin,chart,time,market,day,new,trade,year,crypto,futur
iter1_cv_split4,bitcoin,chart,market,crypto,trade,time,new,month,money,start
iter1_cv_split5,bitcoin,crypto,trade,money,time,month,interest,chart,start,coin
iter2_cv_split1,bitcoin,market,money,new,time,crypto,trade,chart,want,day
iter2_cv_split2,bitcoin,chart,crypto,market,year,start,time,trade,best,money
iter2_cv_split3,bitcoin,chart,crypto,time,year,start,money,day,new,month
iter2_cv_split4,bitcoin,market,time,money,price,year,new,crypto,best,coin
iter2_cv_split5,bitcoin,year,crypto,time,trade,chart,day,month,peopl,interest
iter3_cv_split1,bitcoin,crypto,trade,chart,best,time,market,start,month,don
iter3_cv_split2,bitcoin,chart,year,crypto,new,money,best,trade,price,mean
iter3_cv_split3,bitcoin,market,time,chart,crypto,year,start,new,money,interest
iter3_cv_split4,bitcoin,time,chart,crypto,year,new,month,interest,hour,coin
iter3_cv_split5,bitcoin,market,time,crypto,chart,new,start,year,money,want
iter4_cv_split1,bitcoin,like,chart,time,crypto,trade,month,year,futur,best
iter4_cv_split2,bitcoin,chart,time,market,new,year,month,crypto,mean,best
iter4_cv_split3,bitcoin,time,crypto,market,month,day,interest,peopl,trade,money
iter4_cv_split4,bitcoin,amp,crypto,market,year,trade,interest,price,start,want
iter4_cv_split5,bitcoin,time,chart,crypto,day,market,money,trade,start,like
iter5_cv_split1,bitcoin,crypto,market,time,year,chart,trade,new,money,interest
iter5_cv_split2,bitcoin,new,crypto,year,chart,time,price,start,interest,peopl
iter5_cv_split3,bitcoin,time,chart,new,crypto,trade,hour,money,price,month
iter5_cv_split4,bitcoin,market,crypto,time,peopl,interest,day,year,alt,ani
iter5_cv_split5,bitcoin,time,chart,crypto,trade,money,close,year,tri,interest
iter6_cv_split1,bitcoin,new,time,year,crypto,month,trade,day,money,chart
iter6_cv_split2,bitcoin,market,time,year,month,crypto,hour,price,futur,money
iter6_cv_split3,bitcoin,time,year,futur,chart,hour,trade,start,crypto,close
iter6_cv_split4,bitcoin,crypto,chart,time,market,interest,day,want,trade,year
iter6_cv_split5,bitcoin,trade,crypto,market,money,time,chart,interest,peopl,start
iter7_cv_split1,bitcoin,time,crypto,market,trade,chart,interest,year,close,new
iter7_cv_split2,bitcoin,market,chart,crypto,year,trade,time,want,money,new
iter7_cv_split3,bitcoin,crypto,start,time,best,market,hour,chart,year,month
iter7_cv_split4,bitcoin,chart,market,trade,day,year,time,coin,best,crypto
iter7_cv_split5,bitcoin,time,year,chart,crypto,interest,close,fork,money,coin
iter8_cv_split1,bitcoin,chart,crypto,market,interest,day,time,want,money,new
iter8_cv_split2,bitcoin,time,crypto,year,close,trade,new,day,don,cash
iter8_cv_split3,bitcoin,time,chart,crypto,year,month,trade,interest,market,peopl
iter8_cv_split4,amp,bitcoin,time,market,chart,year,trade,price,peopl,money
iter8_cv_split5,bitcoin,price,crypto,time,year,chart,money,interest,new,month
iter9_cv_split1,bitcoin,chart,crypto,month,market,want,year,time,best,day
iter9_cv_split2,bitcoin,crypto,time,price,trade,year,futur,close,month,day
iter9_cv_split3,bitcoin,market,chart,crypto,money,time,peopl,want,best,month
iter9_cv_split4,bitcoin,amp,time,new,chart,price,trade,interest,start,month
