,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.6436781609195402,0.632183908045977,0.9097525473071325,0.6346433770014556,0,11,16,7,85,18,0,10,27,104,0,0,3,391,42,2,15,130
iter1_cv_split2,0.6436781609195402,0.632183908045977,0.901018922852984,0.6346433770014556,0,18,9,8,89,13,2,12,23,103,0,1,3,386,47,2,15,130
iter1_cv_split3,0.6666666666666666,0.631578947368421,0.9231884057971015,0.6347826086956522,7,4,15,4,81,23,2,9,26,105,0,0,6,399,33,1,13,133
iter1_cv_split4,0.5847953216374269,0.6374269005847953,0.9144927536231884,0.6333333333333333,0,17,8,5,75,29,0,12,25,104,0,2,5,394,38,1,13,133
iter1_cv_split5,0.6257309941520468,0.6374269005847953,0.908695652173913,0.6333333333333333,0,4,22,1,85,23,1,13,22,105,0,0,7,394,36,2,18,128
iter2_cv_split1,0.5862068965517241,0.632183908045977,0.9141193595342066,0.6346433770014556,3,13,11,9,76,25,1,13,23,104,0,0,4,394,38,1,16,130
iter2_cv_split2,0.6091954022988506,0.632183908045977,0.9097525473071325,0.6346433770014556,12,11,4,10,69,31,2,10,25,104,0,0,4,389,43,2,13,132
iter2_cv_split3,0.5614035087719298,0.631578947368421,0.9333333333333333,0.6347826086956522,0,12,14,2,66,40,0,7,30,105,0,0,6,407,25,2,13,132
iter2_cv_split4,0.5964912280701754,0.6374269005847953,0.927536231884058,0.6333333333333333,10,6,9,3,76,30,2,19,16,103,0,3,1,407,29,2,15,130
iter2_cv_split5,0.695906432748538,0.6374269005847953,0.9202898550724637,0.6333333333333333,7,7,12,2,93,14,1,16,19,105,0,0,5,396,36,1,13,134
iter3_cv_split1,0.6149425287356322,0.632183908045977,0.9199417758369723,0.6346433770014556,6,12,9,3,77,30,4,9,24,103,1,0,5,394,37,0,12,135
