,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,leg,price,trend,drop,potenti,rebound,crash,dow,point,convinc
iter1_cv_split2,leg,amp,like,trader,potenti,convinc,volum,market,strong,lower
iter1_cv_split3,mistak,current,drop,altitud,instead,trendlin,possibl,investor,invit,mani
iter1_cv_split4,amp,trend,support,leg,strong,price,think,target,daili,low
iter1_cv_split5,amp,trend,think,drop,like,market,lower,trendlin,strong,trader
iter2_cv_split1,amp,trader,trend,price,expect,zone,btc,leg,think,drop
iter2_cv_split2,price,trend,amp,potenti,trendlin,rebound,leg,drop,support,think
iter2_cv_split3,lower,leg,amp,market,potenti,ath,low,altitud,zone,mistak
iter2_cv_split4,trend,media,mainstream,support,crash,trader,btc,daili,target,chart
iter2_cv_split5,like,leg,point,drop,dow,market,crash,think,strong,mistak
iter3_cv_split1,amp,strong,trend,support,drop,think,leg,crash,trader,price
iter3_cv_split2,revers,market,trend,trader,media,think,mainstream,btc,potenti,drop
iter3_cv_split3,revers,trend,potenti,lower,trendlin,trader,think,fail,price,zone
iter3_cv_split4,leg,like,amp,trend,market,potenti,lower,convinc,hold,ath
iter3_cv_split5,amp,potenti,trendlin,revers,trend,lower,like,fail,leg,crash
iter4_cv_split1,lower,market,trend,think,crash,potenti,zone,dow,drop,trader
iter4_cv_split2,trendlin,potenti,amp,lower,instead,leg,altitud,daili,fail,bought
iter4_cv_split3,leg,lower,drop,ath,zone,like,chart,trend,volum,convinc
iter4_cv_split4,leg,media,mainstream,dow,point,crash,think,trend,expect,trader
iter4_cv_split5,amp,trend,support,think,lower,altitud,strong,drop,trader,target
iter5_cv_split1,leg,amp,like,lower,potenti,drop,trend,volum,convinc,expect
iter5_cv_split2,crash,amp,leg,like,trader,trend,convinc,volum,market,strong
iter5_cv_split3,amp,trend,market,crash,trader,zone,drop,larger,interefer,red
iter5_cv_split4,support,trend,amp,strong,leg,like,target,trader,price,think
iter5_cv_split5,amp,leg,trend,strong,support,media,mainstream,target,instead,potenti
iter6_cv_split1,amp,market,crash,trader,think,drop,potenti,trend,leg,like
iter6_cv_split2,amp,lower,trend,chart,crash,ath,drop,zone,expect,leg
iter6_cv_split3,market,leg,like,crash,hold,trend,volum,convinc,current,expect
iter6_cv_split4,amp,drop,trendlin,price,think,potenti,crash,mind,expect,hold
iter6_cv_split5,trend,think,trendlin,price,trader,instead,support,lower,potenti,strong
iter7_cv_split1,amp,like,trend,fail,trader,potenti,strong,price,support,think
iter7_cv_split2,amp,lower,current,trend,mistak,point,media,mainstream,dow,think
iter7_cv_split3,leg,price,media,trendlin,mainstream,rebound,btc,strong,support,mind
iter7_cv_split4,amp,trend,trader,strong,support,leg,lower,ath,zone,convinc
iter7_cv_split5,leg,crash,trend,market,incom,right,liquid,bear,hold,drop
iter8_cv_split1,trend,amp,support,leg,strong,trendlin,drop,trader,think,btc
iter8_cv_split2,media,mainstream,amp,leg,trend,like,lower,trader,current,market
iter8_cv_split3,media,leg,mainstream,crash,altitud,btc,drop,expect,think,care
iter8_cv_split4,leg,potenti,drop,like,mainstream,media,btc,trendlin,hold,convinc
iter8_cv_split5,think,amp,market,trend,drop,trader,like,potenti,fail,strong
iter9_cv_split1,crash,amp,potenti,leg,think,trend,trader,convinc,price,strong
iter9_cv_split2,market,target,support,trend,chart,daili,crash,triangl,recenc,principl
iter9_cv_split3,leg,amp,trend,trader,strong,think,support,convinc,volum,drop
iter9_cv_split4,market,trendlin,crash,potenti,leg,trader,like,lower,drop,btc
iter9_cv_split5,amp,trader,price,leg,think,current,lower,potenti,trend,mind
iter10_cv_split1,trend,support,think,strong,like,target,trader,market,leg,drop
iter10_cv_split2,amp,leg,potenti,mainstream,media,trader,market,crash,volum,convinc
iter10_cv_split3,amp,lower,leg,trend,support,media,mainstream,strong,trader,ath
iter10_cv_split4,trend,price,trader,support,lower,mind,think,riski,potenti,strong
iter10_cv_split5,amp,trendlin,instead,lower,leg,strong,potenti,trend,target,crash
iter11_cv_split1,amp,leg,trend,strong,support,potenti,drop,trader,think,price
iter11_cv_split2,trendlin,potenti,drop,crash,price,btc,like,fail,leg,mainstream
iter11_cv_split3,amp,trader,mainstream,market,potenti,media,trend,strong,lower,support
iter11_cv_split4,leg,amp,trend,price,strong,drop,trendlin,support,mind,think
iter11_cv_split5,trader,think,riski,trend,price,like,market,altitud,mind,trendlin
iter12_cv_split1,trader,market,trend,mistak,think,drop,lower,like,crash,strong
iter12_cv_split2,trend,leg,mainstream,media,support,like,strong,trader,btc,price
iter12_cv_split3,amp,trend,leg,support,trendlin,trader,dow,strong,point,target
iter12_cv_split4,leg,market,potenti,hold,like,mainstream,trend,media,fail,mistak
iter12_cv_split5,lower,amp,leg,potenti,trendlin,drop,trader,altitud,zone,ath
iter13_cv_split1,media,mainstream,price,btc,trader,trend,trendlin,support,mind,drop
iter13_cv_split2,amp,leg,lower,crash,think,market,mistak,point,potenti,instead
iter13_cv_split3,leg,amp,like,volum,hold,trend,convinc,rebound,drop,expect
iter13_cv_split4,trend,like,altitud,lower,instead,think,leg,potenti,dow,point
iter13_cv_split5,amp,trend,potenti,leg,strong,trader,lower,support,think,price
iter14_cv_split1,leg,amp,strong,trendlin,convinc,volum,trend,mainstream,media,btc
iter14_cv_split2,trend,like,support,leg,potenti,strong,crash,convinc,volum,lower
iter14_cv_split3,media,mainstream,btc,rebound,potenti,leg,crash,drop,hold,fail
iter14_cv_split4,drop,trend,crash,like,leg,think,point,dow,lower,hold
iter14_cv_split5,amp,leg,think,like,drop,strong,trader,volum,dow,lower
iter15_cv_split1,market,trend,support,trader,think,like,drop,crash,chart,lower
iter15_cv_split2,amp,trader,trend,think,leg,strong,price,support,mainstream,media
iter15_cv_split3,amp,trend,trendlin,potenti,like,lower,leg,support,fail,btc
iter15_cv_split4,amp,trend,support,leg,trendlin,strong,drop,think,lower,target
iter15_cv_split5,lower,like,amp,leg,market,altitud,trader,think,ath,price
iter16_cv_split1,amp,crash,leg,drop,mainstream,media,lower,think,dow,point
iter16_cv_split2,trendlin,potenti,price,lower,daili,zone,leg,fail,rebound,btc
iter16_cv_split3,amp,drop,lower,trendlin,trend,market,crash,low,trader,think
iter16_cv_split4,leg,crash,trend,like,market,lower,zone,ath,correl,convinc
iter16_cv_split5,amp,trend,support,think,trader,drop,target,strong,dow,point
