,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,rise,bulljuic,dipbuy,list,wait,korea,dip,eye,anon,whale
iter1_cv_split2,dipbuy,bulljuic,bitstamp,shkreli,rise,brb,spot,dip,eye,time
iter1_cv_split3,bulljuic,shkreli,brb,bitstamp,korea,time,eye,list,whale,dip
iter1_cv_split4,list,bulljuic,dipbuy,shkreli,bitstamp,brb,rise,hypothesi,dip,breakout
iter1_cv_split5,shkreli,dipbuy,bitstamp,brb,time,korea,eye,whale,hypothesi,pleasur
iter2_cv_split1,bulljuic,shkreli,dipbuy,bitstamp,brb,dip,whale,time,hypothesi,awesom
iter2_cv_split2,dipbuy,shkreli,bitstamp,brb,list,dip,korea,play,time,whale
iter2_cv_split3,bulljuic,dipbuy,shkreli,rise,korea,hypothesi,eye,whale,bull,soon
iter2_cv_split4,bitstamp,bulljuic,dipbuy,brb,rise,list,korea,dip,close,lookin
iter2_cv_split5,shkreli,bitstamp,bulljuic,rise,list,brb,korea,eye,time,dip
iter3_cv_split1,shkreli,bulljuic,dipbuy,brb,korea,list,breakout,spot,hypothesi,decis
iter3_cv_split2,bulljuic,dipbuy,bitstamp,brb,rise,list,dip,play,whale,close
iter3_cv_split3,bulljuic,dipbuy,shkreli,bitstamp,brb,rise,korea,eye,dip,whale
iter3_cv_split4,shkreli,bulljuic,bitstamp,dip,korea,whale,hypothesi,time,eye,rise
iter3_cv_split5,bitstamp,shkreli,dipbuy,rise,brb,eye,korea,time,hypothesi,dip
iter4_cv_split1,rise,dipbuy,bulljuic,shkreli,bitstamp,korea,eye,hypothesi,list,time
iter4_cv_split2,bulljuic,shkreli,dipbuy,brb,rise,list,play,dip,whale,close
iter4_cv_split3,dipbuy,bulljuic,shkreli,bitstamp,brb,dip,korea,breakout,spot,close
iter4_cv_split4,shkreli,dipbuy,bitstamp,brb,eye,time,hypothesi,dip,pleasur,decis
iter4_cv_split5,bulljuic,bitstamp,dip,brb,usc,korea,rise,whale,list,hypothesi
iter5_cv_split1,bitstamp,bulljuic,shkreli,dipbuy,brb,dip,time,close,whale,usc
iter5_cv_split2,brb,bulljuic,shkreli,dipbuy,bitstamp,rise,korea,spot,list,eye
iter5_cv_split3,bulljuic,dipbuy,bitstamp,dip,rise,hypothesi,korea,eye,time,whale
iter5_cv_split4,shkreli,dipbuy,bulljuic,bitstamp,brb,rise,korea,list,hypothesi,breakout
iter5_cv_split5,shkreli,brb,eye,whale,korea,dip,list,rise,hypothesi,pleasur
iter6_cv_split1,bulljuic,dipbuy,shkreli,bitstamp,rise,brb,dip,korea,time,hypothesi
iter6_cv_split2,dipbuy,shkreli,bitstamp,time,dip,usc,korea,list,hypothesi,look
iter6_cv_split3,bulljuic,shkreli,bitstamp,brb,korea,list,time,whale,dip,eye
iter6_cv_split4,bulljuic,dipbuy,brb,korea,breakout,rise,list,sit,amp,dip
iter6_cv_split5,bulljuic,shkreli,bitstamp,dipbuy,brb,rise,eye,list,hypothesi,whale
iter7_cv_split1,shkreli,dipbuy,bitstamp,bulljuic,rise,korea,breakout,hypothesi,lookin,close
iter7_cv_split2,rise,shkreli,bulljuic,dipbuy,bitstamp,brb,dip,eye,time,whale
iter7_cv_split3,list,shkreli,bulljuic,brb,korea,hypothesi,eye,time,whale,dip
iter7_cv_split4,rise,shkreli,bulljuic,dipbuy,bitstamp,brb,list,bull,korea,time
iter7_cv_split5,dipbuy,bitstamp,brb,dip,rise,play,list,close,spot,cap
iter8_cv_split1,shkreli,bulljuic,dipbuy,bitstamp,dip,rise,list,korea,time,hypothesi
iter8_cv_split2,dipbuy,bulljuic,shkreli,rise,brb,korea,list,whale,hypothesi,eye
iter8_cv_split3,bulljuic,bitstamp,brb,rise,korea,dip,hypothesi,time,whale,list
iter8_cv_split4,dipbuy,shkreli,bulljuic,bitstamp,brb,breakout,list,rise,whale,close
iter8_cv_split5,dipbuy,shkreli,bitstamp,spot,brb,eye,hypothesi,dip,moar,korea
iter9_cv_split1,dipbuy,bulljuic,shkreli,rise,time,brb,korea,eye,hypothesi,dip
iter9_cv_split2,brb,dipbuy,bulljuic,bitstamp,shkreli,rise,eye,korea,dip,list
iter9_cv_split3,bulljuic,dipbuy,shkreli,bitstamp,brb,dip,time,hypothesi,korea,list
iter9_cv_split4,dipbuy,bitstamp,brb,rise,list,time,eye,whale,pleasur,alway
iter9_cv_split5,bulljuic,shkreli,bitstamp,korea,list,hypothesi,rise,whale,dip,close
iter10_cv_split1,bulljuic,shkreli,dipbuy,bitstamp,eye,rise,dip,hypothesi,list,pleasur
iter10_cv_split2,rise,shkreli,dipbuy,bitstamp,brb,korea,dip,hypothesi,lookin,eye
iter10_cv_split3,bitstamp,shkreli,bulljuic,brb,dip,rise,korea,time,hypothesi,look
iter10_cv_split4,dipbuy,shkreli,bulljuic,brb,rise,korea,list,close,breakout,play
iter10_cv_split5,dipbuy,bulljuic,bitstamp,brb,list,korea,time,whale,dip,lookin
iter11_cv_split1,shkreli,dipbuy,bitstamp,brb,time,rise,dip,list,korea,hypothesi
iter11_cv_split2,dipbuy,bulljuic,shkreli,brb,bitstamp,list,eye,time,dip,hypothesi
iter11_cv_split3,dipbuy,bulljuic,bitstamp,rise,spot,eye,dip,time,hypothesi,close
iter11_cv_split4,shkreli,dipbuy,bulljuic,bitstamp,brb,korea,whale,rise,list,eye
iter11_cv_split5,bulljuic,shkreli,brb,rise,dip,korea,breakout,close,list,whale
iter12_cv_split1,shkreli,bitstamp,brb,list,korea,eye,whale,time,flagalici,lookin
iter12_cv_split2,dipbuy,bulljuic,rise,brb,dip,whale,korea,hypothesi,pleasur,time
iter12_cv_split3,shkreli,bulljuic,dipbuy,bitstamp,spot,eye,cap,time,rise,dip
iter12_cv_split4,rise,dipbuy,shkreli,bulljuic,bitstamp,brb,dip,whale,play,lookin
iter12_cv_split5,brb,shkreli,dipbuy,bulljuic,bitstamp,eye,list,dip,time,korea
