,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,need,edit,gent,baller,mega,mankind,probabl,ema,proceed,btc
iter1_cv_split2,bimpress,myspac,need,altcoin,proceed,tether,fk,ask,analyst,gent
iter1_cv_split3,edit,margin,mega,baller,myspac,bimpress,bear,proceed,ask,tether
iter1_cv_split4,need,bimpress,tether,edit,smoke,ask,wake,fk,adjust,analyst
iter1_cv_split5,bimpress,need,edit,away,gent,discount,mega,baller,fk,myspac
iter2_cv_split1,bimpress,btc,mega,baller,chart,need,discount,adjust,edit,fk
iter2_cv_split2,edit,bimpress,need,myspac,mega,baller,proceed,adjust,mankind,presal
iter2_cv_split3,tether,gent,run,altcoin,possibl,baller,mega,proceed,block,myspac
iter2_cv_split4,edit,need,mankind,btc,gent,adjust,wake,myspac,smoke,discount
iter2_cv_split5,tether,need,bimpress,myspac,discount,mega,baller,fk,ask,proceed
iter3_cv_split1,bimpress,myspac,need,gent,tether,proceed,mankind,edit,altcoin,hold
iter3_cv_split2,edit,need,ask,tether,gent,mega,baller,chart,smoke,adjust
iter3_cv_split3,proceed,need,mega,baller,edit,myspac,bimpress,ask,discount,smoke
iter3_cv_split4,bimpress,need,block,tether,btc,fk,myspac,gent,ema,run
iter3_cv_split5,bimpress,edit,gent,btc,tether,smellyalat,myspac,mankind,abov,futur
iter4_cv_split1,edit,tether,myspac,ask,discount,mankind,wake,altcoin,baller,mega
iter4_cv_split2,bimpress,need,baller,mega,edit,proceed,btc,analyst,gent,ask
iter4_cv_split3,bimpress,adjust,need,smoke,myspac,edit,pay,probabl,discount,chart
iter4_cv_split4,bimpress,need,altcoin,tether,gent,btc,analyst,fk,chart,proceed
iter4_cv_split5,bimpress,need,margin,mankind,tether,smoke,fk,baller,mega,myspac
iter5_cv_split1,tether,proceed,bimpress,wake,baller,mega,gent,need,mankind,ask
iter5_cv_split2,edit,gent,altcoin,bimpress,myspac,btc,margin,fk,need,block
iter5_cv_split3,bimpress,myspac,edit,need,mankind,fk,btc,tether,possibl,ask
iter5_cv_split4,need,tether,margin,myspac,discount,ask,proceed,smoke,analyst,edit
iter5_cv_split5,bimpress,proceed,need,edit,myspac,mankind,adjust,baller,mega,sure
iter6_cv_split1,myspac,proceed,need,btc,tether,mega,baller,edit,chart,ema
iter6_cv_split2,bimpress,need,tether,wake,probabl,btc,adjust,gent,presal,myspac
iter6_cv_split3,myspac,btc,tether,baller,mega,altcoin,mankind,analyst,margin,adjust
iter6_cv_split4,need,bimpress,edit,discount,wake,myspac,ask,gent,fk,mankind
iter6_cv_split5,bimpress,need,altcoin,edit,mega,baller,analyst,ask,margin,fk
iter7_cv_split1,bimpress,need,edit,tether,proceed,discount,btc,altcoin,ahead,fk
iter7_cv_split2,tether,proceed,mega,baller,need,bimpress,presal,gent,headshot,margin
iter7_cv_split3,bimpress,need,margin,btc,edit,baller,mega,adjust,mankind,analyst
iter7_cv_split4,edit,bimpress,chart,baller,mega,altcoin,fk,myspac,gent,need
iter7_cv_split5,need,edit,tether,adjust,ask,run,proceed,discount,btc,fk
iter8_cv_split1,need,bimpress,myspac,edit,tether,gent,ask,chart,trader,fk
iter8_cv_split2,edit,altcoin,tether,gent,wake,discount,proceed,run,myspac,margin
iter8_cv_split3,tether,mega,baller,adjust,edit,proceed,smoke,need,away,probabl
iter8_cv_split4,bimpress,need,baller,mega,wake,tether,mankind,margin,btc,fk
iter8_cv_split5,bimpress,need,edit,ask,mankind,btc,possibl,smellyalat,happi,chart
iter9_cv_split1,edit,myspac,proceed,btc,margin,ema,block,bigger,tether,ih
iter9_cv_split2,edit,margin,mega,baller,myspac,tether,need,mankind,altcoin,chart
iter9_cv_split3,bimpress,btc,need,discount,gent,proceed,ask,disappoint,fk,analyst
iter9_cv_split4,bimpress,need,mega,baller,ask,btc,sure,edit,fk,mankind
iter9_cv_split5,need,bimpress,mega,baller,edit,proceed,tether,margin,altcoin,myspac
iter10_cv_split1,bimpress,need,baller,mega,btc,proceed,fk,ih,adjust,discount
iter10_cv_split2,edit,bimpress,tether,futur,gent,smoke,margin,myspac,mega,baller
iter10_cv_split3,need,proceed,myspac,ask,mankind,bimpress,away,analyst,wake,gent
iter10_cv_split4,margin,bimpress,need,mankind,analyst,tether,chart,ask,edit,baller
iter10_cv_split5,altcoin,need,myspac,edit,proceed,discount,margin,wake,adjust,probabl
iter11_cv_split1,bimpress,need,myspac,adjust,edit,tether,ask,margin,probabl,altcoin
iter11_cv_split2,margin,edit,tether,mega,baller,need,bimpress,mankind,altcoin,away
iter11_cv_split3,btc,need,run,proceed,fk,discount,ask,chart,block,rest
iter11_cv_split4,bimpress,tether,sure,margin,altcoin,gent,myspac,fk,proceed,discount
iter11_cv_split5,edit,altcoin,bimpress,need,proceed,mankind,baller,mega,btc,fk
iter12_cv_split1,bimpress,altcoin,margin,edit,need,adjust,tether,btc,mankind,ask
iter12_cv_split2,bimpress,edit,discount,mega,baller,smoke,need,analyst,ask,myspac
iter12_cv_split3,edit,need,mankind,btc,altcoin,discount,sure,headshot,disappoint,fk
iter12_cv_split4,margin,bimpress,gent,baller,mega,run,proceed,need,tether,edit
iter12_cv_split5,need,myspac,mankind,tether,ih,ask,wake,bigger,hold,gent
iter13_cv_split1,tether,bimpress,edit,btc,sure,myspac,baller,mega,gent,fk
iter13_cv_split2,bimpress,ask,btc,myspac,gent,need,analyst,proceed,fk,probabl
iter13_cv_split3,need,edit,gent,myspac,tether,discount,smoke,bimpress,altcoin,mega
iter13_cv_split4,altcoin,margin,need,mega,baller,edit,discount,proceed,wake,run
iter13_cv_split5,need,edit,baller,mega,ask,probabl,analyst,chart,group,hyperbitcoin
iter14_cv_split1,need,ask,discount,wake,bimpress,margin,tether,myspac,fk,altcoin
iter14_cv_split2,edit,bimpress,wake,altcoin,sure,margin,tether,proceed,ask,mankind
iter14_cv_split3,bimpress,need,myspac,tether,mega,baller,proceed,btc,probabl,fk
iter14_cv_split4,edit,need,myspac,baller,mega,gent,discount,mankind,proceed,smoke
iter14_cv_split5,need,edit,btc,baller,mega,gent,possibl,mankind,run,futur
iter15_cv_split1,edit,tether,altcoin,need,wake,analyst,adjust,discount,ask,margin
iter15_cv_split2,bimpress,need,tether,adjust,myspac,mankind,edit,altcoin,fk,discount
iter15_cv_split3,bimpress,need,mankind,mega,baller,futur,fk,smoke,btc,disconnect
iter15_cv_split4,edit,myspac,gent,baller,mega,need,wake,tether,possibl,presal
iter15_cv_split5,bimpress,edit,smoke,need,baller,mega,myspac,adjust,block,head
iter16_cv_split1,need,edit,futur,myspac,ih,bimpress,abov,come,margin,block
iter16_cv_split2,gent,myspac,proceed,tether,mankind,edit,btc,altcoin,pamp,trader
iter16_cv_split3,tether,bimpress,discount,myspac,ask,need,proceed,possibl,fk,edit
iter16_cv_split4,edit,bimpress,need,altcoin,margin,tether,ask,proceed,adjust,smoke
iter16_cv_split5,bimpress,need,margin,mega,baller,discount,wake,hold,myspac,fk
iter17_cv_split1,bimpress,myspac,tether,mankind,need,analyst,ask,wake,mega,baller
iter17_cv_split2,margin,tether,bimpress,btc,need,altcoin,futur,smoke,smellyalat,nice
iter17_cv_split3,edit,need,bimpress,tether,btc,mega,baller,myspac,fk,ask
iter17_cv_split4,edit,tether,need,mega,baller,gent,wake,chart,mankind,exit
iter17_cv_split5,need,bimpress,proceed,edit,gent,margin,mankind,altcoin,wake,run
iter18_cv_split1,margin,bimpress,mega,baller,need,myspac,probabl,hold,proceed,altcoin
iter18_cv_split2,bimpress,need,myspac,edit,baller,mega,mankind,fk,tether,group
iter18_cv_split3,altcoin,tether,gent,discount,wake,proceed,chart,margin,ask,need
iter18_cv_split4,bimpress,need,edit,ask,adjust,analyst,proceed,baller,mega,btc
iter18_cv_split5,edit,margin,bimpress,altcoin,mankind,btc,need,mega,baller,myspac
iter19_cv_split1,bimpress,edit,wake,fk,ask,btc,gent,myspac,smoke,block
iter19_cv_split2,bimpress,proceed,need,btc,ask,fk,ih,adjust,mega,baller
iter19_cv_split3,myspac,need,discount,tether,ask,hold,edit,altcoin,analyst,proceed
iter19_cv_split4,edit,need,tether,baller,mega,probabl,myspac,btc,analyst,abov
iter19_cv_split5,need,bimpress,proceed,tether,edit,mankind,margin,baller,mega,futur
iter20_cv_split1,edit,bimpress,myspac,need,fk,proceed,abov,away,adjust,discount
iter20_cv_split2,bimpress,proceed,tether,margin,altcoin,need,chart,btc,ask,sure
iter20_cv_split3,bimpress,ask,mega,baller,gent,myspac,wake,analyst,tether,btc
iter20_cv_split4,edit,altcoin,margin,need,gent,btc,tether,smoke,block,myspac
iter20_cv_split5,need,mankind,baller,mega,bimpress,edit,wake,ih,probabl,presal
iter21_cv_split1,need,mega,baller,altcoin,mankind,tether,margin,discount,edit,presal
iter21_cv_split2,edit,bimpress,hold,need,proceed,run,discount,tether,ask,margin
iter21_cv_split3,bimpress,edit,smoke,myspac,fk,chart,mega,baller,bear,ask
iter21_cv_split4,futur,need,analyst,edit,mankind,ask,btc,smoke,smellyalat,pay
iter21_cv_split5,tether,wake,margin,bimpress,sure,discount,need,altcoin,mega,baller
iter22_cv_split1,bimpress,gent,baller,mega,proceed,wake,fk,tether,margin,need
iter22_cv_split2,need,bimpress,analyst,edit,fk,myspac,mega,baller,probabl,smellyalat
iter22_cv_split3,altcoin,bimpress,margin,myspac,fk,head,adjust,block,chart,btc
iter22_cv_split4,need,sure,edit,margin,tether,futur,altcoin,proceed,smoke,btc
iter22_cv_split5,need,tether,baller,mega,ask,proceed,edit,btc,wake,gent
iter23_cv_split1,edit,bimpress,proceed,gent,adjust,peopl,myspac,mega,baller,exit
iter23_cv_split2,edit,bimpress,need,fk,altcoin,tether,margin,ask,smoke,adjust
iter23_cv_split3,need,ask,mega,baller,mankind,myspac,smellyalat,want,analyst,proceed
iter23_cv_split4,bimpress,edit,gent,need,btc,fk,sure,tether,ih,probabl
iter23_cv_split5,need,ask,mega,baller,tether,btc,mankind,myspac,proceed,analyst
iter24_cv_split1,need,tether,wake,ask,ih,mega,baller,gent,presal,possibl
iter24_cv_split2,bimpress,need,btc,edit,baller,mega,tether,proceed,discount,fk
iter24_cv_split3,edit,gent,tether,need,baller,mega,run,bimpress,chart,myspac
iter24_cv_split4,edit,bimpress,myspac,altcoin,margin,trader,gent,btc,fk,wake
iter24_cv_split5,bimpress,margin,altcoin,need,proceed,ask,fk,mankind,smellyalat,btc
iter25_cv_split1,edit,need,sure,btc,tether,discount,altcoin,away,ema,gent
