,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.6451612903225806,0.6451612903225806,0.9986338797814208,0.6475409836065574,11,22,10,0,103,17,0,17,6,167,0,0,0,474,0,0,1,90
iter1_cv_split2,0.639344262295082,0.644808743169399,0.9972789115646259,0.6476190476190476,0,42,0,0,109,9,0,15,8,168,0,0,0,476,0,0,2,89
iter1_cv_split3,0.546448087431694,0.644808743169399,0.9972789115646259,0.6476190476190476,0,42,0,1,97,20,0,20,3,168,0,0,0,476,0,0,2,89
iter1_cv_split4,0.6010928961748634,0.6502732240437158,0.9972789115646259,0.6462585034013606,0,29,12,0,99,20,0,12,11,169,0,0,0,475,0,0,2,89
iter1_cv_split5,0.5846994535519126,0.6502732240437158,0.998639455782313,0.6462585034013606,0,30,12,2,100,17,0,15,7,168,0,0,0,475,0,0,1,91
iter2_cv_split1,0.5860215053763441,0.6451612903225806,0.9986338797814208,0.6475409836065574,0,33,10,0,99,21,0,13,10,167,0,0,0,474,0,0,1,90
iter2_cv_split2,0.5846994535519126,0.644808743169399,0.998639455782313,0.6476190476190476,0,33,9,0,101,17,0,17,6,168,0,0,0,476,0,0,1,90
iter2_cv_split3,0.6229508196721312,0.644808743169399,0.9972789115646259,0.6476190476190476,0,42,0,0,106,12,0,15,8,168,0,0,0,476,0,0,2,89
iter2_cv_split4,0.5628415300546448,0.6502732240437158,0.9972789115646259,0.6462585034013606,0,41,0,0,97,22,0,17,6,169,0,0,0,475,0,0,2,89
iter2_cv_split5,0.5081967213114754,0.6502732240437158,0.9972789115646259,0.6462585034013606,0,31,11,3,85,31,0,14,8,168,0,0,0,475,0,0,2,90
iter3_cv_split1,0.5591397849462365,0.6451612903225806,0.9986338797814208,0.6475409836065574,0,43,0,0,97,23,0,16,7,167,0,0,0,474,0,0,1,90
iter3_cv_split2,0.6666666666666666,0.644808743169399,0.9972789115646259,0.6476190476190476,0,23,19,0,111,7,0,12,11,168,0,0,0,476,0,0,2,89
