,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,denial,mustread,abc,calm,reach,sourc,hepat,credibl,cure,sold
iter1_cv_split2,denial,mustread,abc,calm,sold,sourc,credibl,cure,hepat,doe
iter1_cv_split3,mustread,denial,abc,sold,calm,hepat,cure,credibl,sourc,transfer
iter1_cv_split4,abc,calm,sold,lose,kind,doe,valu,appreci,reach,transfer
iter1_cv_split5,mustread,denial,holder,doe,sourc,cure,credibl,hepat,lose,valu
iter2_cv_split1,mustread,denial,valu,hepat,credibl,sourc,cure,lose,shitcoin,doe
iter2_cv_split2,mustread,denial,abc,calm,sold,lose,valu,holder,reach,appreci
iter2_cv_split3,lose,abc,calm,reach,satoshi,cure,hepat,credibl,sourc,sold
iter2_cv_split4,denial,mustread,abc,calm,credibl,cure,sourc,hepat,sold,doe
iter2_cv_split5,mustread,denial,holder,sold,calm,abc,doe,valu,cure,sourc
iter3_cv_split1,mustread,denial,abc,calm,sold,hepat,credibl,sourc,cure,holder
iter3_cv_split2,mustread,denial,abc,calm,sold,credibl,hepat,cure,sourc,doe
iter3_cv_split3,mustread,denial,holder,abc,calm,sold,credibl,hepat,cure,sourc
iter3_cv_split4,denial,mustread,lose,doe,valu,appreci,holder,massiv,sat,transfer
iter3_cv_split5,abc,calm,reach,lose,hepat,cure,sourc,credibl,sold,valu
iter4_cv_split1,mustread,denial,abc,sold,calm,lose,appreci,reach,valu,everi
iter4_cv_split2,mustread,denial,holder,abc,calm,valu,sold,lose,hepat,sourc
iter4_cv_split3,mustread,denial,valu,cure,sourc,credibl,hepat,sat,transfer,doe
iter4_cv_split4,abc,calm,sold,doe,hepat,credibl,cure,sourc,current,satoshi
iter4_cv_split5,denial,mustread,lose,abc,calm,reach,sold,sourc,cure,credibl
iter5_cv_split1,abc,calm,sold,cure,hepat,sourc,credibl,lose,appreci,reach
iter5_cv_split2,mustread,denial,abc,sold,calm,valu,holder,reach,doe,sat
iter5_cv_split3,denial,mustread,valu,cure,credibl,sourc,hepat,lose,appreci,scale
iter5_cv_split4,mustread,denial,holder,abc,calm,sold,valu,hepat,credibl,cure
iter5_cv_split5,denial,mustread,lose,abc,reach,calm,cure,hepat,credibl,sourc
iter6_cv_split1,denial,holder,mustread,sold,calm,abc,doe,lose,appreci,everi
iter6_cv_split2,denial,mustread,credibl,cure,hepat,sourc,lose,satoshi,valu,doe
iter6_cv_split3,mustread,denial,valu,abc,calm,lose,sold,sourc,hepat,credibl
iter6_cv_split4,denial,mustread,abc,calm,lose,valu,sold,sourc,hepat,cure
iter6_cv_split5,abc,calm,sold,current,valu,cure,hepat,credibl,sourc,doe
iter7_cv_split1,mustread,denial,doe,lose,calm,abc,sold,credibl,cure,sourc
iter7_cv_split2,mustread,denial,abc,calm,sold,reach,lose,appreci,holder,massiv
iter7_cv_split3,mustread,denial,doe,cure,hepat,credibl,sourc,valu,lose,holder
iter7_cv_split4,denial,mustread,holder,valu,abc,calm,sold,cure,sourc,hepat
iter7_cv_split5,abc,calm,sold,lose,hepat,sourc,credibl,cure,valu,doe
iter8_cv_split1,denial,mustread,doe,valu,cure,credibl,sourc,hepat,sat,holder
iter8_cv_split2,denial,mustread,calm,abc,reach,sold,valu,credibl,sourc,hepat
iter8_cv_split3,mustread,denial,calm,abc,sold,lose,credibl,cure,sourc,hepat
iter8_cv_split4,abc,calm,sold,appreci,cure,sourc,hepat,credibl,doe,lose
iter8_cv_split5,denial,mustread,holder,abc,calm,lose,sold,doe,valu,satoshi
iter9_cv_split1,abc,calm,sold,valu,cure,hepat,credibl,sourc,current,doe
iter9_cv_split2,denial,mustread,abc,calm,lose,sold,hepat,credibl,sourc,cure
iter9_cv_split3,mustread,denial,abc,sold,calm,lose,reach,everi,valu,appreci
iter9_cv_split4,mustread,denial,doe,abc,sold,calm,hepat,cure,credibl,sourc
iter9_cv_split5,mustread,denial,doe,lose,credibl,hepat,sourc,cure,valu,appreci
iter10_cv_split1,denial,mustread,doe,lose,hepat,credibl,cure,sourc,appreci,everi
iter10_cv_split2,abc,calm,sold,cure,hepat,credibl,sourc,lose,valu,doe
iter10_cv_split3,mustread,denial,abc,calm,sold,sourc,hepat,cure,credibl,holder
iter10_cv_split4,mustread,denial,holder,abc,calm,sold,doe,lose,valu,kind
iter10_cv_split5,denial,mustread,valu,abc,calm,sold,hepat,credibl,sourc,cure
iter11_cv_split1,denial,mustread,holder,sourc,cure,credibl,hepat,lose,appreci,sat
iter11_cv_split2,abc,calm,cure,hepat,credibl,sourc,valu,sold,lose,kind
iter11_cv_split3,mustread,denial,reach,calm,abc,valu,cure,credibl,hepat,sourc
iter11_cv_split4,denial,mustread,doe,lose,abc,calm,sold,cure,sourc,credibl
iter11_cv_split5,denial,mustread,abc,calm,sold,lose,valu,doe,reach,appreci
iter12_cv_split1,mustread,denial,abc,calm,sold,doe,sourc,hepat,cure,credibl
iter12_cv_split2,denial,mustread,valu,abc,calm,sourc,credibl,cure,hepat,sold
iter12_cv_split3,lose,price,appreci,doe,massiv,valu,sat,util,shitcoin,everi
iter12_cv_split4,denial,mustread,valu,abc,calm,sold,reach,lose,cure,hepat
iter12_cv_split5,denial,mustread,holder,calm,abc,lose,cure,hepat,credibl,sourc
iter13_cv_split1,mustread,denial,lose,valu,cure,hepat,sourc,credibl,transfer,appreci
