,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,close,time,bull,soon,huge,eye,spot,wave,breakout,list
iter1_cv_split2,dip,close,time,look,cloud,spot,div,absolut,huge,moar
iter1_cv_split3,dip,bull,close,cloud,huge,usc,moar,div,anon,bulljuic
iter1_cv_split4,dip,close,look,bull,love,huge,usc,eye,readi,dipbuy
iter1_cv_split5,close,look,bull,breakout,cloud,moar,soon,huge,cap,list
iter2_cv_split1,dip,close,usc,bull,cloud,time,div,look,moar,huge
iter2_cv_split2,close,look,dip,eye,cap,bull,soon,moar,cloud,breakout
iter2_cv_split3,close,spot,bull,look,love,huge,soon,markup,wave,gonna
iter2_cv_split4,dip,cloud,look,huge,soon,close,bull,time,rsi,enter
iter2_cv_split5,dip,close,huge,div,bull,cloud,eye,look,moar,enter
iter3_cv_split1,dip,close,cloud,bull,look,usc,moar,time,gonna,div
iter3_cv_split2,dip,close,breakout,huge,soon,cloud,look,cap,spot,usc
iter3_cv_split3,dip,close,bull,spot,alway,ico,soon,cloud,huge,time
iter3_cv_split4,close,bull,look,love,eye,spot,div,list,soon,huge
iter3_cv_split5,close,bull,usc,huge,dip,look,inevit,time,enter,absolut
iter4_cv_split1,close,bull,look,cloud,dip,breakout,eye,div,time,moar
iter4_cv_split2,dip,bull,soon,huge,close,cap,look,love,eye,alway
iter4_cv_split3,close,cloud,huge,usc,bull,time,look,breakout,eye,spot
iter4_cv_split4,close,dip,cloud,div,huge,gonna,look,bull,markup,anon
iter4_cv_split5,look,close,dip,spot,cloud,bull,usc,list,love,huge
iter5_cv_split1,bull,dip,cloud,close,ico,eye,look,huge,moar,spot
iter5_cv_split2,look,close,eye,dip,bull,div,moar,huge,breakout,alway
iter5_cv_split3,close,time,bull,dip,usc,cloud,huge,love,moar,soon
iter5_cv_split4,dip,close,spot,bull,list,absolut,huge,breakout,soon,div
iter5_cv_split5,dip,close,look,soon,bull,huge,breakout,usc,eye,rsi
iter6_cv_split1,close,dip,bull,eye,div,huge,soon,spot,gonna,look
iter6_cv_split2,look,dip,close,soon,huge,cloud,sit,moar,eye,bull
iter6_cv_split3,close,look,bull,cloud,time,spot,div,moar,usc,huge
iter6_cv_split4,dip,breakout,close,huge,cloud,bull,div,alway,usc,eye
iter6_cv_split5,dip,close,bull,usc,cloud,look,huge,moar,cap,breakout
iter7_cv_split1,close,dip,div,look,bull,huge,eye,time,spot,moar
iter7_cv_split2,close,usc,dip,bull,look,soon,moar,alway,huge,play
