,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,need,chart,ask,tether,ema,profit,peopl,realli,btc,away
iter1_cv_split2,need,ema,token,btc,chart,ask,proceed,probabl,tether,tweet
iter1_cv_split3,need,chart,bitcoin,year,cryptocurr,exit,clear,group,presal,tweet
iter1_cv_split4,need,bitcoin,ask,trader,discount,order,futur,btc,chart,feel
iter1_cv_split5,need,tether,bcash,studi,bear,btc,away,ema,decent,day
iter2_cv_split1,need,chart,bitcoin,twitter,away,cryptocurr,sentiment,discount,ask,trader
iter2_cv_split2,need,chart,presal,btc,mankind,tweet,probabl,discount,trader,ema
iter2_cv_split3,need,ema,ask,btc,trader,away,bear,bcash,profit,tether
iter2_cv_split4,need,ask,chart,work,profit,discount,block,trader,edit,order
iter2_cv_split5,need,ask,futur,thank,ema,cryptocurr,proceed,away,user,abov
iter3_cv_split1,need,order,bitcoin,futur,trader,think,ema,profit,probabl,bitconnect
iter3_cv_split2,chart,need,cryptocurr,trader,probabl,ask,presal,work,clear,group
iter3_cv_split3,need,chart,peopl,new,ask,want,twitter,trader,possibl,discount
iter3_cv_split4,need,ask,cryptocurr,work,bcash,proceed,ema,distribut,presal,btc
iter3_cv_split5,need,trader,token,away,discount,ask,twitter,chart,bitcoin,bear
iter4_cv_split1,need,cryptocurr,new,bitconnect,sure,bcash,btc,ema,proceed,chart
iter4_cv_split2,need,probabl,ask,don,stop,know,group,btc,work,realli
iter4_cv_split3,need,ask,chart,btc,ema,tether,let,sentiment,person,stay
iter4_cv_split4,need,ask,chart,trader,futur,ema,token,presal,possibl,cryptocurr
iter4_cv_split5,need,chart,away,order,ema,bitcoin,profit,trader,discount,tether
iter5_cv_split1,need,tether,cryptocurr,discount,chart,ask,trader,nice,profit,bcash
iter5_cv_split2,need,ask,trader,bitcoin,bcash,btc,bitconnect,work,presal,probabl
iter5_cv_split3,need,ema,chart,btc,stop,pamp,token,segwit,bear,bcash
iter5_cv_split4,need,hold,bitcoin,btc,chart,ask,stop,ema,cryptocurr,sure
iter5_cv_split5,need,ask,trader,profit,new,chart,sentiment,probabl,cryptocurr,baller
iter6_cv_split1,btc,need,ask,probabl,ema,bitcoin,bcash,mankind,chart,trader
iter6_cv_split2,need,ask,discount,cryptocurr,chart,probabl,work,tether,away,profit
iter6_cv_split3,need,ask,tether,ema,possibl,exit,trader,work,token,tweet
iter6_cv_split4,need,sentiment,new,ask,probabl,ema,tether,trader,clear,sure
iter6_cv_split5,need,chart,discount,bitcoin,away,day,ask,ema,bcash,presal
iter7_cv_split1,need,ask,tether,new,bcash,realli,btc,exit,tweet,profit
iter7_cv_split2,bitcoin,discount,need,ask,hold,chart,work,token,know,perform
iter7_cv_split3,need,possibl,ask,chart,ema,trader,token,year,bigger,profit
iter7_cv_split4,need,chart,trader,ask,mankind,ema,cryptocurr,block,insid,free
iter7_cv_split5,need,chart,btc,work,tether,onli,trader,bcash,think,ema
iter8_cv_split1,need,chart,trader,bitcoin,possibl,away,profit,ask,token,tweet
iter8_cv_split2,ask,bitcoin,need,chart,ema,thank,btc,work,sure,trader
iter8_cv_split3,need,ask,probabl,chart,trader,ema,btc,user,profit,feel
iter8_cv_split4,need,presal,cryptocurr,baller,mega,away,roger,trader,distribut,chart
iter8_cv_split5,need,hold,ask,cryptocurr,discount,chart,bitcoin,trader,tether,ema
iter9_cv_split1,need,presal,tweet,probabl,work,ask,trader,proceed,btc,cryptocurr
iter9_cv_split2,need,chart,ema,tether,away,trader,possibl,bcash,ask,cryptocurr
iter9_cv_split3,need,ask,bitcoin,presal,profit,edit,btc,free,tether,token
iter9_cv_split4,bitcoin,discount,want,need,chart,btc,ask,leverag,futur,away
iter9_cv_split5,need,chart,ask,btc,tether,ema,token,trader,realli,think
iter10_cv_split1,need,ask,chart,ema,tether,today,new,person,realli,stop
iter10_cv_split2,need,trader,profit,feel,block,btc,cryptocurr,everi,deliv,group
iter10_cv_split3,need,ask,day,thank,chart,cash,presal,work,ema,away
iter10_cv_split4,need,chart,futur,ask,proceed,ema,presal,discount,whi,work
iter10_cv_split5,need,btc,chart,order,trader,work,mankind,away,block,bitcoin
iter11_cv_split1,need,bitcoin,ask,chart,probabl,ema,potenti,mankind,work,btc
iter11_cv_split2,need,hold,chart,ema,thank,tether,trader,realli,ask,profit
iter11_cv_split3,need,ask,discount,trader,away,btc,probabl,long,presal,sentiment
iter11_cv_split4,need,ask,start,btc,trader,cryptocurr,possibl,profit,discount,ema
iter11_cv_split5,need,btc,presal,twitter,profit,bcash,ask,token,befor,chart
iter12_cv_split1,need,ask,chart,presal,year,probabl,work,bear,mankind,cryptocurr
iter12_cv_split2,need,ask,ema,chart,distribut,discount,presal,profit,work,trader
iter12_cv_split3,need,bcash,cryptocurr,tether,profit,ema,presal,ask,new,token
iter12_cv_split4,need,btc,real,ema,want,proceed,trader,possibl,leverag,order
iter12_cv_split5,need,chart,bitcoin,trader,bcash,twitter,token,order,futur,hold
iter13_cv_split1,need,realli,think,profit,ema,ask,away,trader,discount,know
iter13_cv_split2,need,chart,ask,hold,tether,proceed,profit,edit,btc,trader
iter13_cv_split3,need,bitcoin,bitconnect,group,probabl,trader,chart,edit,ask,pleas
iter13_cv_split4,ask,day,need,profit,chart,new,bitcoin,discount,bear,cash
iter13_cv_split5,btc,need,trader,bitcoin,futur,cryptocurr,ema,chart,baller,mega
iter14_cv_split1,bitcoin,need,fee,ask,discount,bear,bcash,trader,cryptocurr,user
iter14_cv_split2,need,btc,profit,ask,bcash,chart,tweet,work,cryptocurr,trader
iter14_cv_split3,need,peopl,chart,new,hold,ema,ask,away,cryptocurr,trader
iter14_cv_split4,need,btc,chart,discount,tether,proceed,ask,clear,know,mean
iter14_cv_split5,need,chart,ema,trader,accord,cash,perform,wait,token,work
iter15_cv_split1,need,possibl,ask,work,discount,bear,away,abov,probabl,roger
iter15_cv_split2,need,bitcoin,chart,presal,ema,cryptocurr,new,year,btc,trader
iter15_cv_split3,need,like,chart,ask,possibl,profit,probabl,lead,ema,bcash
iter15_cv_split4,need,trader,discount,chart,sure,tether,profit,cryptocurr,ask,work
iter15_cv_split5,need,ask,btc,ema,chart,day,profit,long,wake,accord
iter16_cv_split1,need,ask,chart,trader,best,ih,bear,work,block,cryptocurr
iter16_cv_split2,need,chart,trader,new,presal,hold,profit,bitcoin,cryptocurr,sentiment
iter16_cv_split3,need,chart,ask,bcash,tether,profit,presal,ema,thank,cryptocurr
iter16_cv_split4,need,stop,probabl,discount,work,ask,order,trader,think,chart
iter16_cv_split5,need,btc,futur,mankind,profit,ema,trader,chart,bcash,cryptocurr
iter17_cv_split1,need,long,ask,bear,trader,ema,futur,chart,hold,wedg
iter17_cv_split2,need,discount,chart,ema,work,presal,away,user,cryptocurr,perform
iter17_cv_split3,need,ask,bitcoin,peopl,away,chart,twitter,mankind,ema,bcash
iter17_cv_split4,need,ask,possibl,new,trader,btc,chart,discount,bcash,perform
iter17_cv_split5,btc,need,chart,profit,trader,tether,ask,order,ema,cryptocurr
iter18_cv_split1,need,chart,new,hold,ask,twitter,away,btc,possibl,pleas
iter18_cv_split2,need,chart,trader,ask,futur,discount,cryptocurr,work,presal,whi
iter18_cv_split3,need,ask,bcash,btc,bitcoin,chart,trader,profit,tether,presal
iter18_cv_split4,need,trader,order,ask,deliv,think,baller,mega,token,bitcoin
iter18_cv_split5,need,ema,chart,trader,lead,distribut,order,come,profit,studi
iter19_cv_split1,need,stop,presal,ema,ask,tether,cryptocurr,bear,profit,bcash
iter19_cv_split2,need,ask,trader,ema,chart,btc,distribut,work,perform,discount
iter19_cv_split3,need,thank,chart,tether,ask,work,probabl,bitcoin,user,nice
iter19_cv_split4,need,chart,peopl,new,ask,possibl,ema,profit,trader,btc
iter19_cv_split5,discount,edit,chart,insid,order,ask,want,bitcoin,profit,realli
iter20_cv_split1,need,chart,ema,ask,peopl,bitcoin,come,whi,trader,discount
iter20_cv_split2,need,stop,hold,ask,btc,profit,chart,futur,ema,realli
iter20_cv_split3,chart,need,ask,ema,tether,wedg,token,bcash,work,sentiment
iter20_cv_split4,trader,ask,btc,cryptocurr,presal,need,new,work,chart,bcash
iter20_cv_split5,need,trader,chart,work,profit,crypto,twitter,bcash,ask,order
iter21_cv_split1,need,chart,discount,new,ask,bcash,tether,perform,bear,analyst
iter21_cv_split2,need,trader,ask,chart,ema,everi,hold,probabl,cryptocurr,presal
iter21_cv_split3,btc,need,chart,presal,ema,think,day,cryptocurr,happi,possibl
iter21_cv_split4,need,chart,work,ask,btc,profit,futur,trader,discount,wedg
iter21_cv_split5,need,btc,bitcoin,group,tether,abov,presal,bcash,proceed,token
iter22_cv_split1,need,chart,trader,probabl,realli,ema,away,ask,profit,twitter
iter22_cv_split2,need,ask,trader,thank,profit,shit,chart,order,proceed,btc
iter22_cv_split3,bitcoin,need,futur,ema,presal,cash,fork,ask,chart,stop
iter22_cv_split4,need,btc,chart,possibl,ask,away,twitter,sure,discount,token
iter22_cv_split5,need,chart,ask,bitcoin,peopl,ema,discount,trader,btc,wedg
iter23_cv_split1,ask,btc,cryptocurr,discount,chart,ema,bitcoin,token,feel,tweet
iter23_cv_split2,need,ask,discount,trader,ema,baller,mega,work,possibl,want
