,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.6612903225806451,0.6451612903225806,0.9699453551912568,0.6475409836065574,0,43,0,1,118,1,0,18,5,167,0,0,0,474,0,0,22,69
iter1_cv_split2,0.6338797814207651,0.644808743169399,0.9741496598639455,0.6476190476190476,0,42,0,0,113,5,0,20,3,168,0,0,0,476,0,0,19,72
iter1_cv_split3,0.6229508196721312,0.644808743169399,0.9809523809523809,0.6476190476190476,0,33,9,5,110,3,0,19,4,168,0,0,0,476,0,0,14,77
iter1_cv_split4,0.6557377049180327,0.6502732240437158,0.9795918367346939,0.6462585034013606,0,41,0,0,117,2,0,20,3,169,0,0,0,475,0,0,15,76
iter1_cv_split5,0.639344262295082,0.6502732240437158,0.9795918367346939,0.6462585034013606,0,42,0,0,113,6,0,18,4,168,0,0,0,475,0,0,15,77
iter2_cv_split1,0.6451612903225806,0.6451612903225806,0.9808743169398907,0.6475409836065574,0,43,0,0,115,5,0,18,5,167,0,0,0,474,0,0,14,77
iter2_cv_split2,0.6557377049180327,0.644808743169399,0.9755102040816327,0.6476190476190476,0,42,0,0,115,3,0,18,5,168,0,0,0,476,0,0,18,73
iter2_cv_split3,0.7103825136612022,0.644808743169399,0.9795918367346939,0.6476190476190476,11,31,0,0,116,2,0,20,3,168,0,0,0,476,0,0,15,76
iter2_cv_split4,0.6284153005464481,0.6502732240437158,0.9700680272108844,0.6462585034013606,0,41,0,4,110,5,0,18,5,169,0,0,0,475,0,0,22,69
iter2_cv_split5,0.6338797814207651,0.6502732240437158,0.9768707482993197,0.6462585034013606,0,42,0,0,115,4,0,21,1,168,0,0,0,475,0,0,17,75
iter3_cv_split1,0.6559139784946236,0.6451612903225806,0.9726775956284153,0.6475409836065574,0,43,0,2,118,0,0,19,4,167,0,0,0,474,0,0,20,71
iter3_cv_split2,0.6338797814207651,0.644808743169399,0.9809523809523809,0.6476190476190476,0,42,0,0,114,4,0,21,2,168,0,0,0,476,0,0,14,77
iter3_cv_split3,0.6284153005464481,0.644808743169399,0.9795918367346939,0.6476190476190476,0,42,0,0,111,7,0,19,4,168,0,0,0,476,0,0,15,76
iter3_cv_split4,0.6502732240437158,0.6502732240437158,0.9755102040816327,0.6462585034013606,0,26,15,4,113,2,0,17,6,169,0,0,0,475,0,0,18,73
iter3_cv_split5,0.7595628415300546,0.6502732240437158,0.9727891156462585,0.6462585034013606,17,25,0,0,117,2,0,17,5,168,0,0,0,475,0,0,20,72
iter4_cv_split1,0.6290322580645161,0.6451612903225806,0.9808743169398907,0.6475409836065574,0,35,8,0,114,6,0,20,3,167,0,0,0,474,0,0,14,77
iter4_cv_split2,0.6939890710382514,0.644808743169399,0.9741496598639455,0.6476190476190476,13,29,0,0,111,7,0,20,3,168,0,0,0,476,0,0,19,72
iter4_cv_split3,0.6612021857923497,0.644808743169399,0.9755102040816327,0.6476190476190476,0,42,0,1,116,1,0,18,5,168,0,0,0,476,0,0,18,73
iter4_cv_split4,0.6010928961748634,0.6502732240437158,0.9823129251700681,0.6462585034013606,0,41,0,4,105,10,0,18,5,169,0,0,0,475,0,0,13,78
iter4_cv_split5,0.6338797814207651,0.6502732240437158,0.9727891156462585,0.6462585034013606,0,42,0,0,113,6,0,19,3,168,0,0,0,475,0,0,20,72
iter5_cv_split1,0.6451612903225806,0.6451612903225806,0.9795081967213115,0.6475409836065574,0,27,16,0,113,7,0,16,7,167,0,0,0,474,0,0,15,76
iter5_cv_split2,0.644808743169399,0.644808743169399,0.9714285714285714,0.6476190476190476,0,42,0,0,115,3,0,20,3,168,0,0,0,476,0,0,21,70
iter5_cv_split3,0.644808743169399,0.644808743169399,0.9809523809523809,0.6476190476190476,0,42,0,0,115,3,0,20,3,168,0,0,0,476,0,0,14,77
iter5_cv_split4,0.6721311475409836,0.6502732240437158,0.9782312925170068,0.6462585034013606,0,41,0,0,117,2,0,17,6,169,0,0,0,475,0,0,16,75
iter5_cv_split5,0.6229508196721312,0.6502732240437158,0.9727891156462585,0.6462585034013606,0,42,0,5,109,5,0,17,5,168,0,0,0,475,0,0,20,72
iter6_cv_split1,0.6236559139784946,0.6451612903225806,0.9781420765027322,0.6475409836065574,0,43,0,1,113,6,0,20,3,167,0,0,0,474,0,0,16,75
iter6_cv_split2,0.644808743169399,0.644808743169399,0.9741496598639455,0.6476190476190476,0,36,6,0,115,3,0,20,3,168,0,0,0,476,0,0,19,72
iter6_cv_split3,0.6557377049180327,0.644808743169399,0.9768707482993197,0.6476190476190476,0,32,10,0,116,2,0,19,4,168,0,0,0,476,0,0,17,74
iter6_cv_split4,0.639344262295082,0.6502732240437158,0.9823129251700681,0.6462585034013606,0,41,0,0,114,5,0,20,3,169,0,0,0,475,0,0,13,78
iter6_cv_split5,0.6284153005464481,0.6502732240437158,0.9741496598639455,0.6462585034013606,0,42,0,3,110,6,0,17,5,168,0,0,0,475,0,0,19,73
iter7_cv_split1,0.6290322580645161,0.6451612903225806,0.9795081967213115,0.6475409836065574,0,43,0,1,116,3,0,22,1,167,0,0,0,474,0,0,15,76
iter7_cv_split2,0.6284153005464481,0.644808743169399,0.9727891156462585,0.6476190476190476,0,42,0,0,110,8,0,18,5,168,0,0,0,476,0,0,20,71
iter7_cv_split3,0.6502732240437158,0.644808743169399,0.9768707482993197,0.6476190476190476,0,34,8,0,114,4,0,18,5,168,0,0,0,476,0,0,17,74
iter7_cv_split4,0.6557377049180327,0.6502732240437158,0.9782312925170068,0.6462585034013606,0,41,0,2,115,2,0,18,5,169,0,0,0,475,0,0,16,75
iter7_cv_split5,0.6557377049180327,0.6502732240437158,0.9795918367346939,0.6462585034013606,0,42,0,0,116,3,0,18,4,168,0,0,0,475,0,0,15,77
iter8_cv_split1,0.6344086021505376,0.6451612903225806,0.9781420765027322,0.6475409836065574,0,43,0,0,117,3,0,22,1,167,0,0,0,474,0,0,16,75
iter8_cv_split2,0.6338797814207651,0.644808743169399,0.9768707482993197,0.6476190476190476,0,29,13,0,112,6,0,19,4,168,0,0,0,476,0,0,17,74
iter8_cv_split3,0.6721311475409836,0.644808743169399,0.9782312925170068,0.6476190476190476,0,42,0,1,117,0,0,17,6,168,0,0,0,476,0,0,16,75
iter8_cv_split4,0.6010928961748634,0.6502732240437158,0.9768707482993197,0.6462585034013606,0,41,0,1,104,14,0,17,6,169,0,0,0,475,0,0,17,74
iter8_cv_split5,0.6502732240437158,0.6502732240437158,0.9782312925170068,0.6462585034013606,0,42,0,0,115,4,0,18,4,168,0,0,0,475,0,0,16,76
iter9_cv_split1,0.6505376344086021,0.6451612903225806,0.9726775956284153,0.6475409836065574,0,43,0,0,117,3,0,19,4,167,0,0,0,474,0,0,20,71
iter9_cv_split2,0.6502732240437158,0.644808743169399,0.9809523809523809,0.6476190476190476,0,42,0,0,115,3,0,19,4,168,0,0,0,476,0,0,14,77
iter9_cv_split3,0.6174863387978142,0.644808743169399,0.9755102040816327,0.6476190476190476,0,31,11,0,111,7,0,21,2,168,0,0,0,476,0,0,18,73
iter9_cv_split4,0.644808743169399,0.6502732240437158,0.9809523809523809,0.6462585034013606,0,41,0,0,115,4,0,20,3,169,0,0,0,475,0,0,14,77
iter9_cv_split5,0.6775956284153005,0.6502732240437158,0.9755102040816327,0.6462585034013606,0,42,0,0,119,0,0,17,5,168,0,0,0,475,0,0,18,74
iter10_cv_split1,0.6129032258064516,0.6451612903225806,0.9781420765027322,0.6475409836065574,0,43,0,0,110,10,0,19,4,167,0,0,0,474,0,0,16,75
iter10_cv_split2,0.6229508196721312,0.644808743169399,0.9741496598639455,0.6476190476190476,0,42,0,0,111,7,0,20,3,168,0,0,0,476,0,0,19,72
iter10_cv_split3,0.6502732240437158,0.644808743169399,0.9741496598639455,0.6476190476190476,0,42,0,0,117,1,0,21,2,168,0,0,0,476,0,0,19,72
iter10_cv_split4,0.5956284153005464,0.6502732240437158,0.9823129251700681,0.6462585034013606,0,28,13,6,102,11,0,16,7,169,0,0,0,475,0,0,13,78
iter10_cv_split5,0.6284153005464481,0.6502732240437158,0.9768707482993197,0.6462585034013606,0,42,0,2,111,6,0,18,4,168,0,0,0,475,0,0,17,75
iter11_cv_split1,0.6451612903225806,0.6451612903225806,0.9754098360655737,0.6475409836065574,0,43,0,0,118,2,0,21,2,167,0,0,0,474,0,0,18,73
iter11_cv_split2,0.6612021857923497,0.644808743169399,0.9768707482993197,0.6476190476190476,0,42,0,0,118,0,0,20,3,168,0,0,0,476,0,0,17,74
iter11_cv_split3,0.6284153005464481,0.644808743169399,0.9782312925170068,0.6476190476190476,0,42,0,0,111,7,0,19,4,168,0,0,0,476,0,0,16,75
iter11_cv_split4,0.6612021857923497,0.6502732240437158,0.9755102040816327,0.6462585034013606,0,41,0,0,115,4,0,17,6,169,0,0,0,475,0,0,18,73
iter11_cv_split5,0.644808743169399,0.6502732240437158,0.9768707482993197,0.6462585034013606,0,42,0,0,116,3,0,20,2,168,0,0,0,475,0,0,17,75
iter12_cv_split1,0.6236559139784946,0.6451612903225806,0.9754098360655737,0.6475409836065574,0,43,0,0,111,9,0,18,5,167,0,0,0,474,0,0,18,73
