,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,denial,mustread,doe,valu,current,abc,calm,sourc,cure,hepat
iter1_cv_split2,mustread,denial,sell,holder,sourc,hepat,cure,credibl,lose,valu
iter1_cv_split3,holder,denial,mustread,current,credibl,sourc,hepat,cure,valu,sell
iter1_cv_split4,denial,mustread,doe,valu,holder,current,credibl,hepat,sourc,cure
iter1_cv_split5,doe,lose,abc,calm,sold,reach,kind,transfer,scale,human
iter2_cv_split1,mustread,denial,doe,valu,calm,abc,sourc,cure,credibl,hepat
iter2_cv_split2,denial,mustread,doe,lose,sell,hepat,cure,credibl,sourc,holder
iter2_cv_split3,denial,mustread,holder,abc,sold,calm,reach,current,kind,doe
iter2_cv_split4,denial,mustread,doe,valu,current,sell,abc,calm,sold,reach
iter2_cv_split5,valu,current,hepat,credibl,sourc,cure,lose,transfer,doe,abc
iter3_cv_split1,doe,sell,valu,price,abc,calm,sold,hepat,credibl,sourc
iter3_cv_split2,denial,mustread,doe,holder,sell,abc,calm,sourc,cure,credibl
iter3_cv_split3,mustread,denial,valu,doe,current,cure,credibl,sourc,hepat,holder
iter3_cv_split4,mustread,denial,holder,valu,current,calm,abc,sell,lose,sold
iter3_cv_split5,mustread,denial,holder,abc,calm,sold,reach,lose,price,valu
iter4_cv_split1,mustread,denial,doe,valu,current,holder,abc,calm,reach,sold
iter4_cv_split2,abc,calm,sold,sell,reach,sourc,hepat,credibl,cure,current
iter4_cv_split3,mustread,denial,holder,doe,current,abc,calm,sold,kind,hepat
iter4_cv_split4,denial,mustread,valu,sell,abc,calm,sold,holder,reach,sourc
iter4_cv_split5,denial,mustread,doe,sell,lose,holder,credibl,hepat,sourc,cure
iter5_cv_split1,denial,mustread,valu,current,sell,abc,reach,calm,sold,credibl
iter5_cv_split2,doe,sell,cure,sourc,credibl,hepat,transfer,scale,appreci,lose
iter5_cv_split3,denial,mustread,doe,valu,abc,calm,current,sold,holder,cure
iter5_cv_split4,denial,mustread,abc,sold,calm,kind,reach,lose,valu,sell
iter5_cv_split5,denial,mustread,holder,doe,current,valu,calm,abc,sold,reach
iter6_cv_split1,sell,abc,calm,price,sold,reach,cure,hepat,credibl,sourc
iter6_cv_split2,denial,mustread,doe,valu,sell,hepat,sourc,credibl,cure,holder
iter6_cv_split3,mustread,denial,valu,current,doe,cure,credibl,sourc,hepat,holder
iter6_cv_split4,mustread,denial,doe,holder,lose,abc,calm,reach,kind,sold
iter6_cv_split5,mustread,denial,holder,valu,current,sourc,hepat,cure,credibl,abc
iter7_cv_split1,denial,mustread,holder,valu,current,hepat,sourc,cure,credibl,abc
iter7_cv_split2,denial,mustread,doe,sell,abc,sold,calm,holder,credibl,cure
iter7_cv_split3,denial,mustread,doe,valu,current,sell,cure,hepat,credibl,sourc
iter7_cv_split4,mustread,denial,sell,lose,calm,abc,sold,holder,cure,credibl
iter7_cv_split5,doe,valu,calm,abc,sold,current,reach,kind,lose,price
iter8_cv_split1,mustread,denial,doe,holder,sell,credibl,sourc,cure,hepat,transfer
iter8_cv_split2,denial,mustread,doe,valu,abc,calm,holder,current,sold,reach
iter8_cv_split3,sell,doe,valu,price,abc,calm,sold,reach,lose,cure
iter8_cv_split4,mustread,denial,holder,valu,current,lose,calm,abc,transfer,sold
iter8_cv_split5,denial,mustread,holder,hepat,sourc,cure,credibl,sell,current,calm
iter9_cv_split1,mustread,denial,doe,valu,holder,abc,calm,sold,credibl,cure
iter9_cv_split2,doe,current,sell,valu,calm,sold,abc,cure,hepat,credibl
iter9_cv_split3,mustread,denial,holder,lose,sourc,credibl,hepat,cure,sell,calm
iter9_cv_split4,mustread,denial,holder,current,credibl,cure,hepat,sourc,sell,valu
iter9_cv_split5,denial,mustread,doe,holder,abc,calm,reach,sold,lose,transfer
iter10_cv_split1,mustread,denial,abc,calm,holder,lose,sold,hepat,sourc,credibl
iter10_cv_split2,mustread,denial,doe,valu,holder,calm,abc,sold,reach,kind
iter10_cv_split3,denial,mustread,holder,sell,doe,abc,calm,sold,sourc,cure
iter10_cv_split4,holder,denial,mustread,doe,valu,lose,calm,abc,cure,hepat
iter10_cv_split5,doe,current,valu,sell,price,lose,hepat,cure,sourc,credibl
iter11_cv_split1,denial,mustread,doe,holder,hepat,cure,credibl,sourc,sell,valu
iter11_cv_split2,mustread,denial,lose,sell,calm,abc,holder,sold,reach,cure
iter11_cv_split3,denial,mustread,doe,current,valu,holder,lose,price,everi,resist
iter11_cv_split4,denial,mustread,doe,valu,current,hepat,sourc,cure,credibl,calm
iter11_cv_split5,valu,current,sell,sourc,hepat,cure,credibl,abc,calm,sold
iter12_cv_split1,denial,mustread,holder,doe,current,sell,hepat,sourc,cure,credibl
iter12_cv_split2,denial,mustread,holder,sell,cure,credibl,hepat,sourc,abc,sold
iter12_cv_split3,denial,mustread,doe,lose,calm,abc,sold,holder,reach,sell
iter12_cv_split4,doe,current,valu,calm,abc,lose,sourc,cure,credibl,hepat
iter12_cv_split5,denial,mustread,doe,valu,price,holder,transfer,lose,shitcoin,resist
iter13_cv_split1,sell,current,valu,credibl,cure,hepat,sourc,price,lose,transfer
iter13_cv_split2,denial,mustread,holder,abc,calm,sold,lose,reach,current,shitcoin
iter13_cv_split3,mustread,denial,doe,valu,abc,calm,sold,holder,sell,lose
iter13_cv_split4,mustread,denial,doe,current,valu,sold,calm,abc,sourc,credibl
iter13_cv_split5,denial,mustread,doe,holder,calm,abc,reach,credibl,hepat,sourc
iter14_cv_split1,denial,mustread,doe,holder,hepat,cure,credibl,sourc,abc,calm
iter14_cv_split2,mustread,denial,holder,lose,calm,abc,sold,reach,kind,shitcoin
iter14_cv_split3,mustread,denial,current,doe,valu,holder,cure,hepat,credibl,sourc
iter14_cv_split4,doe,valu,abc,reach,calm,sold,current,hepat,sourc,credibl
iter14_cv_split5,denial,mustread,holder,valu,current,sell,hepat,cure,sourc,credibl
iter15_cv_split1,denial,mustread,doe,holder,sell,lose,abc,sold,calm,reach
iter15_cv_split2,denial,mustread,valu,holder,current,cure,credibl,hepat,sourc,sell
iter15_cv_split3,denial,mustread,holder,cure,hepat,credibl,sourc,price,current,scale
iter15_cv_split4,mustread,denial,doe,sell,valu,calm,abc,holder,lose,sold
iter15_cv_split5,doe,current,valu,abc,calm,sold,reach,lose,kind,price
iter16_cv_split1,denial,mustread,sell,holder,abc,calm,valu,cure,credibl,hepat
iter16_cv_split2,denial,mustread,doe,holder,current,calm,abc,sourc,cure,credibl
iter16_cv_split3,current,abc,calm,valu,sold,reach,lose,kind,transfer,doe
iter16_cv_split4,mustread,denial,doe,valu,lose,current,holder,sell,hepat,credibl
iter16_cv_split5,denial,mustread,holder,doe,lose,abc,calm,sold,credibl,cure
iter17_cv_split1,mustread,denial,holder,abc,calm,lose,sold,reach,current,valu
iter17_cv_split2,mustread,denial,doe,valu,holder,current,sell,hepat,cure,sourc
iter17_cv_split3,current,doe,abc,sold,calm,cure,credibl,hepat,sourc,reach
iter17_cv_split4,mustread,denial,doe,holder,lose,calm,abc,cure,credibl,hepat
iter17_cv_split5,denial,mustread,doe,holder,sell,valu,calm,abc,reach,price
iter18_cv_split1,doe,lose,hepat,sourc,cure,credibl,sell,calm,sold,abc
iter18_cv_split2,denial,mustread,current,holder,hepat,sourc,credibl,cure,valu,lose
iter18_cv_split3,mustread,denial,doe,holder,valu,sell,abc,calm,sold,sourc
iter18_cv_split4,denial,mustread,holder,abc,calm,lose,reach,current,sold,price
iter18_cv_split5,mustread,denial,holder,valu,doe,current,abc,calm,sourc,hepat
iter19_cv_split1,sell,lose,sourc,cure,credibl,hepat,current,valu,price,scale
iter19_cv_split2,denial,mustread,holder,doe,sell,current,calm,abc,sold,sourc
iter19_cv_split3,mustread,denial,doe,holder,abc,sold,calm,lose,kind,reach
iter19_cv_split4,denial,mustread,valu,holder,sourc,cure,credibl,hepat,doe,calm
iter19_cv_split5,mustread,denial,doe,valu,current,holder,lose,abc,calm,sold
iter20_cv_split1,mustread,denial,valu,current,doe,lose,sourc,credibl,cure,hepat
