,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,bull,close,time,look,bullish,dip,div,rsi,huge,breakout
iter1_cv_split2,look,bull,close,volum,breakout,div,dip,soon,cloud,cap
iter1_cv_split3,bull,time,look,close,bullish,huge,invest,rsi,cloud,break
iter1_cv_split4,look,close,volum,cloud,bullish,wedg,dip,breakout,huge,updat
iter1_cv_split5,look,bull,time,close,dip,cloud,bullish,volum,rsi,div
iter2_cv_split1,bull,look,close,bullish,soon,breakout,div,cloud,rsi,turn
iter2_cv_split2,bull,look,time,close,rsi,div,huge,dip,soon,bullish
iter2_cv_split3,look,close,bull,dip,bullish,div,volum,huge,cloud,rsi
iter2_cv_split4,support,bull,look,close,breakout,dip,rsi,wedg,cloud,soon
iter2_cv_split5,bull,close,look,time,bullish,dip,good,breakout,cloud,day
iter3_cv_split1,bull,look,close,bullish,rsi,cloud,dip,updat,breakout,huge
iter3_cv_split2,look,time,close,bull,huge,breakout,div,dip,rsi,wedg
iter3_cv_split3,bull,look,support,close,div,dip,cloud,bullish,good,wedg
iter3_cv_split4,bull,look,time,close,huge,dip,volum,soon,breakout,bullish
iter3_cv_split5,bull,look,close,bullish,dip,div,rsi,target,breakout,day
iter4_cv_split1,bull,look,close,time,volum,rsi,cloud,huge,wedg,breakout
iter4_cv_split2,bull,time,look,close,bullish,dip,rsi,breakout,div,day
iter4_cv_split3,bull,time,close,soon,target,dip,breakout,rsi,div,come
iter4_cv_split4,bull,look,close,bullish,volum,huge,cloud,invest,updat,wedg
iter4_cv_split5,look,close,time,bull,cloud,bullish,dip,huge,soon,cap
iter5_cv_split1,bull,time,close,look,huge,cloud,rsi,soon,bullish,breakout
iter5_cv_split2,look,bull,close,dip,bullish,volum,invest,cloud,div,breakout
iter5_cv_split3,look,close,bull,support,bullish,rsi,volum,dip,broke,wedg
iter5_cv_split4,bull,look,close,dip,breakout,huge,div,break,updat,want
iter5_cv_split5,bull,time,close,look,breakout,rsi,bullish,div,cloud,soon
iter6_cv_split1,bull,time,close,look,bullish,wedg,cloud,soon,huge,div
iter6_cv_split2,look,bull,close,volum,cloud,bullish,broke,div,dip,huge
iter6_cv_split3,bull,time,look,close,cloud,rsi,volum,huge,long,dip
iter6_cv_split4,bull,time,look,close,dip,breakout,rsi,div,soon,love
iter6_cv_split5,look,bull,close,bullish,dip,breakout,rsi,div,cloud,wedg
iter7_cv_split1,close,bull,look,time,bullish,cloud,huge,breakout,rsi,div
iter7_cv_split2,bull,look,time,close,rsi,dip,div,breakout,bullish,cloud
iter7_cv_split3,bull,look,support,close,dip,day,long,rsi,wedg,bullish
iter7_cv_split4,look,bull,close,dip,huge,div,soon,cloud,wedg,bullish
iter7_cv_split5,bull,look,time,close,dip,volum,bullish,cloud,breakout,updat
iter8_cv_split1,bull,look,close,support,volum,dip,bullish,cloud,breakout,div
iter8_cv_split2,look,time,dip,close,volum,breakout,huge,bullish,week,cloud
iter8_cv_split3,bull,look,close,div,huge,good,bullish,dip,cap,updat
iter8_cv_split4,bull,look,support,close,dip,volum,rsi,broke,cloud,breakout
iter8_cv_split5,close,bull,time,look,rsi,bullish,breakout,day,huge,soon
iter9_cv_split1,bull,time,close,huge,dip,cloud,bullish,updat,soon,day
iter9_cv_split2,time,close,look,support,bull,cloud,rsi,huge,updat,bullish
iter9_cv_split3,bull,time,close,look,dip,breakout,bullish,div,wedg,rsi
iter9_cv_split4,bull,close,look,bullish,cloud,div,dip,rsi,hidden,big
iter9_cv_split5,look,bull,time,close,volum,huge,dip,bullish,breakout,div
iter10_cv_split1,bull,time,close,look,dip,bullish,cloud,breakout,soon,huge
iter10_cv_split2,bull,look,close,time,bullish,rsi,huge,breakout,div,break
iter10_cv_split3,bull,look,close,time,bullish,dip,volum,wedg,cloud,div
iter10_cv_split4,look,close,bull,dip,huge,cloud,soon,updat,div,break
iter10_cv_split5,bull,look,time,close,dip,div,rsi,bullish,volum,wedg
iter11_cv_split1,bull,close,time,dip,breakout,huge,wedg,div,rsi,run
iter11_cv_split2,look,bull,bullish,dip,close,soon,huge,cloud,invest,break
iter11_cv_split3,bull,look,time,close,volum,bullish,huge,breakout,div,long
iter11_cv_split4,look,bull,close,time,volum,cloud,breakout,bullish,div,rsi
iter11_cv_split5,bull,close,look,dip,bullish,rsi,div,cloud,soon,updat
iter12_cv_split1,bull,close,time,bullish,dip,volum,cloud,huge,soon,breakout
iter12_cv_split2,look,time,close,div,bullish,soon,invest,good,cloud,dip
iter12_cv_split3,bull,time,look,close,support,dip,breakout,huge,bullish,cloud
iter12_cv_split4,bull,close,look,time,volum,bullish,target,wedg,rsi,dip
iter12_cv_split5,bull,look,close,support,dip,div,rsi,broke,updat,huge
iter13_cv_split1,bull,time,look,breakout,dip,div,cloud,bullish,updat,close
iter13_cv_split2,bull,time,close,look,div,bullish,dip,long,rsi,breakout
iter13_cv_split3,look,support,bull,close,dip,huge,cloud,rsi,soon,good
iter13_cv_split4,look,close,time,bull,volum,bullish,huge,cloud,long,dip
iter13_cv_split5,bull,look,close,support,bullish,volum,cloud,rsi,dip,updat
iter14_cv_split1,look,close,bull,support,dip,huge,rsi,volum,bullish,cloud
iter14_cv_split2,bull,look,close,bullish,div,rsi,breakout,good,soon,flag
iter14_cv_split3,look,bull,close,volum,breakout,updat,cloud,huge,price,rsi
iter14_cv_split4,bull,close,look,dip,div,soon,breakout,long,volum,cloud
iter14_cv_split5,bull,look,time,close,support,dip,div,huge,bullish,broke
iter15_cv_split1,bull,look,time,close,dip,rsi,cloud,div,breakout,soon
iter15_cv_split2,look,bull,time,close,bullish,breakout,dip,updat,huge,good
iter15_cv_split3,bull,look,time,close,dip,bullish,volum,breakout,rsi,good
iter15_cv_split4,bull,close,look,div,huge,bullish,cloud,soon,day,cap
iter15_cv_split5,bull,look,close,bullish,div,huge,cloud,rsi,invest,long
iter16_cv_split1,look,bull,close,volum,rsi,dip,huge,div,soon,breakout
iter16_cv_split2,bull,time,look,close,support,bullish,dip,huge,breakout,wedg
iter16_cv_split3,bull,bullish,time,close,dip,cloud,soon,run,breakout,wedg
iter16_cv_split4,bull,look,close,cloud,breakout,rsi,div,huge,hidden,flag
iter16_cv_split5,bull,time,close,look,volum,bullish,breakout,dip,rsi,soon
iter17_cv_split1,bull,time,close,look,bullish,volum,invest,soon,div,week
iter17_cv_split2,bull,look,close,bullish,breakout,dip,cloud,updat,soon,good
iter17_cv_split3,look,bull,time,close,div,bullish,dip,huge,wedg,soon
iter17_cv_split4,bull,look,time,close,bullish,dip,cloud,wedg,broke,rsi
iter17_cv_split5,bull,look,close,rsi,cloud,huge,breakout,target,dip,day
iter18_cv_split1,bull,look,close,volum,div,breakout,soon,huge,cloud,eye
iter18_cv_split2,bull,look,time,close,cloud,rsi,wedg,updat,huge,soon
iter18_cv_split3,look,close,bull,time,cloud,bullish,dip,breakout,long,good
iter18_cv_split4,time,close,bull,dip,bullish,rsi,breakout,soon,huge,absolut
iter18_cv_split5,bull,look,support,bullish,close,div,breakout,dip,cloud,wedg
iter19_cv_split1,bull,look,close,cloud,huge,rsi,bullish,target,volum,invest
iter19_cv_split2,bull,close,look,dip,bullish,div,wedg,breakout,soon,run
iter19_cv_split3,look,bull,close,cloud,huge,dip,breakout,wedg,updat,good
iter19_cv_split4,look,bull,time,support,close,dip,volum,huge,div,rsi
iter19_cv_split5,bull,close,look,bullish,volum,dip,breakout,updat,rsi,div
iter20_cv_split1,bull,look,time,close,bullish,div,huge,dip,breakout,wedg
iter20_cv_split2,look,bull,close,huge,cloud,div,rsi,bullish,day,soon
iter20_cv_split3,close,look,dip,huge,div,cloud,way,ico,updat,wedg
iter20_cv_split4,bull,look,close,bullish,volum,breakout,dip,rsi,broke,soon
iter20_cv_split5,bull,time,look,close,dip,volum,rsi,bullish,breakout,cloud
iter21_cv_split1,bull,look,close,time,volum,dip,bullish,breakout,div,long
iter21_cv_split2,look,close,bull,dip,huge,bullish,good,target,cloud,rsi
iter21_cv_split3,bull,support,look,time,close,bullish,div,huge,dip,updat
iter21_cv_split4,look,time,bull,close,volum,bullish,rsi,div,soon,dip
iter21_cv_split5,bull,look,time,close,rsi,div,huge,cloud,breakout,bullish
iter22_cv_split1,bull,look,time,close,bullish,cloud,volum,good,div,huge
iter22_cv_split2,look,bull,support,close,bullish,breakout,good,rsi,dip,div
iter22_cv_split3,bull,close,look,dip,huge,div,breakout,rsi,volum,want
iter22_cv_split4,bull,close,time,look,bullish,cloud,soon,ico,target,invest
iter22_cv_split5,bull,look,time,close,dip,volum,huge,wedg,rsi,day
iter23_cv_split1,bull,look,close,support,dip,rsi,huge,div,bullish,cloud
iter23_cv_split2,bull,look,close,support,bullish,breakout,volum,huge,long,rsi
iter23_cv_split3,bull,look,close,time,bullish,cloud,breakout,rsi,cap,big
iter23_cv_split4,bull,look,time,close,dip,div,huge,rsi,soon,cloud
iter23_cv_split5,look,time,close,volum,dip,cloud,breakout,updat,div,day
iter24_cv_split1,bull,look,time,close,support,bullish,huge,volum,cloud,dip
iter24_cv_split2,bull,look,close,time,dip,div,bullish,soon,breakout,big
iter24_cv_split3,bull,look,close,time,bullish,rsi,cloud,target,dip,breakout
iter24_cv_split4,bull,look,close,bullish,volum,cloud,div,dip,breakout,updat
iter24_cv_split5,bull,look,dip,close,time,huge,div,updat,soon,cloud
iter25_cv_split1,look,bull,support,close,bullish,dip,rsi,broke,resist,exchang
iter25_cv_split2,bull,close,support,look,dip,rsi,bullish,cloud,huge,updat
iter25_cv_split3,look,bull,close,time,target,bullish,rsi,soon,volum,breakout
iter25_cv_split4,bull,close,look,dip,div,cloud,good,wedg,day,breakout
iter25_cv_split5,look,close,time,bull,bullish,dip,huge,breakout,cap,soon
iter26_cv_split1,time,bull,look,close,rsi,cloud,div,breakout,broke,good
iter26_cv_split2,bull,look,time,close,bullish,huge,updat,invest,div,breakout
iter26_cv_split3,bull,close,look,dip,breakout,volum,huge,rsi,cloud,bullish
iter26_cv_split4,look,bull,time,close,bullish,dip,cloud,div,cap,eye
iter26_cv_split5,bull,look,close,time,support,dip,cloud,bullish,soon,cap
iter27_cv_split1,bull,look,close,dip,breakout,div,rsi,soon,bullish,wedg
iter27_cv_split2,look,close,time,bull,dip,bullish,cloud,soon,cap,huge
iter27_cv_split3,look,bull,close,time,huge,wedg,cloud,dip,soon,div
iter27_cv_split4,time,bull,look,close,volum,dip,div,huge,bullish,good
iter27_cv_split5,bull,close,time,bullish,volum,breakout,huge,good,day,dip
iter28_cv_split1,bull,time,close,look,dip,rsi,cloud,div,volum,bullish
iter28_cv_split2,bull,look,close,time,bullish,breakout,div,huge,target,dip
iter28_cv_split3,bull,look,time,close,huge,volum,rsi,updat,wedg,day
iter28_cv_split4,bull,look,close,time,dip,bullish,div,updat,cloud,rsi
iter28_cv_split5,bull,look,support,close,breakout,bullish,cloud,volum,dip,huge
iter29_cv_split1,bull,close,dip,breakout,div,bullish,soon,cloud,wedg,run
iter29_cv_split2,look,bull,close,time,huge,cloud,bullish,dip,breakout,rsi
iter29_cv_split3,look,time,bull,close,bullish,huge,rsi,volum,div,dip
iter29_cv_split4,bull,look,close,time,rsi,volum,invest,breakout,bullish,good
iter29_cv_split5,close,look,support,bull,dip,huge,cloud,good,invest,div
iter30_cv_split1,time,look,bull,close,bullish,dip,rsi,cloud,div,huge
iter30_cv_split2,look,close,bull,support,dip,volum,breakout,bullish,cloud,div
iter30_cv_split3,bull,time,look,close,volum,bullish,div,huge,rsi,cloud
iter30_cv_split4,bull,close,breakout,cloud,dip,rsi,div,long,wedg,soon
iter30_cv_split5,look,bull,close,time,breakout,absolut,big,don,ico,soon
iter31_cv_split1,look,bull,close,support,dip,div,bullish,cloud,huge,updat
iter31_cv_split2,bull,look,time,close,market,bullish,invest,cloud,dip,breakout
iter31_cv_split3,look,bull,close,time,cloud,breakout,dip,rsi,bullish,long
iter31_cv_split4,bull,look,close,time,bullish,huge,rsi,div,soon,cloud
iter31_cv_split5,bull,look,close,volum,dip,div,wedg,breakout,good,huge
iter32_cv_split1,bull,time,look,close,bullish,huge,rsi,dip,div,cloud
iter32_cv_split2,bull,look,close,huge,bullish,good,div,cloud,rsi,run
iter32_cv_split3,look,bull,close,bullish,dip,breakout,rsi,huge,cloud,updat
iter32_cv_split4,close,time,bull,look,support,div,dip,cloud,bullish,wedg
iter32_cv_split5,look,bull,close,breakout,dip,wedg,retest,love,eye,soon
iter33_cv_split1,bull,time,support,look,close,rsi,dip,bullish,breakout,div
iter33_cv_split2,look,bull,close,dip,bullish,cloud,div,volum,day,good
iter33_cv_split3,bull,close,look,dip,broke,invest,breakout,bullish,huge,volum
iter33_cv_split4,bull,look,time,close,bullish,huge,cloud,soon,div,dip
iter33_cv_split5,look,bull,close,time,huge,cloud,breakout,rsi,div,dip
iter34_cv_split1,bull,time,look,close,bullish,div,breakout,wedg,invest,soon
iter34_cv_split2,bull,close,look,bullish,dip,div,rsi,wedg,cloud,breakout
iter34_cv_split3,close,support,look,bull,dip,cloud,huge,rsi,volum,good
iter34_cv_split4,look,time,bull,close,volum,bullish,dip,cloud,good,breakout
iter34_cv_split5,bull,look,close,time,div,rsi,huge,breakout,bullish,cap
iter35_cv_split1,bull,time,look,close,bullish,breakout,volum,soon,rsi,div
iter35_cv_split2,look,close,bull,support,cloud,huge,wedg,updat,resist,rsi
iter35_cv_split3,look,time,close,bull,volum,dip,cloud,bullish,huge,rsi
iter35_cv_split4,look,bull,time,close,dip,div,volum,huge,bullish,rsi
iter35_cv_split5,bull,look,close,bullish,dip,huge,breakout,good,div,updat
iter36_cv_split1,bull,look,time,close,div,dip,bullish,breakout,soon,huge
iter36_cv_split2,look,bull,close,bullish,cloud,updat,huge,breakout,rsi,retest
iter36_cv_split3,close,look,support,bull,volum,cloud,dip,time,updat,breakout
iter36_cv_split4,bull,close,look,dip,bullish,wedg,rsi,breakout,soon,huge
iter36_cv_split5,look,bull,time,close,dip,huge,bullish,rsi,soon,div
iter37_cv_split1,look,bull,close,volum,bullish,dip,div,huge,soon,cap
iter37_cv_split2,bull,support,look,close,huge,rsi,div,dip,day,good
iter37_cv_split3,look,bull,close,cloud,rsi,huge,updat,breakout,long,broke
iter37_cv_split4,look,bull,close,time,bullish,volum,cloud,dip,breakout,soon
iter37_cv_split5,bull,time,look,close,bullish,dip,volum,wedg,breakout,cloud
iter38_cv_split1,look,close,time,bull,volum,soon,huge,invest,breakout,cloud
iter38_cv_split2,bull,time,look,close,dip,div,cloud,bullish,rsi,soon
iter38_cv_split3,close,look,bullish,dip,breakout,invest,cloud,div,target,soon
iter38_cv_split4,bull,look,close,huge,dip,rsi,breakout,bullish,wedg,div
