,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,trade,bitcoin,amp,support,like,exchang,need,chart,gt,invest
iter1_cv_split2,trade,market,bitcoin,amp,stop,chart,best,long,coin,use
iter1_cv_split3,trade,amp,market,gt,hunter,best,long,day,need,profit
iter1_cv_split4,trade,amp,bitcoin,gt,new,exchang,time,stop,chart,like
iter1_cv_split5,trade,amp,market,profit,gt,long,best,price,need,stop
iter2_cv_split1,trade,amp,support,new,stop,long,like,need,coin,day
iter2_cv_split2,trade,bitcoin,amp,exchang,chart,profit,follow,like,gt,best
iter2_cv_split3,trade,amp,market,gt,exchang,best,chart,day,end,btc
iter2_cv_split4,trade,amp,market,time,need,invest,profit,stop,want,hunter
iter2_cv_split5,trade,bitcoin,amp,exchang,profit,chart,price,need,want,long
iter3_cv_split1,trade,amp,gt,best,chart,need,stop,time,exchang,week
iter3_cv_split2,trade,bitcoin,amp,like,market,order,week,need,gt,chart
iter3_cv_split3,trade,market,gt,amp,need,crypto,best,btc,tweet,long
iter3_cv_split4,gt,trade,market,amp,follow,exchang,stop,chart,segwit,invest
iter3_cv_split5,trade,bitcoin,amp,time,stop,long,like,exchang,profit,need
iter4_cv_split1,trade,market,stop,amp,price,profit,gt,long,exchang,want
iter4_cv_split2,trade,amp,bitcoin,need,like,exchang,coin,stop,long,chart
iter4_cv_split3,trade,gt,amp,bitcoin,market,need,best,like,don,segwit
iter4_cv_split4,trade,bitcoin,market,amp,chart,gt,exchang,like,follow,time
iter4_cv_split5,trade,amp,gt,market,coin,best,support,need,chart,profit
iter5_cv_split1,trade,amp,best,chart,need,btc,coin,exchang,stop,don
iter5_cv_split2,trade,amp,bitcoin,need,gt,market,like,coin,chart,week
iter5_cv_split3,trade,amp,time,exchang,long,market,profit,stop,order,end
iter5_cv_split4,trade,bitcoin,amp,like,support,day,gt,insid,time,exchang
iter5_cv_split5,trade,amp,bitcoin,stop,follow,long,profit,best,need,want
iter6_cv_split1,trade,market,amp,chart,stop,best,follow,long,invest,profit
iter6_cv_split2,trade,amp,market,bitcoin,support,like,gt,long,chart,stop
iter6_cv_split3,trade,gt,amp,market,coin,follow,exchang,stop,need,btc
iter6_cv_split4,trade,amp,bitcoin,gt,best,need,ask,think,exchang,long
iter6_cv_split5,trade,amp,market,need,time,best,chart,exchang,want,invest
iter7_cv_split1,trade,amp,need,gt,chart,coin,exchang,stop,ask,long
iter7_cv_split2,trade,amp,bitcoin,profit,like,exchang,need,long,stop,potenti
iter7_cv_split3,trade,bitcoin,amp,market,need,time,btc,new,best,profit
iter7_cv_split4,trade,bitcoin,amp,like,gt,profit,time,chart,long,support
iter7_cv_split5,trade,gt,market,amp,best,want,day,realli,exchang,coin
iter8_cv_split1,trade,like,market,amp,gt,week,chart,new,profit,day
iter8_cv_split2,trade,bitcoin,market,amp,need,exchang,btc,want,hunter,invest
iter8_cv_split3,trade,gt,amp,order,best,time,stop,long,mind,ani
iter8_cv_split4,trade,gt,bitcoin,amp,chart,exchang,profit,stop,best,like
iter8_cv_split5,trade,amp,need,gt,stop,coin,invest,realli,long,best
iter9_cv_split1,trade,bitcoin,amp,need,long,profit,invest,like,gt,chart
iter9_cv_split2,trade,bitcoin,market,amp,gt,need,like,exchang,best,follow
iter9_cv_split3,trade,amp,market,stop,need,order,exchang,long,chart,day
iter9_cv_split4,trade,amp,bitcoin,gt,exchang,stop,support,best,day,follow
iter9_cv_split5,trade,amp,market,profit,best,price,think,long,hunter,week
iter10_cv_split1,trade,amp,bitcoin,exchang,support,stop,like,gt,new,chart
iter10_cv_split2,trade,amp,bitcoin,like,need,exchang,long,fee,segwit,realli
iter10_cv_split3,trade,amp,market,stop,chart,long,btc,profit,invest,gt
iter10_cv_split4,trade,amp,gt,market,hunter,follow,time,best,stop,ago
iter10_cv_split5,trade,market,gt,amp,need,exchang,profit,realli,want,free
iter11_cv_split1,trade,bitcoin,amp,like,stop,exchang,market,profit,chart,long
iter11_cv_split2,trade,amp,exchang,chart,need,want,ago,setup,month,work
iter11_cv_split3,trade,gt,amp,need,want,coin,order,follow,think,chart
iter11_cv_split4,trade,market,amp,gt,support,profit,chart,minist,think,fee
iter11_cv_split5,trade,amp,bitcoin,time,best,need,coin,run,long,don
iter12_cv_split1,trade,bitcoin,market,gt,amp,like,long,profit,coin,chart
iter12_cv_split2,trade,gt,amp,market,best,need,exchang,order,chart,stop
iter12_cv_split3,trade,amp,long,profit,chart,want,follow,realli,ask,hunter
iter12_cv_split4,trade,bitcoin,amp,chart,follow,best,realli,exchang,stop,need
iter12_cv_split5,trade,bitcoin,market,amp,exchang,stop,like,time,need,chart
iter13_cv_split1,trade,bitcoin,amp,exchang,like,day,need,profit,btc,best
iter13_cv_split2,trade,amp,chart,gt,follow,best,btc,day,profit,exchang
iter13_cv_split3,trade,amp,bitcoin,hunter,stop,need,long,best,exchang,graph
iter13_cv_split4,trade,amp,best,market,exchang,profit,chart,need,week,gt
iter13_cv_split5,trade,amp,market,time,need,day,long,thank,coin,btc
iter14_cv_split1,trade,amp,time,gt,stop,long,best,coin,exchang,chart
iter14_cv_split2,trade,amp,bitcoin,new,like,market,best,invest,need,realli
iter14_cv_split3,trade,bitcoin,amp,gt,like,chart,time,exchang,need,btc
iter14_cv_split4,trade,amp,market,day,gt,coin,want,onli,follow,stop
iter14_cv_split5,trade,bitcoin,market,like,amp,chart,long,exchang,day,hunter
iter15_cv_split1,trade,amp,gt,insid,end,btc,day,best,chart,transact
iter15_cv_split2,trade,amp,bitcoin,best,like,want,thank,need,stop,chart
iter15_cv_split3,trade,bitcoin,amp,market,best,need,invest,new,exchang,want
iter15_cv_split4,trade,amp,need,market,time,chart,exchang,stop,long,want
iter15_cv_split5,trade,amp,gt,time,chart,need,mind,exchang,day,ask
iter16_cv_split1,trade,amp,market,coin,gt,want,order,chart,profit,best
iter16_cv_split2,trade,amp,profit,need,invest,stop,long,best,day,use
iter16_cv_split3,trade,market,bitcoin,amp,gt,don,like,need,new,follow
iter16_cv_split4,trade,amp,market,hunter,long,need,best,trader,time,stop
iter16_cv_split5,trade,amp,bitcoin,gt,like,exchang,stop,week,day,chart
iter17_cv_split1,trade,gt,amp,market,best,need,stop,chart,exchang,ani
iter17_cv_split2,trade,bitcoin,market,amp,follow,chart,day,invest,need,stop
iter17_cv_split3,trade,market,amp,exchang,gt,support,best,profit,day,need
iter17_cv_split4,trade,amp,stop,support,gt,like,new,best,exchang,need
iter17_cv_split5,trade,gt,market,amp,stop,long,chart,order,follow,best
iter18_cv_split1,trade,bitcoin,market,amp,gt,like,stop,best,new,profit
iter18_cv_split2,trade,amp,market,need,support,chart,best,long,profit,stop
iter18_cv_split3,trade,amp,market,week,chart,exchang,profit,best,end,need
iter18_cv_split4,trade,bitcoin,amp,market,coin,gt,like,exchang,best,need
iter18_cv_split5,trade,amp,chart,profit,best,exchang,gt,stop,time,follow
iter19_cv_split1,trade,amp,market,best,need,time,exchang,btc,day,chart
iter19_cv_split2,trade,bitcoin,amp,need,time,gt,like,week,invest,profit
iter19_cv_split3,trade,market,bitcoin,gt,amp,support,stop,follow,order,profit
iter19_cv_split4,trade,like,amp,gt,exchang,chart,best,stop,new,setup
iter19_cv_split5,trade,bitcoin,amp,need,chart,time,like,new,stop,ask
iter20_cv_split1,trade,bitcoin,amp,like,exchang,chart,need,coin,ask,hunter
iter20_cv_split2,trade,gt,amp,new,chart,time,exchang,best,need,follow
iter20_cv_split3,amp,trade,market,need,gt,chart,best,want,stop,exchang
iter20_cv_split4,trade,amp,market,like,time,want,best,chart,need,ago
iter20_cv_split5,trade,gt,amp,market,follow,exchang,support,profit,long,stop
iter21_cv_split1,trade,amp,market,best,gt,need,exchang,day,chart,trader
iter21_cv_split2,trade,bitcoin,amp,gt,exchang,new,time,stop,need,token
iter21_cv_split3,trade,bitcoin,market,amp,like,gt,exchang,best,follow,order
iter21_cv_split4,trade,amp,market,chart,long,stop,profit,best,coin,exchang
iter21_cv_split5,trade,bitcoin,amp,gt,market,long,need,profit,order,coin
iter22_cv_split1,trade,amp,support,need,chart,best,exchang,use,follow,twitter
iter22_cv_split2,trade,amp,market,time,gt,invest,coin,best,fee,need
iter22_cv_split3,trade,gt,amp,need,time,market,chart,follow,invest,stop
iter22_cv_split4,trade,amp,profit,best,chart,need,btc,stop,follow,crypto
iter22_cv_split5,trade,bitcoin,amp,market,long,best,gt,stop,exchang,new
iter23_cv_split1,trade,amp,market,chart,new,like,gt,price,stop,day
iter23_cv_split2,bitcoin,trade,market,amp,time,coin,gt,stop,need,best
iter23_cv_split3,trade,amp,gt,need,best,profit,think,exchang,pleas,want
iter23_cv_split4,trade,bitcoin,amp,like,need,best,profit,month,exchang,gt
iter23_cv_split5,trade,bitcoin,amp,stop,market,exchang,profit,onli,chart,need
iter24_cv_split1,trade,gt,market,amp,exchang,coin,btc,need,long,chart
iter24_cv_split2,trade,bitcoin,amp,chart,market,like,profit,hunter,mind,new
iter24_cv_split3,trade,market,amp,need,end,segwit,exchang,setup,fee,btc
iter24_cv_split4,trade,bitcoin,amp,profit,best,market,coin,like,chart,need
iter24_cv_split5,trade,gt,bitcoin,amp,stop,best,need,long,onli,exchang
iter25_cv_split1,trade,amp,bitcoin,gt,profit,stop,like,time,invest,order
iter25_cv_split2,trade,bitcoin,amp,market,need,best,stop,fee,follow,long
iter25_cv_split3,trade,bitcoin,amp,gt,market,need,best,profit,exchang,invest
iter25_cv_split4,trade,gt,amp,bitcoin,time,chart,new,need,stop,best
iter25_cv_split5,trade,bitcoin,amp,market,chart,exchang,profit,setup,need,follow
iter26_cv_split1,trade,amp,bitcoin,like,stop,chart,best,need,profit,insid
iter26_cv_split2,trade,amp,need,want,coin,support,gt,exchang,stop,day
iter26_cv_split3,trade,amp,market,time,profit,need,onli,want,day,realli
iter26_cv_split4,trade,amp,market,like,exchang,follow,gt,chart,invest,need
iter26_cv_split5,trade,amp,bitcoin,gt,like,best,long,exchang,stop,new
iter27_cv_split1,trade,bitcoin,amp,like,exchang,chart,time,stop,need,end
iter27_cv_split2,trade,amp,gt,support,order,profit,need,ani,onli,best
iter27_cv_split3,trade,amp,bitcoin,gt,like,stop,support,chart,profit,day
iter27_cv_split4,trade,market,amp,new,stop,gt,need,exchang,trader,best
iter27_cv_split5,trade,amp,need,market,profit,invest,gt,best,want,mind
iter28_cv_split1,trade,amp,market,like,best,new,need,stop,long,tweet
iter28_cv_split2,trade,amp,bitcoin,best,need,long,like,stop,chart,exchang
iter28_cv_split3,trade,bitcoin,chart,amp,best,exchang,need,coin,gt,ani
iter28_cv_split4,trade,market,amp,new,need,chart,week,exchang,btc,long
