,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.4946236559139785,0.6451612903225806,0.9713114754098361,0.6475409836065574,0,29,14,19,86,15,1,16,6,167,0,0,4,464,6,1,10,80
iter1_cv_split2,0.7103825136612022,0.644808743169399,0.963265306122449,0.6476190476190476,15,18,9,8,105,5,1,12,10,168,0,0,6,464,6,1,14,76
iter1_cv_split3,0.6010928961748634,0.644808743169399,0.9619047619047619,0.6476190476190476,0,42,0,7,102,9,1,14,8,168,0,0,6,465,5,1,16,74
iter1_cv_split4,0.5245901639344263,0.6502732240437158,0.9714285714285714,0.6462585034013606,0,41,0,3,87,29,0,14,9,169,0,0,3,465,7,1,10,80
iter1_cv_split5,0.6174863387978142,0.6502732240437158,0.964625850340136,0.6462585034013606,16,26,0,13,90,16,1,14,7,168,0,0,8,461,6,0,12,80
iter2_cv_split1,0.5645161290322581,0.6451612903225806,0.9685792349726776,0.6475409836065574,0,32,11,9,101,10,0,19,4,167,0,0,2,465,7,1,13,77
iter2_cv_split2,0.5628415300546448,0.644808743169399,0.9714285714285714,0.6476190476190476,12,30,0,17,82,19,0,14,9,168,0,0,5,469,2,1,13,77
iter2_cv_split3,0.5519125683060109,0.644808743169399,0.9591836734693877,0.6476190476190476,0,42,0,18,95,5,0,17,6,168,0,0,7,458,11,1,11,79
iter2_cv_split4,0.5573770491803278,0.6502732240437158,0.9619047619047619,0.6462585034013606,0,41,0,4,96,19,1,16,6,169,0,0,4,462,9,1,14,76
iter2_cv_split5,0.48633879781420764,0.6502732240437158,0.9605442176870749,0.6462585034013606,0,31,11,19,80,20,2,11,9,168,0,0,6,462,7,0,16,76
iter3_cv_split1,0.553763440860215,0.6451612903225806,0.9699453551912568,0.6475409836065574,0,43,0,9,98,13,0,18,5,167,0,0,4,465,5,1,12,78
iter3_cv_split2,0.6065573770491803,0.644808743169399,0.9687074829931973,0.6476190476190476,0,42,0,5,102,11,0,14,9,168,0,0,4,467,5,1,13,77
iter3_cv_split3,0.5628415300546448,0.644808743169399,0.9619047619047619,0.6476190476190476,13,18,11,20,81,17,0,14,9,168,0,0,5,464,7,0,16,75
iter3_cv_split4,0.5956284153005464,0.6502732240437158,0.963265306122449,0.6462585034013606,0,41,0,11,100,8,1,13,9,169,0,0,9,459,7,0,11,80
iter3_cv_split5,0.5956284153005464,0.6502732240437158,0.964625850340136,0.6462585034013606,0,25,17,10,103,6,0,16,6,168,0,0,8,462,5,1,12,79
iter4_cv_split1,0.521505376344086,0.6451612903225806,0.9685792349726776,0.6475409836065574,0,38,5,14,91,15,1,16,6,167,0,0,5,462,7,0,11,80
iter4_cv_split2,0.6010928961748634,0.644808743169399,0.9700680272108844,0.6476190476190476,0,42,0,8,104,6,0,17,6,168,0,0,7,468,1,1,13,77
iter4_cv_split3,0.5956284153005464,0.644808743169399,0.9755102040816327,0.6476190476190476,9,23,10,12,91,15,2,12,9,168,0,0,2,470,4,1,11,79
