,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,doe,sell,current,valu,peopl,price,market,tri,week,transfer
iter1_cv_split2,scale,sell,peopl,credit,support,play,resist,crisi,bankrupt,hors
iter1_cv_split3,current,scale,valu,shitcoin,bitcoin,new,unpreced,hors,doe,resist
iter1_cv_split4,doe,current,sell,peopl,valu,credit,week,scale,price,denial
iter1_cv_split5,doe,sell,bitcoin,resist,valu,transfer,censorship,team,peopl,like
iter2_cv_split1,doe,sell,current,valu,market,tri,transfer,bitcoin,credit,team
iter2_cv_split2,scale,sell,current,credit,tri,play,market,peopl,support,coin
iter2_cv_split3,doe,valu,resist,peopl,sell,bitcoin,bankrupt,financi,crisi,short
iter2_cv_split4,resist,bitcoin,valu,censorship,team,scale,current,lose,credit,like
iter2_cv_split5,doe,sell,resist,current,scale,support,tri,market,play,credit
iter3_cv_split1,bitcoin,resist,doe,sell,team,censorship,peopl,valu,like,current
iter3_cv_split2,valu,current,resist,transfer,doe,scale,coin,team,play,censorship
iter3_cv_split3,bitcoin,sell,team,censorship,resist,lose,credit,like,peopl,valu
iter3_cv_split4,doe,peopl,sell,resist,bitcoin,valu,financi,bankrupt,short,crisi
iter3_cv_split5,doe,sell,current,scale,peopl,support,play,valu,transfer,market
iter4_cv_split1,doe,resist,sell,scale,bitcoin,peopl,support,valu,unpreced,team
iter4_cv_split2,sell,doe,peopl,current,valu,market,tri,financi,week,short
iter4_cv_split3,financi,crisi,short,bankrupt,play,price,scale,coin,current,lose
iter4_cv_split4,scale,doe,peopl,sell,credit,current,coin,week,price,shitcoin
iter4_cv_split5,sell,bitcoin,doe,peopl,resist,valu,credit,hors,new,unpreced
iter5_cv_split1,doe,current,valu,bitcoin,resist,peopl,sell,new,hors,unpreced
iter5_cv_split2,doe,hors,unpreced,new,scale,transfer,support,credit,shitcoin,sell
iter5_cv_split3,sell,bitcoin,peopl,valu,resist,censorship,team,credit,week,scale
iter5_cv_split4,doe,sell,current,valu,coin,peopl,tri,resist,transfer,market
iter5_cv_split5,doe,sell,current,valu,scale,bankrupt,crisi,short,financi,resist
iter6_cv_split1,resist,bitcoin,credit,sell,peopl,week,tri,team,censorship,crisi
iter6_cv_split2,doe,valu,current,coin,price,lose,scale,sell,transfer,team
iter6_cv_split3,bitcoin,sell,resist,valu,doe,scale,team,peopl,lose,censorship
iter6_cv_split4,sell,doe,peopl,scale,new,hors,current,unpreced,shitcoin,credit
iter6_cv_split5,bitcoin,scale,valu,current,resist,doe,coin,sell,shitcoin,team
iter7_cv_split1,sell,resist,bitcoin,valu,current,peopl,censorship,doe,team,like
iter7_cv_split2,doe,peopl,sell,current,scale,shitcoin,coin,tri,market,new
iter7_cv_split3,doe,crisi,scale,coin,short,bankrupt,financi,play,credit,resist
iter7_cv_split4,doe,sell,current,peopl,valu,tri,resist,market,transfer,scale
iter7_cv_split5,sell,bitcoin,resist,peopl,censorship,team,valu,lose,like,scale
iter8_cv_split1,resist,valu,doe,current,transfer,sell,censorship,team,bitcoin,crisi
iter8_cv_split2,doe,scale,resist,bankrupt,coin,short,financi,crisi,support,play
iter8_cv_split3,resist,bitcoin,sell,peopl,credit,current,market,tri,short,financi
iter8_cv_split4,doe,current,sell,price,valu,bankrupt,crisi,financi,short,peopl
iter8_cv_split5,sell,doe,peopl,bitcoin,current,credit,valu,scale,hors,new
iter9_cv_split1,sell,doe,peopl,scale,support,play,current,coin,market,tri
iter9_cv_split2,doe,sell,valu,scale,current,financi,short,crisi,bankrupt,transfer
iter9_cv_split3,resist,scale,bitcoin,financi,short,crisi,support,bankrupt,valu,credit
iter9_cv_split4,doe,current,valu,transfer,sell,peopl,crisi,financi,bankrupt,short
iter9_cv_split5,sell,doe,scale,peopl,bitcoin,financi,hors,crisi,unpreced,short
iter10_cv_split1,doe,current,sell,valu,credit,resist,week,market,tri,transfer
iter10_cv_split2,sell,peopl,doe,scale,current,bankrupt,tri,financi,short,crisi
iter10_cv_split3,bitcoin,resist,lose,peopl,sell,doe,scale,team,censorship,like
iter10_cv_split4,bitcoin,resist,valu,censorship,team,current,like,lose,doe,shitcoin
iter10_cv_split5,sell,peopl,unpreced,bitcoin,scale,new,hors,price,shitcoin,resist
iter11_cv_split1,doe,current,valu,resist,support,play,scale,coin,price,credit
iter11_cv_split2,resist,bitcoin,sell,peopl,team,censorship,valu,scale,market,current
iter11_cv_split3,sell,doe,peopl,bitcoin,new,censorship,like,hors,unpreced,team
iter11_cv_split4,sell,valu,bitcoin,resist,scale,doe,current,transfer,price,bankrupt
iter11_cv_split5,sell,doe,peopl,unpreced,current,new,hors,market,tri,scale
iter12_cv_split1,sell,doe,peopl,support,hors,new,unpreced,price,shitcoin,current
iter12_cv_split2,resist,crisi,short,financi,bankrupt,scale,bitcoin,valu,doe,current
iter12_cv_split3,sell,peopl,scale,bitcoin,resist,censorship,team,market,tri,like
iter12_cv_split4,sell,doe,peopl,scale,current,valu,coin,resist,shitcoin,tri
iter12_cv_split5,doe,valu,current,resist,team,censorship,scale,lose,transfer,play
iter13_cv_split1,doe,sell,current,valu,peopl,week,credit,tri,market,resist
iter13_cv_split2,doe,current,valu,bitcoin,resist,scale,team,censorship,price,lose
iter13_cv_split3,sell,scale,peopl,market,tri,coin,credit,shitcoin,bankrupt,crisi
iter13_cv_split4,scale,bitcoin,valu,current,resist,doe,shitcoin,hors,coin,unpreced
iter13_cv_split5,sell,peopl,doe,bitcoin,scale,valu,week,resist,censorship,team
iter14_cv_split1,sell,peopl,bitcoin,resist,new,like,hors,doe,unpreced,censorship
iter14_cv_split2,resist,current,valu,play,support,scale,censorship,team,coin,lose
iter14_cv_split3,sell,doe,peopl,scale,market,current,tri,unpreced,new,hors
iter14_cv_split4,doe,sell,scale,peopl,resist,bitcoin,transfer,crisi,bankrupt,short
iter14_cv_split5,doe,scale,peopl,sell,credit,current,valu,week,crisi,financi
iter15_cv_split1,doe,peopl,sell,valu,current,bitcoin,week,transfer,team,resist
iter15_cv_split2,sell,scale,peopl,market,tri,credit,doe,current,week,coin
iter15_cv_split3,doe,valu,resist,censorship,team,financi,bankrupt,short,crisi,sell
iter15_cv_split4,current,valu,bitcoin,scale,unpreced,hors,new,resist,sell,price
iter15_cv_split5,sell,doe,peopl,bitcoin,scale,hors,new,unpreced,financi,crisi
iter16_cv_split1,doe,resist,sell,bitcoin,scale,peopl,transfer,censorship,team,credit
iter16_cv_split2,bitcoin,doe,resist,valu,sell,peopl,current,team,censorship,like
iter16_cv_split3,current,sell,price,doe,support,valu,play,tri,credit,cure
iter16_cv_split4,current,doe,scale,valu,price,resist,support,sell,bitcoin,hors
iter16_cv_split5,sell,peopl,scale,price,current,play,tri,crisi,market,short
iter17_cv_split1,doe,bitcoin,resist,bankrupt,crisi,financi,short,valu,lose,hors
iter17_cv_split2,sell,peopl,scale,hors,unpreced,new,credit,current,crisi,financi
iter17_cv_split3,doe,sell,financi,short,crisi,bankrupt,peopl,bitcoin,shitcoin,credit
iter17_cv_split4,doe,valu,current,price,resist,lose,transfer,bitcoin,team,censorship
