,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,undervalu,dot,gbytebtc,babi,septemb,later,right,let,turn,anticip
iter1_cv_split2,dot,posit,dip,month,em,babi,undervalu,gbytebtc,sunday,late
iter1_cv_split3,lil,hodl,cheap,watch,babi,mayb,anticip,level,escal,red
iter1_cv_split4,cheap,gbytebtc,vacat,undervalu,sunday,turn,right,level,anticip,escal
iter1_cv_split5,right,lil,anticip,cheap,babi,escal,undervalu,dot,abov,mil
iter2_cv_split1,cheap,hodl,month,gbytebtc,dot,later,right,red,sunday,em
iter2_cv_split2,babi,posit,undervalu,cheap,dot,sunday,escal,mil,let,later
iter2_cv_split3,watch,undervalu,lil,em,babi,right,turn,hodl,sunday,level
iter2_cv_split4,cheap,dot,undervalu,gbytebtc,anticip,septemb,babi,vacat,mayb,posit
iter2_cv_split5,anticip,lil,cheap,babi,right,decent,close,cloud,dot,mil
iter3_cv_split1,dot,cheap,undervalu,babi,later,sunday,red,anticip,em,escal
iter3_cv_split2,lil,cheap,month,undervalu,posit,babi,dot,anticip,level,gbytebtc
iter3_cv_split3,gbytebtc,cheap,watch,lil,undervalu,hodl,sunday,let,right,dot
iter3_cv_split4,right,high,lil,anticip,hodl,gbytebtc,babi,escal,level,later
iter3_cv_split5,right,babi,undervalu,lil,cheap,escal,dot,septemb,vacat,triangl
iter4_cv_split1,lil,dot,babi,undervalu,sunday,level,escal,red,vacat,later
iter4_cv_split2,cheap,right,dot,undervalu,hodl,lil,gbytebtc,anticip,high,vacat
iter4_cv_split3,cheap,right,undervalu,babi,escal,septemb,red,anticip,uptrend,mayb
iter4_cv_split4,cheap,undervalu,babi,dot,anticip,later,lowcap,lil,sunday,escal
iter4_cv_split5,right,gbytebtc,lil,dot,level,em,anticip,escal,abov,blue
iter5_cv_split1,red,month,hodl,dot,undervalu,vacat,anticip,escal,territori,bought
iter5_cv_split2,watch,babi,undervalu,lil,right,anticip,sunday,dot,cloud,escal
iter5_cv_split3,cheap,right,undervalu,anticip,dot,lil,sunday,mil,escal,hold
