,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,worth,investor,daili,real,fakeout,everybodi,finish,power,rent,job
iter1_cv_split2,ascend,ethereum,guess,crawl,need,billion,launch,quick,job,rent
iter1_cv_split3,need,attent,usd,goe,investor,pretti,revers,launch,new,target
iter1_cv_split4,worth,launch,marketcap,fli,sideway,ascend,job,rent,ethereum,guess
iter1_cv_split5,worth,marketcap,happend,coin,need,billion,far,avail,touch,test
iter2_cv_split1,worth,investor,need,attent,coin,fli,everybodi,launch,ethereum,guess
iter2_cv_split2,sideway,need,worth,investor,usd,ethereum,guess,target,suppli,rent
iter2_cv_split3,marketcap,new,goe,onli,mani,ethereum,rent,job,boom,target
iter2_cv_split4,launch,worth,coin,need,goe,entri,prior,happend,daili,ascend
iter2_cv_split5,worth,suppli,total,attent,stay,rent,job,qwark,doesn,care
iter3_cv_split1,attent,scenario,worth,prior,late,daili,need,realli,way,becom
iter3_cv_split2,worth,coin,boom,investor,usd,pretti,new,ascend,goe,like
iter3_cv_split3,launch,ethereum,guess,fli,prior,new,purpl,stay,usd,real
iter3_cv_split4,worth,entri,need,scenario,job,rent,happend,crawl,marketcap,goe
iter3_cv_split5,worth,need,bag,space,sideway,ethereum,guess,far,billion,suppli
iter4_cv_split1,worth,entri,sideway,launch,boom,ascend,perform,happend,like,come
iter4_cv_split2,worth,prior,total,attent,investor,daili,purpl,mani,stay,new
iter4_cv_split3,worth,scenario,boom,coin,daili,fli,alway,mani,rent,job
iter4_cv_split4,investor,ethereum,guess,billion,bag,stong,new,marketcap,job,rent
iter4_cv_split5,worth,coin,guess,ethereum,purpl,anoth,usd,chain,crawl,billion
iter5_cv_split1,ethereum,guess,worth,billion,happend,ascend,joke,finish,goe,mani
iter5_cv_split2,ascend,prior,surpass,sideway,investor,launch,rent,job,doesn,care
iter5_cv_split3,worth,entri,need,fli,guess,ethereum,purpl,quick,late,attent
iter5_cv_split4,usd,scenario,investor,boom,purpl,billion,coin,worth,realli,pretti
iter5_cv_split5,worth,launch,attent,daili,pretti,billion,goe,plutus,investor,someth
iter6_cv_split1,worth,ascend,launch,sideway,perform,marketcap,alway,happend,avail,becom
iter6_cv_split2,worth,usd,investor,total,mani,job,rent,suppli,longer,attent
iter6_cv_split3,worth,guess,ethereum,space,revers,purpl,onli,mani,job,rent
iter6_cv_split4,new,usd,coin,need,ethereum,guess,like,billion,boom,plutus
iter6_cv_split5,worth,investor,boom,alway,new,add,marketcap,plutus,goe,onli
iter7_cv_split1,worth,billion,ascend,investor,entri,launch,need,usd,rent,job
iter7_cv_split2,worth,new,investor,launch,marketcap,scenario,come,bag,entri,ethereum
iter7_cv_split3,worth,ethereum,guess,sideway,coin,need,usd,fli,launch,avail
iter7_cv_split4,crawl,entri,investor,billion,joke,attent,launch,need,new,coin
iter7_cv_split5,worth,prior,job,rent,onli,qwark,doesn,care,ascend,goe
iter8_cv_split1,worth,fli,coin,marketcap,crawl,perform,billion,target,goe,ascend
iter8_cv_split2,launch,ethereum,guess,need,marketcap,realli,attent,revers,investor,goe
iter8_cv_split3,daili,launch,new,job,rent,mani,attent,purpl,project,suppli
iter8_cv_split4,worth,prior,need,ethereum,sideway,attent,guess,year,marketcap,investor
iter8_cv_split5,entri,worth,boom,investor,rent,job,onli,ethereum,mani,billion
iter9_cv_split1,ascend,sideway,scenario,daili,guess,ethereum,interest,worth,investor,care
iter9_cv_split2,launch,worth,investor,marketcap,rent,job,longer,ascend,new,alway
iter9_cv_split3,worth,marketcap,pretti,usd,ethereum,billion,add,sideway,guess,target
iter9_cv_split4,worth,boom,purpl,investor,daili,attent,job,rent,launch,add
iter9_cv_split5,attent,launch,alway,goe,new,job,rent,mani,marketcap,prior
iter10_cv_split1,need,happend,marketcap,purpl,daili,usd,scenario,goe,year,rent
iter10_cv_split2,worth,sideway,need,ethereum,guess,coin,scenario,target,thing,investor
iter10_cv_split3,worth,total,launch,usd,rent,job,coin,suppli,new,prior
iter10_cv_split4,worth,marketcap,launch,investor,add,space,ascend,daili,ethereum,pretti
iter10_cv_split5,worth,ascend,guess,ethereum,sideway,job,rent,boom,investor,realli
iter11_cv_split1,fli,need,guess,ethereum,mani,happend,marketcap,billion,job,rent
iter11_cv_split2,worth,entri,boom,investor,marketcap,coin,daili,sideway,rent,job
iter11_cv_split3,worth,usd,need,ethereum,guess,perform,anoth,ascend,crawl,new
iter11_cv_split4,worth,total,daili,coin,launch,investor,goe,attent,purpl,guess
iter11_cv_split5,worth,suppli,launch,check,qwark,care,doesn,revers,crawl,sideway
iter12_cv_split1,worth,total,usd,avail,investor,perform,ascend,goe,scenario,need
iter12_cv_split2,worth,sideway,alway,ascend,billion,goe,investor,usd,prior,new
iter12_cv_split3,marketcap,ethereum,guess,job,rent,mani,stong,purpl,investor,onli
iter12_cv_split4,worth,launch,stay,need,ethereum,new,job,rent,anoth,onli
iter12_cv_split5,launch,ethereum,goe,guess,marketcap,happend,far,suppli,new,target
iter13_cv_split1,worth,launch,need,far,usd,onli,attent,sideway,roadmap,prior
iter13_cv_split2,worth,sideway,investor,purpl,job,rent,ethereum,stong,scenario,entri
iter13_cv_split3,worth,new,launch,continu,happend,someth,billion,ascend,guess,ethereum
iter13_cv_split4,worth,investor,billion,stay,usd,stong,power,everybodi,finish,scenario
iter13_cv_split5,attent,alway,need,launch,ethereum,add,guess,year,entri,goe
iter14_cv_split1,investor,new,alway,sideway,entri,goe,job,rent,crawl,billion
iter14_cv_split2,worth,ascend,entri,mani,launch,interest,quick,job,rent,touch
iter14_cv_split3,worth,launch,resist,ethereum,guess,billion,coin,joke,target,perform
iter14_cv_split4,worth,investor,rent,job,onli,usd,daili,marketcap,boom,mani
iter14_cv_split5,attent,worth,need,marketcap,usd,coin,like,happend,year,ethereum
iter15_cv_split1,usd,purpl,total,ascend,revers,retest,touch,rent,job,suppli
iter15_cv_split2,worth,investor,pretti,ethereum,guess,launch,attent,suppli,rent,job
iter15_cv_split3,worth,new,year,marketcap,bag,coin,prior,purpl,pretti,target
iter15_cv_split4,worth,come,launch,attent,ethereum,need,ascend,guess,marketcap,scenario
iter15_cv_split5,need,launch,stay,guess,ethereum,entri,coin,worth,happend,investor
iter16_cv_split1,worth,entri,ethereum,guess,launch,job,rent,sideway,bag,mani
iter16_cv_split2,worth,launch,usd,billion,mani,need,everybodi,power,finish,entri
iter16_cv_split3,guess,ethereum,ascend,prior,attent,fli,worth,marketcap,pretti,entri
iter16_cv_split4,sideway,attent,total,come,investor,stong,new,usd,daili,couldn
iter16_cv_split5,worth,far,coin,purpl,rent,job,boom,pretti,everybodi,power
iter17_cv_split1,worth,billion,marketcap,ethereum,guess,launch,need,happend,scenario,year
iter17_cv_split2,worth,investor,usd,goe,ascend,scenario,prior,bag,purpl,start
iter17_cv_split3,worth,far,boom,attent,ethereum,interest,crawl,pretti,guess,job
iter17_cv_split4,sideway,need,rent,job,attent,launch,marketcap,ethereum,space,billion
iter17_cv_split5,entri,fli,marketcap,investor,launch,coin,stong,usd,goe,rent
iter18_cv_split1,worth,launch,alway,need,ethereum,guess,daili,onli,rent,job
iter18_cv_split2,ascend,ethereum,far,need,daili,guess,purpl,job,rent,btw
iter18_cv_split3,boom,worth,usd,investor,marketcap,new,sideway,mani,year,attent
iter18_cv_split4,launch,worth,marketcap,entri,goe,new,investor,coin,attent,ethereum
iter18_cv_split5,worth,guess,ethereum,entri,stong,marketcap,finish,billion,everybodi,power
iter19_cv_split1,new,investor,goe,total,attent,ethereum,guess,alway,suppli,launch
iter19_cv_split2,need,worth,ethereum,guess,billion,usd,attent,launch,happend,test
iter19_cv_split3,prior,launch,boom,billion,finish,alway,ethereum,purpl,someth,worth
iter19_cv_split4,worth,ethereum,guess,sideway,space,marketcap,investor,alway,avail,attent
iter19_cv_split5,worth,new,entri,attent,ascend,job,rent,start,launch,marketcap
iter20_cv_split1,worth,alway,launch,fli,marketcap,happend,someth,ascend,need,realli
iter20_cv_split2,guess,ethereum,alway,sideway,scenario,need,new,boom,worth,rent
iter20_cv_split3,worth,investor,entri,marketcap,purpl,stong,ethereum,billion,guess,finish
iter20_cv_split4,attent,far,ascend,launch,onli,daili,doesn,scenario,stong,care
iter20_cv_split5,worth,marketcap,attent,goe,coin,usd,year,need,rent,job
iter21_cv_split1,need,far,marketcap,ascend,ethereum,guess,investor,target,check,launch
iter21_cv_split2,launch,year,attent,new,investor,worth,marketcap,bag,someth,daili
iter21_cv_split3,worth,finish,total,interest,suppli,new,avail,add,ethereum,entri
iter21_cv_split4,worth,investor,year,alway,daili,ethereum,new,scenario,real,fakeout
iter21_cv_split5,worth,usd,coin,pretti,entri,onli,launch,rent,job,purpl
iter22_cv_split1,worth,fli,entri,revers,launch,retest,new,year,ascend,ethereum
iter22_cv_split2,need,ethereum,guess,like,job,rent,billion,joke,space,scenario
iter22_cv_split3,worth,sideway,stay,care,qwark,doesn,purpl,far,usd,touch
iter22_cv_split4,worth,come,ethereum,guess,coin,attent,job,rent,sideway,revers
iter22_cv_split5,launch,worth,ethereum,guess,alway,marketcap,need,prior,investor,readi
iter23_cv_split1,worth,total,bag,prior,suppli,purpl,pretti,job,rent,scenario
iter23_cv_split2,investor,marketcap,year,rent,job,ethereum,come,far,need,power
iter23_cv_split3,launch,billion,worth,happend,attent,onli,new,investor,stay,joke
iter23_cv_split4,worth,ethereum,guess,resist,pretti,launch,couldn,coin,alway,happend
iter23_cv_split5,purpl,billion,joke,attent,usd,launch,ethereum,perform,guess,new
iter24_cv_split1,worth,investor,boom,marketcap,rent,job,plutus,stong,billion,suppli
iter24_cv_split2,worth,guess,ethereum,alway,happend,interest,need,mani,year,goe
iter24_cv_split3,entri,attent,launch,need,usd,ethereum,guess,billion,happend,daili
iter24_cv_split4,sideway,worth,scenario,fli,alway,marketcap,finish,launch,ethereum,job
iter24_cv_split5,worth,purpl,ascend,new,investor,scenario,rent,job,care,doesn
iter25_cv_split1,worth,goe,marketcap,daili,plutus,alway,new,attent,suppli,sideway
iter25_cv_split2,marketcap,scenario,boom,coin,need,new,investor,attent,year,ethereum
iter25_cv_split3,entri,alway,worth,happend,mani,ethereum,billion,usd,guess,ascend
