,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,came,exit,escap,far,declin,pullback,hope,downtrend,accumul,price
iter1_cv_split2,exit,let,want,far,grab,hope,hamp,escap,decis,market
iter1_cv_split3,came,escap,point,pullback,journey,cap,total,accumul,paus,accumulatinggot
iter1_cv_split4,came,far,escap,exit,pullback,grab,accumul,continu,hamp,hope
iter1_cv_split5,came,escap,pullback,exit,grab,declin,accumul,market,break,hamp
iter2_cv_split1,came,exit,pullback,declin,escap,grab,accumul,far,hope,downtrend
iter2_cv_split2,came,escap,pullback,exit,far,declin,journey,market,confirm,break
iter2_cv_split3,came,want,exit,far,grab,hope,market,paus,probabl,journey
iter2_cv_split4,escap,far,pullback,grab,cap,hope,journey,accumul,point,accumulatinggot
iter2_cv_split5,came,escap,exit,far,pullback,accumul,hope,hamp,paus,grab
iter3_cv_split1,escap,exit,pullback,far,decis,declin,hope,grab,paus,accumulatinggot
iter3_cv_split2,came,escap,exit,far,grab,point,declin,pullback,break,accumul
iter3_cv_split3,came,far,escap,exit,pullback,hope,level,journey,continu,paus
iter3_cv_split4,came,exit,let,accumul,overbought,want,hamp,far,journey,decis
iter3_cv_split5,came,escap,pullback,grab,hope,journey,break,accumul,hamp,mayb
iter4_cv_split1,came,far,escap,accumul,grab,journey,declin,hamp,overbought,hope
iter4_cv_split2,came,exit,escap,declin,pullback,far,accumul,grab,downtrend,decis
iter4_cv_split3,came,escap,pullback,exit,journey,accumul,hamp,level,far,point
iter4_cv_split4,escap,pullback,exit,far,let,grab,declin,level,hope,journey
iter4_cv_split5,want,came,exit,hope,pullback,hamp,market,grab,let,continu
iter5_cv_split1,came,escap,far,exit,let,grab,littl,overbought,level,market
iter5_cv_split2,came,escap,exit,far,pullback,declin,accumulatinggot,shine,journey,grab
iter5_cv_split3,came,escap,pullback,far,accumul,break,price,exampl,point,shine
iter5_cv_split4,escap,exit,pullback,hope,market,grab,journey,total,shine,accumulatinggot
iter5_cv_split5,came,want,far,pullback,exit,grab,hamp,accumul,declin,market
iter6_cv_split1,came,want,far,exit,grab,accumul,paus,hope,let,market
iter6_cv_split2,came,exit,far,escap,pullback,decis,accumulatinggot,shine,journey,downtrend
iter6_cv_split3,came,escap,pullback,point,declin,let,hamp,journey,far,come
iter6_cv_split4,escap,far,exit,pullback,grab,declin,hope,continu,journey,accumul
iter6_cv_split5,came,escap,pullback,exit,grab,market,hope,accumul,littl,declin
iter7_cv_split1,came,escap,far,cap,grab,declin,accumul,pullback,continu,point
iter7_cv_split2,came,escap,exit,pullback,let,grab,continu,far,hamp,accumul
iter7_cv_split3,came,pullback,escap,exit,declin,far,accumul,journey,market,dip
iter7_cv_split4,came,want,exit,far,pullback,journey,hope,hamp,grab,paus
iter7_cv_split5,exit,escap,accumul,far,hope,littl,declin,grab,paus,downtrend
iter8_cv_split1,came,escap,exit,grab,accumul,paus,hamp,market,shine,accumulatinggot
iter8_cv_split2,escap,let,exit,far,market,pullback,grab,hope,continu,declin
iter8_cv_split3,came,far,escap,declin,pullback,downtrend,price,hamp,accumulatinggot,shine
iter8_cv_split4,came,exit,pullback,far,hope,let,grab,hamp,point,accumul
iter8_cv_split5,came,escap,pullback,exit,far,accumul,journey,mayb,total,point
iter9_cv_split1,came,exit,far,want,escap,journey,paus,enjoy,hamp,overbought
iter9_cv_split2,came,pullback,exit,escap,let,continu,declin,downtrend,littl,accumul
iter9_cv_split3,escap,far,exit,pullback,grab,continu,hope,accumul,hamp,accumulatinggot
iter9_cv_split4,came,escap,accumul,cap,pullback,total,declin,grab,exampl,hope
iter9_cv_split5,came,escap,far,pullback,exit,declin,level,hope,journey,grab
iter10_cv_split1,came,escap,pullback,exit,far,hope,market,decis,grab,break
iter10_cv_split2,came,exit,want,far,pullback,accumul,grab,hamp,mayb,declin
iter10_cv_split3,came,escap,exit,pullback,declin,journey,accumul,enjoy,point,decis
iter10_cv_split4,escap,exit,pullback,grab,continu,market,journey,hope,accumulatinggot,shine
iter10_cv_split5,came,far,escap,accumul,downtrend,declin,let,grab,price,journey
iter11_cv_split1,came,want,exit,far,pullback,let,hamp,paus,market,hope
iter11_cv_split2,exit,pullback,escap,far,hamp,littl,declin,continu,journey,accumulatinggot
iter11_cv_split3,came,escap,far,pullback,declin,grab,break,point,hope,continu
iter11_cv_split4,came,exit,escap,pullback,optimist,declin,hope,price,journey,enjoy
iter11_cv_split5,came,escap,exit,far,accumul,grab,hope,accumulatinggot,shine,journey
iter12_cv_split1,came,exit,pullback,far,optimist,want,escap,journey,level,declin
iter12_cv_split2,came,far,escap,pullback,accumul,want,grab,accumulatinggot,shine,total
iter12_cv_split3,escap,pullback,exit,far,point,grab,continu,hope,shine,accumulatinggot
iter12_cv_split4,came,escap,exit,far,pullback,accumul,declin,grab,hope,hamp
iter12_cv_split5,came,escap,exit,level,declin,break,journey,market,accumul,overbought
iter13_cv_split1,came,escap,pullback,accumul,declin,grab,hope,journey,enjoy,level
iter13_cv_split2,came,far,exit,pullback,hamp,let,grab,accumul,probabl,continu
iter13_cv_split3,came,far,exit,grab,escap,point,accumul,downtrend,journey,market
iter13_cv_split4,exit,escap,pullback,far,break,continu,journey,accumul,declin,optimist
iter13_cv_split5,came,escap,pullback,far,exit,grab,declin,hope,market,hamp
iter14_cv_split1,came,escap,exit,pullback,hope,declin,far,grab,let,accumul
iter14_cv_split2,came,escap,pullback,decis,far,journey,accumul,level,enjoy,accumulatinggot
iter14_cv_split3,came,far,exit,grab,probabl,let,accumul,journey,paus,hamp
iter14_cv_split4,came,escap,pullback,far,exit,littl,declin,market,grab,break
iter14_cv_split5,exit,pullback,escap,grab,hope,downtrend,market,mayb,hamp,cap
iter15_cv_split1,came,escap,declin,pullback,decis,far,accumul,journey,accumulatinggot,shine
iter15_cv_split2,came,want,hamp,pullback,exit,market,continu,accumul,grab,far
iter15_cv_split3,escap,exit,grab,far,declin,accumul,hope,market,shine,accumulatinggot
iter15_cv_split4,came,pullback,escap,exit,far,grab,declin,journey,level,market
iter15_cv_split5,came,exit,far,pullback,hope,escap,break,enjoy,journey,declin
iter16_cv_split1,came,exit,far,pullback,let,continu,grab,price,hamp,hope
iter16_cv_split2,exit,far,pullback,escap,break,declin,grab,hope,journey,downtrend
iter16_cv_split3,came,escap,far,exit,overbought,grab,hope,market,journey,paus
iter16_cv_split4,came,escap,exit,far,pullback,grab,price,paus,shine,accumulatinggot
iter16_cv_split5,came,escap,pullback,declin,break,hamp,accumul,journey,enjoy,cap
iter17_cv_split1,came,escap,far,market,exit,hope,grab,point,journey,accumul
iter17_cv_split2,came,exit,want,far,pullback,accumul,decis,declin,hope,accumulatinggot
iter17_cv_split3,escap,cap,accumul,pullback,hamp,continu,journey,shine,accumulatinggot,total
iter17_cv_split4,came,escap,far,exit,pullback,let,grab,declin,continu,journey
iter17_cv_split5,came,escap,far,pullback,exit,grab,hope,journey,accumul,market
iter18_cv_split1,came,pullback,escap,hamp,far,point,accumul,break,journey,dip
iter18_cv_split2,came,escap,exit,grab,optimist,hope,accumul,price,journey,market
iter18_cv_split3,escap,exit,far,pullback,declin,hope,cap,market,journey,decis
iter18_cv_split4,came,escap,pullback,far,exit,grab,declin,let,level,market
iter18_cv_split5,want,came,far,pullback,exit,let,grab,hope,accumul,mayb
iter19_cv_split1,came,exit,escap,pullback,declin,decis,downtrend,far,price,journey
iter19_cv_split2,came,escap,exit,pullback,hope,grab,accumul,journey,break,level
iter19_cv_split3,came,want,far,pullback,hamp,hope,grab,mayb,paus,optimist
iter19_cv_split4,escap,came,exit,let,far,journey,market,accumul,declin,grab
iter19_cv_split5,escap,far,pullback,exit,grab,declin,market,point,accumul,mayb
iter20_cv_split1,came,pullback,escap,far,exit,continu,grab,hope,journey,point
iter20_cv_split2,came,escap,exit,far,grab,break,mayb,hope,point,journey
iter20_cv_split3,came,want,far,exit,pullback,grab,accumul,let,journey,decent
iter20_cv_split4,came,escap,pullback,declin,level,journey,enjoy,shine,accumulatinggot,price
iter20_cv_split5,far,escap,pullback,exit,declin,hope,hamp,market,accumul,level
iter21_cv_split1,came,escap,exit,break,journey,hamp,market,price,paus,spot
iter21_cv_split2,came,want,pullback,exit,far,decis,journey,hope,market,grab
iter21_cv_split3,came,escap,exit,far,declin,hope,level,journey,enjoy,hamp
iter21_cv_split4,escap,far,exit,declin,pullback,let,grab,point,accumulatinggot,shine
iter21_cv_split5,came,far,escap,grab,pullback,declin,continu,level,accumulatinggot,shine
iter22_cv_split1,escap,exit,far,hope,pullback,grab,declin,level,break,mayb
iter22_cv_split2,came,escap,far,pullback,let,hope,journey,hamp,come,paus
iter22_cv_split3,came,exit,want,pullback,accumul,declin,journey,enjoy,paus,escap
iter22_cv_split4,came,escap,far,exit,grab,littl,market,overbought,declin,hope
iter22_cv_split5,came,exit,pullback,far,grab,escap,continu,accumul,point,journey
iter23_cv_split1,came,escap,exit,pullback,far,accumul,hope,journey,hamp,decis
iter23_cv_split2,came,exit,pullback,escap,level,declin,price,downtrend,continu,journey
iter23_cv_split3,escap,far,pullback,grab,hope,accumul,mayb,point,cap,hamp
iter23_cv_split4,came,escap,far,exit,grab,hope,market,break,overbought,accumul
iter23_cv_split5,came,want,far,exit,pullback,let,journey,point,hope,break
iter24_cv_split1,came,escap,exit,far,pullback,accumul,journey,decent,grab,decis
iter24_cv_split2,came,escap,exit,break,far,overbought,market,level,hamp,declin
iter24_cv_split3,escap,hope,far,declin,let,pullback,point,journey,grab,hamp
iter24_cv_split4,came,far,pullback,exit,grab,escap,accumulatinggot,shine,mayb,accumul
iter24_cv_split5,came,exit,want,pullback,accumul,grab,dip,hope,declin,littl
iter25_cv_split1,came,escap,far,grab,market,exit,hope,overbought,rsi,level
iter25_cv_split2,escap,exit,pullback,declin,journey,break,optimist,accumul,market,far
iter25_cv_split3,came,exit,escap,far,pullback,grab,journey,mayb,hope,accumulatinggot
iter25_cv_split4,escap,came,pullback,grab,journey,hope,enjoy,accumul,shine,accumulatinggot
iter25_cv_split5,came,want,far,pullback,exit,grab,let,journey,price,market
iter26_cv_split1,came,escap,exit,far,pullback,accumul,paus,repeat,decis,grab
iter26_cv_split2,came,escap,far,pullback,grab,hope,declin,cap,check,continu
iter26_cv_split3,exit,escap,far,break,grab,declin,hope,accumul,littl,journey
iter26_cv_split4,came,escap,exit,pullback,grab,hope,continu,journey,far,break
iter26_cv_split5,came,let,exit,pullback,want,declin,escap,far,point,level
iter27_cv_split1,came,escap,exit,pullback,optimist,hope,grab,far,point,declin
iter27_cv_split2,escap,pullback,exit,far,declin,continu,market,break,level,accumul
iter27_cv_split3,came,escap,exit,far,accumul,journey,break,grab,accumulatinggot,shine
iter27_cv_split4,came,want,pullback,far,journey,accumul,grab,littl,decis,price
iter27_cv_split5,came,let,escap,exit,grab,hope,downtrend,pullback,paus,journey
iter28_cv_split1,came,want,far,pullback,hope,accumul,grab,journey,continu,hamp
iter28_cv_split2,came,escap,exit,pullback,point,break,far,journey,market,continu
iter28_cv_split3,escap,exit,far,grab,hope,overbought,market,mayb,point,declin
iter28_cv_split4,came,escap,far,exit,pullback,let,accumul,grab,journey,price
iter28_cv_split5,came,escap,exit,pullback,declin,level,journey,grab,enjoy,hope
iter29_cv_split1,escap,exit,far,pullback,declin,grab,hamp,hope,accumul,mayb
iter29_cv_split2,came,escap,far,journey,break,paus,declin,overbought,littl,point
iter29_cv_split3,came,escap,hope,pullback,exit,grab,level,declin,market,break
iter29_cv_split4,came,far,pullback,exit,grab,let,hamp,accumul,hope,probabl
iter29_cv_split5,came,exit,escap,declin,accumul,far,grab,decis,downtrend,paus
iter30_cv_split1,came,escap,far,break,journey,decis,accumul,grab,hope,declin
iter30_cv_split2,came,escap,let,pullback,far,exit,grab,market,hope,accumul
iter30_cv_split3,escap,exit,pullback,declin,grab,hope,journey,enjoy,market,hamp
iter30_cv_split4,came,escap,exit,far,pullback,continu,littl,declin,journey,enjoy
iter30_cv_split5,came,want,pullback,far,exit,grab,accumul,point,hamp,shine
iter31_cv_split1,came,exit,escap,pullback,far,declin,accumul,hamp,decis,accumulatinggot
iter31_cv_split2,came,escap,far,exit,let,pullback,accumul,continu,hamp,hope
iter31_cv_split3,came,escap,hope,pullback,market,exit,grab,declin,continu,journey
iter31_cv_split4,came,want,exit,pullback,far,hamp,accumul,journey,continu,mayb
iter31_cv_split5,escap,grab,far,accumul,journey,hope,downtrend,break,shine,accumulatinggot
iter32_cv_split1,came,escap,exit,pullback,declin,journey,decis,point,enjoy,hamp
iter32_cv_split2,far,pullback,exit,grab,declin,escap,hope,market,journey,cap
iter32_cv_split3,came,escap,far,exit,grab,paus,accumul,hope,journey,level
iter32_cv_split4,came,escap,pullback,declin,grab,hamp,hope,dip,accumul,level
iter32_cv_split5,came,far,pullback,exit,let,accumul,grab,hope,journey,market
iter33_cv_split1,pullback,far,exit,hamp,let,hope,market,grab,continu,journey
iter33_cv_split2,came,far,pullback,exit,escap,hope,continu,declin,accumul,downtrend
iter33_cv_split3,came,escap,exit,far,accumul,grab,accumulatinggot,shine,journey,enjoy
iter33_cv_split4,came,escap,pullback,decis,price,far,journey,enjoy,accumulatinggot,shine
iter33_cv_split5,came,exit,escap,pullback,grab,level,declin,journey,accumul,break
iter34_cv_split1,escap,exit,far,grab,hope,break,market,journey,declin,accumul
iter34_cv_split2,came,exit,escap,far,pullback,point,grab,accumul,hope,journey
iter34_cv_split3,came,exit,escap,pullback,decis,downtrend,accumul,hamp,far,accumulatinggot
iter34_cv_split4,came,want,pullback,exit,market,grab,accumul,hamp,journey,continu
iter34_cv_split5,came,escap,far,pullback,hope,declin,journey,grab,point,break
iter35_cv_split1,escap,far,grab,hope,journey,overbought,point,cap,paus,total
iter35_cv_split2,came,escap,exit,far,declin,pullback,accumul,journey,dip,paus
iter35_cv_split3,came,want,exit,pullback,grab,break,accumul,enjoy,journey,far
iter35_cv_split4,came,escap,let,pullback,exit,declin,accumul,far,hamp,market
iter35_cv_split5,came,far,pullback,escap,exit,hope,accumul,market,continu,grab
iter36_cv_split1,came,exit,escap,grab,market,overbought,hamp,accumul,littl,want
iter36_cv_split2,came,escap,far,downtrend,pullback,declin,journey,enjoy,hope,hamp
iter36_cv_split3,want,far,pullback,exit,accumul,hope,journey,market,grab,hamp
iter36_cv_split4,came,exit,far,escap,pullback,declin,break,grab,hope,continu
iter36_cv_split5,came,escap,pullback,exit,let,far,continu,journey,accumul,dip
iter37_cv_split1,came,want,pullback,far,hamp,market,continu,accumul,exit,journey
iter37_cv_split2,escap,exit,let,pullback,declin,far,accumul,journey,continu,check
iter37_cv_split3,came,escap,far,grab,accumul,point,paus,hope,overbought,accumulatinggot
iter37_cv_split4,came,pullback,exit,far,declin,escap,level,grab,downtrend,hope
iter37_cv_split5,came,escap,exit,hope,pullback,declin,journey,enjoy,grab,paus
iter38_cv_split1,escap,exit,pullback,grab,declin,check,hope,accumul,journey,far
iter38_cv_split2,came,escap,pullback,far,declin,optimist,level,let,grab,continu
iter38_cv_split3,came,exit,far,downtrend,escap,price,hope,grab,journey,accumul
iter38_cv_split4,came,want,pullback,exit,point,journey,far,continu,confirm,probabl
iter38_cv_split5,came,far,escap,exit,grab,mayb,accumul,market,paus,journey
iter39_cv_split1,came,escap,far,exit,pullback,declin,hope,break,market,grab
iter39_cv_split2,came,escap,far,pullback,grab,hamp,journey,point,accumulatinggot,shine
iter39_cv_split3,want,exit,pullback,point,hamp,accumul,far,mayb,market,declin
iter39_cv_split4,came,escap,exit,far,pullback,littl,declin,accumul,decis,grab
iter39_cv_split5,came,escap,exit,grab,accumul,let,market,hope,declin,journey
iter40_cv_split1,came,exit,far,pullback,want,let,escap,grab,continu,hamp
iter40_cv_split2,came,escap,exit,declin,pullback,accumul,hope,journey,accumulatinggot,shine
iter40_cv_split3,escap,far,pullback,break,declin,littl,continu,hamp,accumul,optimist
iter40_cv_split4,came,escap,exit,market,far,hope,grab,decis,journey,accumul
iter40_cv_split5,came,exit,far,pullback,escap,grab,point,declin,level,downtrend
iter41_cv_split1,want,exit,far,grab,hope,probabl,market,mayb,journey,accumul
iter41_cv_split2,came,exit,escap,pullback,decis,declin,level,accumul,far,paus
iter41_cv_split3,came,escap,cap,pullback,far,total,littl,decis,journey,hope
iter41_cv_split4,came,exit,let,escap,grab,pullback,accumul,continu,downtrend,journey
iter41_cv_split5,came,escap,far,pullback,exit,price,journey,hope,grab,accumul
iter42_cv_split1,came,want,grab,pullback,declin,dip,escap,accumul,hamp,far
iter42_cv_split2,came,escap,far,exit,pullback,grab,hope,mayb,journey,market
iter42_cv_split3,came,exit,pullback,escap,hope,total,journey,far,market,downtrend
iter42_cv_split4,escap,exit,far,accumul,market,break,overbought,hamp,point,accumulatinggot
iter42_cv_split5,came,escap,exit,far,pullback,declin,accumul,journey,decis,enjoy
iter43_cv_split1,escap,exit,pullback,grab,hope,journey,continu,hamp,market,far
