,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,good,babi,bought,dip,anticip,befor,high,hodl,undervalu,st
iter1_cv_split2,high,septemb,anticip,level,dip,hodl,undervalu,later,good,watch
iter1_cv_split3,good,hodl,bullish,undervalu,st,cheap,anticip,babi,septemb,territori
iter1_cv_split4,high,babi,undervalu,anticip,later,bought,cheap,good,news,posit
iter1_cv_split5,high,undervalu,turn,good,st,hold,right,later,babi,bounc
iter2_cv_split1,level,high,undervalu,babi,hodl,dip,later,bullish,mil,posit
iter2_cv_split2,high,undervalu,anticip,good,imo,st,longterm,dip,later,turn
iter2_cv_split3,undervalu,anticip,high,good,bought,consolid,later,cheap,veri,guy
iter2_cv_split4,dip,good,turn,high,bought,babi,cheap,posit,final,imo
iter2_cv_split5,high,undervalu,babi,good,hodl,anticip,close,later,abov,downtrend
iter3_cv_split1,undervalu,good,later,cheap,abov,septemb,dip,turn,close,bought
iter3_cv_split2,anticip,babi,dip,high,good,cheap,undervalu,territori,bought,right
iter3_cv_split3,undervalu,high,level,bought,good,hodl,babi,watch,bullish,hold
iter3_cv_split4,high,anticip,good,later,hodl,watch,guy,territori,posit,bounc
iter3_cv_split5,high,undervalu,anticip,good,babi,turn,level,alreadi,imo,bought
iter4_cv_split1,hodl,undervalu,good,high,bounc,septemb,anticip,later,territori,posit
iter4_cv_split2,good,later,anticip,high,undervalu,posit,turn,bought,hold,consolid
iter4_cv_split3,high,anticip,cheap,hold,babi,imo,guy,good,st,time
iter4_cv_split4,high,undervalu,babi,later,bought,hold,good,cheap,imo,hodl
iter4_cv_split5,dip,undervalu,babi,anticip,good,bought,level,imo,cheap,guy
iter5_cv_split1,high,undervalu,turn,cheap,good,later,befor,septemb,anticip,alreadi
iter5_cv_split2,high,cheap,later,watch,hodl,bullish,good,babi,anticip,bought
iter5_cv_split3,high,undervalu,babi,anticip,hodl,good,mil,turn,cheap,later
iter5_cv_split4,undervalu,high,bought,hodl,right,good,imo,hold,posit,st
iter5_cv_split5,good,anticip,high,babi,dip,posit,hodl,territori,level,mil
iter6_cv_split1,high,good,dip,cheap,undervalu,babi,level,watch,territori,hodl
iter6_cv_split2,high,undervalu,good,befor,mil,dip,turn,anticip,cheap,bullish
iter6_cv_split3,st,anticip,good,posit,imo,turn,later,hodl,bounc,hold
iter6_cv_split4,high,undervalu,anticip,later,bought,good,babi,support,st,guy
iter6_cv_split5,undervalu,bought,anticip,imo,cheap,babi,hodl,good,territori,high
iter7_cv_split1,high,undervalu,hodl,babi,cheap,st,good,bought,posit,territori
iter7_cv_split2,anticip,level,imo,dip,turn,babi,undervalu,bounc,news,posit
iter7_cv_split3,high,good,cheap,bought,undervalu,st,anticip,hold,triangl,hodl
iter7_cv_split4,dip,good,high,later,anticip,alreadi,bounc,posit,triangl,territori
iter7_cv_split5,undervalu,good,babi,anticip,high,watch,alreadi,guy,cheap,befor
iter8_cv_split1,bought,high,babi,hodl,good,imo,st,mil,territori,alreadi
iter8_cv_split2,imo,anticip,high,hodl,cheap,later,hold,good,miss,let
iter8_cv_split3,undervalu,high,cheap,anticip,good,septemb,bought,imo,bullish,territori
