,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,becom,need,billion,updat,readi,usd,investor,research,ethereum,best
iter1_cv_split2,need,billion,alway,best,daili,climb,ascend,boom,becom,marketcap
iter1_cv_split3,ascend,new,great,worth,billion,investor,ethereum,interest,twitter,updat
iter1_cv_split4,new,bag,money,daili,interest,far,like,target,best,onli
iter1_cv_split5,usd,billion,sideway,daili,ethereum,target,becom,sayin,anoth,quick
iter2_cv_split1,ascend,billion,usd,becom,ethereum,daili,anoth,purpl,money,target
iter2_cv_split2,new,alway,bag,ascend,sideway,launch,worth,don,ethereum,doesn
iter2_cv_split3,ascend,amp,doesn,marketcap,investor,sideway,best,purpl,twitter,money
iter2_cv_split4,total,sideway,need,investor,becom,marketcap,bag,left,new,cap
iter2_cv_split5,billion,daili,best,ethereum,target,patienc,becom,updat,interest,money
iter3_cv_split1,need,becom,best,like,resist,start,project,onli,amp,alway
iter3_cv_split2,purpl,usd,bag,anoth,ethereum,need,marketcap,new,money,best
iter3_cv_split3,avail,onli,invest,money,interest,need,investor,market,twitter,real
iter3_cv_split4,entri,sideway,marketcap,scenario,daili,worth,new,everybodi,money,becom
iter3_cv_split5,worth,ethereum,marketcap,ascend,daili,usd,sideway,target,onli,someth
iter4_cv_split1,sideway,investor,onli,readi,daili,marketcap,coin,amp,patienc,year
iter4_cv_split2,worth,billion,interest,onli,new,project,updat,fli,becom,usd
iter4_cv_split3,worth,start,purpl,alt,new,doesn,billion,usd,daili,ascend
iter4_cv_split4,entri,target,purpl,money,daili,finish,sayin,doesn,becom,power
iter4_cv_split5,total,ascend,usd,purpl,bag,money,break,sideway,becom,daili
iter5_cv_split1,worth,sideway,bag,ascend,come,project,best,total,let,purpl
iter5_cv_split2,alway,daili,billion,usd,becom,like,purpl,money,wait,coin
iter5_cv_split3,worth,marketcap,start,purpl,entri,billion,sideway,need,daili,ascend
iter5_cv_split4,amp,daili,ethereum,new,marketcap,target,need,becom,interest,guess
iter5_cv_split5,billion,updat,investor,daili,fundament,purpl,worth,money,boom,avail
iter6_cv_split1,total,purpl,marketcap,onli,best,ascend,money,bag,alway,target
iter6_cv_split2,need,launch,purpl,worth,new,billion,everybodi,updat,ethereum,look
iter6_cv_split3,new,bag,amp,ethereum,alway,daili,doesn,need,care,qwark
iter6_cv_split4,worth,need,quick,investor,entri,usd,daili,becom,alt,sideway
iter6_cv_split5,ascend,worth,launch,investor,interest,readi,ethereum,daili,becom,usd
iter7_cv_split1,need,marketcap,new,ethereum,ascend,billion,invest,becom,guess,money
iter7_cv_split2,daili,ascend,market,money,becom,purpl,launch,onli,someth,retest
iter7_cv_split3,marketcap,coin,start,ethereum,anoth,boom,everybodi,becom,updat,scenario
iter7_cv_split4,billion,alway,interest,marketcap,alt,best,daili,sideway,new,target
iter7_cv_split5,bag,daili,purpl,invest,becom,usd,decis,alway,best,amp
iter8_cv_split1,launch,worth,onli,money,doesn,becom,research,anoth,purpl,need
iter8_cv_split2,purpl,like,daili,marketcap,worth,onli,money,new,becom,doesn
iter8_cv_split3,coin,marketcap,worth,alway,investor,like,usd,purpl,best,stay
iter8_cv_split4,readi,billion,becom,need,entri,usd,new,investor,launch,real
iter8_cv_split5,ascend,bag,sayin,best,twitter,billion,onli,alway,worth,price
iter9_cv_split1,usd,worth,daili,patienc,quick,total,sayin,break,scenario,stop
iter9_cv_split2,sayin,alway,worth,amp,alt,wait,updat,investor,doesn,purpl
iter9_cv_split3,alway,becom,billion,money,purpl,onli,great,avail,finish,use
iter9_cv_split4,sideway,bag,accumul,new,billion,money,daili,anoth,happend,scenario
iter9_cv_split5,worth,ascend,marketcap,need,ethereum,new,launch,target,entri,everybodi
iter10_cv_split1,worth,purpl,billion,usd,longer,onli,money,interest,need,becom
iter10_cv_split2,continu,soon,worth,alway,sideway,need,amp,invest,daili,best
iter10_cv_split3,marketcap,anoth,daili,usd,fundament,new,ethereum,purpl,everybodi,updat
iter10_cv_split4,bag,new,ascend,money,sideway,marketcap,entri,ethereum,best,late
iter10_cv_split5,break,ascend,onli,interest,becom,sideway,total,target,marketcap,daili
iter11_cv_split1,ascend,sideway,cap,usd,launch,investor,break,project,daili,best
iter11_cv_split2,worth,ethereum,interest,money,purpl,wait,scenario,marketcap,target,billion
iter11_cv_split3,daili,strong,soon,updat,money,anoth,becom,purpl,real,project
iter11_cv_split4,like,amp,daili,ascend,onli,patienc,use,coin,twitter,stay
iter11_cv_split5,alway,interest,new,purpl,quick,worth,need,best,onli,marketcap
iter12_cv_split1,total,purpl,marketcap,ascend,bag,sayin,usd,daili,worth,someth
iter12_cv_split2,worth,alway,ascend,sideway,new,money,billion,marketcap,becom,launch
iter12_cv_split3,daili,target,billion,fli,becom,retest,use,launch,entri,ethereum
iter12_cv_split4,becom,new,everybodi,ascend,worth,purpl,usd,anoth,billion,money
iter12_cv_split5,bag,ascend,new,target,worth,happend,sideway,ethereum,sayin,quick
iter13_cv_split1,start,purpl,launch,research,prior,updat,investor,becom,invest,quick
iter13_cv_split2,new,ethereum,target,interest,daili,alt,money,readi,gt,purpl
