,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.5906432748538012,0.6374269005847953,0.9486049926578561,0.6372980910425844,0,28,7,3,94,12,2,18,7,143,0,0,0,433,1,1,33,70
iter1_cv_split2,0.6549707602339181,0.6374269005847953,0.9456681350954479,0.6372980910425844,9,22,5,0,100,9,2,21,3,142,0,0,2,432,0,1,34,70
iter1_cv_split3,0.7368421052631579,0.6374269005847953,0.9456681350954479,0.6372980910425844,22,14,0,4,103,2,0,25,1,142,0,0,0,434,0,2,35,68
iter1_cv_split4,0.6023391812865497,0.6374269005847953,0.9486049926578561,0.6372980910425844,0,29,7,2,96,11,0,19,7,142,0,0,0,434,0,2,33,70
iter1_cv_split5,0.6607142857142857,0.6369047619047619,0.9444444444444444,0.6374269005847953,5,30,0,1,100,6,1,19,6,143,0,0,1,435,0,2,35,68
iter2_cv_split1,0.672514619883041,0.6374269005847953,0.9456681350954479,0.6372980910425844,0,29,6,0,108,1,0,20,7,143,0,0,1,433,0,2,34,68
iter2_cv_split2,0.6198830409356725,0.6374269005847953,0.9515418502202643,0.6372980910425844,4,32,0,3,98,8,0,22,4,142,0,0,1,433,0,2,30,73
iter2_cv_split3,0.6374269005847953,0.6374269005847953,0.9456681350954479,0.6372980910425844,0,36,0,2,104,3,1,20,5,142,0,0,0,434,0,1,36,68
iter2_cv_split4,0.6140350877192983,0.6374269005847953,0.9515418502202643,0.6372980910425844,5,22,9,0,95,14,3,18,5,142,0,0,1,432,1,1,30,74
iter2_cv_split5,0.6130952380952381,0.6369047619047619,0.9532163742690059,0.6374269005847953,3,6,26,0,92,15,1,17,8,143,0,0,1,435,0,0,31,74
iter3_cv_split1,0.5380116959064327,0.6374269005847953,0.9427312775330396,0.6372980910425844,0,35,0,5,91,13,1,25,1,143,0,0,0,434,0,1,38,65
iter3_cv_split2,0.6198830409356725,0.6374269005847953,0.9530102790014684,0.6372980910425844,0,30,6,3,98,8,0,18,8,142,0,0,0,434,0,2,30,73
iter3_cv_split3,0.6081871345029239,0.6374269005847953,0.9515418502202643,0.6372980910425844,0,36,0,0,101,8,0,23,3,141,1,0,0,433,1,2,29,74
iter3_cv_split4,0.6549707602339181,0.6374269005847953,0.9412628487518355,0.6372980910425844,0,36,0,0,105,4,3,16,7,137,5,0,0,434,0,1,34,70
iter3_cv_split5,0.6309523809523809,0.6369047619047619,0.9502923976608187,0.6374269005847953,0,30,5,5,100,2,1,19,6,139,4,0,0,436,0,0,30,75
iter4_cv_split1,0.5789473684210527,0.6374269005847953,0.9486049926578561,0.6372980910425844,3,24,8,7,89,13,0,20,7,143,0,0,1,433,0,2,32,70
iter4_cv_split2,0.6140350877192983,0.6374269005847953,0.9427312775330396,0.6372980910425844,5,25,6,3,96,10,1,21,4,142,0,0,0,434,0,1,38,66
iter4_cv_split3,0.6198830409356725,0.6374269005847953,0.9412628487518355,0.6372980910425844,12,24,0,5,90,14,1,21,4,142,0,0,0,434,0,2,38,65
iter4_cv_split4,0.7076023391812866,0.6374269005847953,0.9456681350954479,0.6372980910425844,15,14,7,7,102,0,1,21,4,139,3,0,0,434,0,1,33,71
iter4_cv_split5,0.6726190476190477,0.6369047619047619,0.9576023391812866,0.6374269005847953,7,12,16,0,100,7,1,19,6,143,0,0,0,436,0,1,28,76
iter5_cv_split1,0.672514619883041,0.6374269005847953,0.9515418502202643,0.6372980910425844,13,15,7,5,96,8,0,21,6,143,0,0,0,434,0,2,31,71
iter5_cv_split2,0.7134502923976608,0.6374269005847953,0.9427312775330396,0.6372980910425844,17,19,0,3,98,8,0,19,7,142,0,0,0,434,0,2,37,66
iter5_cv_split3,0.6608187134502924,0.6374269005847953,0.9427312775330396,0.6372980910425844,7,29,0,3,99,7,0,19,7,137,5,0,0,434,0,0,34,71
iter5_cv_split4,0.5614035087719298,0.6374269005847953,0.9559471365638766,0.6372980910425844,0,30,6,4,90,15,2,18,6,142,0,0,0,434,0,2,28,75
iter5_cv_split5,0.5476190476190477,0.6369047619047619,0.9502923976608187,0.6374269005847953,0,35,0,6,90,11,1,23,2,143,0,0,0,436,0,1,33,71
iter6_cv_split1,0.6257309941520468,0.6374269005847953,0.9441997063142438,0.6372980910425844,0,28,7,0,101,8,0,21,6,143,0,0,0,433,1,2,35,67
iter6_cv_split2,0.6374269005847953,0.6374269005847953,0.9456681350954479,0.6372980910425844,8,28,0,4,94,11,0,19,7,142,0,0,2,432,0,2,33,70
iter6_cv_split3,0.6374269005847953,0.6374269005847953,0.9544787077826725,0.6372980910425844,7,11,18,10,94,5,2,16,8,142,0,0,1,433,0,1,29,75
iter6_cv_split4,0.5730994152046783,0.6374269005847953,0.9427312775330396,0.6372980910425844,0,36,0,13,93,3,1,20,5,142,0,0,2,432,0,1,36,68
iter6_cv_split5,0.6785714285714286,0.6369047619047619,0.9546783625730995,0.6374269005847953,12,19,4,4,98,5,1,21,4,143,0,0,0,436,0,0,31,74
iter7_cv_split1,0.6842105263157895,0.6374269005847953,0.9486049926578561,0.6372980910425844,13,17,5,7,97,5,3,17,7,143,0,0,0,434,0,1,34,69
iter7_cv_split2,0.6842105263157895,0.6374269005847953,0.9486049926578561,0.6372980910425844,9,22,5,0,104,5,2,20,4,142,0,0,0,434,0,2,33,70
iter7_cv_split3,0.5497076023391813,0.6374269005847953,0.9486049926578561,0.6372980910425844,0,36,0,2,93,14,0,25,1,139,3,0,0,434,0,2,30,73
iter7_cv_split4,0.6374269005847953,0.6374269005847953,0.9383259911894273,0.6372980910425844,6,25,5,2,98,9,1,20,5,138,4,0,0,434,0,1,37,67
iter7_cv_split5,0.5595238095238095,0.6369047619047619,0.9576023391812866,0.6374269005847953,7,21,7,14,82,11,3,18,5,143,0,0,1,435,0,2,26,77
iter8_cv_split1,0.6023391812865497,0.6374269005847953,0.9441997063142438,0.6372980910425844,5,23,7,7,91,11,0,20,7,143,0,0,1,433,0,2,35,67
iter8_cv_split2,0.672514619883041,0.6374269005847953,0.9397944199706314,0.6372980910425844,7,29,0,3,103,3,0,21,5,142,0,0,0,434,0,2,39,64
iter8_cv_split3,0.6081871345029239,0.6374269005847953,0.933920704845815,0.6372980910425844,8,28,0,0,92,17,1,21,4,133,9,0,0,434,0,2,34,69
iter8_cv_split4,0.5555555555555556,0.6374269005847953,0.9500734214390602,0.6372980910425844,0,36,0,11,91,7,1,21,4,142,0,0,1,433,0,1,32,72
iter8_cv_split5,0.6547619047619048,0.6369047619047619,0.9473684210526315,0.6374269005847953,7,20,8,2,102,3,1,24,1,143,0,0,1,434,1,1,33,71
iter9_cv_split1,0.5614035087719298,0.6374269005847953,0.9574155653450808,0.6372980910425844,0,18,17,2,89,18,0,20,7,143,0,0,0,433,1,0,28,76
iter9_cv_split2,0.6198830409356725,0.6374269005847953,0.9515418502202643,0.6372980910425844,7,23,6,1,95,13,0,22,4,141,1,0,0,434,0,2,30,73
iter9_cv_split3,0.6432748538011696,0.6374269005847953,0.9441997063142438,0.6372980910425844,8,28,0,5,99,5,0,23,3,142,0,0,0,433,1,2,35,68
iter9_cv_split4,0.6783625730994152,0.6374269005847953,0.9486049926578561,0.6372980910425844,8,28,0,1,102,6,2,18,6,142,0,0,1,433,0,1,33,71
iter9_cv_split5,0.6607142857142857,0.6369047619047619,0.945906432748538,0.6374269005847953,0,35,0,1,105,1,1,19,6,143,0,0,1,435,0,1,35,69
iter10_cv_split1,0.6081871345029239,0.6374269005847953,0.947136563876652,0.6372980910425844,10,25,0,8,88,13,1,20,6,143,0,0,1,433,0,2,33,69
iter10_cv_split2,0.6198830409356725,0.6374269005847953,0.9588839941262849,0.6372980910425844,0,36,0,0,101,8,2,19,5,142,0,0,0,434,0,0,28,77
iter10_cv_split3,0.7426900584795322,0.6374269005847953,0.9500734214390602,0.6372980910425844,18,7,11,2,104,3,0,21,5,142,0,0,0,434,0,2,32,71
iter10_cv_split4,0.5380116959064327,0.6374269005847953,0.9427312775330396,0.6372980910425844,0,30,6,9,90,10,0,24,2,136,6,0,0,434,0,2,31,72
iter10_cv_split5,0.6428571428571429,0.6369047619047619,0.956140350877193,0.6374269005847953,6,24,5,0,97,10,2,19,5,143,0,0,0,436,0,2,28,75
iter11_cv_split1,0.6491228070175439,0.6374269005847953,0.9412628487518355,0.6372980910425844,9,26,0,2,96,11,0,21,6,143,0,0,0,434,0,2,38,64
iter11_cv_split2,0.6549707602339181,0.6374269005847953,0.9441997063142438,0.6372980910425844,8,28,0,0,96,13,0,18,8,138,4,0,0,434,0,2,32,71
iter11_cv_split3,0.5789473684210527,0.6374269005847953,0.9530102790014684,0.6372980910425844,5,25,6,2,90,17,2,20,4,142,0,0,1,433,0,0,31,74
iter11_cv_split4,0.6842105263157895,0.6374269005847953,0.9500734214390602,0.6372980910425844,6,30,0,0,105,4,0,20,6,142,0,0,0,434,0,2,32,71
iter11_cv_split5,0.6369047619047619,0.6369047619047619,0.9429824561403509,0.6374269005847953,7,21,7,3,97,7,1,22,3,138,5,0,0,436,0,2,32,71
iter12_cv_split1,0.7309941520467836,0.6374269005847953,0.9500734214390602,0.6372980910425844,19,16,0,3,99,7,1,19,7,143,0,0,0,434,0,2,32,70
iter12_cv_split2,0.5672514619883041,0.6374269005847953,0.9544787077826725,0.6372980910425844,5,31,0,7,89,13,1,22,3,142,0,0,0,434,0,1,30,74
iter12_cv_split3,0.6140350877192983,0.6374269005847953,0.9486049926578561,0.6372980910425844,8,23,5,1,93,15,1,21,4,138,4,0,0,434,0,2,29,74
iter12_cv_split4,0.6140350877192983,0.6374269005847953,0.9441997063142438,0.6372980910425844,0,29,7,1,100,8,2,19,5,142,0,0,1,433,0,1,36,68
iter12_cv_split5,0.6190476190476191,0.6369047619047619,0.945906432748538,0.6374269005847953,0,35,0,0,99,8,0,21,5,142,1,0,0,436,0,2,34,69
iter13_cv_split1,0.6783625730994152,0.6374269005847953,0.9383259911894273,0.6372980910425844,11,24,0,1,99,9,0,21,6,139,4,0,0,433,1,2,35,67
iter13_cv_split2,0.6783625730994152,0.6374269005847953,0.9588839941262849,0.6372980910425844,17,19,0,3,95,11,2,20,4,142,0,0,0,433,1,1,26,78
iter13_cv_split3,0.7134502923976608,0.6374269005847953,0.9486049926578561,0.6372980910425844,16,20,0,0,101,8,0,21,5,142,0,0,0,434,0,2,33,70
