,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,far,escap,exit,came,hamp,pullback,let,downtrend,point,market
iter1_cv_split2,far,pullback,exit,hamp,market,hope,escap,probabl,journey,let
iter1_cv_split3,came,far,escap,exit,journey,hope,enjoy,level,pullback,grab
iter1_cv_split4,came,exit,escap,downtrend,level,dip,journey,hamp,enjoy,mayb
iter1_cv_split5,came,far,escap,pullback,hope,level,dip,mayb,let,accumul
iter2_cv_split1,escap,pullback,far,hamp,downtrend,hope,probabl,mayb,shine,accumulatinggot
iter2_cv_split2,came,pullback,exit,far,escap,hope,journey,level,hamp,accumul
iter2_cv_split3,escap,came,exit,decis,downtrend,accumul,journey,hamp,far,market
iter2_cv_split4,escap,exit,came,pullback,price,downtrend,grab,journey,level,exampl
iter2_cv_split5,came,far,exit,pullback,hamp,dip,hope,accumul,let,journey
iter3_cv_split1,exit,escap,far,came,let,hope,downtrend,market,level,hamp
iter3_cv_split2,escap,exit,hope,journey,level,accumul,grab,downtrend,pullback,probabl
iter3_cv_split3,came,escap,far,pullback,hamp,dip,downtrend,journey,enjoy,decis
iter3_cv_split4,came,exit,escap,hamp,far,journey,decis,continu,mayb,pullback
iter3_cv_split5,came,far,pullback,market,hope,exit,dip,mayb,journey,accumulatinggot
iter4_cv_split1,came,escap,exit,far,market,level,hamp,hope,dip,journey
iter4_cv_split2,came,escap,pullback,hamp,far,downtrend,exit,journey,point,mayb
iter4_cv_split3,came,pullback,escap,hope,dip,downtrend,level,accumul,shine,accumulatinggot
iter4_cv_split4,came,far,pullback,escap,accumul,continu,dip,hope,want,level
iter4_cv_split5,exit,far,pullback,hope,hamp,journey,continu,escap,enjoy,decis
iter5_cv_split1,escap,exit,far,pullback,downtrend,journey,accumulatinggot,shine,hamp,continu
iter5_cv_split2,far,escap,pullback,came,accumul,hope,continu,dip,downtrend,journey
iter5_cv_split3,came,far,exit,hamp,pullback,dip,let,hope,probabl,market
iter5_cv_split4,came,far,escap,exit,price,level,hope,market,hamp,dip
iter5_cv_split5,came,escap,exit,pullback,hamp,market,downtrend,journey,enjoy,mayb
iter6_cv_split1,came,exit,far,escap,hope,pullback,downtrend,decis,journey,mayb
iter6_cv_split2,far,exit,escap,pullback,point,probabl,grab,journey,level,let
iter6_cv_split3,came,escap,exit,downtrend,level,market,hope,journey,enjoy,grab
iter6_cv_split4,escap,pullback,came,far,hamp,continu,downtrend,total,dip,level
iter6_cv_split5,came,far,exit,hamp,let,hope,market,dip,continu,grab
iter7_cv_split1,came,escap,far,exit,continu,hope,level,downtrend,dip,mayb
iter7_cv_split2,came,pullback,escap,far,downtrend,hamp,hope,decis,journey,enjoy
iter7_cv_split3,came,escap,exit,decis,pullback,accumul,dip,market,hamp,far
iter7_cv_split4,far,escap,exit,pullback,hope,continu,level,journey,price,enjoy
iter7_cv_split5,came,exit,hamp,market,want,grab,far,dip,escap,journey
iter8_cv_split1,came,far,pullback,escap,hope,dip,hamp,point,mayb,moon
iter8_cv_split2,came,escap,exit,far,dip,pullback,price,journey,declin,exampl
iter8_cv_split3,came,hope,pullback,want,hamp,dip,journey,exit,grab,enjoy
iter8_cv_split4,escap,level,hamp,exit,pullback,continu,downtrend,decis,journey,probabl
iter8_cv_split5,came,escap,far,exit,let,hope,hamp,journey,rsi,downtrend
iter9_cv_split1,came,exit,far,hamp,pullback,dip,journey,accumul,enjoy,price
iter9_cv_split2,came,far,escap,dip,hamp,hope,downtrend,mayb,level,journey
iter9_cv_split3,escap,came,hope,downtrend,level,continu,accumul,price,grab,pullback
iter9_cv_split4,came,escap,far,pullback,exit,let,downtrend,grab,hope,continu
iter9_cv_split5,pullback,escap,exit,hamp,far,probabl,journey,market,accumul,enjoy
iter10_cv_split1,came,far,escap,dip,downtrend,level,pullback,mayb,hamp,accumul
iter10_cv_split2,came,escap,exit,hamp,far,downtrend,market,decis,let,level
iter10_cv_split3,far,exit,hamp,pullback,want,grab,hope,escap,journey,market
iter10_cv_split4,came,escap,hope,downtrend,continu,grab,level,accumul,journey,mayb
iter10_cv_split5,came,exit,escap,far,pullback,decis,journey,enjoy,hamp,exampl
iter11_cv_split1,exit,came,escap,far,pullback,level,dip,accumulatinggot,shine,hope
iter11_cv_split2,came,far,escap,exit,pullback,hamp,dip,point,journey,mayb
iter11_cv_split3,pullback,hamp,escap,level,far,journey,accumul,enjoy,downtrend,price
iter11_cv_split4,came,exit,hamp,hope,escap,market,dip,journey,grab,probabl
iter11_cv_split5,came,escap,far,exit,continu,pullback,dip,journey,hope,hamp
iter12_cv_split1,came,exit,escap,far,dip,hamp,hope,decis,pullback,journey
iter12_cv_split2,came,escap,far,pullback,exit,downtrend,probabl,journey,level,grab
iter12_cv_split3,came,escap,pullback,dip,exit,level,far,journey,downtrend,hamp
iter12_cv_split4,came,escap,exit,downtrend,hope,pullback,accumul,level,grab,moon
iter12_cv_split5,far,hamp,hope,journey,want,point,enjoy,mayb,paus,let
iter13_cv_split1,escap,hope,pullback,downtrend,continu,hamp,level,price,probabl,mayb
iter13_cv_split2,came,far,exit,escap,dip,hope,let,hamp,want,mayb
iter13_cv_split3,far,came,escap,exit,hamp,journey,market,dip,enjoy,continu
iter13_cv_split4,came,exit,escap,pullback,hamp,far,decis,downtrend,journey,enjoy
iter13_cv_split5,came,escap,far,pullback,exit,downtrend,hope,market,level,dip
iter14_cv_split1,came,far,pullback,escap,exit,level,hamp,journey,want,let
