,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,good,support,imo,high,bought,bounc,hold,undervalu,ath,longterm
iter1_cv_split2,good,look,nice,dip,imo,high,alreadi,hold,bounc,longterm
iter1_cv_split3,good,nice,dip,high,bought,imo,bounc,alreadi,btc,undervalu
iter1_cv_split4,good,high,nice,imo,bought,team,longterm,bounc,cheap,hodl
iter1_cv_split5,good,support,imo,high,strong,bought,level,alreadi,hold,longterm
iter2_cv_split1,good,dip,high,imo,nice,alreadi,longterm,bought,hold,bounc
iter2_cv_split2,good,dip,high,nice,imo,bought,team,insid,ath,alreadi
iter2_cv_split3,good,imo,nice,bought,high,bounc,time,hold,longterm,activ
iter2_cv_split4,good,nice,high,imo,dip,bounc,bought,anticip,hold,team
iter2_cv_split5,good,imo,high,nice,time,hold,abov,bought,bounc,let
iter3_cv_split1,good,high,dip,alreadi,imo,let,ath,hold,bought,st
iter3_cv_split2,good,imo,dip,high,bought,bounc,team,alreadi,longterm,hold
iter3_cv_split3,good,support,dip,high,bounc,imo,bought,alreadi,longterm,hold
iter3_cv_split4,good,look,imo,high,nice,dip,bought,level,bounc,longterm
iter3_cv_split5,good,nice,dip,imo,bought,high,alreadi,longterm,undervalu,ath
iter4_cv_split1,good,dip,imo,high,nice,bought,bounc,btc,alreadi,team
iter4_cv_split2,good,high,imo,alreadi,bought,btc,longterm,bounc,st,trade
iter4_cv_split3,good,support,nice,high,bounc,imo,bought,hold,level,longterm
iter4_cv_split4,good,dip,nice,strong,imo,bought,high,longterm,alreadi,bounc
iter4_cv_split5,good,look,high,imo,nice,bought,bounc,consolid,hold,undervalu
iter5_cv_split1,good,look,nice,imo,high,level,alreadi,bought,bounc,activ
iter5_cv_split2,good,dip,high,nice,strong,alreadi,imo,longterm,bought,bounc
iter5_cv_split3,good,nice,imo,high,bought,bounc,alreadi,btc,team,coin
iter5_cv_split4,good,nice,imo,high,bought,time,longterm,bounc,abov,undervalu
iter5_cv_split5,good,imo,high,dip,bought,hold,bounc,undervalu,team,st
iter6_cv_split1,good,nice,dip,imo,high,level,bounc,btc,hold,alreadi
iter6_cv_split2,good,look,high,nice,imo,bought,bounc,team,longterm,hold
iter6_cv_split3,good,look,dip,high,imo,alreadi,bought,bounc,longterm,undervalu
iter6_cv_split4,good,volum,imo,nice,bought,time,high,btc,hold,undervalu
iter6_cv_split5,good,high,imo,bought,hold,longterm,bounc,consolid,ath,potenti
iter7_cv_split1,good,nice,high,strong,alreadi,btc,imo,bought,ath,insid
iter7_cv_split2,good,high,imo,nice,level,bought,alreadi,hold,longterm,insid
iter7_cv_split3,good,look,nice,imo,high,bought,alreadi,longterm,bounc,team
iter7_cv_split4,good,dip,high,nice,imo,bought,bounc,alreadi,longterm,consolid
iter7_cv_split5,good,imo,dip,high,time,hold,expect,bought,bounc,longterm
iter8_cv_split1,good,look,dip,nice,imo,high,bounc,alreadi,bought,longterm
iter8_cv_split2,good,dip,imo,high,nice,bounc,bought,btc,alreadi,hold
iter8_cv_split3,good,imo,nice,high,alreadi,abov,longterm,insid,hold,team
iter8_cv_split4,good,support,high,imo,alreadi,bought,nice,let,bounc,btc
iter8_cv_split5,good,nice,dip,imo,bought,high,bounc,hold,longterm,ath
iter9_cv_split1,good,look,nice,strong,imo,expect,bought,bounc,high,team
iter9_cv_split2,good,dip,imo,nice,high,bought,bounc,let,insid,btc
iter9_cv_split3,good,nice,high,imo,bought,longterm,hold,team,let,bounc
iter9_cv_split4,good,high,nice,strong,dip,imo,bought,alreadi,btc,bounc
iter9_cv_split5,good,high,imo,alreadi,bounc,bought,nice,abov,hold,undervalu
iter10_cv_split1,good,look,nice,dip,high,imo,strong,bought,longterm,level
iter10_cv_split2,good,high,imo,dip,bought,time,hold,bounc,level,team
iter10_cv_split3,good,high,nice,alreadi,imo,bounc,undervalu,bought,triangl,st
iter10_cv_split4,good,dip,nice,imo,bought,high,bounc,team,consolid,triangl
iter10_cv_split5,good,support,imo,nice,high,time,hold,bounc,level,bought
iter11_cv_split1,good,high,nice,imo,bounc,hold,btc,alreadi,coin,undervalu
iter11_cv_split2,good,nice,support,dip,imo,strong,bought,expect,high,longterm
iter11_cv_split3,good,nice,expect,high,imo,bought,bounc,longterm,let,cheap
iter11_cv_split4,good,high,imo,nice,alreadi,hold,consolid,bounc,undervalu,sat
iter11_cv_split5,good,look,imo,dip,high,bought,bounc,alreadi,let,longterm
iter12_cv_split1,good,support,nice,imo,high,time,longterm,bought,team,hold
iter12_cv_split2,good,support,dip,imo,look,high,nice,bought,alreadi,bounc
iter12_cv_split3,good,high,imo,nice,longterm,btc,bought,hold,undervalu,bounc
iter12_cv_split4,good,high,dip,imo,alreadi,bought,bounc,insid,hold,st
iter12_cv_split5,good,nice,high,bought,imo,bounc,level,btc,news,sat
iter13_cv_split1,good,support,nice,dip,high,strong,bought,imo,level,bounc
iter13_cv_split2,good,dip,imo,high,bought,bounc,longterm,abov,hold,activ
iter13_cv_split3,good,imo,strong,bought,high,nice,btc,longterm,alreadi,bounc
iter13_cv_split4,good,imo,nice,high,alreadi,time,hold,insid,bought,bounc
iter13_cv_split5,good,nice,high,imo,volum,alreadi,longterm,bounc,level,team
iter14_cv_split1,good,dip,nice,high,imo,alreadi,bounc,bought,longterm,btc
iter14_cv_split2,good,dip,high,nice,imo,bounc,bought,alreadi,consolid,hold
iter14_cv_split3,good,high,imo,bought,alreadi,longterm,hold,ath,team,undervalu
iter14_cv_split4,good,nice,imo,high,coin,bought,bounc,consolid,news,septemb
iter14_cv_split5,good,support,imo,high,strong,bought,bounc,longterm,team,hold
iter15_cv_split1,good,imo,high,dip,nice,bought,longterm,team,news,project
iter15_cv_split2,good,nice,high,imo,bounc,bought,time,abov,undervalu,team
iter15_cv_split3,good,high,nice,imo,bought,level,hold,bounc,consolid,undervalu
iter15_cv_split4,good,dip,nice,high,imo,time,bought,longterm,alreadi,bounc
iter15_cv_split5,good,look,alreadi,bought,imo,high,hold,bounc,consolid,undervalu
iter16_cv_split1,good,dip,imo,nice,volum,high,bought,alreadi,longterm,bounc
iter16_cv_split2,good,look,high,imo,dip,alreadi,hold,btc,bounc,bought
iter16_cv_split3,good,look,high,imo,bought,time,bounc,hold,team,close
iter16_cv_split4,good,dip,nice,imo,strong,high,bought,longterm,bounc,btc
iter16_cv_split5,good,nice,imo,high,strong,bounc,btc,undervalu,abov,hold
iter17_cv_split1,good,look,nice,imo,bought,longterm,high,btc,alreadi,team
iter17_cv_split2,good,high,nice,imo,bounc,bought,alreadi,hold,insid,cheap
iter17_cv_split3,good,imo,high,nice,dip,bounc,bought,longterm,alreadi,abov
iter17_cv_split4,good,dip,imo,high,bought,longterm,alreadi,hold,bounc,undervalu
iter17_cv_split5,good,look,nice,imo,high,strong,bounc,bought,hold,insid
iter18_cv_split1,good,look,nice,imo,high,bounc,bought,dip,longterm,undervalu
iter18_cv_split2,good,imo,nice,high,bought,bounc,time,alreadi,longterm,hold
iter18_cv_split3,good,high,imo,nice,bounc,alreadi,coin,hold,abov,bought
iter18_cv_split4,good,support,high,imo,bought,hold,news,cheap,trade,longterm
iter18_cv_split5,good,support,nice,high,imo,strong,bought,btc,level,undervalu
iter19_cv_split1,good,high,imo,bought,hold,btc,alreadi,ath,level,longterm
iter19_cv_split2,good,look,nice,dip,imo,high,bounc,bought,hold,longterm
iter19_cv_split3,good,high,imo,nice,bought,level,alreadi,team,undervalu,anticip
iter19_cv_split4,good,dip,high,imo,nice,hold,bought,bounc,team,insid
iter19_cv_split5,good,look,nice,high,imo,alreadi,break,bounc,bought,consolid
iter20_cv_split1,good,nice,high,dip,bounc,imo,ath,longterm,news,close
iter20_cv_split2,good,look,high,nice,imo,bought,hold,longterm,insid,bounc
iter20_cv_split3,good,imo,nice,high,bounc,bought,btc,team,hold,abov
iter20_cv_split4,good,high,imo,bought,alreadi,longterm,hold,btc,potenti,trade
