,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,updat,breakout,amp,resist,look,chart,break,soon,continu,nice
iter1_cv_split2,updat,breakout,amp,market,new,soon,chart,break,scenario,strong
iter1_cv_split3,updat,breakout,amp,look,chart,break,new,bag,readi,like
iter1_cv_split4,updat,breakout,resist,amp,look,market,break,volum,soon,time
iter1_cv_split5,updat,breakout,amp,scenario,volum,break,like,time,new,bag
iter2_cv_split1,updat,breakout,volum,amp,look,strong,chart,break,soon,new
iter2_cv_split2,updat,breakout,amp,strong,look,soon,volum,break,time,like
iter2_cv_split3,updat,breakout,resist,amp,look,start,soon,like,chart,break
iter2_cv_split4,updat,breakout,amp,break,market,soon,btc,bag,alreadi,continu
iter2_cv_split5,updat,breakout,amp,soon,market,support,new,bag,break,start
iter3_cv_split1,updat,breakout,amp,market,look,break,new,chart,soon,coin
iter3_cv_split2,updat,breakout,amp,chart,look,strong,break,new,like,soon
iter3_cv_split3,updat,breakout,amp,chart,volum,look,break,target,soon,strong
iter3_cv_split4,updat,breakout,amp,break,new,time,scenario,bag,soon,target
iter3_cv_split5,updat,breakout,amp,volum,market,break,soon,new,target,like
iter4_cv_split1,updat,breakout,amp,look,new,chart,like,break,bag,soon
iter4_cv_split2,updat,breakout,resist,amp,soon,nice,chart,look,like,break
iter4_cv_split3,updat,breakout,amp,break,look,chart,new,market,soon,time
iter4_cv_split4,updat,breakout,resist,amp,look,chart,volum,break,market,new
iter4_cv_split5,updat,breakout,amp,soon,chart,strong,market,break,like,start
iter5_cv_split1,updat,breakout,amp,break,soon,strong,readi,new,chart,bag
iter5_cv_split2,updat,breakout,amp,look,volum,chart,break,soon,new,time
iter5_cv_split3,updat,breakout,amp,look,like,volum,time,chart,soon,readi
iter5_cv_split4,updat,breakout,amp,break,soon,new,alreadi,btc,coin,accumul
iter5_cv_split5,updat,breakout,amp,new,like,market,bag,nice,start,abov
iter6_cv_split1,updat,breakout,amp,chart,look,soon,new,break,like,time
iter6_cv_split2,updat,breakout,amp,soon,market,break,target,bag,chart,like
iter6_cv_split3,updat,breakout,amp,market,new,chart,nice,break,continu,start
iter6_cv_split4,updat,breakout,amp,break,market,strong,soon,new,great,project
iter6_cv_split5,updat,breakout,amp,look,soon,new,nice,time,chart,like
iter7_cv_split1,updat,breakout,amp,chart,time,soon,coin,like,today,new
iter7_cv_split2,updat,breakout,amp,chart,look,new,readi,soon,target,like
iter7_cv_split3,updat,breakout,amp,break,market,soon,continu,strong,chart,start
iter7_cv_split4,updat,breakout,amp,volum,chart,look,soon,market,break,readi
iter7_cv_split5,updat,breakout,amp,look,break,volum,market,soon,nice,like
iter8_cv_split1,updat,breakout,amp,soon,start,new,bag,continu,break,time
iter8_cv_split2,updat,breakout,amp,market,break,new,time,like,readi,start
iter8_cv_split3,updat,breakout,amp,volum,soon,scenario,like,target,sinc,time
iter8_cv_split4,updat,breakout,amp,break,chart,look,market,soon,readi,strong
iter8_cv_split5,updat,breakout,amp,look,break,soon,market,chart,new,continu
iter9_cv_split1,updat,breakout,resist,amp,chart,break,soon,start,time,target
iter9_cv_split2,updat,breakout,resist,amp,look,chart,new,like,market,readi
iter9_cv_split3,updat,breakout,amp,market,break,new,volum,time,btc,scenario
iter9_cv_split4,updat,breakout,amp,market,break,coin,like,start,soon,ath
iter9_cv_split5,updat,breakout,amp,look,chart,like,soon,market,new,money
iter10_cv_split1,updat,breakout,amp,chart,soon,break,like,time,new,readi
iter10_cv_split2,updat,breakout,amp,market,bag,soon,new,break,strong,like
iter10_cv_split3,updat,breakout,resist,amp,volum,soon,look,like,chart,new
iter10_cv_split4,updat,breakout,resist,amp,look,chart,volum,break,market,bag
iter10_cv_split5,updat,breakout,amp,look,break,soon,like,readi,strong,sinc
iter11_cv_split1,updat,breakout,amp,look,soon,break,strong,readi,bag,anoth
iter11_cv_split2,updat,breakout,amp,chart,look,break,new,soon,btc,like
iter11_cv_split3,updat,breakout,look,amp,market,volum,scenario,like,break,time
iter11_cv_split4,updat,breakout,resist,amp,look,chart,soon,break,new,bag
iter11_cv_split5,updat,breakout,amp,break,chart,nice,soon,time,bag,coin
iter12_cv_split1,updat,breakout,amp,break,market,new,soon,like,cap,hit
iter12_cv_split2,updat,breakout,amp,resist,break,new,strong,time,bag,like
iter12_cv_split3,updat,breakout,amp,new,market,look,soon,chart,break,target
iter12_cv_split4,updat,breakout,amp,look,volum,nice,soon,scenario,time,new
iter12_cv_split5,updat,breakout,amp,volum,look,chart,break,market,soon,anoth
iter13_cv_split1,updat,breakout,amp,break,bag,coin,start,like,new,readi
iter13_cv_split2,updat,breakout,amp,volum,new,look,like,chart,soon,time
iter13_cv_split3,updat,breakout,resist,amp,look,market,time,new,soon,target
iter13_cv_split4,updat,breakout,resist,look,amp,soon,chart,break,continu,new
iter13_cv_split5,updat,breakout,amp,look,chart,break,scenario,strong,time,soon
iter14_cv_split1,updat,breakout,amp,break,soon,market,like,accumul,time,new
iter14_cv_split2,updat,breakout,amp,chart,look,like,strong,time,soon,market
iter14_cv_split3,updat,breakout,amp,market,nice,new,break,start,soon,strong
