,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.6549707602339181,0.6374269005847953,0.9104258443465492,0.6372980910425844,9,16,10,8,96,5,2,18,7,137,6,0,7,419,8,5,35,64
iter1_cv_split2,0.6140350877192983,0.6374269005847953,0.8972099853157122,0.6372980910425844,8,25,3,9,91,9,3,17,6,138,4,0,12,415,7,8,39,58
iter1_cv_split3,0.6432748538011696,0.6374269005847953,0.9016152716593245,0.6372980910425844,10,18,8,11,94,4,3,17,6,138,4,0,13,415,6,5,39,61
iter1_cv_split4,0.5555555555555556,0.6374269005847953,0.9162995594713657,0.6372980910425844,6,22,8,3,84,22,2,19,5,139,3,0,10,420,4,6,34,65
iter1_cv_split5,0.6071428571428571,0.6369047619047619,0.9152046783625731,0.6374269005847953,0,35,0,1,95,11,1,18,7,132,11,0,6,425,5,3,33,69
iter2_cv_split1,0.6666666666666666,0.6374269005847953,0.908957415565345,0.6372980910425844,9,20,6,6,96,7,2,16,9,136,7,0,11,419,4,3,37,64
iter2_cv_split2,0.6666666666666666,0.6374269005847953,0.9177679882525698,0.6372980910425844,18,7,11,3,89,17,3,16,7,139,3,0,7,422,5,3,38,64
iter2_cv_split3,0.6257309941520468,0.6374269005847953,0.9045521292217328,0.6372980910425844,13,23,0,12,93,4,3,22,1,142,0,0,16,410,8,7,34,64
iter2_cv_split4,0.6783625730994152,0.6374269005847953,0.9060205580029369,0.6372980910425844,15,21,0,8,93,8,1,17,8,130,12,0,4,425,5,5,38,62
iter2_cv_split5,0.6369047619047619,0.6369047619047619,0.9108187134502924,0.6374269005847953,8,18,9,3,93,11,2,18,6,136,7,0,11,421,4,5,34,66
iter3_cv_split1,0.6140350877192983,0.6374269005847953,0.9030837004405287,0.6372980910425844,16,19,0,13,83,13,2,19,6,134,9,0,12,418,4,8,33,63
iter3_cv_split2,0.5263157894736842,0.6374269005847953,0.9104258443465492,0.6372980910425844,0,28,8,19,83,7,0,19,7,139,3,0,7,422,5,6,40,59
iter3_cv_split3,0.6549707602339181,0.6374269005847953,0.908957415565345,0.6372980910425844,20,10,6,11,86,12,1,19,6,142,0,0,10,418,6,3,43,59
iter3_cv_split4,0.6549707602339181,0.6374269005847953,0.8972099853157122,0.6372980910425844,15,21,0,4,91,14,1,19,6,134,8,0,12,415,7,6,37,62
iter3_cv_split5,0.7023809523809523,0.6369047619047619,0.9195906432748538,0.6374269005847953,10,25,0,2,102,3,4,16,6,143,0,0,7,423,6,6,36,63
iter4_cv_split1,0.6257309941520468,0.6374269005847953,0.9001468428781204,0.6372980910425844,12,20,3,5,91,13,2,21,4,136,7,0,17,413,4,7,33,64
iter4_cv_split2,0.6666666666666666,0.6374269005847953,0.9045521292217328,0.6372980910425844,22,10,4,6,87,16,3,18,5,133,9,0,6,421,7,6,37,62
iter4_cv_split3,0.6257309941520468,0.6374269005847953,0.8913362701908958,0.6372980910425844,15,21,0,11,84,14,3,15,8,133,9,0,12,414,8,5,40,60
iter4_cv_split4,0.672514619883041,0.6374269005847953,0.9074889867841409,0.6372980910425844,15,21,0,4,96,9,3,19,4,140,2,0,12,415,7,2,40,63
iter4_cv_split5,0.6011904761904762,0.6369047619047619,0.9254385964912281,0.6374269005847953,7,28,0,6,90,11,3,19,4,143,0,0,7,421,8,7,29,69
iter5_cv_split1,0.5380116959064327,0.6374269005847953,0.9148311306901615,0.6372980910425844,0,29,6,8,88,13,2,21,4,137,6,0,7,422,5,4,36,64
iter5_cv_split2,0.6666666666666666,0.6374269005847953,0.8972099853157122,0.6372980910425844,9,19,8,6,98,5,0,19,7,135,7,0,9,416,9,3,42,60
iter5_cv_split3,0.6257309941520468,0.6374269005847953,0.895741556534508,0.6372980910425844,7,29,0,7,98,4,6,18,2,136,6,0,12,412,10,7,36,62
iter5_cv_split4,0.6783625730994152,0.6374269005847953,0.8869309838472834,0.6372980910425844,17,19,0,4,93,12,1,19,6,128,14,0,10,420,4,6,43,56
iter5_cv_split5,0.6726190476190477,0.6369047619047619,0.8947368421052632,0.6374269005847953,26,9,0,10,81,16,2,18,6,134,9,0,19,413,4,9,31,65
iter6_cv_split1,0.5263157894736842,0.6374269005847953,0.9074889867841409,0.6372980910425844,7,24,4,18,75,16,0,19,8,138,5,0,6,421,7,4,41,59
iter6_cv_split2,0.5789473684210527,0.6374269005847953,0.8942731277533039,0.6372980910425844,12,24,0,7,82,20,2,19,5,134,8,0,15,411,8,8,33,64
iter6_cv_split3,0.6081871345029239,0.6374269005847953,0.9162995594713657,0.6372980910425844,6,30,0,7,92,10,5,15,6,132,10,0,9,422,3,4,31,70
