,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,expect,volum,moon,price,fund,manag,return,exampl,week,market
iter1_cv_split2,resist,hamp,support,volum,escap,mayb,hope,moon,far,expect
iter1_cv_split3,expect,support,resist,hamp,market,manag,return,fund,escap,volum
iter1_cv_split4,expect,support,moon,hamp,price,downtrend,escap,mayb,return,manag
iter1_cv_split5,resist,hamp,escap,moon,probabl,week,dip,chart,look,rsi
iter2_cv_split1,resist,moon,escap,hamp,mayb,price,oversold,market,support,downtrend
iter2_cv_split2,resist,hamp,moon,support,expect,far,exampl,mayb,escap,prime
iter2_cv_split3,expect,price,support,level,accumul,volum,manag,return,fund,rsi
iter2_cv_split4,resist,hamp,expect,support,mayb,look,chart,moon,price,return
iter2_cv_split5,resist,volum,price,hamp,expect,moon,rsi,mayb,pullback,look
iter3_cv_split1,support,hamp,resist,volum,price,moon,confirm,expect,hope,accumul
iter3_cv_split2,resist,moon,hamp,volum,escap,support,price,expect,scenario,downtrend
iter3_cv_split3,resist,moon,rsi,pullback,price,expect,return,manag,fund,market
iter3_cv_split4,resist,expect,hamp,support,return,fund,manag,moon,mayb,market
iter3_cv_split5,resist,expect,hamp,support,price,return,escap,manag,fund,pullback
iter4_cv_split1,support,resist,escap,volum,hamp,expect,moon,downtrend,level,strong
iter4_cv_split2,support,expect,hamp,confirm,moon,strong,price,volum,escap,scenario
iter4_cv_split3,resist,volum,continu,moon,pullback,exampl,far,rsi,scenario,week
iter4_cv_split4,hamp,moon,expect,support,probabl,price,oversold,week,mayb,escap
iter4_cv_split5,moon,dip,resist,volum,price,mayb,continu,support,hamp,scenario
iter5_cv_split1,resist,moon,hamp,volum,escap,oversold,continu,downtrend,dip,pullback
iter5_cv_split2,escap,resist,moon,expect,pullback,downtrend,manag,fund,return,price
iter5_cv_split3,moon,support,price,escap,resist,expect,far,hope,downtrend,hamp
iter5_cv_split4,expect,resist,return,fund,manag,support,far,volum,strong,hamp
iter5_cv_split5,expect,support,resist,hamp,fund,return,manag,week,volum,strong
iter6_cv_split1,resist,volum,escap,moon,downtrend,market,return,scenario,fund,expect
