,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,retrac,usd,level,bought,bullish,masternod,euphoria,disgrac,usdbtc,time
iter1_cv_split2,usd,definit,gainzz,bullish,euphoria,disgrac,usdbtc,breakout,masternod,ethbtc
iter1_cv_split3,retrac,level,break,definit,befor,amp,masternod,bullish,disgrac,usdbtc
iter1_cv_split4,usd,retrac,definit,level,bullish,masternod,shitcoin,bought,amp,fibso
iter1_cv_split5,usd,retrac,level,definit,abov,amp,day,ethusd,ethbtc,upsid
iter2_cv_split1,usd,retrac,bought,bullish,definit,euphoria,usdbtc,disgrac,upsid,fibso
iter2_cv_split2,usd,level,definit,gainzz,disgrac,usdbtc,fomo,upsid,fibso,bullish
iter2_cv_split3,retrac,level,definit,masternod,abov,usdbtc,disgrac,amp,break,day
iter2_cv_split4,usd,retrac,level,definit,masternod,bullish,bought,break,breakout,amp
iter2_cv_split5,usd,retrac,level,befor,masternod,amp,fibso,upsid,shitcoin,euphoria
iter3_cv_split1,usd,retrac,level,definit,masternod,bought,amp,fibso,upsid,fomo
iter3_cv_split2,usd,retrac,bullish,bought,definit,abov,euphoria,befor,masternod,fomo
iter3_cv_split3,level,definit,bullish,disgrac,usdbtc,day,befor,euphoria,upsid,fibso
iter3_cv_split4,usd,retrac,level,break,gainzz,bought,upsid,fibso,usdbtc,disgrac
iter3_cv_split5,usd,retrac,level,bullish,masternod,euphoria,breakout,amp,disgrac,usdbtc
iter4_cv_split1,retrac,level,bullish,bought,amp,euphoria,break,prepar,shitcoin,befor
iter4_cv_split2,usd,retrac,definit,level,befor,disgrac,masternod,break,amp,abov
iter4_cv_split3,usd,retrac,definit,bullish,bought,abov,masternod,euphoria,fibso,upsid
iter4_cv_split4,usd,retrac,level,masternod,upsid,fibso,disgrac,usdbtc,definit,amp
iter4_cv_split5,usd,level,usdbtc,definit,fomo,gainzz,upsid,fibso,flag,bought
iter5_cv_split1,usd,retrac,definit,level,bought,bullish,masternod,euphoria,fomo,amp
iter5_cv_split2,usd,retrac,level,masternod,bullish,bought,flag,upsid,fibso,shitcoin
iter5_cv_split3,usd,level,disgrac,time,fibso,upsid,amp,ethusd,ethbtc,day
iter5_cv_split4,retrac,definit,gainzz,usdbtc,euphoria,bought,break,befor,upsid,fibso
iter5_cv_split5,usd,retrac,definit,level,abov,disgrac,usdbtc,masternod,break,amp
iter6_cv_split1,usd,retrac,level,bullish,definit,masternod,day,bought,amp,abov
iter6_cv_split2,usd,retrac,level,bought,gainzz,bullish,disgrac,usdbtc,euphoria,fibso
iter6_cv_split3,usd,level,definit,usdbtc,masternod,befor,upsid,fibso,amp,ethbtc
iter6_cv_split4,usd,retrac,disgrac,euphoria,bought,fibso,upsid,ethusd,ethbtc,shitcoin
iter6_cv_split5,retrac,level,definit,bought,break,masternod,bullish,befor,disgrac,usdbtc
iter7_cv_split1,retrac,level,definit,bullish,bought,masternod,break,euphoria,shitcoin,befor
iter7_cv_split2,usd,retrac,level,usdbtc,fibso,upsid,day,amp,time,ethusd
iter7_cv_split3,usd,retrac,level,disgrac,definit,masternod,fomo,bought,abov,fibso
iter7_cv_split4,usd,retrac,bought,disgrac,usdbtc,masternod,shitcoin,upsid,fibso,breakout
