,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,ath,pampit,pump,btc,permabul,near,strong,onc,ma,great
iter1_cv_split2,pump,use,onc,pampit,btc,set,fork,strong,price,ath
iter1_cv_split3,pampit,price,set,btc,permabul,ath,couldnt,use,fork,hodl
iter1_cv_split4,pump,pampit,price,onc,play,watch,analysi,great,near,man
iter1_cv_split5,pump,onc,ma,btc,pampit,price,obvious,afterif,asleep,couldnt
iter2_cv_split1,pump,pampit,permabul,use,onc,great,asleep,analysi,hope,strong
iter2_cv_split2,pump,near,onc,btc,ath,use,hodl,permabul,sleepi,pampit
iter2_cv_split3,pump,ath,pampit,onc,btc,permabul,use,great,near,ma
iter2_cv_split4,ath,ma,great,btc,fork,onc,pampit,price,watch,spot
iter2_cv_split5,price,pampit,near,btc,permabul,great,strong,analysi,asleep,ma
iter3_cv_split1,pump,price,pampit,great,ath,onc,analysi,use,sleepi,ma
iter3_cv_split2,pump,permabul,pampit,onc,near,strong,set,btc,price,great
iter3_cv_split3,pump,pampit,onc,use,ath,btc,permabul,hope,set,analysi
iter3_cv_split4,pampit,ma,ath,btc,permabul,use,fork,onc,updat,hodl
iter3_cv_split5,pump,near,onc,let,ath,ma,great,btc,price,play
iter4_cv_split1,pump,ma,price,pampit,ath,btc,asleep,fork,obvious,afterif
iter4_cv_split2,ath,pampit,ma,price,permabul,analysi,great,onc,play,instead
iter4_cv_split3,pump,pampit,onc,permabul,near,btc,use,couldnt,analysi,hope
iter4_cv_split4,pump,onc,btc,pampit,near,great,price,ath,use,updat
iter4_cv_split5,pump,pampit,ma,great,onc,use,near,fork,asleep,sleepi
iter5_cv_split1,pump,near,pampit,fork,ma,ath,great,use,spot,strong
iter5_cv_split2,pampit,onc,btc,play,hodl,use,watch,near,fork,ath
iter5_cv_split3,pump,price,pampit,onc,great,set,ath,permabul,btc,near
iter5_cv_split4,pump,ath,use,price,onc,permabul,pampit,great,afterif,obvious
iter5_cv_split5,btc,permabul,analysi,onc,pump,ma,let,play,watch,pampit
iter6_cv_split1,pampit,onc,ma,price,permabul,ath,btc,great,play,couldnt
iter6_cv_split2,pump,onc,ath,play,pampit,great,use,btc,hope,fork
iter6_cv_split3,pump,pampit,onc,near,price,use,fork,permabul,watch,great
iter6_cv_split4,pump,ma,btc,pampit,great,onc,permabul,analysi,strong,asleep
iter6_cv_split5,ath,pampit,pump,near,fork,watch,price,btc,strong,asleep
iter7_cv_split1,pump,ath,pampit,permabul,onc,btc,fork,use,price,great
iter7_cv_split2,pump,pampit,play,ath,btc,permabul,near,watch,asleep,onc
iter7_cv_split3,ma,ath,hodl,permabul,great,onc,strong,watch,fork,use
iter7_cv_split4,pump,price,pampit,ath,permabul,set,onc,btc,strong,ma
