,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.6666666666666666,0.6172839506172839,1.0,0.625,5,9,7,2,45,3,0,6,4,78,0,0,0,195,0,0,0,39
iter1_cv_split2,0.8076923076923077,0.6153846153846154,1.0,0.6253968253968254,10,4,6,0,47,1,0,4,6,79,0,0,0,197,0,0,0,39
iter1_cv_split3,0.5384615384615384,0.6282051282051282,1.0,0.6222222222222222,0,11,8,2,39,8,1,6,3,80,0,0,0,196,0,0,0,39
iter1_cv_split4,0.6025641025641025,0.6282051282051282,1.0,0.6222222222222222,0,19,0,0,43,6,0,6,4,80,0,0,0,196,0,0,0,39
iter1_cv_split5,0.5384615384615384,0.6282051282051282,1.0,0.6222222222222222,4,16,0,2,34,13,0,5,4,79,0,0,0,196,0,0,0,40
iter2_cv_split1,0.5432098765432098,0.6172839506172839,1.0,0.625,0,14,7,3,43,4,1,8,1,78,0,0,0,195,0,0,0,39
iter2_cv_split2,0.6282051282051282,0.6153846153846154,1.0,0.6253968253968254,6,5,9,5,41,2,0,8,2,79,0,0,0,197,0,0,0,39
iter2_cv_split3,0.6025641025641025,0.6282051282051282,1.0,0.6222222222222222,0,10,9,0,42,7,0,5,5,80,0,0,0,196,0,0,0,39
iter2_cv_split4,0.5641025641025641,0.6282051282051282,1.0,0.6222222222222222,0,19,0,0,38,11,1,3,6,80,0,0,0,196,0,0,0,39
iter2_cv_split5,0.6538461538461539,0.6282051282051282,1.0,0.6222222222222222,8,12,0,5,41,3,0,7,2,79,0,0,0,196,0,0,0,40
iter3_cv_split1,0.654320987654321,0.6172839506172839,1.0,0.625,9,12,0,1,41,8,0,7,3,78,0,0,0,195,0,0,0,39
iter3_cv_split2,0.6282051282051282,0.6153846153846154,1.0,0.6253968253968254,10,6,4,1,37,10,1,7,2,79,0,0,0,197,0,0,0,39
iter3_cv_split3,0.6923076923076923,0.6282051282051282,1.0,0.6222222222222222,6,13,0,1,47,1,1,8,1,80,0,0,0,196,0,0,0,39
iter3_cv_split4,0.5641025641025641,0.6282051282051282,1.0,0.6222222222222222,0,13,6,4,39,6,0,5,5,80,0,0,0,196,0,0,0,39
