,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,incom,revers,profit,fill,becaus,greed,welcom,got,runat,loss
iter1_cv_split2,stop,incom,die,revers,runat,becaus,alreadi,greed,short,profit
iter1_cv_split3,stop,incom,die,revers,profit,welcom,alreadi,rektfest,foreverif,runat
iter1_cv_split4,stop,revers,incom,die,welcom,becaus,greed,got,alreadi,profit
iter1_cv_split5,stop,die,profit,becaus,greed,alreadi,got,foreverif,rektfest,runat
iter2_cv_split1,stop,incom,revers,welcom,gainzz,pls,fli,hey,profit,rektfest
iter2_cv_split2,stop,incom,revers,die,runat,expect,alreadi,got,greed,becaus
iter2_cv_split3,stop,incom,profit,die,revers,becaus,greed,welcom,runat,alreadi
iter2_cv_split4,incom,profit,revers,die,fill,becaus,greed,got,welcom,runat
iter2_cv_split5,stop,die,profit,becaus,greed,alreadi,got,runat,welcom,pls
iter3_cv_split1,stop,incom,die,revers,welcom,alreadi,profit,got,fill,fli
iter3_cv_split2,stop,incom,die,revers,profit,alreadi,becaus,welcom,greed,rektfest
iter3_cv_split3,stop,profit,got,runat,short,becaus,rektfest,foreverif,greed,fill
iter3_cv_split4,stop,revers,incom,die,becaus,greed,runat,profit,alreadi,foreverif
iter3_cv_split5,incom,got,die,revers,profit,becaus,greed,welcom,alreadi,stop
iter4_cv_split1,stop,die,profit,becaus,greed,alreadi,rektfest,foreverif,fill,bounc
iter4_cv_split2,incom,die,revers,profit,becaus,got,greed,alreadi,welcom,fill
iter4_cv_split3,stop,incom,revers,die,alreadi,got,runat,profit,welcom,start
iter4_cv_split4,stop,incom,revers,profit,welcom,runat,got,fill,bounc,rektfest
iter4_cv_split5,stop,incom,die,becaus,revers,greed,rektfest,fall,foreverif,alreadi
iter5_cv_split1,stop,incom,die,revers,profit,becaus,greed,welcom,alreadi,foreverif
iter5_cv_split2,stop,die,profit,welcom,alreadi,got,runat,expect,fill,bounc
iter5_cv_split3,stop,incom,revers,becaus,greed,profit,gainzz,welcom,got,short
iter5_cv_split4,stop,incom,die,revers,runat,becaus,greed,got,alreadi,foreverif
iter5_cv_split5,die,revers,incom,got,profit,dump,becaus,greed,alreadi,welcom
iter6_cv_split1,stop,incom,revers,die,welcom,becaus,greed,alreadi,profit,rektfest
iter6_cv_split2,stop,incom,die,revers,becaus,greed,runat,alreadi,got,foreverif
iter6_cv_split3,stop,profit,got,becaus,welcom,rektfest,foreverif,short,greed,fill
iter6_cv_split4,stop,incom,die,revers,becaus,profit,greed,runat,got,alreadi
iter6_cv_split5,incom,die,profit,revers,dump,got,welcom,alreadi,runat,stop
iter7_cv_split1,stop,incom,die,revers,profit,welcom,alreadi,runat,foreverif,rektfest
iter7_cv_split2,stop,incom,revers,becaus,greed,welcom,gainzz,profit,foreverif,rektfest
iter7_cv_split3,profit,die,got,stop,fill,dump,becaus,greed,welcom,runat
iter7_cv_split4,stop,incom,die,revers,profit,alreadi,becaus,welcom,greed,runat
iter7_cv_split5,stop,die,incom,revers,becaus,runat,greed,got,alreadi,sinc
iter8_cv_split1,incom,die,revers,stop,welcom,becaus,greed,got,dump,profit
iter8_cv_split2,stop,revers,incom,profit,becaus,greed,got,welcom,runat,fill
iter8_cv_split3,stop,incom,die,revers,profit,welcom,alreadi,got,runat,foreverif
iter8_cv_split4,stop,incom,die,revers,alreadi,got,becaus,welcom,profit,runat
iter8_cv_split5,stop,die,becaus,greed,runat,expect,short,profit,alreadi,fill
iter9_cv_split1,stop,incom,die,welcom,revers,alreadi,bounc,fill,profit,gainzz
iter9_cv_split2,stop,incom,die,revers,becaus,greed,got,runat,profit,alreadi
iter9_cv_split3,stop,profit,greed,becaus,got,welcom,runat,fill,rektfest,foreverif
iter9_cv_split4,incom,die,profit,revers,got,becaus,dump,stop,greed,alreadi
iter9_cv_split5,stop,incom,revers,die,profit,alreadi,welcom,runat,got,foreverif
iter10_cv_split1,stop,incom,die,revers,welcom,profit,runat,alreadi,got,pls
