,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,line,befor,fomo,bought,coin,rebuy,shitcoin,usd,disgrac,order
iter1_cv_split2,level,bought,befor,bullish,retrac,shitcoin,usd,breakout,good,day
iter1_cv_split3,bought,level,bullish,usd,retrac,flag,support,order,befor,everi
iter1_cv_split4,level,bought,retrac,fomo,befor,shitcoin,bullish,day,order,masternod
iter1_cv_split5,befor,level,retrac,shitcoin,flag,sat,bought,coin,breakout,usd
iter2_cv_split1,bought,befor,level,retrac,bullish,usd,prepar,breakout,good,rebuy
iter2_cv_split2,level,befor,retrac,coin,flag,line,shitcoin,bought,fomo,order
iter2_cv_split3,bought,coin,level,befor,line,sat,usd,amp,good,bullish
iter2_cv_split4,level,bought,fomo,retrac,day,daili,usd,shitcoin,time,rebuy
iter2_cv_split5,bought,befor,level,fomo,shitcoin,usd,fall,coin,disgrac,day
iter3_cv_split1,befor,level,bought,fomo,rebuy,daili,coin,shitcoin,usd,bullish
iter3_cv_split2,bought,line,level,rsi,bullish,day,retrac,usd,break,order
iter3_cv_split3,befor,level,bought,coin,retrac,flag,usd,line,good,support
iter3_cv_split4,befor,bought,fomo,level,retrac,shitcoin,usd,usdbtc,definit,masternod
iter3_cv_split5,level,bought,befor,retrac,shitcoin,good,bullish,order,breakout,fibso
iter4_cv_split1,bought,level,retrac,bullish,befor,line,usd,masternod,order,good
iter4_cv_split2,befor,level,bought,retrac,usd,line,fomo,usdbtc,flag,euphoria
iter4_cv_split3,bought,level,retrac,day,bullish,coin,fomo,rsi,usd,shitcoin
iter4_cv_split4,level,befor,bought,good,fomo,bullish,shitcoin,usd,wait,coin
iter4_cv_split5,level,befor,bought,shitcoin,coin,order,flag,disgrac,line,breakout
iter5_cv_split1,level,bought,befor,coin,fomo,bullish,usd,shitcoin,euphoria,breakout
iter5_cv_split2,bought,fomo,level,retrac,line,coin,befor,shitcoin,usd,flag
iter5_cv_split3,bought,level,fomo,retrac,coin,shitcoin,breakout,bullish,rsi,everi
iter5_cv_split4,level,befor,line,day,breakout,bought,usd,shitcoin,order,usdbtc
iter5_cv_split5,level,retrac,bought,befor,sat,bullish,rebuy,usd,good,chart
iter6_cv_split1,level,bought,retrac,line,befor,good,usd,target,fall,usdbtc
iter6_cv_split2,bought,flag,coin,shitcoin,amp,sat,order,rebuy,line,masternod
iter6_cv_split3,level,bought,befor,fomo,bullish,masternod,usd,shitcoin,good,alt
iter6_cv_split4,level,bought,fomo,bullish,befor,retrac,usd,breakout,order,definit
iter6_cv_split5,level,befor,retrac,breakout,shitcoin,line,usd,day,order,coin
iter7_cv_split1,bought,bullish,coin,shitcoin,flag,amp,day,order,tight,masternod
iter7_cv_split2,level,bought,befor,coin,fomo,retrac,rebuy,usd,line,bullish
iter7_cv_split3,level,bought,befor,retrac,good,bullish,shitcoin,usd,line,masternod
iter7_cv_split4,level,befor,bought,retrac,shitcoin,usd,fomo,day,rebuy,breakout
iter7_cv_split5,bought,fomo,level,befor,bullish,breakout,usd,line,order,rsi
iter8_cv_split1,level,bought,fomo,line,usd,bullish,sat,shitcoin,fall,befor
iter8_cv_split2,level,befor,fomo,rebuy,retrac,shitcoin,bullish,order,bought,breakout
iter8_cv_split3,befor,bought,level,fomo,retrac,line,usd,order,usdbtc,breakout
iter8_cv_split4,bought,level,day,bullish,befor,retrac,usd,target,support,coin
iter8_cv_split5,bought,level,retrac,coin,usd,shitcoin,flag,good,disgrac,sat
iter9_cv_split1,level,befor,retrac,daili,bought,start,coin,shitcoin,usd,order
iter9_cv_split2,level,bullish,breakout,line,fomo,retrac,shitcoin,sat,usd,amp
iter9_cv_split3,bought,level,befor,fomo,retrac,line,usd,good,flag,bullish
iter9_cv_split4,bought,coin,befor,good,bullish,usd,line,alt,retrac,breakout
iter9_cv_split5,bought,level,fomo,befor,rebuy,shitcoin,coin,bullish,flag,order
iter10_cv_split1,coin,level,line,befor,bullish,chart,usd,shitcoin,order,breakout
iter10_cv_split2,level,bought,line,retrac,fomo,befor,shitcoin,day,usdbtc,flag
