,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,use,price,watch,trade,ath,hodl,near,marketcap,pump,extrem
iter1_cv_split2,pump,onc,price,use,ath,watch,couldnt,strong,pampit,altcoin
iter1_cv_split3,use,onc,pampit,watch,play,ath,hodl,hope,exchang,marketcap
iter1_cv_split4,pump,onc,btc,hodl,price,ma,marketcap,play,trade,hope
iter1_cv_split5,use,pampit,price,hodl,exchang,ath,watch,play,signal,btc
iter2_cv_split1,ath,let,onc,watch,marketcap,ma,price,use,exchang,pump
iter2_cv_split2,pump,onc,pampit,price,use,btc,hodl,play,marketcap,strong
iter2_cv_split3,use,price,onc,ath,trade,signal,marketcap,watch,strong,hodl
iter2_cv_split4,use,ath,btc,onc,amp,watch,signal,pampit,bitcoin,near
iter2_cv_split5,pump,price,use,onc,strong,pampit,marketcap,watch,trade,btc
iter3_cv_split1,price,ath,btc,bitcoin,watch,use,hodl,marketcap,wave,pump
iter3_cv_split2,use,onc,ath,trade,play,hope,exchang,pampit,hodl,watch
iter3_cv_split3,onc,hodl,pampit,ath,strong,use,trade,btc,resist,exchang
iter3_cv_split4,onc,pump,use,price,pampit,watch,btc,exchang,everybodi,signal
iter3_cv_split5,use,onc,price,ath,watch,pump,btc,marketcap,signal,pampit
iter4_cv_split1,pump,onc,pampit,price,watch,ath,use,new,couldnt,higher
iter4_cv_split2,watch,use,pampit,marketcap,strong,bitcoin,trade,onc,everybodi,exchang
iter4_cv_split3,pump,price,pampit,hodl,use,trade,btc,way,watch,near
iter4_cv_split4,pump,use,ath,onc,watch,wave,exchang,hodl,trade,price
iter4_cv_split5,pampit,onc,price,use,pump,hodl,ath,pass,resist,don
iter5_cv_split1,use,exchang,strong,ath,altcoin,price,marketcap,afterif,obvious,hodl
iter5_cv_split2,price,use,play,pump,hodl,pampit,watch,onc,altcoin,trade
iter5_cv_split3,use,onc,price,pump,watch,permabul,pampit,bitcoin,ath,exchang
iter5_cv_split4,onc,pampit,ath,price,pump,marketcap,hodl,signal,use,figur
iter5_cv_split5,pump,watch,ath,use,onc,price,marketcap,pampit,exchang,btc
iter6_cv_split1,use,onc,watch,pampit,trade,pump,hodl,price,exchang,ath
iter6_cv_split2,use,watch,pampit,price,pump,btc,fork,onc,marketcap,altcoin
iter6_cv_split3,onc,price,pump,ath,pampit,watch,use,exchang,trade,pass
iter6_cv_split4,use,ath,pampit,onc,hodl,pump,price,btc,marketcap,ma
iter6_cv_split5,price,btc,onc,near,hodl,marketcap,strong,play,couldnt,ma
iter7_cv_split1,pump,hodl,play,break,pampit,use,btc,great,near,price
