,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.6049382716049383,0.6172839506172839,0.967948717948718,0.625,0,21,0,2,46,2,0,7,3,78,0,0,0,195,0,0,10,29
iter1_cv_split2,0.6538461538461539,0.6153846153846154,0.9650793650793651,0.6253968253968254,5,15,0,2,46,0,0,10,0,79,0,0,0,197,0,0,11,28
iter1_cv_split3,0.6153846153846154,0.6282051282051282,0.9714285714285714,0.6222222222222222,0,19,0,0,46,3,1,7,2,80,0,0,0,196,0,0,9,30
iter1_cv_split4,0.8205128205128205,0.6282051282051282,0.9492063492063492,0.6222222222222222,19,0,0,4,44,1,0,9,1,75,5,0,0,196,0,0,11,28
iter1_cv_split5,0.6538461538461539,0.6282051282051282,0.9650793650793651,0.6222222222222222,3,17,0,2,47,0,0,8,1,79,0,0,0,196,0,0,11,29
iter2_cv_split1,0.6296296296296297,0.6172839506172839,0.9647435897435898,0.625,0,21,0,0,49,1,1,7,2,78,0,0,0,195,0,0,11,28
iter2_cv_split2,0.6410256410256411,0.6153846153846154,0.9650793650793651,0.6253968253968254,6,13,1,5,43,0,0,9,1,79,0,0,0,197,0,0,11,28
iter2_cv_split3,0.6666666666666666,0.6282051282051282,0.9682539682539683,0.6222222222222222,5,8,6,2,45,2,0,8,2,80,0,0,0,196,0,0,10,29
iter2_cv_split4,0.6153846153846154,0.6282051282051282,0.9746031746031746,0.6222222222222222,5,14,0,0,41,8,0,8,2,80,0,0,0,196,0,0,8,31
iter2_cv_split5,0.6666666666666666,0.6282051282051282,0.9682539682539683,0.6222222222222222,3,17,0,0,49,0,0,9,0,79,0,0,0,196,0,0,10,30
iter3_cv_split1,0.49382716049382713,0.6172839506172839,0.9711538461538461,0.625,0,21,0,7,39,4,1,8,1,78,0,0,0,195,0,0,9,30
iter3_cv_split2,0.6282051282051282,0.6153846153846154,0.9650793650793651,0.6253968253968254,5,15,0,2,43,3,0,9,1,79,0,0,0,197,0,0,11,28
iter3_cv_split3,0.6666666666666666,0.6282051282051282,0.9682539682539683,0.6222222222222222,6,7,6,2,46,1,0,10,0,80,0,0,1,195,0,0,9,30
iter3_cv_split4,0.7307692307692307,0.6282051282051282,0.9587301587301588,0.6222222222222222,5,8,6,0,49,0,0,7,3,79,1,0,0,196,0,0,12,27
iter3_cv_split5,0.7435897435897436,0.6282051282051282,0.9714285714285714,0.6222222222222222,10,10,0,2,47,0,0,8,1,79,0,0,0,196,0,0,9,31
iter4_cv_split1,0.654320987654321,0.6172839506172839,0.9711538461538461,0.625,4,17,0,0,47,3,0,8,2,78,0,0,0,195,0,0,9,30
iter4_cv_split2,0.6923076923076923,0.6153846153846154,0.9682539682539683,0.6253968253968254,6,14,0,3,45,0,1,6,3,79,0,0,0,197,0,0,10,29
iter4_cv_split3,0.6923076923076923,0.6282051282051282,0.9682539682539683,0.6222222222222222,7,12,0,1,47,1,0,10,0,80,0,0,0,196,0,0,10,29
iter4_cv_split4,0.7692307692307693,0.6282051282051282,0.9587301587301588,0.6222222222222222,10,4,5,1,47,1,0,7,3,80,0,0,0,196,0,0,13,26
iter4_cv_split5,0.6025641025641025,0.6282051282051282,0.9714285714285714,0.6222222222222222,0,20,0,2,47,0,1,8,0,79,0,0,0,196,0,0,9,31
iter5_cv_split1,0.6666666666666666,0.6172839506172839,0.9711538461538461,0.625,6,15,0,2,48,0,0,10,0,78,0,0,0,195,0,0,9,30
iter5_cv_split2,0.6282051282051282,0.6153846153846154,0.9714285714285714,0.6253968253968254,0,20,0,0,48,0,0,9,1,79,0,0,0,197,0,0,9,30
iter5_cv_split3,0.717948717948718,0.6282051282051282,0.9523809523809523,0.6222222222222222,10,9,0,0,46,3,1,9,0,76,4,0,0,196,0,0,11,28
iter5_cv_split4,0.7307692307692307,0.6282051282051282,0.9714285714285714,0.6222222222222222,8,5,6,0,49,0,1,9,0,80,0,0,0,196,0,0,9,30
iter5_cv_split5,0.6025641025641025,0.6282051282051282,0.9682539682539683,0.6222222222222222,0,20,0,0,43,6,1,4,4,79,0,0,0,196,0,0,10,30
iter6_cv_split1,0.8271604938271605,0.6172839506172839,0.9583333333333334,0.625,17,4,0,0,48,2,1,7,2,75,3,0,0,195,0,0,10,29
iter6_cv_split2,0.6153846153846154,0.6153846153846154,0.9682539682539683,0.6253968253968254,0,20,0,0,48,0,0,10,0,79,0,0,0,197,0,0,10,29
iter6_cv_split3,0.6666666666666666,0.6282051282051282,0.9746031746031746,0.6222222222222222,9,10,0,3,42,4,0,9,1,80,0,0,0,196,0,0,8,31
iter6_cv_split4,0.7051282051282052,0.6282051282051282,0.9650793650793651,0.6222222222222222,6,13,0,0,49,0,0,10,0,80,0,0,0,196,0,0,11,28
iter6_cv_split5,0.5384615384615384,0.6282051282051282,0.9650793650793651,0.6222222222222222,0,20,0,5,41,3,0,8,1,79,0,0,0,196,0,0,11,29
iter7_cv_split1,0.7283950617283951,0.6172839506172839,0.9647435897435898,0.625,12,9,0,2,46,2,0,9,1,78,0,0,0,195,0,0,11,28
iter7_cv_split2,0.5256410256410257,0.6153846153846154,0.9714285714285714,0.6253968253968254,0,11,9,5,40,3,0,9,1,79,0,0,0,197,0,0,9,30
iter7_cv_split3,0.717948717948718,0.6282051282051282,0.9650793650793651,0.6222222222222222,6,13,0,0,47,2,0,7,3,80,0,0,0,196,0,0,11,28
iter7_cv_split4,0.6538461538461539,0.6282051282051282,0.9682539682539683,0.6222222222222222,0,19,0,0,49,0,0,8,2,80,0,0,0,196,0,0,10,29
iter7_cv_split5,0.6282051282051282,0.6282051282051282,0.9714285714285714,0.6222222222222222,3,9,8,2,45,2,0,8,1,79,0,0,0,196,0,0,9,31
iter8_cv_split1,0.691358024691358,0.6172839506172839,0.9615384615384616,0.625,5,12,4,0,50,0,0,9,1,76,2,0,0,195,0,0,10,29
iter8_cv_split2,0.6794871794871795,0.6153846153846154,0.9682539682539683,0.6253968253968254,4,16,0,0,47,1,0,8,2,79,0,0,0,197,0,0,10,29
iter8_cv_split3,0.6666666666666666,0.6282051282051282,0.9777777777777777,0.6222222222222222,9,10,0,6,43,0,1,9,0,80,0,0,0,196,0,0,7,32
iter8_cv_split4,0.6666666666666666,0.6282051282051282,0.9619047619047619,0.6222222222222222,7,12,0,0,42,7,0,7,3,80,0,0,0,196,0,0,12,27
iter8_cv_split5,0.7051282051282052,0.6282051282051282,0.9650793650793651,0.6222222222222222,5,15,0,0,49,0,0,8,1,79,0,0,0,196,0,0,11,29
iter9_cv_split1,0.8148148148148148,0.6172839506172839,0.9711538461538461,0.625,17,4,0,0,48,2,0,9,1,78,0,0,0,195,0,0,9,30
iter9_cv_split2,0.6410256410256411,0.6153846153846154,0.9619047619047619,0.6253968253968254,7,13,0,2,42,4,0,9,1,79,0,0,0,197,0,0,12,27
iter9_cv_split3,0.6538461538461539,0.6282051282051282,0.9650793650793651,0.6222222222222222,0,19,0,0,49,0,1,7,2,80,0,0,0,196,0,0,11,28
iter9_cv_split4,0.6410256410256411,0.6282051282051282,0.9746031746031746,0.6222222222222222,6,8,5,5,44,0,0,10,0,80,0,0,0,196,0,0,8,31
iter9_cv_split5,0.6282051282051282,0.6282051282051282,0.9650793650793651,0.6222222222222222,0,20,0,0,49,0,0,9,0,79,0,0,0,196,0,0,11,29
iter10_cv_split1,0.6419753086419753,0.6172839506172839,0.9647435897435898,0.625,5,11,5,0,45,5,0,8,2,78,0,0,0,195,0,0,11,28
iter10_cv_split2,0.6794871794871795,0.6153846153846154,0.9746031746031746,0.6253968253968254,7,13,0,4,44,0,0,8,2,79,0,0,0,197,0,0,8,31
iter10_cv_split3,0.5256410256410257,0.6282051282051282,0.9682539682539683,0.6222222222222222,0,14,5,2,41,6,2,8,0,80,0,0,0,196,0,0,10,29
iter10_cv_split4,0.6410256410256411,0.6282051282051282,0.9650793650793651,0.6222222222222222,4,15,0,3,46,0,0,10,0,80,0,0,0,196,0,0,11,28
iter10_cv_split5,0.8076923076923077,0.6282051282051282,0.9682539682539683,0.6222222222222222,16,4,0,2,47,0,0,9,0,79,0,0,0,196,0,0,10,30
iter11_cv_split1,0.7654320987654321,0.6172839506172839,0.967948717948718,0.625,11,10,0,1,49,0,0,8,2,78,0,0,0,195,0,0,10,29
iter11_cv_split2,0.6923076923076923,0.6153846153846154,0.9682539682539683,0.6253968253968254,6,14,0,0,45,3,0,7,3,79,0,0,0,197,0,0,10,29
iter11_cv_split3,0.5897435897435898,0.6282051282051282,0.9682539682539683,0.6222222222222222,0,19,0,4,45,0,0,9,1,80,0,0,0,196,0,0,10,29
iter11_cv_split4,0.5897435897435898,0.6282051282051282,0.9777777777777777,0.6222222222222222,0,12,7,2,45,2,0,9,1,80,0,0,0,196,0,0,7,32
iter11_cv_split5,0.6153846153846154,0.6282051282051282,0.9619047619047619,0.6222222222222222,0,20,0,2,47,0,0,8,1,79,0,0,0,196,0,0,12,28
iter12_cv_split1,0.7901234567901234,0.6172839506172839,0.9615384615384616,0.625,18,3,0,6,44,0,0,8,2,78,0,0,0,195,0,0,12,27
iter12_cv_split2,0.6794871794871795,0.6153846153846154,0.9714285714285714,0.6253968253968254,3,17,0,0,48,0,0,8,2,79,0,0,0,197,0,0,9,30
iter12_cv_split3,0.7051282051282052,0.6282051282051282,0.9650793650793651,0.6222222222222222,5,14,0,0,49,0,0,9,1,80,0,0,0,196,0,0,11,28
iter12_cv_split4,0.5512820512820513,0.6282051282051282,0.9714285714285714,0.6222222222222222,0,19,0,2,43,4,1,9,0,80,0,0,0,196,0,0,9,30
iter12_cv_split5,0.5641025641025641,0.6282051282051282,0.9714285714285714,0.6222222222222222,0,20,0,2,43,4,1,7,1,79,0,0,0,196,0,0,9,31
iter13_cv_split1,0.6172839506172839,0.6172839506172839,0.9583333333333334,0.625,0,21,0,0,49,1,0,9,1,78,0,0,0,195,0,0,13,26
iter13_cv_split2,0.6923076923076923,0.6153846153846154,0.9714285714285714,0.6253968253968254,6,14,0,1,47,0,0,9,1,79,0,0,0,197,0,0,9,30
iter13_cv_split3,0.7435897435897436,0.6282051282051282,0.9682539682539683,0.6222222222222222,9,0,10,1,48,0,0,9,1,80,0,0,0,196,0,0,10,29
iter13_cv_split4,0.6666666666666666,0.6282051282051282,0.9619047619047619,0.6222222222222222,4,15,0,0,47,2,0,9,1,78,2,0,0,196,0,0,10,29
iter13_cv_split5,0.7051282051282052,0.6282051282051282,0.9682539682539683,0.6222222222222222,8,12,0,0,47,2,0,9,0,79,0,0,0,196,0,0,10,30
iter14_cv_split1,0.6419753086419753,0.6172839506172839,0.967948717948718,0.625,0,21,0,0,50,0,0,8,2,78,0,0,0,195,0,0,10,29
iter14_cv_split2,0.7307692307692307,0.6153846153846154,0.9619047619047619,0.6253968253968254,9,11,0,0,45,3,0,7,3,79,0,0,0,197,0,0,12,27
iter14_cv_split3,0.8076923076923077,0.6282051282051282,0.9714285714285714,0.6222222222222222,17,2,0,4,45,0,0,9,1,80,0,0,1,195,0,0,8,31
iter14_cv_split4,0.6538461538461539,0.6282051282051282,0.9682539682539683,0.6222222222222222,5,14,0,1,46,2,1,9,0,80,0,0,0,196,0,0,10,29
iter14_cv_split5,0.6025641025641025,0.6282051282051282,0.9650793650793651,0.6222222222222222,8,6,6,7,39,3,0,9,0,79,0,0,0,196,0,0,11,29
iter15_cv_split1,0.6049382716049383,0.6172839506172839,0.9647435897435898,0.625,0,16,5,2,48,0,0,9,1,78,0,0,0,195,0,0,11,28
iter15_cv_split2,0.6923076923076923,0.6153846153846154,0.9650793650793651,0.6253968253968254,12,8,0,5,40,3,0,8,2,79,0,0,0,197,0,0,11,28
iter15_cv_split3,0.6025641025641025,0.6282051282051282,0.9650793650793651,0.6222222222222222,0,19,0,1,47,1,0,10,0,80,0,0,0,196,0,0,11,28
iter15_cv_split4,0.7051282051282052,0.6282051282051282,0.9746031746031746,0.6222222222222222,5,14,0,0,48,1,0,8,2,80,0,0,0,196,0,0,8,31
iter15_cv_split5,0.8333333333333334,0.6282051282051282,0.9650793650793651,0.6222222222222222,14,6,0,0,49,0,0,7,2,79,0,0,0,196,0,0,11,29
iter16_cv_split1,0.5061728395061729,0.6172839506172839,0.9615384615384616,0.625,0,14,7,6,40,4,0,9,1,78,0,0,0,195,0,0,12,27
iter16_cv_split2,0.717948717948718,0.6153846153846154,0.9714285714285714,0.6253968253968254,12,8,0,2,43,3,1,8,1,79,0,0,0,197,0,0,9,30
iter16_cv_split3,0.6282051282051282,0.6282051282051282,0.9746031746031746,0.6222222222222222,0,19,0,0,49,0,0,10,0,80,0,0,0,196,0,0,8,31
iter16_cv_split4,0.7435897435897436,0.6282051282051282,0.9619047619047619,0.6222222222222222,8,11,0,1,48,0,0,8,2,80,0,0,0,196,0,0,12,27
iter16_cv_split5,0.6538461538461539,0.6282051282051282,0.9650793650793651,0.6222222222222222,4,16,0,2,45,2,0,7,2,79,0,0,0,196,0,0,11,29
iter17_cv_split1,0.6296296296296297,0.6172839506172839,0.9615384615384616,0.625,0,21,0,0,50,0,0,9,1,78,0,0,0,195,0,0,12,27
iter17_cv_split2,0.8333333333333334,0.6153846153846154,0.9682539682539683,0.6253968253968254,15,5,0,0,48,0,0,8,2,79,0,0,0,197,0,0,10,29
