,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,stop,incom,revers,got,die,profit,fill,alreadi,runat,welcom
iter1_cv_split2,stop,incom,revers,profit,got,short,becaus,greed,fill,runat
iter1_cv_split3,stop,profit,dump,die,got,start,alreadi,becaus,cloud,greed
iter1_cv_split4,stop,profit,incom,die,revers,alreadi,becaus,greed,start,welcom
iter1_cv_split5,stop,revers,incom,die,alreadi,profit,fill,welcom,start,becaus
iter2_cv_split1,profit,revers,incom,die,becaus,alreadi,greed,stop,cloud,start
iter2_cv_split2,stop,incom,revers,got,die,alreadi,becaus,dump,greed,cloud
iter2_cv_split3,stop,incom,revers,die,profit,got,fill,welcom,alreadi,runat
iter2_cv_split4,stop,profit,dump,fill,runat,becaus,start,expect,got,greed
iter2_cv_split5,stop,incom,profit,die,revers,got,fill,alreadi,start,greed
iter3_cv_split1,stop,got,revers,incom,fill,profit,start,short,becaus,welcom
iter3_cv_split2,got,stop,profit,incom,revers,fill,dump,die,alreadi,welcom
iter3_cv_split3,stop,incom,profit,revers,fill,die,got,becaus,runat,greed
iter3_cv_split4,stop,die,alreadi,got,becaus,short,greed,dump,cloud,profit
iter3_cv_split5,stop,incom,profit,revers,greed,becaus,dump,die,runat,cloud
iter4_cv_split1,stop,got,incom,die,profit,revers,becaus,greed,start,welcom
iter4_cv_split2,stop,profit,runat,becaus,greed,expect,start,pls,fli,hey
iter4_cv_split3,stop,got,die,incom,becaus,revers,short,runat,alreadi,greed
iter4_cv_split4,stop,profit,die,fill,got,runat,incom,revers,alreadi,expect
iter4_cv_split5,profit,got,incom,stop,revers,die,fill,alreadi,dump,welcom
iter5_cv_split1,stop,incom,die,start,revers,gainzz,welcom,alreadi,loss,pls
iter5_cv_split2,stop,profit,got,die,fill,becaus,greed,start,alreadi,runat
iter5_cv_split3,stop,profit,revers,incom,got,start,dump,becaus,welcom,greed
iter5_cv_split4,incom,revers,stop,got,die,becaus,profit,runat,greed,fill
iter5_cv_split5,stop,profit,die,incom,revers,got,dump,alreadi,runat,welcom
iter6_cv_split1,incom,stop,profit,revers,die,becaus,let,greed,runat,alreadi
iter6_cv_split2,profit,got,incom,revers,die,fill,stop,alreadi,dump,welcom
iter6_cv_split3,stop,incom,die,revers,alreadi,becaus,greed,dump,short,start
iter6_cv_split4,stop,incom,revers,got,profit,becaus,runat,greed,fill,short
iter6_cv_split5,stop,profit,die,alreadi,got,runat,start,fill,dump,cloud
iter7_cv_split1,stop,profit,die,alreadi,got,let,dump,welcom,fill,bounc
iter7_cv_split2,stop,incom,revers,die,welcom,gainzz,becaus,greed,start,dump
iter7_cv_split3,profit,got,incom,stop,revers,fill,dump,start,runat,becaus
iter7_cv_split4,stop,revers,incom,profit,got,die,fill,runat,expect,becaus
iter7_cv_split5,stop,incom,revers,die,profit,cloud,runat,alreadi,fill,got
iter8_cv_split1,stop,incom,revers,die,dump,got,fill,short,alreadi,becaus
iter8_cv_split2,stop,got,profit,fill,revers,incom,becaus,greed,cloud,runat
iter8_cv_split3,stop,profit,incom,got,revers,die,alreadi,cloud,fill,ok
iter8_cv_split4,stop,incom,got,revers,profit,dump,die,start,fill,becaus
iter8_cv_split5,stop,die,profit,alreadi,becaus,greed,runat,start,pls,fli
iter9_cv_split1,stop,incom,revers,die,fill,profit,becaus,greed,alreadi,runat
