,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,befor,level,start,bought,stoch,rsi,time,chart,masternod,breakout
iter1_cv_split2,level,stoch,target,rsi,bought,fomo,sat,fib,befor,order
iter1_cv_split3,level,bought,coin,daili,stoch,rsi,amp,good,wait,alt
iter1_cv_split4,coin,bought,befor,level,wait,daili,rsi,support,stoch,break
iter1_cv_split5,level,rsi,coin,stoch,good,befor,day,entri,fomo,line
iter2_cv_split1,level,daili,befor,abov,fomo,fall,entri,sat,breakout,break
iter2_cv_split2,befor,rsi,stoch,level,bought,daili,support,breakout,target,entri
iter2_cv_split3,level,bought,stoch,rsi,order,entri,fomo,befor,masternod,fuck
iter2_cv_split4,level,coin,amp,bought,fib,befor,good,target,line,support
iter2_cv_split5,befor,stoch,daili,rsi,level,target,bought,abov,entri,fomo
iter3_cv_split1,befor,coin,stoch,daili,rsi,level,target,good,abov,bought
iter3_cv_split2,level,bought,befor,order,target,look,breakout,entri,everi,sat
iter3_cv_split3,level,daili,rsi,bought,target,support,stoch,order,line,retrac
iter3_cv_split4,level,stoch,rsi,bought,time,fib,masternod,line,support,entri
iter3_cv_split5,level,stoch,befor,rsi,daili,wait,bought,good,amp,break
iter4_cv_split1,bought,befor,amp,level,entri,target,line,breakout,fomo,order
iter4_cv_split2,level,coin,target,chart,masternod,line,bought,stoch,order,look
iter4_cv_split3,level,stoch,befor,rsi,daili,bought,line,entri,everi,fall
iter4_cv_split4,level,rsi,daili,coin,stoch,befor,bought,target,entri,everi
iter4_cv_split5,level,rsi,daili,stoch,befor,bought,support,sat,order,line
iter5_cv_split1,level,bought,befor,stoch,rsi,daili,abov,chart,entri,fall
iter5_cv_split2,level,befor,bought,wait,stoch,day,everi,break,rsi,shitcoin
iter5_cv_split3,level,wait,bought,target,coin,stoch,rsi,line,support,fib
iter5_cv_split4,level,befor,bought,stoch,rsi,coin,line,target,entri,fib
iter5_cv_split5,coin,befor,daili,level,stoch,good,rsi,order,everi,masternod
iter6_cv_split1,level,bought,wait,coin,daili,abov,order,fall,fomo,befor
iter6_cv_split2,level,daili,rsi,time,stoch,befor,bought,line,fomo,target
iter6_cv_split3,stoch,level,rsi,befor,coin,target,entri,sat,masternod,order
iter6_cv_split4,level,befor,daili,rsi,stoch,bought,breakout,fomo,look,entri
iter6_cv_split5,level,coin,daili,bought,rsi,stoch,befor,good,support,target
iter7_cv_split1,level,bought,stoch,rsi,wait,fomo,line,sat,good,befor
iter7_cv_split2,level,coin,stoch,rsi,bought,daili,befor,line,support,entri
iter7_cv_split3,rsi,level,stoch,good,befor,entri,breakout,sat,masternod,wait
iter7_cv_split4,level,bought,befor,stoch,fomo,everi,masternod,entri,rsi,close
iter7_cv_split5,level,befor,daili,coin,bought,target,stoch,rsi,order,masternod
iter8_cv_split1,level,bought,stoch,rsi,befor,wait,target,daili,fall,entri
iter8_cv_split2,level,coin,bought,day,order,chart,sat,rsi,fomo,stoch
iter8_cv_split3,level,befor,stoch,bought,rsi,look,breakout,target,masternod,everi
iter8_cv_split4,befor,stoch,start,rsi,bought,order,fomo,entri,level,line
iter8_cv_split5,level,rsi,target,befor,bought,daili,stoch,amp,sat,line
iter9_cv_split1,rsi,coin,stoch,level,bought,daili,befor,chart,breakout,fall
iter9_cv_split2,befor,bought,level,daili,abov,fomo,fall,everi,order,entri
iter9_cv_split3,level,bought,coin,rsi,daili,stoch,wait,good,line,chart
iter9_cv_split4,level,stoch,rsi,befor,masternod,order,entri,fib,fomo,line
iter9_cv_split5,level,befor,bought,stoch,time,rsi,breakout,sat,fomo,everi
iter10_cv_split1,level,daili,bought,target,stoch,rsi,support,start,sat,order
iter10_cv_split2,level,bought,befor,coin,daili,good,order,entri,fall,fomo
iter10_cv_split3,level,stoch,rsi,befor,bought,target,wait,good,everi,support
