,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,market,bitcoin,use,amp,let,btc,alt,target,ath,year
iter1_cv_split2,price,bitcoin,use,new,watch,start,btc,look,marketcap,pass
iter1_cv_split3,price,watch,chart,bitcoin,new,bear,like,use,end,time
iter1_cv_split4,price,bitcoin,exchang,like,time,new,onc,use,amp,alt
iter1_cv_split5,market,bitcoin,amp,bull,exchang,use,time,pump,ll,btc
iter2_cv_split1,price,let,bitcoin,market,time,everi,support,signal,use,amp
iter2_cv_split2,market,bitcoin,use,onc,amp,alt,price,btc,time,let
iter2_cv_split3,market,bitcoin,amp,target,use,new,let,hit,alt,onc
iter2_cv_split4,price,market,time,bitcoin,btc,use,ath,look,signal,chart
iter2_cv_split5,bitcoin,price,use,watch,like,chart,onc,btc,masternod,exchang
iter3_cv_split1,bitcoin,price,market,look,time,amp,onc,signal,like,break
iter3_cv_split2,bitcoin,use,time,alt,amp,new,btc,blockmarket,bear,watch
iter3_cv_split3,use,bitcoin,price,btc,new,amp,start,pump,masternod,onc
iter3_cv_split4,market,bitcoin,use,amp,alt,new,onc,target,signal,btc
iter3_cv_split5,price,market,bitcoin,use,watch,chart,ath,entri,btc,exchang
iter4_cv_split1,bitcoin,time,watch,btc,chart,alt,onc,use,look,like
iter4_cv_split2,market,price,bitcoin,btc,new,use,near,time,alt,exchang
iter4_cv_split3,market,price,use,amp,let,target,pampit,hope,marketcap,new
iter4_cv_split4,market,price,bitcoin,btc,watch,chart,use,amp,break,marketcap
iter4_cv_split5,bitcoin,price,chart,use,everi,watch,btc,amp,ath,signal
iter5_cv_split1,bitcoin,target,new,price,amp,use,alt,tho,ath,look
iter5_cv_split2,price,bitcoin,time,alt,look,target,use,hodl,pampit,support
iter5_cv_split3,price,market,bitcoin,use,amp,time,btc,new,alt,watch
iter5_cv_split4,market,price,time,btc,amp,use,bitcoin,chart,marketcap,onc
iter5_cv_split5,bitcoin,market,amp,price,use,btc,signal,target,alt,marketcap
iter6_cv_split1,market,price,bitcoin,watch,amp,alt,target,onc,new,ath
iter6_cv_split2,price,market,bitcoin,use,let,watch,amp,hodl,hold,new
iter6_cv_split3,price,bitcoin,market,time,marketcap,use,watch,exchang,chart,amp
iter6_cv_split4,market,use,bitcoin,chart,exchang,amp,time,start,marketcap,like
iter6_cv_split5,market,price,bitcoin,use,alt,btc,like,new,time,start
iter7_cv_split1,price,market,btc,watch,alt,break,exchang,use,new,near
iter7_cv_split2,bitcoin,market,amp,price,pump,trade,watch,btc,alt,target
iter7_cv_split3,bitcoin,use,btc,amp,target,marketcap,pass,onc,exchang,bear
iter7_cv_split4,market,bitcoin,time,use,amp,like,new,pampit,onc,bull
iter7_cv_split5,bitcoin,price,use,amp,new,scale,chart,ll,btc,ath
iter8_cv_split1,bitcoin,price,market,amp,use,btc,alt,watch,way,signal
iter8_cv_split2,price,bitcoin,market,onc,marketcap,amp,target,use,time,signal
iter8_cv_split3,market,time,amp,bitcoin,btc,pump,alt,use,bear,exchang
iter8_cv_split4,bitcoin,new,use,amp,chart,support,ath,ll,near,onc
iter8_cv_split5,market,bitcoin,use,btc,look,exchang,onc,start,ath,hodl
iter9_cv_split1,price,market,use,bitcoin,btc,new,time,amp,look,marketcap
iter9_cv_split2,use,price,bitcoin,btc,amp,ath,chart,exchang,new,bull
iter9_cv_split3,market,price,bitcoin,btc,use,amp,like,support,new,onc
iter9_cv_split4,price,pump,bitcoin,daili,amp,time,chart,alt,btc,target
iter9_cv_split5,market,use,price,bitcoin,watch,pump,decentr,chart,target,hope
iter10_cv_split1,bitcoin,amp,price,chart,signal,btc,use,hodl,look,doesnt
iter10_cv_split2,market,btc,bitcoin,price,use,amp,like,alt,bear,ath
iter10_cv_split3,price,amp,use,market,btc,new,alt,watch,bear,way
iter10_cv_split4,price,bitcoin,let,time,new,amp,alt,use,trade,hodl
iter10_cv_split5,price,bitcoin,chart,watch,time,use,new,btc,look,amp
iter11_cv_split1,bitcoin,price,market,everi,target,amp,use,like,signal,new
iter11_cv_split2,market,bitcoin,price,use,ath,new,amp,watch,everi,look
iter11_cv_split3,bitcoin,use,btc,price,onc,marketcap,bear,new,support,hodl
iter11_cv_split4,market,price,bitcoin,amp,ath,use,alt,bull,support,new
iter11_cv_split5,market,time,btc,use,alt,start,bull,onc,amp,everi
iter12_cv_split1,market,bitcoin,marketcap,onc,price,new,use,chart,alt,end
iter12_cv_split2,price,bitcoin,amp,btc,bull,onc,pampit,marketcap,alt,use
iter12_cv_split3,bitcoin,price,alt,btc,time,amp,use,new,exchang,look
iter12_cv_split4,use,time,bitcoin,amp,btc,onc,target,everi,chart,don
iter12_cv_split5,market,use,target,bitcoin,new,alt,btc,near,time,let
iter13_cv_split1,price,market,use,target,bitcoin,amp,time,look,new,exchang
iter13_cv_split2,use,btc,amp,bitcoin,ath,alt,bear,marketcap,target,pump
iter13_cv_split3,bitcoin,market,time,marketcap,use,break,watch,pass,amp,resist
iter13_cv_split4,market,bitcoin,price,use,btc,new,watch,onc,near,everi
iter13_cv_split5,market,price,bitcoin,btc,use,watch,let,look,bear,pump
iter14_cv_split1,use,market,bitcoin,btc,pampit,support,time,amp,let,chart
iter14_cv_split2,price,bitcoin,break,like,new,time,look,alt,onc,use
iter14_cv_split3,bitcoin,market,price,chart,watch,use,time,new,amp,resist
iter14_cv_split4,use,price,btc,exchang,bitcoin,amp,target,watch,resist,break
iter14_cv_split5,price,bitcoin,time,use,start,alt,new,target,amp,like
iter15_cv_split1,price,market,use,like,btc,exchang,start,amp,alt,new
iter15_cv_split2,use,price,market,let,chart,break,amp,cross,watch,btc
iter15_cv_split3,bitcoin,price,use,btc,let,look,chart,marketcap,near,amp
iter15_cv_split4,market,price,bitcoin,amp,alt,watch,chart,btc,new,way
iter15_cv_split5,bitcoin,time,amp,ath,alt,new,trade,tho,support,near
iter16_cv_split1,price,market,bitcoin,time,amp,btc,use,alt,signal,look
iter16_cv_split2,price,bitcoin,use,amp,btc,signal,watch,hodl,marketcap,exchang
iter16_cv_split3,market,bitcoin,price,time,use,amp,alt,watch,chart,btc
iter16_cv_split4,price,btc,amp,bitcoin,use,time,alt,wave,onc,look
iter16_cv_split5,market,price,use,btc,bitcoin,amp,new,ath,alt,onc
iter17_cv_split1,market,bitcoin,btc,alt,use,amp,time,bear,target,chart
iter17_cv_split2,price,market,chart,bitcoin,use,exchang,btc,amp,watch,look
iter17_cv_split3,bitcoin,price,amp,new,btc,everi,ath,onc,marketcap,hodl
iter17_cv_split4,bitcoin,price,amp,ath,new,start,chart,use,btc,watch
iter17_cv_split5,price,use,market,marketcap,let,bitcoin,btc,look,time,onc
iter18_cv_split1,price,market,bitcoin,target,like,new,time,onc,let,near
iter18_cv_split2,market,use,alt,let,bitcoin,btc,ath,time,break,signal
iter18_cv_split3,market,bitcoin,new,amp,price,time,chart,watch,everi,ath
iter18_cv_split4,price,bitcoin,time,amp,use,btc,look,support,resist,like
iter18_cv_split5,price,use,bitcoin,time,amp,btc,everi,hodl,onc,chart
iter19_cv_split1,price,market,bitcoin,time,btc,ath,alt,target,let,like
iter19_cv_split2,market,price,btc,use,amp,chart,figur,like,scale,new
iter19_cv_split3,time,use,bitcoin,look,marketcap,alt,chart,price,btc,hodl
iter19_cv_split4,price,amp,bitcoin,marketcap,ath,hope,break,new,time,look
iter19_cv_split5,market,bitcoin,btc,amp,time,use,bear,new,watch,alt
iter20_cv_split1,market,price,bitcoin,amp,use,watch,marketcap,ath,exchang,alt
iter20_cv_split2,price,target,bitcoin,amp,like,use,ath,daili,new,masternod
iter20_cv_split3,bitcoin,amp,support,use,watch,new,chart,scale,tho,alt
iter20_cv_split4,market,bitcoin,price,use,btc,break,hodl,time,marketcap,altcoin
iter20_cv_split5,bitcoin,price,target,amp,market,new,everi,onc,signal,ath
iter21_cv_split1,bitcoin,price,time,like,new,marketcap,use,hello,resist,amp
iter21_cv_split2,price,market,use,chart,time,bitcoin,new,amp,watch,let
iter21_cv_split3,bitcoin,price,use,amp,pass,marketcap,btc,exchang,new,onc
iter21_cv_split4,bitcoin,price,market,use,onc,btc,watch,amp,new,alt
iter21_cv_split5,market,bitcoin,end,watch,marketcap,near,trade,ath,chart,amp
iter22_cv_split1,market,bitcoin,new,use,onc,btc,look,everi,pass,marketcap
iter22_cv_split2,market,price,use,btc,marketcap,ath,like,amp,everi,support
iter22_cv_split3,price,bitcoin,amp,chart,use,ath,new,ll,time,away
iter22_cv_split4,bitcoin,amp,market,use,hodl,onc,watch,way,chart,target
iter22_cv_split5,market,price,amp,bitcoin,look,use,time,onc,alt,btc
iter23_cv_split1,bitcoin,price,use,new,ath,amp,chart,like,signal,target
iter23_cv_split2,bitcoin,btc,amp,ath,time,use,watch,new,target,year
iter23_cv_split3,price,market,bitcoin,btc,use,time,alt,amp,hodl,new
iter23_cv_split4,market,use,bitcoin,btc,chart,ath,signal,end,bullish,time
iter23_cv_split5,bitcoin,price,everi,amp,look,hodl,btc,use,support,rememb
iter24_cv_split1,bitcoin,market,chart,everi,ll,new,signal,look,amp,trade
iter24_cv_split2,use,price,market,bitcoin,marketcap,time,onc,pump,btc,target
iter24_cv_split3,market,bitcoin,use,alt,btc,marketcap,onc,let,amp,support
iter24_cv_split4,bitcoin,price,use,btc,time,marketcap,amp,look,like,onc
iter24_cv_split5,price,time,amp,new,watch,exchang,marketcap,chart,btc,onc
iter25_cv_split1,amp,bitcoin,ath,new,time,break,use,chart,btc,altcoin
iter25_cv_split2,market,price,bitcoin,amp,use,btc,chart,bear,time,alt
iter25_cv_split3,price,market,bitcoin,use,onc,amp,time,look,btc,support
iter25_cv_split4,price,bitcoin,market,amp,ath,watch,chart,year,hodl,signal
iter25_cv_split5,bitcoin,market,price,like,btc,amp,use,chart,watch,new
iter26_cv_split1,price,bitcoin,use,time,watch,new,target,ath,chart,everi
iter26_cv_split2,market,price,amp,look,bitcoin,chart,tho,marketcap,bear,scale
iter26_cv_split3,price,market,amp,use,bitcoin,onc,hodl,marketcap,btc,bear
iter26_cv_split4,bitcoin,market,price,use,new,amp,end,ath,near,btc
iter26_cv_split5,market,btc,alt,let,use,amp,trade,don,watch,end
iter27_cv_split1,bitcoin,price,amp,new,use,time,let,ath,exchang,look
iter27_cv_split2,bitcoin,market,btc,use,ath,new,time,watch,hope,everi
iter27_cv_split3,market,amp,price,bitcoin,use,btc,watch,hodl,break,cross
iter27_cv_split4,market,price,time,bitcoin,amp,onc,everi,look,altcoin,alt
iter27_cv_split5,market,amp,bitcoin,btc,use,new,alt,support,chart,hold
iter28_cv_split1,market,bitcoin,use,btc,price,amp,let,near,new,everi
iter28_cv_split2,bitcoin,amp,use,price,btc,chart,break,watch,signal,look
iter28_cv_split3,bitcoin,price,amp,use,new,like,marketcap,support,look,onc
iter28_cv_split4,price,market,bitcoin,let,time,ath,new,use,masternod,watch
iter28_cv_split5,market,look,use,btc,time,bitcoin,amp,ath,new,support
iter29_cv_split1,use,bitcoin,market,time,btc,alt,near,watch,marketcap,new
iter29_cv_split2,bitcoin,price,use,break,onc,ath,everi,look,near,watch
iter29_cv_split3,use,bitcoin,exchang,like,new,watch,btc,break,masternod,onc
iter29_cv_split4,market,bitcoin,btc,price,use,amp,time,alt,new,year
