,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.8024691358024691,0.6172839506172839,0.9711538461538461,0.625,21,0,0,4,42,4,3,5,2,78,0,0,1,192,2,1,5,33
iter1_cv_split2,0.6153846153846154,0.6153846153846154,0.9523809523809523,0.6253968253968254,9,11,0,7,37,4,3,5,2,79,0,0,4,190,3,2,6,31
iter1_cv_split3,0.6282051282051282,0.6282051282051282,0.9682539682539683,0.6222222222222222,4,7,8,2,43,4,0,8,2,80,0,0,3,192,1,1,5,33
iter1_cv_split4,0.6538461538461539,0.6282051282051282,0.9555555555555556,0.6222222222222222,6,13,0,3,43,3,0,8,2,78,2,0,6,189,1,0,5,34
iter1_cv_split5,0.5128205128205128,0.6282051282051282,0.9587301587301588,0.6222222222222222,0,10,10,8,38,3,2,5,2,76,3,0,4,192,0,0,6,34
iter2_cv_split1,0.5308641975308642,0.6172839506172839,0.9487179487179487,0.625,0,16,5,8,39,3,3,3,4,78,0,0,6,185,4,0,6,33
iter2_cv_split2,0.7307692307692307,0.6153846153846154,0.9523809523809523,0.6253968253968254,14,6,0,1,42,5,1,8,1,79,0,0,4,191,2,2,7,30
iter2_cv_split3,0.6923076923076923,0.6282051282051282,0.9492063492063492,0.6222222222222222,11,8,0,9,40,0,2,5,3,80,0,0,6,190,0,2,8,29
iter2_cv_split4,0.6923076923076923,0.6282051282051282,0.9555555555555556,0.6222222222222222,9,0,10,8,41,0,2,4,4,80,0,0,6,189,1,0,7,32
iter2_cv_split5,0.5384615384615384,0.6282051282051282,0.9396825396825397,0.6222222222222222,7,13,0,8,34,7,2,6,1,77,2,0,7,186,3,1,6,33
iter3_cv_split1,0.5061728395061729,0.6172839506172839,0.9647435897435898,0.625,0,14,7,5,39,6,1,7,2,74,4,0,3,190,2,0,2,37
iter3_cv_split2,0.8076923076923077,0.6153846153846154,0.946031746031746,0.6253968253968254,15,5,0,2,45,1,2,5,3,79,0,0,9,188,0,1,7,31
