,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,profit,stop,aka,dimon,shill,jami,cash,demon,lock,day
iter1_cv_split2,profit,cloud,stop,got,market,loss,let,abov,daili,sinc
iter1_cv_split3,profit,stop,loss,market,let,start,set,short,got,fli
iter1_cv_split4,stop,got,dump,let,short,fill,market,set,loss,revers
iter1_cv_split5,stop,got,fill,loss,let,profit,bounc,ok,set,safe
iter2_cv_split1,stop,profit,loss,fill,start,short,got,set,run,exampl
iter2_cv_split2,profit,stop,loss,direct,decid,coin,cloud,good,enoughsold,hour
iter2_cv_split3,profit,stop,price,cloud,time,die,alreadi,short,start,bull
iter2_cv_split4,stop,loss,set,got,short,let,dump,bad,profit,feel
iter2_cv_split5,profit,stop,loss,market,got,let,dump,short,start,set
iter3_cv_split1,stop,profit,loss,got,fill,set,short,start,run,need
iter3_cv_split2,stop,profit,dump,market,cloud,start,price,loss,short,maker
iter3_cv_split3,profit,stop,dump,market,got,loss,let,day,maker,fli
iter3_cv_split4,stop,cloud,got,profit,fill,price,let,short,loss,set
iter3_cv_split5,stop,loss,profit,fill,got,let,set,short,bounc,ok
iter4_cv_split1,stop,profit,loss,set,price,market,start,short,got,dump
iter4_cv_split2,stop,profit,loss,let,got,cloud,set,pls,gainzz,fli
iter4_cv_split3,stop,got,profit,loss,set,time,die,alreadi,bitcoin,fill
iter4_cv_split4,stop,profit,short,ichimoku,like,min,otherwis,better,sorri,sold
iter4_cv_split5,stop,profit,market,cloud,got,let,loss,fill,start,becaus
iter5_cv_split1,stop,profit,let,market,got,fill,dump,start,short,set
iter5_cv_split2,stop,fill,cloud,let,got,market,loss,revers,incom,final
iter5_cv_split3,stop,profit,loss,cloud,start,got,blood,day,lock,airdrop
iter5_cv_split4,stop,cloud,profit,got,fill,revers,incom,sinc,rektfest,ichimoku
iter5_cv_split5,stop,profit,fill,let,run,got,cloud,need,dump,final
iter6_cv_split1,stop,got,profit,loss,dump,start,feel,break,bad,set
iter6_cv_split2,profit,stop,loss,short,start,cloud,winner,set,higher,exampl
iter6_cv_split3,stop,short,fill,start,cloud,profit,let,final,need,jami
iter6_cv_split4,stop,profit,loss,got,price,cloud,set,short,dimon,incom
iter6_cv_split5,stop,loss,profit,got,dump,let,fill,set,cloud,pls
iter7_cv_split1,stop,cloud,profit,loss,alreadi,time,bitcoin,die,abov,foreverif
iter7_cv_split2,got,fill,stop,start,profit,let,bounc,ok,cloud,becaus
iter7_cv_split3,stop,cloud,profit,got,price,dump,start,set,market,loss
iter7_cv_split4,stop,profit,got,let,loss,cloud,price,fill,dump,short
iter7_cv_split5,stop,loss,profit,dump,market,set,pls,maker,fli,got
iter8_cv_split1,stop,profit,short,loss,jami,dimon,aka,demon,cash,shill
iter8_cv_split2,stop,got,let,fill,cloud,dump,start,ichimoku,didn,min
iter8_cv_split3,stop,profit,loss,cloud,price,got,short,set,incom,revers
iter8_cv_split4,profit,stop,market,cloud,let,price,loss,got,set,expect
iter8_cv_split5,stop,profit,loss,dump,price,got,set,short,cloud,run
iter9_cv_split1,stop,loss,set,profit,got,short,start,break,feel,bad
iter9_cv_split2,stop,loss,profit,fill,got,let,market,set,short,day
iter9_cv_split3,stop,fill,start,short,let,profit,loss,got,dump,run
iter9_cv_split4,stop,profit,loss,dump,market,pls,maker,short,hey,set
iter9_cv_split5,profit,stop,got,cloud,loss,dump,let,fill,daili,sinc
iter10_cv_split1,stop,loss,profit,set,market,fill,got,direct,wait,hour
iter10_cv_split2,stop,profit,got,fill,start,run,need,final,gainzz,welcom
iter10_cv_split3,stop,profit,cloud,alreadi,time,bitcoin,die,start,loss,dump
iter10_cv_split4,stop,profit,dump,market,start,short,loss,greed,becaus,demon
iter10_cv_split5,stop,profit,loss,got,market,dump,set,let,expect,fill
iter11_cv_split1,stop,loss,got,set,profit,bad,break,feel,dump,alreadi
iter11_cv_split2,got,stop,profit,fill,start,bounc,ok,let,gainzz,expect
iter11_cv_split3,stop,profit,market,short,start,fill,loss,need,final,run
iter11_cv_split4,stop,fill,let,profit,cloud,got,ok,bounc,final,loss
iter11_cv_split5,stop,loss,got,set,profit,price,let,cloud,dump,fill
iter12_cv_split1,stop,loss,fill,got,set,let,profit,time,short,run
