,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,trigger,breakout,higher,revers,look,upsid,soon,higher low,low,high
iter1_cv_split2,trigger,higher,breakout,revers,upsid,entri,break,amp,ema,higher low
iter1_cv_split3,trigger,breakout,higher,upsid,entri,revers,break,look,retest,higher low
iter1_cv_split4,trigger,breakout,revers,high,higher,trendlin,retest,look,upsid,entri
iter1_cv_split5,trigger,revers,higher,breakout,upsid,break,trendlin,entri,higher low,volum
iter2_cv_split1,trigger,higher,breakout,entri,upsid,revers,low,higher low,look,trendlin
iter2_cv_split2,trigger,breakout,higher,revers,upsid,look,entri,trendlin,break,low
iter2_cv_split3,trigger,higher,revers,breakout,high,upsid,entri,look,break,higher low
iter2_cv_split4,trigger,breakout,revers,higher,break,trendlin,look,higher low,entri,retest
iter2_cv_split5,trigger,breakout,revers,upsid,high,break,entri,higher,retest,soon
iter3_cv_split1,trigger,revers,breakout,higher,trendlin,look,upsid,high,soon,entri
iter3_cv_split2,trigger,higher,breakout,revers,entri,high,break,higher low,upsid,soon
iter3_cv_split3,trigger,breakout,higher,revers,entri,look,trendlin,retest,break,upsid
iter3_cv_split4,trigger,breakout,higher,upsid,revers,trendlin,entri,higher low,break,soon
iter3_cv_split5,trigger,breakout,revers,higher,upsid,entri,high,retest,low,break
iter4_cv_split1,trigger,breakout,revers,higher,break,trendlin,entri,look,upsid,soon
iter4_cv_split2,trigger,higher,breakout,revers,entri,upsid,look,high,higher low,soon
iter4_cv_split3,trigger,breakout,revers,higher,entri,trendlin,soon,upsid,retest,break
iter4_cv_split4,trigger,revers,higher,breakout,upsid,trendlin,higher low,retest,high,entri
iter4_cv_split5,trigger,revers,breakout,higher,upsid,look,high,entri,break,retest
iter5_cv_split1,trigger,breakout,revers,higher,upsid,entri,trendlin,high,look,break
iter5_cv_split2,trigger,higher,revers,upsid,breakout,entri,higher low,break,low,ema
iter5_cv_split3,trigger,breakout,higher,revers,high,entri,break,trendlin,upsid,look
iter5_cv_split4,trigger,breakout,higher,revers,look,high,entri,upsid,break,higher low
iter5_cv_split5,trigger,breakout,revers,higher,upsid,entri,look,higher low,break,soon
iter6_cv_split1,trigger,breakout,higher,revers,high,upsid,soon,look,entri,trendlin
iter6_cv_split2,trigger,breakout,upsid,higher,revers,soon,break,entri,look,higher low
iter6_cv_split3,trigger,higher,revers,break,breakout,upsid,high,entri,higher low,soon
iter6_cv_split4,trigger,breakout,higher,revers,look,entri,upsid,low,higher low,high
iter6_cv_split5,trigger,revers,breakout,higher,upsid,break,entri,amp,higher low,look
iter7_cv_split1,trigger,breakout,higher,revers,entri,upsid,soon,higher low,low,break
iter7_cv_split2,trigger,breakout,higher,high,upsid,revers,entri,break,trendlin,look
iter7_cv_split3,trigger,higher,revers,breakout,break,upsid,higher low,high,entri,low
iter7_cv_split4,trigger,higher,breakout,revers,upsid,look,high,trendlin,higher low,soon
iter7_cv_split5,trigger,breakout,revers,upsid,trendlin,entri,retest,look,ema,break
iter8_cv_split1,trigger,breakout,higher,entri,revers,look,trendlin,break,high,soon
iter8_cv_split2,trigger,breakout,revers,upsid,higher,higher low,entri,retest,break,readi
iter8_cv_split3,trigger,breakout,revers,higher,entri,look,upsid,break,soon,retest
iter8_cv_split4,trigger,higher,breakout,revers,upsid,look,trendlin,entri,higher low,break
iter8_cv_split5,trigger,breakout,higher,revers,high,upsid,soon,entri,higher low,volum
iter9_cv_split1,trigger,breakout,revers,higher,upsid,entri,look,higher low,low,break
iter9_cv_split2,trigger,higher,breakout,revers,entri,upsid,high,retest,trendlin,soon
iter9_cv_split3,trigger,breakout,higher,revers,look,high,break,upsid,entri,retest
iter9_cv_split4,trigger,breakout,revers,higher,upsid,look,soon,high,trendlin,break
iter9_cv_split5,trigger,higher,revers,breakout,upsid,entri,look,break,higher low,trendlin
iter10_cv_split1,trigger,revers,breakout,higher,look,high,entri,upsid,retest,soon
iter10_cv_split2,trigger,higher,revers,breakout,trendlin,upsid,high,low,entri,higher low
iter10_cv_split3,trigger,breakout,revers,higher,entri,look,upsid,break,higher low,high
iter10_cv_split4,trigger,breakout,higher,revers,upsid,break,entri,high,look,low
iter10_cv_split5,trigger,breakout,higher,upsid,revers,entri,break,look,soon,higher low
iter11_cv_split1,trigger,breakout,revers,higher,look,high,entri,trendlin,upsid,break
iter11_cv_split2,trigger,breakout,higher,high,upsid,revers,higher low,low,entri,break
iter11_cv_split3,trigger,breakout,revers,higher,upsid,soon,break,look,entri,trendlin
iter11_cv_split4,trigger,breakout,revers,higher,upsid,break,retest,look,entri,high
iter11_cv_split5,trigger,revers,breakout,higher,entri,upsid,high,soon,trendlin,look
iter12_cv_split1,trigger,breakout,higher,revers,upsid,look,break,entri,higher low,soon
iter12_cv_split2,trigger,breakout,higher,look,revers,entri,high,trendlin,higher low,upsid
iter12_cv_split3,trigger,breakout,revers,higher,upsid,trendlin,high,look,retest,break
iter12_cv_split4,trigger,breakout,higher,revers,high,entri,upsid,break,look,retest
iter12_cv_split5,trigger,breakout,revers,higher,entri,high,upsid,soon,trendlin,retest
iter13_cv_split1,trigger,breakout,higher,revers,upsid,higher low,high,soon,entri,low
iter13_cv_split2,trigger,breakout,revers,higher,trendlin,upsid,break,look,entri,retest
iter13_cv_split3,trigger,breakout,revers,higher,entri,high,upsid,look,break,soon
iter13_cv_split4,trigger,higher,breakout,revers,look,entri,upsid,high,higher low,break
iter13_cv_split5,trigger,revers,breakout,higher,upsid,soon,break,retest,trendlin,entri
iter14_cv_split1,trigger,breakout,revers,higher,upsid,entri,soon,higher low,high,readi
iter14_cv_split2,trigger,higher,breakout,revers,retest,look,upsid,entri,low,higher low
iter14_cv_split3,trigger,breakout,higher,revers,upsid,high,break,retest,soon,look
iter14_cv_split4,trigger,higher,breakout,revers,upsid,entri,higher low,look,low,high
iter14_cv_split5,trigger,breakout,revers,higher,break,entri,look,upsid,trendlin,higher low
iter15_cv_split1,trigger,breakout,higher,upsid,revers,entri,break,higher low,high,trendlin
iter15_cv_split2,trigger,breakout,revers,higher,entri,high,look,upsid,soon,low
iter15_cv_split3,trigger,breakout,higher,revers,upsid,entri,trendlin,ema,soon,higher low
iter15_cv_split4,trigger,higher,breakout,revers,high,upsid,entri,break,higher low,look
iter15_cv_split5,trigger,revers,breakout,look,higher,trendlin,upsid,break,like,entri
iter16_cv_split1,trigger,revers,break,breakout,higher,upsid,look,entri,higher low,retest
iter16_cv_split2,trigger,breakout,higher,revers,look,entri,upsid,soon,higher low,retest
iter16_cv_split3,trigger,breakout,higher,upsid,revers,entri,high,soon,retest,higher low
iter16_cv_split4,trigger,breakout,revers,higher,upsid,look,high,trendlin,soon,entri
iter16_cv_split5,trigger,higher,breakout,high,break,trendlin,revers,entri,low,look
iter17_cv_split1,trigger,revers,breakout,higher,upsid,entri,look,high,break,soon
iter17_cv_split2,trigger,breakout,higher,upsid,revers,high,higher low,low,break,entri
iter17_cv_split3,trigger,breakout,revers,higher,look,upsid,soon,entri,trendlin,high
iter17_cv_split4,trigger,revers,breakout,higher,break,upsid,high,higher low,trendlin,look
iter17_cv_split5,trigger,breakout,higher,revers,entri,trendlin,look,retest,soon,bull
iter18_cv_split1,trigger,breakout,higher,upsid,revers,look,high,break,entri,higher low
iter18_cv_split2,trigger,revers,breakout,upsid,trendlin,entri,higher,break,retest,look
iter18_cv_split3,trigger,revers,higher,breakout,high,break,upsid,look,entri,higher low
iter18_cv_split4,trigger,breakout,higher,upsid,revers,entri,higher low,high,low,soon
iter18_cv_split5,trigger,breakout,higher,revers,entri,break,look,high,higher low,soon
iter19_cv_split1,trigger,breakout,revers,higher,entri,high,look,upsid,soon,retest
iter19_cv_split2,trigger,higher,upsid,breakout,revers,entri,high,soon,look,higher low
iter19_cv_split3,trigger,breakout,higher,revers,upsid,high,trendlin,break,retest,higher low
iter19_cv_split4,trigger,breakout,higher,revers,upsid,look,entri,high,break,soon
iter19_cv_split5,trigger,breakout,revers,break,higher,trendlin,look,entri,higher low,upsid
iter20_cv_split1,trigger,breakout,upsid,higher,revers,break,entri,look,retest,high
iter20_cv_split2,trigger,higher,revers,upsid,soon,breakout,break,entri,high,higher low
