,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,bitcoin,crypto,best,futur,money,interest,time,bank,hour,year
iter1_cv_split2,bitcoin,crypto,money,year,interest,time,best,coin,peopl,hour
iter1_cv_split3,bitcoin,crypto,peopl,year,trade,interest,coin,fork,futur,money
iter1_cv_split4,bitcoin,crypto,year,new,money,interest,best,hour,don,noth
iter1_cv_split5,bitcoin,crypto,futur,year,money,peopl,month,don,coin,want
iter2_cv_split1,bitcoin,crypto,interest,futur,month,year,peopl,hour,don,best
iter2_cv_split2,bitcoin,crypto,year,money,don,interest,trade,peopl,futur,thank
iter2_cv_split3,bitcoin,crypto,money,year,interest,coin,futur,peopl,want,don
iter2_cv_split4,bitcoin,crypto,money,futur,best,year,coin,market,hour,trade
iter2_cv_split5,bitcoin,crypto,year,money,time,trade,coin,futur,hour,best
iter3_cv_split1,bitcoin,crypto,year,money,new,futur,coin,don,best,trade
iter3_cv_split2,bitcoin,crypto,futur,year,interest,best,money,coin,don,peopl
iter3_cv_split3,bitcoin,year,money,time,interest,futur,fork,want,peopl,crypto
iter3_cv_split4,crypto,bitcoin,money,market,futur,want,peopl,month,coin,don
iter3_cv_split5,bitcoin,crypto,year,coin,interest,market,new,best,trade,hour
iter4_cv_split1,bitcoin,crypto,interest,year,hour,money,peopl,don,thank,new
iter4_cv_split2,bitcoin,crypto,coin,futur,money,market,interest,year,don,believ
iter4_cv_split3,bitcoin,year,money,futur,best,crypto,trade,coin,peopl,hour
iter4_cv_split4,bitcoin,crypto,time,money,year,futur,coin,don,best,fork
iter4_cv_split5,bitcoin,crypto,year,money,futur,chart,interest,best,month,want
iter5_cv_split1,bitcoin,crypto,coin,futur,year,trade,hour,interest,day,money
iter5_cv_split2,bitcoin,crypto,money,peopl,futur,new,interest,hour,don,year
iter5_cv_split3,bitcoin,crypto,futur,interest,money,year,time,coin,don,best
iter5_cv_split4,bitcoin,crypto,year,best,money,coin,interest,don,time,month
iter5_cv_split5,bitcoin,crypto,year,money,futur,market,best,want,hour,month
iter6_cv_split1,bitcoin,crypto,interest,year,peopl,futur,market,month,hour,time
iter6_cv_split2,bitcoin,coin,crypto,trade,year,money,don,best,thank,futur
iter6_cv_split3,bitcoin,crypto,money,year,want,time,best,futur,coin,don
iter6_cv_split4,bitcoin,crypto,money,year,interest,futur,best,new,want,believ
iter6_cv_split5,bitcoin,crypto,futur,year,peopl,trade,interest,new,mean,money
iter7_cv_split1,bitcoin,year,crypto,money,futur,trade,best,time,interest,hour
iter7_cv_split2,bitcoin,crypto,money,futur,year,don,bank,coin,peopl,someth
iter7_cv_split3,bitcoin,crypto,money,year,peopl,interest,futur,coin,market,don
iter7_cv_split4,bitcoin,market,crypto,interest,futur,coin,trade,money,cash,believ
iter7_cv_split5,bitcoin,crypto,year,month,money,best,interest,futur,coin,don
iter8_cv_split1,bitcoin,crypto,money,month,interest,year,time,futur,best,hour
