,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.6534653465346535,0.5742574257425742,0.8592964824120602,0.5753768844221105,0,4,2,1,47,10,0,18,19,19,2,1,0,212,17,0,36,111
iter1_cv_split2,0.7029702970297029,0.5742574257425742,0.8592964824120602,0.5753768844221105,0,4,2,0,53,5,0,19,18,20,2,0,0,211,18,0,36,111
iter1_cv_split3,0.77,0.57,0.8370927318295739,0.5764411027568922,0,3,3,0,55,2,0,15,22,19,3,0,0,207,23,0,39,108
iter1_cv_split4,0.7171717171717171,0.5757575757575758,0.86,0.575,0,2,3,0,47,10,0,13,24,21,1,1,0,215,15,0,39,108
iter1_cv_split5,0.7040816326530612,0.5816326530612245,0.8478802992518704,0.57356608478803,0,3,2,0,50,7,0,17,19,20,2,1,0,211,19,0,39,109
iter2_cv_split1,0.7029702970297029,0.5742574257425742,0.8417085427135679,0.5753768844221105,0,3,3,0,51,7,0,17,20,20,2,0,0,212,17,0,44,103
iter2_cv_split2,0.6633663366336634,0.5742574257425742,0.871859296482412,0.5753768844221105,0,3,3,0,52,6,0,22,15,21,1,0,0,214,15,0,35,112
iter2_cv_split3,0.69,0.57,0.8596491228070176,0.5764411027568922,0,5,1,0,46,11,0,14,23,19,2,1,0,214,16,0,37,110
iter2_cv_split4,0.6868686868686869,0.5757575757575758,0.8625,0.575,0,2,3,1,49,7,0,18,19,21,2,0,0,211,19,0,34,113
iter2_cv_split5,0.7346938775510204,0.5816326530612245,0.8503740648379052,0.57356608478803,0,4,1,0,50,7,0,14,22,20,3,0,0,210,20,0,37,111
iter3_cv_split1,0.7227722772277227,0.5742574257425742,0.8492462311557789,0.5753768844221105,0,4,2,0,51,7,0,15,22,19,2,1,0,209,20,0,37,110
iter3_cv_split2,0.7425742574257426,0.5742574257425742,0.8618090452261307,0.5753768844221105,0,4,2,0,51,7,0,13,24,20,2,0,0,212,17,0,36,111
iter3_cv_split3,0.62,0.57,0.8646616541353384,0.5764411027568922,0,4,2,0,48,9,0,23,14,20,2,0,0,211,19,0,33,114
iter3_cv_split4,0.7171717171717171,0.5757575757575758,0.845,0.575,0,3,2,0,53,4,0,19,18,21,2,0,0,212,18,0,42,105
iter3_cv_split5,0.7244897959183674,0.5816326530612245,0.8603491271820449,0.57356608478803,0,2,3,0,47,10,0,12,24,21,2,0,0,214,16,0,38,110
iter4_cv_split1,0.6534653465346535,0.5742574257425742,0.8618090452261307,0.5753768844221105,0,5,1,0,47,11,0,18,19,19,3,0,0,213,16,0,36,111
iter4_cv_split2,0.7128712871287128,0.5742574257425742,0.8542713567839196,0.5753768844221105,0,3,3,0,51,7,0,16,21,21,1,0,0,211,18,0,39,108
iter4_cv_split3,0.75,0.57,0.8596491228070176,0.5764411027568922,0,3,3,0,52,5,0,14,23,21,1,0,0,210,20,0,35,112
iter4_cv_split4,0.6666666666666666,0.5757575757575758,0.86,0.575,0,3,2,0,49,8,0,20,17,20,3,0,0,214,16,0,37,110
iter4_cv_split5,0.7551020408163265,0.5816326530612245,0.85785536159601,0.57356608478803,0,3,2,0,53,4,0,15,21,21,1,1,0,210,20,0,35,113
iter5_cv_split1,0.7227722772277227,0.5742574257425742,0.8517587939698492,0.5753768844221105,0,3,3,0,49,9,0,13,24,20,1,1,0,212,17,0,40,107
iter5_cv_split2,0.7326732673267327,0.5742574257425742,0.8542713567839196,0.5753768844221105,0,4,2,0,51,7,0,14,23,19,2,1,0,210,19,0,36,111
iter5_cv_split3,0.68,0.57,0.8596491228070176,0.5764411027568922,0,3,3,0,50,7,0,19,18,19,3,0,0,214,16,0,37,110
iter5_cv_split4,0.7171717171717171,0.5757575757575758,0.855,0.575,0,4,1,0,48,9,0,14,23,21,2,0,0,212,18,0,38,109
iter5_cv_split5,0.6938775510204082,0.5816326530612245,0.8478802992518704,0.57356608478803,0,3,2,1,52,4,0,20,16,19,3,1,0,210,20,0,37,111
iter6_cv_split1,0.6732673267326733,0.5742574257425742,0.8618090452261307,0.5753768844221105,0,4,2,0,47,11,0,16,21,19,3,0,0,212,17,0,35,112
iter6_cv_split2,0.7524752475247525,0.5742574257425742,0.8467336683417085,0.5753768844221105,0,4,2,0,55,3,0,16,21,20,2,0,0,210,19,0,40,107
iter6_cv_split3,0.71,0.57,0.8671679197994987,0.5764411027568922,0,3,3,0,50,7,0,16,21,20,1,1,0,213,17,0,34,113
iter6_cv_split4,0.6464646464646465,0.5757575757575758,0.855,0.575,0,2,3,1,44,12,0,17,20,19,3,1,0,214,16,0,38,109
iter6_cv_split5,0.7244897959183674,0.5816326530612245,0.8528678304239401,0.57356608478803,0,3,2,0,51,6,0,16,20,22,1,0,0,209,21,0,37,111
iter7_cv_split1,0.7029702970297029,0.5742574257425742,0.8592964824120602,0.5753768844221105,0,4,2,0,52,6,0,18,19,20,2,0,0,211,18,0,36,111
iter7_cv_split2,0.6534653465346535,0.5742574257425742,0.8567839195979899,0.5753768844221105,0,5,1,0,47,11,0,18,19,19,3,0,0,211,18,0,36,111
iter7_cv_split3,0.74,0.57,0.8571428571428571,0.5764411027568922,0,2,4,0,50,7,0,13,24,21,1,0,0,212,18,0,38,109
iter7_cv_split4,0.7272727272727273,0.5757575757575758,0.84,0.575,0,4,1,1,49,7,0,14,23,20,2,1,0,212,18,0,43,104
iter7_cv_split5,0.6938775510204082,0.5816326530612245,0.8528678304239401,0.57356608478803,0,2,3,0,48,9,0,16,20,20,2,1,0,212,18,0,38,110
iter8_cv_split1,0.7227722772277227,0.5742574257425742,0.8542713567839196,0.5753768844221105,0,3,3,0,51,7,0,15,22,20,2,0,0,213,16,0,40,107
