,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,leg,crash,lower,think,dow,mistak,instead,hold,altitud,drop
iter1_cv_split2,trend,rebound,potenti,mistak,trader,instead,trendlin,leg,hold,current
iter1_cv_split3,crash,drop,lower,potenti,think,dow,mistak,trendlin,trader,altitud
iter1_cv_split4,leg,drop,lower,potenti,rebound,mistak,dow,crash,trend,instead
iter1_cv_split5,leg,crash,drop,trend,think,rebound,dow,altitud,hold,mainstream media
iter2_cv_split1,crash,lower,potenti,leg,dow,mistak,amp,instead,trader,mainstream media
iter2_cv_split2,rebound,crash,dow,instead,leg,altitud,hold,drop,trend,lower
iter2_cv_split3,leg,drop,trend,think,crash,trendlin,trader,mainstream,mainstream media,current
iter2_cv_split4,drop,lower,think,potenti,rebound,dow,mistak,leg,crash,trader
iter2_cv_split5,crash,leg,lower,potenti,trend,rebound,mistak,hold,instead,altitud
iter3_cv_split1,leg,lower,think,potenti,trend,rebound,mistak,trader,instead,mainstream media
iter3_cv_split2,crash,drop,lower,potenti,trendlin,rebound,leg,dow,hold,instead
iter3_cv_split3,crash,drop,trend,think,dow,mistak,instead,altitud,leg,trader
iter3_cv_split4,leg,crash,lower,potenti,rebound,trader,hold,altitud,mainstream,mainstream media
iter3_cv_split5,drop,think,leg,dow,potenti,crash,mistak,instead,trendlin,trader
iter4_cv_split1,drop,trend,lower,think,potenti,mistak,crash,instead,trader,altitud
iter4_cv_split2,crash,lower,drop,trendlin,mistak,dow,leg,hold,altitud,mainstream
iter4_cv_split3,leg,crash,trend,rebound,mistak,hold,instead,mainstream media,mainstream,trader
iter4_cv_split4,leg,lower,potenti,crash,rebound,dow,mistak,instead,trader,mainstream
iter4_cv_split5,leg,drop,lower,think,rebound,dow,potenti,crash,altitud,trendlin
iter5_cv_split1,leg,think,rebound,crash,dow,trader,hold,mainstream,mainstream media,drop
iter5_cv_split2,drop,lower,think,potenti,dow,mistak,crash,trader,trendlin,altitud
iter5_cv_split3,crash,leg,lower,mistak,trader,instead,hold,altitud,mainstream media,mainstream
iter5_cv_split4,crash,drop,lower,trend,potenti,think,rebound,dow,mistak,instead
iter5_cv_split5,leg,drop,lower,potenti,rebound,trendlin,crash,hold,instead,mainstream media
iter6_cv_split1,leg,trend,rebound,crash,instead,hold,mainstream,mainstream media,drop,lower
iter6_cv_split2,leg,crash,lower,potenti,think,rebound,dow,mistak,instead,trader
iter6_cv_split3,crash,drop,potenti,rebound,leg,dow,trendlin,hold,mainstream media,mainstream
iter6_cv_split4,lower,drop,think,leg,potenti,dow,mistak,crash,instead,altitud
iter6_cv_split5,lower,think,crash,trend,dow,mistak,hold,instead,trader,drop
iter7_cv_split1,lower,trend,crash,leg,hold,trendlin,trader,altitud,current,drop
iter7_cv_split2,lower,trend,potenti,think,crash,dow,mistak,leg,instead,mainstream
iter7_cv_split3,leg,crash,drop,think,potenti,rebound,mistak,dow,trendlin,hold
iter7_cv_split4,crash,drop,lower,think,trend,potenti,rebound,dow,leg,amp
iter7_cv_split5,leg,drop,rebound,mistak,crash,instead,mainstream,mainstream media,hold,trend
