,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,trigger,higher,high,breakout,revers,amp,low,retest,entri,trendlin
iter1_cv_split2,trigger,breakout,higher,revers,high,amp,retest,low,trendlin,like
iter1_cv_split3,trigger,higher,breakout,high,amp,revers,low,look,break,upsid
iter1_cv_split4,trigger,breakout,revers,high,higher,entri,look,like,trendlin,amp
iter1_cv_split5,trigger,breakout,revers,higher,high,amp,entri,retest,break,upsid
iter2_cv_split1,trigger,higher,breakout,high,amp,revers,retest,trendlin,entri,break
iter2_cv_split2,trigger,higher,breakout,revers,amp,high,low,look,trendlin,upsid
iter2_cv_split3,trigger,high,higher,breakout,revers,amp,low,retest,like,look
iter2_cv_split4,trigger,breakout,revers,high,higher,amp,entri,low,like,volum
iter2_cv_split5,trigger,breakout,higher,high,revers,entri,retest,upsid,amp,look
iter3_cv_split1,trigger,higher,breakout,high,amp,revers,retest,low,upsid,entri
iter3_cv_split2,trigger,breakout,revers,higher,high,amp,low,upsid,like,look
iter3_cv_split3,trigger,higher,revers,breakout,high,amp,look,break,trendlin,entri
iter3_cv_split4,trigger,breakout,higher,high,revers,amp,retest,low,trendlin,look
iter3_cv_split5,trigger,breakout,higher,high,revers,amp,retest,entri,look,upsid
iter4_cv_split1,trigger,higher,breakout,high,revers,amp,low,retest,look,trendlin
iter4_cv_split2,trigger,breakout,higher,high,amp,revers,low,break,look,entri
iter4_cv_split3,trigger,high,breakout,higher,revers,amp,entri,retest,look,low
iter4_cv_split4,trigger,higher,breakout,high,revers,amp,low,upsid,break,retest
iter4_cv_split5,trigger,breakout,revers,high,retest,higher,amp,upsid,like,support
iter5_cv_split1,trigger,higher,high,revers,amp,breakout,low,look,retest,upsid
iter5_cv_split2,trigger,breakout,higher,revers,retest,high,amp,low,entri,break
iter5_cv_split3,trigger,breakout,higher,revers,high,retest,low,amp,look,trendlin
iter5_cv_split4,trigger,higher,breakout,high,revers,amp,retest,break,upsid,low
iter5_cv_split5,trigger,breakout,high,higher,amp,revers,entri,look,low,trendlin
iter6_cv_split1,trigger,high,higher,breakout,revers,look,amp,retest,entri,support
