,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,bitcoin,time,chart,market,year,crypto,trade,month,money,new
iter1_cv_split2,bitcoin,crypto,market,trade,year,chart,interest,time,new,money
iter1_cv_split3,bitcoin,market,time,crypto,new,like,chart,trade,year,start
iter1_cv_split4,bitcoin,time,crypto,chart,market,interest,trade,new,day,want
iter1_cv_split5,bitcoin,chart,time,crypto,market,month,interest,best,day,money
iter2_cv_split1,bitcoin,market,trade,time,chart,year,crypto,interest,close,futur
iter2_cv_split2,bitcoin,time,crypto,new,chart,year,market,trade,money,month
iter2_cv_split3,bitcoin,crypto,time,market,chart,trade,interest,start,year,money
iter2_cv_split4,bitcoin,market,time,crypto,chart,year,new,money,trade,want
iter2_cv_split5,bitcoin,crypto,chart,market,money,time,trade,interest,month,start
iter3_cv_split1,bitcoin,crypto,market,time,new,start,money,interest,day,peopl
iter3_cv_split2,bitcoin,chart,market,crypto,trade,time,year,money,new,month
iter3_cv_split3,bitcoin,chart,market,time,crypto,trade,year,month,price,start
iter3_cv_split4,bitcoin,crypto,time,market,chart,interest,trade,day,year,start
iter3_cv_split5,bitcoin,time,market,chart,crypto,new,year,money,interest,want
iter4_cv_split1,bitcoin,time,chart,crypto,market,new,trade,money,peopl,month
iter4_cv_split2,bitcoin,market,crypto,chart,year,start,time,price,new,day
iter4_cv_split3,bitcoin,crypto,year,time,chart,market,trade,interest,money,start
iter4_cv_split4,bitcoin,chart,market,year,crypto,time,trade,month,new,interest
iter4_cv_split5,bitcoin,time,market,trade,money,year,coin,chart,day,crypto
iter5_cv_split1,bitcoin,crypto,time,chart,year,money,market,start,trade,interest
iter5_cv_split2,bitcoin,crypto,market,chart,day,start,money,new,coin,fork
iter5_cv_split3,bitcoin,chart,time,crypto,year,trade,market,new,money,month
iter5_cv_split4,bitcoin,market,time,crypto,chart,price,trade,new,month,year
iter5_cv_split5,bitcoin,time,market,year,crypto,interest,trade,start,new,best
iter6_cv_split1,bitcoin,crypto,time,market,chart,trade,new,year,interest,month
iter6_cv_split2,bitcoin,time,market,chart,trade,year,money,crypto,month,new
iter6_cv_split3,bitcoin,time,chart,market,price,crypto,trade,want,year,month
iter6_cv_split4,bitcoin,crypto,new,chart,interest,time,market,money,year,price
iter6_cv_split5,bitcoin,market,crypto,time,year,chart,start,interest,trade,money
iter7_cv_split1,bitcoin,market,time,crypto,chart,year,start,trade,peopl,interest
iter7_cv_split2,bitcoin,crypto,market,time,chart,interest,new,money,day,year
iter7_cv_split3,bitcoin,chart,market,crypto,time,trade,year,month,money,new
iter7_cv_split4,bitcoin,time,crypto,year,chart,trade,market,month,close,money
iter7_cv_split5,bitcoin,chart,market,crypto,new,time,trade,month,price,start
iter8_cv_split1,bitcoin,crypto,time,market,trade,chart,interest,new,money,month
iter8_cv_split2,bitcoin,market,year,time,crypto,new,interest,money,peopl,best
iter8_cv_split3,bitcoin,time,chart,trade,year,market,like,crypto,new,interest
iter8_cv_split4,bitcoin,chart,crypto,market,time,money,year,start,trade,day
iter8_cv_split5,bitcoin,crypto,market,time,chart,new,year,month,trade,money
iter9_cv_split1,bitcoin,chart,crypto,market,start,money,new,trade,year,interest
iter9_cv_split2,bitcoin,crypto,market,chart,time,interest,trade,new,year,peopl
iter9_cv_split3,bitcoin,market,crypto,time,year,new,trade,want,coin,best
iter9_cv_split4,bitcoin,time,crypto,chart,market,trade,want,money,day,year
iter9_cv_split5,bitcoin,time,market,chart,trade,new,year,crypto,coin,day
iter10_cv_split1,bitcoin,crypto,time,chart,market,money,day,trade,interest,new
iter10_cv_split2,bitcoin,market,chart,crypto,time,year,start,money,new,interest
iter10_cv_split3,bitcoin,time,crypto,market,chart,trade,new,interest,peopl,start
iter10_cv_split4,bitcoin,year,market,chart,time,crypto,price,month,money,trade
iter10_cv_split5,bitcoin,time,market,like,crypto,year,trade,chart,new,day
iter11_cv_split1,bitcoin,crypto,time,market,chart,new,year,day,trade,interest
iter11_cv_split2,bitcoin,market,crypto,year,trade,chart,time,new,month,start
iter11_cv_split3,bitcoin,time,chart,market,crypto,year,trade,interest,new,fork
iter11_cv_split4,bitcoin,market,crypto,chart,time,new,price,money,interest,want
iter11_cv_split5,bitcoin,chart,time,market,crypto,trade,support,year,money,start
iter12_cv_split1,bitcoin,crypto,market,chart,time,trade,month,start,new,hour
iter12_cv_split2,bitcoin,chart,crypto,market,year,time,trade,interest,new,money
iter12_cv_split3,bitcoin,chart,time,market,year,crypto,price,money,trade,new
iter12_cv_split4,bitcoin,time,crypto,market,new,chart,trade,interest,money,year
iter12_cv_split5,bitcoin,time,crypto,market,year,interest,money,month,want,trade
iter13_cv_split1,bitcoin,crypto,market,time,chart,trade,year,day,month,new
iter13_cv_split2,bitcoin,chart,time,market,crypto,trade,new,day,interest,year
iter13_cv_split3,bitcoin,market,time,chart,crypto,new,year,interest,money,month
iter13_cv_split4,bitcoin,crypto,time,chart,market,trade,price,interest,year,like
iter13_cv_split5,bitcoin,time,market,crypto,chart,year,new,trade,start,money
iter14_cv_split1,bitcoin,crypto,market,time,chart,trade,year,interest,new,start
iter14_cv_split2,bitcoin,crypto,market,chart,new,time,start,futur,month,day
iter14_cv_split3,bitcoin,time,market,chart,crypto,year,interest,money,month,new
iter14_cv_split4,bitcoin,amp,crypto,year,time,trade,chart,market,money,interest
iter14_cv_split5,bitcoin,chart,time,market,year,crypto,trade,new,money,want
iter15_cv_split1,bitcoin,market,crypto,chart,trade,new,time,start,day,year
iter15_cv_split2,bitcoin,year,market,crypto,chart,time,new,trade,close,interest
iter15_cv_split3,bitcoin,crypto,market,time,chart,interest,money,start,peopl,month
iter15_cv_split4,bitcoin,time,chart,year,market,crypto,month,trade,new,day
iter15_cv_split5,bitcoin,time,crypto,trade,market,chart,money,year,start,interest
iter16_cv_split1,bitcoin,time,chart,crypto,market,year,new,money,day,interest
iter16_cv_split2,bitcoin,chart,crypto,market,trade,money,time,new,start,peopl
iter16_cv_split3,bitcoin,market,time,chart,crypto,interest,trade,year,month,day
iter16_cv_split4,bitcoin,crypto,time,market,year,trade,interest,month,new,chart
iter16_cv_split5,bitcoin,market,chart,time,year,new,crypto,money,trade,month
iter17_cv_split1,bitcoin,time,chart,crypto,market,trade,year,new,coin,peopl
iter17_cv_split2,bitcoin,crypto,time,year,chart,market,day,new,trade,interest
iter17_cv_split3,bitcoin,crypto,chart,market,time,year,month,trade,money,new
iter17_cv_split4,bitcoin,time,chart,market,year,new,money,crypto,peopl,want
iter17_cv_split5,bitcoin,market,crypto,time,trade,chart,new,start,interest,money
iter18_cv_split1,bitcoin,crypto,time,market,year,new,trade,best,start,month
iter18_cv_split2,bitcoin,chart,year,market,crypto,time,money,want,trade,peopl
iter18_cv_split3,bitcoin,market,trade,time,chart,crypto,interest,money,month,hour
iter18_cv_split4,bitcoin,crypto,chart,time,market,price,new,trade,money,year
iter18_cv_split5,bitcoin,market,time,crypto,interest,chart,new,trade,day,year
iter19_cv_split1,bitcoin,crypto,market,chart,time,new,trade,interest,money,want
iter19_cv_split2,bitcoin,chart,market,time,crypto,year,trade,start,futur,interest
iter19_cv_split3,bitcoin,time,chart,crypto,market,money,year,trade,month,new
iter19_cv_split4,bitcoin,crypto,market,time,trade,year,new,peopl,money,day
iter19_cv_split5,bitcoin,market,time,crypto,year,chart,new,want,interest,money
iter20_cv_split1,bitcoin,crypto,time,chart,year,new,trade,market,day,start
iter20_cv_split2,bitcoin,market,time,crypto,trade,year,money,new,month,interest
iter20_cv_split3,bitcoin,market,chart,crypto,time,want,interest,trade,best,money
iter20_cv_split4,bitcoin,time,chart,crypto,market,interest,start,day,trade,year
iter20_cv_split5,bitcoin,time,market,chart,crypto,month,year,price,interest,new
iter21_cv_split1,bitcoin,crypto,market,year,trade,new,price,time,chart,start
iter21_cv_split2,bitcoin,time,market,year,crypto,chart,trade,day,money,start
iter21_cv_split3,bitcoin,time,crypto,chart,new,market,year,trade,money,month
iter21_cv_split4,bitcoin,market,time,chart,money,crypto,year,trade,interest,coin
iter21_cv_split5,bitcoin,chart,time,crypto,market,price,day,start,interest,trade
iter22_cv_split1,bitcoin,crypto,year,time,market,new,price,money,trade,chart
iter22_cv_split2,bitcoin,market,year,chart,crypto,time,interest,new,futur,close
iter22_cv_split3,bitcoin,chart,crypto,market,trade,money,day,time,new,peopl
iter22_cv_split4,bitcoin,time,chart,trade,market,interest,month,peopl,coin,year
iter22_cv_split5,bitcoin,time,crypto,market,new,chart,trade,year,month,start
iter23_cv_split1,bitcoin,market,chart,new,time,year,start,peopl,interest,crypto
iter23_cv_split2,bitcoin,time,crypto,chart,trade,year,money,month,market,start
iter23_cv_split3,bitcoin,market,time,chart,crypto,day,money,coin,year,interest
iter23_cv_split4,bitcoin,amp,crypto,chart,time,new,market,trade,year,month
iter23_cv_split5,bitcoin,market,crypto,time,trade,chart,new,want,year,month
iter24_cv_split1,bitcoin,crypto,time,market,chart,trade,new,start,year,peopl
iter24_cv_split2,bitcoin,time,market,year,crypto,new,chart,interest,peopl,month
iter24_cv_split3,bitcoin,crypto,chart,trade,time,market,year,new,interest,money
iter24_cv_split4,bitcoin,crypto,market,time,trade,chart,month,money,year,new
iter24_cv_split5,bitcoin,chart,market,time,trade,crypto,year,interest,money,day
iter25_cv_split1,bitcoin,crypto,chart,time,market,trade,money,month,year,start
iter25_cv_split2,bitcoin,chart,crypto,market,time,year,new,interest,price,trade
iter25_cv_split3,bitcoin,time,crypto,year,month,market,interest,new,coin,best
iter25_cv_split4,bitcoin,market,crypto,chart,year,time,interest,trade,new,want
iter25_cv_split5,bitcoin,time,crypto,market,chart,new,trade,money,start,day
iter26_cv_split1,bitcoin,chart,time,market,year,crypto,new,want,peopl,money
iter26_cv_split2,bitcoin,crypto,market,time,trade,money,coin,interest,new,day
iter26_cv_split3,bitcoin,market,crypto,time,new,interest,day,year,trade,peopl
iter26_cv_split4,bitcoin,chart,time,trade,market,year,new,crypto,start,interest
