,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.5742574257425742,0.5742574257425742,0.8190954773869347,0.5753768844221105,1,3,2,12,39,7,4,15,18,19,0,3,18,194,17,20,14,113
iter1_cv_split2,0.6039603960396039,0.5742574257425742,0.8115577889447236,0.5753768844221105,0,3,3,8,39,11,8,7,22,21,0,1,22,190,17,20,15,112
iter1_cv_split3,0.67,0.57,0.7994987468671679,0.5764411027568922,3,2,1,9,43,5,5,11,21,20,0,2,22,191,17,15,24,108
iter1_cv_split4,0.6161616161616161,0.5757575757575758,0.805,0.575,2,1,2,13,40,4,6,12,19,21,0,2,23,187,20,19,14,114
iter1_cv_split5,0.5306122448979592,0.5816326530612245,0.830423940149626,0.57356608478803,1,2,2,14,32,11,5,12,19,21,0,2,18,199,13,14,21,113
iter2_cv_split1,0.6633663366336634,0.5742574257425742,0.8015075376884422,0.5753768844221105,2,2,2,9,46,3,7,11,19,20,0,2,21,188,20,18,18,111
iter2_cv_split2,0.594059405940594,0.5742574257425742,0.8165829145728644,0.5753768844221105,1,5,0,14,34,10,6,6,25,21,0,1,20,193,16,18,18,111
iter2_cv_split3,0.57,0.57,0.8070175438596491,0.5764411027568922,0,2,4,12,37,8,6,11,20,21,0,1,19,193,18,20,19,108
iter2_cv_split4,0.6060606060606061,0.5757575757575758,0.815,0.575,1,2,2,13,39,5,6,11,20,22,0,1,21,192,17,16,19,112
iter2_cv_split5,0.5714285714285714,0.5816326530612245,0.8029925187032418,0.57356608478803,2,1,2,9,35,13,5,12,19,20,0,3,25,189,16,18,17,113
iter3_cv_split1,0.5544554455445545,0.5742574257425742,0.8165829145728644,0.5753768844221105,1,4,1,9,37,12,7,12,18,20,0,2,23,189,17,15,16,116
iter3_cv_split2,0.6534653465346535,0.5742574257425742,0.8090452261306532,0.5753768844221105,1,3,2,8,43,7,4,11,22,21,0,1,18,194,17,21,19,107
iter3_cv_split3,0.56,0.57,0.8145363408521303,0.5764411027568922,1,0,5,13,40,4,8,14,15,21,0,1,21,192,17,16,19,112
iter3_cv_split4,0.6464646464646465,0.5757575757575758,0.8125,0.575,1,4,0,8,40,9,5,9,23,22,0,1,20,192,18,17,19,111
iter3_cv_split5,0.6224489795918368,0.5816326530612245,0.800498753117207,0.57356608478803,4,0,1,18,36,3,7,8,21,21,0,2,18,193,19,18,23,107
iter4_cv_split1,0.5841584158415841,0.5742574257425742,0.8140703517587939,0.5753768844221105,3,2,1,12,38,8,5,14,18,21,0,1,21,190,18,19,15,113
