,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,leg,think,lower,trader,riski,crash,hold,dow,altitud,convinc
iter1_cv_split2,leg,think,trader,media,dow,drop,riski,mind,mainstream,convinc
iter1_cv_split3,trader,leg,potenti,lower,crash,mind,ath,media,current,convinc
iter1_cv_split4,lower,crash,drop,think,trader,media,current,mistak,instead,mind
iter1_cv_split5,crash,drop,mistak,altitud,convinc,current,dow,rebound,hold,instead
iter2_cv_split1,leg,lower,crash,media,hold,rebound,mind,mainstream,drop,convinc
iter2_cv_split2,lower,think,leg,trader,dow,point,convinc,ath,crash,altitud
iter2_cv_split3,trader,think,crash,lower,rebound,drop,zone,mistak,media,dow
iter2_cv_split4,leg,drop,crash,dow,convinc,mainstream,mistak,instead,hold,think
iter2_cv_split5,leg,think,trader,drop,lower,altitud,current,riski,convinc,hold
iter3_cv_split1,leg,lower,crash,drop,dow,altitud,zone,think,rebound,mistak
iter3_cv_split2,leg,trader,convinc,mainstream,rebound,mistak,mind,hold,media,current
iter3_cv_split3,trader,leg,crash,think,convinc,riski,altitud,drop,dow,media
iter3_cv_split4,crash,lower,think,drop,leg,strong,instead,dow,mainstream,hold
iter3_cv_split5,trader,lower,drop,think,crash,altitud,hold,media,current,mind
iter4_cv_split1,leg,trader,crash,lower,strong,mind,convinc,target,mistak,media
iter4_cv_split2,leg,lower,think,drop,hold,current,convinc,altitud,rebound,zone
iter4_cv_split3,think,trader,drop,crash,instead,dow,mistak,lower,rebound,riski
iter4_cv_split4,lower,drop,leg,think,crash,point,mind,riski,trader,convinc
iter4_cv_split5,drop,trader,leg,think,mind,current,crash,media,dow,convinc
iter5_cv_split1,crash,lower,drop,mainstream,dow,instead,altitud,target,point,think
iter5_cv_split2,leg,lower,trader,instead,media,mainstream,riski,hold,mistak,convinc
iter5_cv_split3,leg,lower,drop,crash,think,instead,convinc,mind,riski,altitud
iter5_cv_split4,leg,think,trader,crash,drop,hold,current,mistak,convinc,dow
iter5_cv_split5,leg,drop,trader,lower,media,convinc,hold,crash,current,ath
iter6_cv_split1,leg,think,trader,lower,zone,instead,current,mistak,crash,dow
iter6_cv_split2,think,trader,drop,current,target,media,riski,mainstream,mind,crash
iter6_cv_split3,trader,think,crash,drop,altitud,dow,lower,point,riski,mistak
iter6_cv_split4,leg,lower,crash,mainstream,drop,target,altitud,instead,convinc,media
iter6_cv_split5,leg,trader,lower,drop,instead,current,crash,convinc,mainstream,dow
iter7_cv_split1,lower,drop,altitud,rebound,instead,crash,think,media,mainstream,dow
iter7_cv_split2,leg,trader,drop,think,convinc,crash,current,lower,mainstream,hold
iter7_cv_split3,trader,think,crash,drop,rebound,convinc,instead,mainstream,hold,dow
iter7_cv_split4,leg,trader,lower,mistak,altitud,convinc,crash,mind,instead,current
iter7_cv_split5,lower,leg,drop,trader,crash,mind,think,current,mistak,mainstream
iter8_cv_split1,drop,leg,crash,think,potenti,trader,convinc,target,mind,dow
iter8_cv_split2,leg,strong,lower,think,media,convinc,riski,altitud,crash,trader
iter8_cv_split3,leg,crash,convinc,media,dow,mainstream,rebound,think,drop,altitud
iter8_cv_split4,drop,trader,think,lower,mainstream,altitud,mistak,crash,hold,riski
iter8_cv_split5,leg,trader,drop,lower,mistak,mind,hold,target,convinc,dow
iter9_cv_split1,drop,crash,lower,trader,think,riski,dow,rebound,mistak,hold
iter9_cv_split2,leg,think,trader,convinc,drop,riski,current,crash,instead,media
iter9_cv_split3,leg,lower,drop,instead,crash,convinc,dow,mainstream,think,mind
iter9_cv_split4,trader,lower,think,leg,crash,point,hold,drop,instead,media
iter9_cv_split5,lower,leg,crash,media,mainstream,current,convinc,altitud,drop,principl
iter10_cv_split1,leg,drop,crash,lower,potenti,convinc,hold,dow,think,rebound
iter10_cv_split2,leg,trader,think,drop,riski,crash,hold,altitud,ath,current
iter10_cv_split3,trader,lower,crash,mistak,think,media,riski,mainstream,altitud,fear
iter10_cv_split4,leg,trader,drop,mind,media,instead,point,convinc,crash,current
iter10_cv_split5,think,drop,trader,lower,zone,convinc,riski,instead,current,crash
iter11_cv_split1,think,crash,trader,drop,media,instead,mainstream,dow,riski,mistak
iter11_cv_split2,lower,leg,drop,crash,altitud,point,zone,dow,rebound,think
iter11_cv_split3,leg,trader,lower,crash,mainstream,drop,mistak,convinc,ath,hold
iter11_cv_split4,leg,think,trader,lower,convinc,mind,riski,dow,hold,point
iter11_cv_split5,leg,think,drop,trader,mind,rebound,riski,current,media,crash
iter12_cv_split1,leg,crash,trader,think,drop,instead,mind,mainstream,rebound,media
iter12_cv_split2,think,drop,lower,altitud,target,convinc,crash,trader,dow,riski
iter12_cv_split3,trader,leg,lower,crash,altitud,convinc,instead,think,media,target
iter12_cv_split4,leg,drop,rebound,media,mistak,hold,crash,instead,mainstream,convinc
iter12_cv_split5,trader,lower,think,altitud,riski,current,mind,point,rebound,dow
