,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,observ,btce,ani,previous,polo,usdt,second,futur,market,read
iter1_cv_split2,observ,btce,usdt,wedg,read,crypto,ralli,current,ani,case
iter1_cv_split3,observ,wedg,ani,confus,btce,nutshel,someth,interest,bought,previous
iter1_cv_split4,btce,market,interest,case,futur,second,observ,ralli,polo,nutshel
iter1_cv_split5,observ,wedg,crypto,cheap,futur,btce,nutshel,ralli,meanwhil,instantbuy
iter2_cv_split1,btce,wedg,market,nutshel,interest,bought,polo,moment,ani,observ
iter2_cv_split2,observ,usdt,futur,ralli,btce,veri,interest,epic,bought,collaps
iter2_cv_split3,btce,usdt,observ,futur,polo,let,read,confus,open,wonder
iter2_cv_split4,observ,interest,confus,usdt,ani,nutshel,previous,crypto,bank,excel
iter2_cv_split5,observ,btce,wedg,ani,case,second,usdt,futur,polo,bank
iter3_cv_split1,observ,wedg,previous,futur,btce,ani,polo,nutshel,interest,current
iter3_cv_split2,observ,wedg,veri,btce,ani,usdt,interest,thank,collaps,begin
iter3_cv_split3,btce,usdt,ani,veri,futur,ralli,bought,open,manag,observ
iter3_cv_split4,btce,observ,interest,crypto,market,previous,confus,daili,usdt,futur
iter3_cv_split5,btce,observ,market,nutshel,wedg,case,epic,interest,posit,crypto
iter4_cv_split1,observ,btce,confus,thank,second,open,ani,market,crypto,polo
iter4_cv_split2,observ,wedg,btce,ani,nutshel,spot,read,futur,moment,current
iter4_cv_split3,observ,btce,futur,alway,polo,interest,previous,bought,exampl,current
iter4_cv_split4,observ,wedg,usdt,btce,futur,read,previous,moment,ralli,second
iter4_cv_split5,btce,previous,wedg,interest,second,nutshel,cheap,usdt,futur,ani
iter5_cv_split1,observ,ani,wedg,usdt,nutshel,btce,ralli,interest,case,bought
iter5_cv_split2,observ,previous,futur,usdt,open,btce,interest,wedg,bought,bear
iter5_cv_split3,btce,observ,wedg,interest,crypto,cheap,second,current,fork,nutshel
iter5_cv_split4,btce,observ,market,wedg,moment,futur,polo,exhaust,dash,danc
iter5_cv_split5,btce,futur,confus,observ,interest,usdt,ani,market,intact,second
iter6_cv_split1,observ,btce,wedg,polo,futur,interest,second,determin,bought,read
iter6_cv_split2,btce,observ,market,wedg,thank,usdt,spot,interest,nutshel,discuss
iter6_cv_split3,observ,confus,btce,ani,interest,usdt,second,epic,let,bought
iter6_cv_split4,btce,observ,case,ani,usdt,someth,previous,futur,open,crypto
iter6_cv_split5,ani,futur,previous,interest,nutshel,observ,low,wonder,discuss,alway
iter7_cv_split1,btce,ani,ralli,previous,observ,usdt,determin,interest,thank,collaps
iter7_cv_split2,observ,btce,interest,polo,futur,crypto,usdt,bought,bitcoin,cheap
iter7_cv_split3,btce,observ,wedg,case,ani,interest,open,bought,usdt,ralli
iter7_cv_split4,btce,observ,second,usdt,confus,crypto,futur,wedg,epic,left
iter7_cv_split5,observ,second,moment,wedg,confus,someth,futur,bank,watch,veri
iter8_cv_split1,btce,observ,polo,market,usdt,wedg,nutshel,cheap,read,confus
iter8_cv_split2,observ,wedg,case,ani,thank,interest,futur,current,previous,confus
iter8_cv_split3,observ,btce,usdt,futur,open,crypto,bought,left,everyth,interest
iter8_cv_split4,observ,btce,wedg,ani,futur,interest,usdt,bought,polo,largest
iter8_cv_split5,btce,second,confus,observ,polo,interest,nutshel,previous,epic,ani
iter9_cv_split1,btce,interest,futur,usdt,confus,veri,previous,read,bought,wonder
iter9_cv_split2,observ,btce,wedg,ani,interest,thank,largest,polo,determin,second
iter9_cv_split3,observ,btce,wedg,crypto,moment,market,someth,everyth,confus,read
iter9_cv_split4,observ,usdt,futur,second,btce,ani,spot,someth,moment,previous
iter9_cv_split5,observ,wedg,futur,open,interest,polo,bought,btce,previous,nutshel
iter10_cv_split1,observ,usdt,interest,futur,nutshel,confus,ani,ralli,moment,thing
iter10_cv_split2,observ,btce,wedg,interest,polo,previous,epic,crypto,cheap,market
iter10_cv_split3,observ,btce,ani,veri,usdt,confus,polo,interest,market,wonder
iter10_cv_split4,btce,observ,read,wedg,polo,veri,ralli,graph,nutshel,everyth
iter10_cv_split5,btce,wedg,futur,bear,open,thank,current,spot,usdt,confus
iter11_cv_split1,btce,interest,nutshel,futur,usdt,observ,crypto,cheap,polo,bank
iter11_cv_split2,observ,btce,wedg,polo,interest,ani,nutshel,thank,determin,confus
iter11_cv_split3,observ,usdt,ralli,interest,moment,market,polo,ani,crypto,read
iter11_cv_split4,observ,btce,futur,wedg,market,interest,excel,collaps,problem,bank
iter11_cv_split5,btce,observ,ani,wedg,usdt,futur,spot,bought,polo,let
iter12_cv_split1,btce,observ,wedg,interest,veri,ani,usdt,ralli,thank,previous
iter12_cv_split2,observ,btce,ani,wedg,usdt,ralli,confus,nutshel,market,previous
iter12_cv_split3,wedg,second,case,usdt,observ,futur,crypto,ani,bitfinex,buyin
iter12_cv_split4,observ,btce,wedg,read,someth,open,collaps,nutshel,moment,polo
iter12_cv_split5,observ,btce,second,bought,interest,futur,polo,ani,wonder,cnbc
iter13_cv_split1,usdt,wedg,ani,btce,bitcoin,confus,interest,wonder,second,polo
iter13_cv_split2,observ,veri,ani,usdt,wedg,futur,btce,wonder,graph,nutshel
iter13_cv_split3,observ,btce,previous,polo,interest,wedg,open,nutshel,cheap,determin
iter13_cv_split4,btce,observ,market,moment,thank,usdt,futur,ani,confus,polo
iter13_cv_split5,btce,observ,previous,interest,futur,usdt,case,bought,discuss,nutshel
iter14_cv_split1,observ,btce,wedg,previous,open,futur,polo,usdt,bought,veri
iter14_cv_split2,btce,observ,case,ani,crypto,ralli,usdt,interest,polo,second
iter14_cv_split3,observ,usdt,cheap,btce,interest,previous,nutshel,futur,market,bank
iter14_cv_split4,btce,usdt,interest,second,ani,polo,bought,determin,read,graph
iter14_cv_split5,observ,wedg,futur,moment,polo,second,bank,market,read,interest
iter15_cv_split1,observ,usdt,interest,veri,futur,ani,cnbc,daili,crypto,bitfinex
iter15_cv_split2,btce,observ,usdt,nutshel,wedg,interest,confus,epic,cnbc,second
iter15_cv_split3,observ,btce,wedg,futur,open,spot,ani,confus,bank,determin
iter15_cv_split4,btce,observ,previous,wedg,ralli,crypto,strong,bought,recov,interest
iter15_cv_split5,btce,observ,ani,previous,futur,bought,usdt,interest,polo,confus
iter16_cv_split1,interest,btce,nutshel,crypto,read,doji,futur,usdt,bank,dinosaur
iter16_cv_split2,btce,observ,usdt,confus,interest,ani,wedg,begin,wonder,bought
iter16_cv_split3,observ,btce,wedg,market,ani,futur,nutshel,second,crypto,polo
iter16_cv_split4,btce,observ,usdt,futur,cheap,read,ralli,polo,case,spot
iter16_cv_split5,observ,wedg,interest,btce,cnbc,polo,wonder,bought,ur,graph
iter17_cv_split1,observ,wedg,usdt,interest,open,btce,bought,ad,ani,nutshel
iter17_cv_split2,btce,veri,market,futur,wedg,observ,polo,let,bitcoin,crypto
iter17_cv_split3,btce,previous,observ,usdt,futur,interest,nutshel,second,thank,read
iter17_cv_split4,observ,usdt,ani,interest,case,confus,bought,wonder,discuss,bear
iter17_cv_split5,observ,btce,ani,ralli,futur,interest,nutshel,bought,discuss,recov
iter18_cv_split1,observ,wedg,btce,confus,moment,interest,spot,read,bank,inspir
iter18_cv_split2,btce,observ,crypto,futur,usdt,bitcoin,nutshel,second,polo,ani
iter18_cv_split3,observ,btce,wedg,thank,open,futur,polo,usdt,discuss,someth
iter18_cv_split4,btce,interest,wedg,ani,ralli,futur,usdt,polo,crypto,watch
iter18_cv_split5,ani,observ,confus,btce,bought,interest,moment,intact,futur,second
iter19_cv_split1,btce,observ,wedg,previous,futur,confus,nutshel,interest,veri,usdt
iter19_cv_split2,observ,case,previous,usdt,cheap,btce,ralli,open,graph,current
iter19_cv_split3,observ,interest,wedg,btce,posit,futur,ani,polo,bitcoin,read
iter19_cv_split4,btce,observ,ani,interest,confus,wonder,second,usdt,wedg,case
iter19_cv_split5,btce,ani,futur,nutshel,market,observ,second,determin,ad,discuss
iter20_cv_split1,observ,btce,wedg,posit,moment,nutshel,polo,recov,market,dash
iter20_cv_split2,observ,usdt,second,btce,discuss,crypto,moment,intact,order,futur
iter20_cv_split3,observ,wedg,interest,futur,case,confus,market,ani,veri,cnbc
iter20_cv_split4,btce,observ,futur,ani,usdt,wedg,fork,polo,previous,wonder
iter20_cv_split5,btce,read,ani,bought,usdt,interest,case,bank,futur,observ
iter21_cv_split1,btce,observ,cheap,usdt,interest,ani,wedg,futur,veri,wonder
iter21_cv_split2,observ,usdt,nutshel,btce,futur,previous,market,second,read,epic
iter21_cv_split3,observ,btce,wedg,bitcoin,confus,futur,thank,ani,largest,moment
iter21_cv_split4,btce,market,ani,usdt,open,second,case,solid,ralli,bought
iter21_cv_split5,observ,interest,wedg,ani,polo,crypto,btce,case,nutshel,confus
iter22_cv_split1,wedg,observ,ani,interest,ralli,bought,futur,confus,exit,instantbuy
iter22_cv_split2,observ,btce,wedg,ralli,nutshel,ani,futur,crypto,cheap,interest
iter22_cv_split3,observ,usdt,second,ani,btce,interest,veri,wedg,bought,futur
iter22_cv_split4,btce,usdt,observ,futur,crypto,previous,wedg,market,nutshel,cnbc
iter22_cv_split5,btce,observ,thank,graph,open,veri,someth,intact,daili,polo
iter23_cv_split1,btce,observ,usdt,thank,crypto,futur,confus,nutshel,discuss,interest
iter23_cv_split2,btce,observ,wedg,interest,usdt,bought,nutshel,polo,determin,fork
iter23_cv_split3,observ,btce,wedg,case,ani,futur,bought,polo,veri,alway
iter23_cv_split4,observ,btce,collaps,open,moment,current,polo,cnbc,bear,sure
iter23_cv_split5,market,observ,interest,previous,second,wedg,nutshel,let,futur,bank
iter24_cv_split1,observ,btce,wedg,confus,nutshel,polo,interest,moment,crypto,read
iter24_cv_split2,btce,observ,futur,meanwhil,usdt,ani,polo,interest,alway,crypto
iter24_cv_split3,btce,wedg,ani,usdt,observ,someth,current,wonder,previous,close
iter24_cv_split4,observ,market,confus,wedg,btce,interest,bitcoin,futur,thank,spot
iter24_cv_split5,case,usdt,interest,ani,previous,open,cnbc,second,observ,bank
iter25_cv_split1,observ,wedg,crypto,futur,previous,cheap,left,cnbc,case,discuss
iter25_cv_split2,btce,observ,market,usdt,polo,read,moment,spot,bought,bitfinex
iter25_cv_split3,observ,btce,ani,wedg,nutshel,let,interest,wonder,moment,ralli
iter25_cv_split4,btce,observ,wedg,usdt,previous,chart,second,polo,moment,futur
