,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,mistak,incom,instead,stop,vix,leg,dow,trendlin,trend,add
iter1_cv_split2,hold,mistak,instead,stop,drop,leg,trendlin,point,like,heaven
iter1_cv_split3,leg,dow,instead,mistak,hold,mind,stop,add,vix,sit
iter1_cv_split4,leg,major,hold,dow,incom,drop,pattern,trendlin,vix,heaven
iter1_cv_split5,leg,mistak,instead,incom,trend,stop,hold,pattern,unsatisfi,outcom
iter2_cv_split1,hold,dow,vix,revers,unsatisfi,outcom,trend,pattern,trendlin,leg
iter2_cv_split2,instead,drop,incom,leg,mistak,stop,mind,add,trendlin,right
iter2_cv_split3,leg,instead,mistak,dow,incom,stop,hold,add,trendlin,vix
iter2_cv_split4,leg,mistak,instead,hold,incom,stop,vix,pattern,dow,heaven
iter2_cv_split5,mistak,leg,instead,dow,drop,stop,major,fractal,incom,pattern
iter3_cv_split1,crash,leg,major,hold,incom,trendlin,vix,pattern,dow,altitud
iter3_cv_split2,brutal,instead,dow,mistak,stop,add,fractal,trend,vix,pattern
iter3_cv_split3,leg,mistak,instead,stop,incom,trend,revers,drop,outcom,unsatisfi
iter3_cv_split4,leg,mistak,instead,incom,major,dow,stop,hold,point,vix
iter3_cv_split5,leg,mistak,instead,dow,hold,stop,drop,add,vix,point
iter4_cv_split1,crash,leg,mistak,instead,incom,stop,trendlin,pattern,heaven,mind
iter4_cv_split2,leg,mistak,instead,hold,incom,drop,heaven,updat,outcom,unsatisfi
iter4_cv_split3,mistak,leg,instead,dow,stop,hold,incom,major,trendlin,vix
iter4_cv_split4,view,hold,dow,preceed,similiar,stop,drop,vix,pattern,unsatisfi
iter4_cv_split5,leg,mistak,instead,major,stop,dow,incom,vix,pattern,fractal
iter5_cv_split1,leg,mistak,instead,drop,incom,dow,pattern,vix,point,zone
iter5_cv_split2,mistak,leg,dow,instead,hold,incom,stop,vix,mind,pattern
iter5_cv_split3,stop,trend,crash,mistak,add,mind,trendlin,unsatisfi,outcom,sit
iter5_cv_split4,leg,dow,hold,stop,trendlin,pattern,vix,incom,drop,outcom
iter5_cv_split5,leg,mistak,instead,incom,hold,preceed,similiar,stop,vix,pattern
iter6_cv_split1,leg,mistak,instead,dow,incom,fractal,stop,trendlin,mind,add
iter6_cv_split2,mistak,hold,instead,dow,stop,leg,vix,add,pattern,trend
iter6_cv_split3,leg,incom,trend,stop,hold,vix,dow,updat,trendlin,heaven
iter6_cv_split4,mistak,incom,instead,drop,stop,leg,heaven,add,pattern,safe
iter6_cv_split5,crash,leg,mistak,major,instead,dow,hold,drop,pattern,incom
iter7_cv_split1,major,fractal,drop,leg,incom,mind,trend,pattern,trendlin,sit
iter7_cv_split2,view,leg,mistak,instead,incom,hold,stop,dow,trendlin,drop
iter7_cv_split3,mistak,brutal,hold,dow,instead,stop,pattern,leg,add,vix
iter7_cv_split4,leg,mistak,instead,incom,stop,trendlin,hold,vix,dow,add
iter7_cv_split5,crash,leg,instead,major,incom,mistak,stop,dow,fractal,pattern
iter8_cv_split1,instead,incom,mistak,leg,dow,stop,trendlin,vix,potenti,heaven
iter8_cv_split2,crash,hold,stop,fractal,leg,vix,trendlin,dow,fail,expect
iter8_cv_split3,leg,mistak,incom,hold,stop,add,instead,mind,pattern,drop
iter8_cv_split4,leg,instead,mistak,dow,stop,incom,drop,trend,vix,add
iter8_cv_split5,mistak,leg,instead,dow,incom,drop,right,outcom,unsatisfi,pattern
iter9_cv_split1,mistak,major,incom,leg,stop,instead,fractal,dow,mind,trendlin
iter9_cv_split2,leg,instead,mistak,incom,stop,dow,major,add,pattern,vix
iter9_cv_split3,hold,dow,drop,vix,pattern,leg,trendlin,heaven,safe,altitud
iter9_cv_split4,leg,mistak,instead,vix,incom,dow,stop,trend,trendlin,add
iter9_cv_split5,mistak,leg,instead,incom,hold,major,stop,drop,unsatisfi,outcom
iter10_cv_split1,mistak,leg,instead,hold,dow,stop,drop,add,pattern,incom
iter10_cv_split2,mistak,instead,stop,vix,add,dow,pattern,heaven,safe,mainstream
iter10_cv_split3,mistak,leg,dow,incom,hold,drop,trend,trendlin,vix,pattern
iter10_cv_split4,view,leg,mistak,dow,instead,incom,stop,point,add,trendlin
iter10_cv_split5,leg,incom,stop,pattern,trend,outcom,unsatisfi,updat,trendlin,altitud
iter11_cv_split1,instead,mistak,hold,leg,incom,stop,trendlin,vix,dow,add
iter11_cv_split2,leg,view,mistak,preceed,similiar,dow,incom,instead,stop,add
iter11_cv_split3,leg,incom,dow,drop,fail,trendlin,point,vix,fractal,price
iter11_cv_split4,mistak,instead,stop,trend,dow,leg,pattern,add,unsatisfi,outcom
iter11_cv_split5,mistak,incom,instead,leg,stop,mind,trendlin,safe,heaven,pattern
iter12_cv_split1,mistak,leg,instead,vix,stop,dow,mind,add,trendlin,pattern
iter12_cv_split2,crash,mistak,incom,leg,stop,drop,instead,mind,unsatisfi,outcom
iter12_cv_split3,leg,instead,dow,mistak,stop,hold,vix,add,incom,pattern
iter12_cv_split4,mistak,leg,instead,incom,dow,hold,heaven,vix,drop,zone
iter12_cv_split5,major,stop,fractal,leg,hold,trend,pattern,unsatisfi,outcom,trendlin
iter13_cv_split1,leg,instead,mistak,hold,incom,stop,vix,dow,trendlin,add
iter13_cv_split2,mistak,leg,stop,instead,incom,unsatisfi,outcom,trend,mind,add
iter13_cv_split3,crash,leg,instead,incom,mistak,dow,hold,pattern,add,altitud
iter13_cv_split4,hold,trend,stop,dow,drop,trendlin,pattern,leg,point,vix
iter13_cv_split5,leg,mistak,instead,dow,incom,stop,fractal,vix,add,trendlin
iter14_cv_split1,mistak,instead,incom,stop,leg,vix,dow,add,heaven,trend
iter14_cv_split2,leg,mistak,instead,dow,incom,stop,add,vix,pattern,heaven
iter14_cv_split3,hold,drop,crash,pattern,trend,leg,potenti,trendlin,altitud,heaven
iter14_cv_split4,leg,mistak,incom,instead,dow,hold,stop,revers,pattern,vix
iter14_cv_split5,leg,mistak,instead,stop,dow,incom,add,point,pattern,media
iter15_cv_split1,leg,mistak,brutal,ain,drop,incom,add,instead,mind,pattern
iter15_cv_split2,leg,instead,mistak,dow,incom,stop,trendlin,vix,drop,add
iter15_cv_split3,crash,mistak,hold,dow,trend,trendlin,leg,outcom,updat,unsatisfi
