,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,holder,kind,current,price,human,littl,import,doe,turn,don
iter1_cv_split2,holder,doe,current,onli,human,everi,satoshi,massiv,remind,import
iter1_cv_split3,holder,sell,doe,current,shitcoin,dos,vtc,climb,numero,don
iter1_cv_split4,doe,kind,sold,human,credit,balanc,climb,dos,vtc,import
iter1_cv_split5,holder,current,onli,price,human,massiv,credit,vtc,climb,alreadi
iter2_cv_split1,holder,doe,current,onli,hope,massiv,util,credit,import,feel
iter2_cv_split2,holder,current,satoshi,price,doe,credit,dos,climb,numero,vtc
iter2_cv_split3,onli,everi,human,doe,shitcoin,remind,import,alreadi,vtc,climb
iter2_cv_split4,holder,current,sold,calm,abc,onli,human,target,massiv,vtc
iter2_cv_split5,holder,kind,onli,massiv,current,credit,import,use,feel,critic
iter3_cv_split1,holder,current,doe,satoshi,human,onli,massiv,coin,dos,vtc
iter3_cv_split2,holder,doe,abc,calm,sold,onli,credit,shitcoin,current,import
iter3_cv_split3,holder,price,onli,doe,massiv,import,remind,credit,climb,dos
iter3_cv_split4,holder,price,current,human,credit,balanc,level,remind,import,climb
iter3_cv_split5,valu,kind,price,everi,human,doe,target,shitcoin,credit,util
iter4_cv_split1,holder,kind,doe,current,price,human,satoshi,balanc,credit,remind
iter4_cv_split2,holder,current,onli,doe,everi,human,price,massiv,know,alreadi
iter4_cv_split3,holder,doe,current,onli,massiv,credit,import,climb,vtc,dos
iter4_cv_split4,valu,onli,everi,human,price,massiv,vtc,dos,climb,littl
iter4_cv_split5,holder,doe,onli,human,remind,import,numero,integr,talk,feel
iter5_cv_split1,valu,doe,util,onli,price,human,balanc,import,remind,offici
iter5_cv_split2,holder,kind,current,shitcoin,dos,numero,climb,vtc,don,alreadi
iter5_cv_split3,holder,current,doe,onli,human,satoshi,massiv,littl,credit,balanc
iter5_cv_split4,holder,doe,current,price,onli,dos,climb,vtc,remind,import
iter5_cv_split5,holder,doe,human,onli,credit,dos,vtc,climb,current,coin
iter6_cv_split1,shitcoin,dos,vtc,climb,current,know,remind,import,alreadi,noth
