,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.5645161290322581,0.6451612903225806,0.9986338797814208,0.6475409836065574,0,33,10,0,98,22,0,16,7,167,0,0,0,474,0,0,1,90
iter1_cv_split2,0.6502732240437158,0.644808743169399,0.9959183673469387,0.6476190476190476,0,42,0,1,112,5,0,16,7,168,0,0,0,476,0,0,3,88
iter1_cv_split3,0.5409836065573771,0.644808743169399,0.9972789115646259,0.6476190476190476,0,32,10,0,96,22,0,20,3,168,0,0,0,476,0,0,2,89
iter1_cv_split4,0.6010928961748634,0.6502732240437158,0.9959183673469387,0.6462585034013606,0,41,0,0,97,22,0,10,13,169,0,0,0,475,0,0,3,88
iter1_cv_split5,0.5901639344262295,0.6502732240437158,0.998639455782313,0.6462585034013606,0,42,0,2,101,16,0,15,7,168,0,0,0,475,0,0,1,91
iter2_cv_split1,0.553763440860215,0.6451612903225806,0.9986338797814208,0.6475409836065574,0,21,22,4,93,23,0,13,10,167,0,0,0,474,0,0,1,90
iter2_cv_split2,0.5956284153005464,0.644808743169399,0.998639455782313,0.6476190476190476,0,33,9,0,102,16,0,16,7,168,0,0,0,476,0,0,1,90
iter2_cv_split3,0.6065573770491803,0.644808743169399,0.9945578231292517,0.6476190476190476,0,42,0,3,104,11,0,16,7,168,0,0,0,475,1,0,3,88
iter2_cv_split4,0.5956284153005464,0.6502732240437158,0.9959183673469387,0.6462585034013606,0,41,0,0,102,17,0,16,7,169,0,0,0,475,0,0,3,88
iter2_cv_split5,0.5300546448087432,0.6502732240437158,0.9959183673469387,0.6462585034013606,0,31,11,3,91,25,0,16,6,168,0,0,0,475,0,0,3,89
iter3_cv_split1,0.5860215053763441,0.6451612903225806,0.9986338797814208,0.6475409836065574,0,36,7,0,100,20,0,14,9,167,0,0,0,474,0,0,1,90
iter3_cv_split2,0.644808743169399,0.644808743169399,0.9959183673469387,0.6476190476190476,0,35,7,0,106,12,0,11,12,168,0,0,0,476,0,0,3,88
iter3_cv_split3,0.5846994535519126,0.644808743169399,0.9959183673469387,0.6476190476190476,0,33,9,2,100,16,0,16,7,168,0,0,0,476,0,0,3,88
iter3_cv_split4,0.6284153005464481,0.6502732240437158,0.9972789115646259,0.6462585034013606,0,41,0,0,108,11,0,16,7,169,0,0,0,475,0,0,2,89
iter3_cv_split5,0.6120218579234973,0.6502732240437158,0.9959183673469387,0.6462585034013606,0,28,14,0,106,13,0,16,6,168,0,0,0,475,0,0,3,89
iter4_cv_split1,0.6021505376344086,0.6451612903225806,0.9959016393442623,0.6475409836065574,0,37,6,2,106,12,0,17,6,167,0,0,0,474,0,0,3,88
iter4_cv_split2,0.5901639344262295,0.644808743169399,0.9972789115646259,0.6476190476190476,0,35,7,1,100,17,0,15,8,168,0,0,0,476,0,0,2,89
iter4_cv_split3,0.5737704918032787,0.644808743169399,0.998639455782313,0.6476190476190476,0,35,7,0,96,22,0,14,9,168,0,0,0,476,0,0,1,90
iter4_cv_split4,0.644808743169399,0.6502732240437158,0.9959183673469387,0.6462585034013606,0,30,11,0,110,9,0,15,8,169,0,0,0,475,0,0,3,88
iter4_cv_split5,0.5355191256830601,0.6502732240437158,0.9959183673469387,0.6462585034013606,0,42,0,0,94,25,0,18,4,168,0,0,0,475,0,0,3,89
iter5_cv_split1,0.553763440860215,0.6451612903225806,0.9972677595628415,0.6475409836065574,0,43,0,0,96,24,0,16,7,167,0,0,0,474,0,0,2,89
iter5_cv_split2,0.644808743169399,0.644808743169399,0.9959183673469387,0.6476190476190476,0,42,0,0,109,9,0,14,9,168,0,0,0,476,0,0,3,88
iter5_cv_split3,0.6284153005464481,0.644808743169399,0.9972789115646259,0.6476190476190476,0,30,12,0,109,9,0,17,6,168,0,0,0,476,0,0,2,89
iter5_cv_split4,0.5737704918032787,0.6502732240437158,0.9959183673469387,0.6462585034013606,0,41,0,4,97,18,0,15,8,169,0,0,0,475,0,0,3,88
iter5_cv_split5,0.6284153005464481,0.6502732240437158,0.998639455782313,0.6462585034013606,0,42,0,2,109,8,0,16,6,168,0,0,0,475,0,0,1,91
iter6_cv_split1,0.6559139784946236,0.6451612903225806,0.9972677595628415,0.6475409836065574,0,43,0,2,112,6,0,13,10,167,0,0,0,474,0,0,2,89
iter6_cv_split2,0.6338797814207651,0.644808743169399,0.9972789115646259,0.6476190476190476,8,25,9,0,102,16,0,17,6,168,0,0,0,476,0,0,2,89
iter6_cv_split3,0.5956284153005464,0.644808743169399,0.9972789115646259,0.6476190476190476,0,30,12,0,102,16,0,16,7,168,0,0,0,476,0,0,2,89
iter6_cv_split4,0.546448087431694,0.6502732240437158,0.9972789115646259,0.6462585034013606,0,27,14,0,90,29,0,13,10,169,0,0,0,475,0,0,2,89
iter6_cv_split5,0.5846994535519126,0.6502732240437158,0.9972789115646259,0.6462585034013606,0,42,0,0,102,17,0,17,5,168,0,0,0,475,0,0,2,90
iter7_cv_split1,0.6290322580645161,0.6451612903225806,0.9959016393442623,0.6475409836065574,0,32,11,0,109,11,0,15,8,167,0,0,0,474,0,0,3,88
iter7_cv_split2,0.5519125683060109,0.644808743169399,0.9972789115646259,0.6476190476190476,0,29,13,0,95,23,0,17,6,168,0,0,0,476,0,0,2,89
iter7_cv_split3,0.5901639344262295,0.644808743169399,0.9972789115646259,0.6476190476190476,0,23,19,0,100,18,0,15,8,168,0,0,0,476,0,0,2,89
iter7_cv_split4,0.6174863387978142,0.6502732240437158,0.9972789115646259,0.6462585034013606,0,30,11,2,104,13,0,14,9,169,0,0,0,475,0,0,2,89
