,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,mustread,denial,reach,abc,calm,sold,lose,sourc,credibl,cure
iter1_cv_split2,denial,mustread,abc,calm,reach,sold,sell,cure,sourc,credibl
iter1_cv_split3,denial,mustread,sold,calm,abc,reach,hepat,credibl,sourc,cure
iter1_cv_split4,abc,calm,reach,lose,valu,appreci,price,play,transfer,resist
iter1_cv_split5,denial,mustread,doe,sourc,credibl,hepat,cure,lose,valu,satoshi
iter2_cv_split1,mustread,denial,valu,sourc,hepat,credibl,cure,lose,price,shitcoin
iter2_cv_split2,denial,mustread,abc,reach,calm,sold,lose,valu,transfer,appreci
iter2_cv_split3,sell,lose,abc,calm,reach,satoshi,sold,hepat,credibl,sourc
iter2_cv_split4,denial,mustread,sourc,hepat,credibl,cure,doe,reach,kind,lose
iter2_cv_split5,denial,mustread,doe,abc,calm,reach,sold,valu,credibl,hepat
iter3_cv_split1,denial,mustread,abc,reach,calm,sold,sourc,credibl,cure,hepat
iter3_cv_split2,mustread,denial,reach,credibl,sourc,hepat,cure,sell,kind,transfer
iter3_cv_split3,mustread,denial,reach,calm,abc,sold,sourc,credibl,cure,hepat
iter3_cv_split4,mustread,denial,doe,lose,valu,hope,resist,play,appreci,transfer
iter3_cv_split5,abc,calm,reach,current,lose,cure,hepat,sourc,credibl,sold
iter4_cv_split1,denial,mustread,abc,reach,calm,sold,lose,appreci,valu,play
iter4_cv_split2,mustread,denial,valu,abc,calm,reach,sold,lose,credibl,cure
iter4_cv_split3,denial,mustread,valu,credibl,cure,sourc,hepat,transfer,sat,expect
iter4_cv_split4,doe,abc,calm,reach,sold,credibl,cure,hepat,sourc,current
iter4_cv_split5,denial,mustread,lose,abc,calm,reach,sold,credibl,sourc,hepat
iter5_cv_split1,abc,calm,reach,sold,credibl,cure,sourc,hepat,lose,appreci
iter5_cv_split2,mustread,denial,valu,abc,calm,sold,reach,doe,sat,expect
iter5_cv_split3,mustread,denial,valu,cure,sourc,credibl,hepat,lose,appreci,scale
iter5_cv_split4,mustread,denial,abc,calm,reach,sold,sell,valu,sourc,hepat
iter5_cv_split5,denial,mustread,abc,calm,reach,lose,sold,credibl,hepat,cure
iter6_cv_split1,denial,mustread,holder,doe,calm,reach,sold,abc,hope,lose
iter6_cv_split2,mustread,denial,credibl,sourc,cure,hepat,lose,satoshi,scale,doe
iter6_cv_split3,denial,mustread,valu,lose,abc,calm,reach,sourc,cure,hepat
iter6_cv_split4,mustread,denial,valu,lose,cure,hepat,credibl,sourc,reach,transfer
iter6_cv_split5,current,sell,abc,reach,calm,sold,shitcoin,play,sat,expect
iter7_cv_split1,mustread,denial,doe,lose,abc,calm,reach,sold,credibl,cure
iter7_cv_split2,denial,mustread,abc,reach,calm,lose,appreci,play,scale,sat
iter7_cv_split3,mustread,denial,doe,sourc,credibl,hepat,cure,valu,lose,appreci
iter7_cv_split4,denial,mustread,valu,abc,reach,calm,current,credibl,sourc,hepat
iter7_cv_split5,abc,reach,calm,hepat,credibl,cure,sourc,lose,valu,hope
iter8_cv_split1,mustread,denial,doe,valu,cure,hepat,sourc,credibl,sell,sat
iter8_cv_split2,denial,mustread,abc,calm,reach,sold,valu,sourc,cure,hepat
iter8_cv_split3,mustread,denial,abc,calm,reach,lose,hepat,sourc,credibl,cure
iter8_cv_split4,abc,sold,reach,calm,sourc,credibl,cure,hepat,appreci,lose
iter8_cv_split5,holder,denial,mustread,lose,reach,valu,kind,satoshi,price,play
iter9_cv_split1,abc,calm,reach,current,hepat,sourc,credibl,cure,onli,shitcoin
iter9_cv_split2,mustread,denial,abc,calm,reach,lose,cure,credibl,hepat,sourc
iter9_cv_split3,denial,mustread,abc,calm,reach,sold,lose,hope,valu,scale
iter9_cv_split4,mustread,denial,price,doe,credibl,hepat,cure,sourc,valu,calm
iter9_cv_split5,mustread,denial,doe,hepat,credibl,cure,sourc,lose,valu,appreci
iter10_cv_split1,denial,mustread,doe,lose,cure,hepat,sourc,credibl,appreci,transfer
iter10_cv_split2,abc,reach,calm,sourc,cure,hepat,credibl,doe,lose,current
iter10_cv_split3,mustread,denial,abc,calm,sold,reach,sourc,hepat,cure,credibl
iter10_cv_split4,mustread,denial,abc,calm,reach,lose,valu,kind,appreci,shitcoin
iter10_cv_split5,mustread,denial,valu,abc,reach,calm,sold,hepat,cure,credibl
iter11_cv_split1,denial,mustread,holder,hepat,cure,credibl,sourc,lose,appreci,play
iter11_cv_split2,credibl,sourc,hepat,cure,valu,reach,lose,kind,satoshi,play
iter11_cv_split3,denial,mustread,abc,calm,reach,valu,sold,cure,hepat,sourc
iter11_cv_split4,mustread,denial,doe,lose,reach,abc,calm,sold,hepat,sourc
iter11_cv_split5,mustread,denial,abc,calm,reach,sold,lose,valu,appreci,human
iter12_cv_split1,mustread,denial,abc,reach,calm,doe,sold,credibl,cure,sourc
iter12_cv_split2,denial,mustread,valu,cure,credibl,hepat,sourc,kind,reach,sell
iter12_cv_split3,lose,price,doe,appreci,play,sat,expect,massiv,littl,payment
iter12_cv_split4,mustread,denial,valu,abc,reach,calm,sold,lose,cure,credibl
iter12_cv_split5,denial,mustread,abc,reach,calm,lose,sourc,credibl,hepat,cure
iter13_cv_split1,mustread,denial,valu,lose,hepat,sourc,credibl,cure,transfer,appreci
iter13_cv_split2,mustread,denial,reach,calm,abc,sold,valu,credibl,cure,sourc
iter13_cv_split3,denial,mustread,credibl,cure,hepat,sourc,abc,sold,reach,calm
iter13_cv_split4,mustread,denial,abc,calm,reach,valu,expect,sat,massiv,transfer
iter13_cv_split5,lose,abc,calm,reach,credibl,sourc,hepat,cure,appreci,transfer
iter14_cv_split1,mustread,denial,reach,cure,sourc,credibl,hepat,lose,sell,kind
iter14_cv_split2,denial,mustread,lose,valu,appreci,play,transfer,depot,rope,home
iter14_cv_split3,doe,hepat,cure,credibl,sourc,calm,reach,abc,transfer,play
iter14_cv_split4,mustread,denial,reach,calm,abc,sold,cure,credibl,sourc,hepat
iter14_cv_split5,mustread,denial,calm,reach,abc,sold,valu,hepat,cure,sourc
iter15_cv_split1,mustread,holder,denial,hepat,sourc,credibl,cure,valu,expect,sat
iter15_cv_split2,abc,calm,sold,reach,credibl,sourc,hepat,cure,valu,lose
iter15_cv_split3,denial,mustread,valu,calm,abc,reach,sold,lose,satoshi,appreci
iter15_cv_split4,mustread,denial,lose,reach,calm,abc,cure,hepat,credibl,sourc
iter15_cv_split5,denial,mustread,price,doe,reach,sourc,credibl,cure,hepat,kind
