,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,bull,time,close,soon,rsi,bullish,look,breakout,div,huge
iter1_cv_split2,bull,look,close,dip,huge,div,volum,cloud,time,breakout
iter1_cv_split3,bull,look,close,cloud,time,soon,dip,div,huge,bull div
iter1_cv_split4,bull,close,dip,look,cloud,rsi,bullish,volum,broke,bull div
iter1_cv_split5,look,bull,close,huge,time,breakout,dip,bullish,volum,rsi
iter2_cv_split1,bull,close,look,time,dip,huge,volum,breakout,bull div,rsi
iter2_cv_split2,bull,close,look,huge,cloud,div,broke,trade,dip,bull div
iter2_cv_split3,look,bull,close,rsi,dip,huge,time,breakout,soon,amp
iter2_cv_split4,look,bull,close,cloud,volum,breakout,broke,bullish,dip,huge
iter2_cv_split5,bull,close,dip,time,look,bullish,div,cloud,rsi,huge
iter3_cv_split1,bull,close,look,time,dip,bullish,absolut,soon,huge,updat
iter3_cv_split2,bull,look,bullish,close,breakout,volum,time,cloud,div,dip
iter3_cv_split3,bull,close,look,dip,huge,cloud,rsi,div,broke,volum
iter3_cv_split4,close,bull,huge,look,rsi,trade,break,cloud,market cap,time
iter3_cv_split5,bull,look,close,time,dip,huge,rsi,div,volum,support
iter4_cv_split1,bull,close,look,huge,time,div,support,broke,bull div,rsi
iter4_cv_split2,bull,dip,cloud,close,look,soon,volum,breakout,div,huge
iter4_cv_split3,look,close,bull,dip,cloud,bullish,rsi,broke,target,market cap
iter4_cv_split4,bull,look,close,huge,div,rsi,dip,volum,soon,ico
iter4_cv_split5,bull,close,look,time,cloud,breakout,rsi,dip,bullish,huge
iter5_cv_split1,bull,close,time,dip,huge,cloud,rsi,look,soon,div
iter5_cv_split2,bull,close,look,div,bullish,cloud,bull div,rsi,dip,volum
iter5_cv_split3,bull,look,bullish,dip,time,rsi,cloud,broke,soon,div
iter5_cv_split4,close,bull,look,huge,support,dip,eye,bull div,div,breakout
iter5_cv_split5,close,look,bull,time,cloud,dip,bullish,huge,rsi,volum
iter6_cv_split1,bull,look,huge,time,close,cloud,dip,volum,div,broke
iter6_cv_split2,close,bull,look,dip,cloud,time,soon,breakout,bullish,rsi
iter6_cv_split3,bull,look,huge,time,dip,volum,close,div,broke,bullish
iter6_cv_split4,bull,close,huge,rsi,bullish,look,time,support,bull div,soon
iter6_cv_split5,close,bull,look,dip,volum,cloud,rsi,breakout,div,huge
iter7_cv_split1,bull,close,look,huge,dip,soon,time,rsi,div,cloud
iter7_cv_split2,bull,close,time,look,div,cloud,dip,volum,huge,bull div
iter7_cv_split3,bull,look,close,dip,bullish,breakout,cloud,div,soon,rsi
iter7_cv_split4,close,bull,time,huge,cloud,rsi,look,dip,bullish,wedg
iter7_cv_split5,bull,look,huge,close,broke,dip,support,updat,volum,ico
iter8_cv_split1,bull,close,huge,look,bullish,time,div,dip,cloud,volum
iter8_cv_split2,bull,close,look,huge,time,rsi,soon,eye,bullish,bull div
iter8_cv_split3,bull,close,dip,look,time,cloud,rsi,bullish,trade,div
iter8_cv_split4,bull,look,close,div,cloud,dip,huge,breakout,bull div,volum
iter8_cv_split5,close,look,bull,dip,huge,rsi,wedg,soon,breakout,volum
iter9_cv_split1,bull,look,close,time,trade,dip,cloud,soon,bullish,broke
iter9_cv_split2,bull,look,close,huge,breakout,div,dip,time,soon,bull div
iter9_cv_split3,bull,close,dip,rsi,cloud,huge,div,look,updat,breakout
iter9_cv_split4,bull,look,dip,close,rsi,div,volum,bull div,cloud,broke
iter9_cv_split5,bull,close,look,huge,bullish,time,cloud,rsi,broke,volum
iter10_cv_split1,bull,look,time,close,div,huge,bull div,breakout,volum,hidden bull
iter10_cv_split2,look,bull,close,cloud,rsi,dip,huge,time,bullish,broke
iter10_cv_split3,bull,close,dip,cloud,look,volum,support,div,broke,bullish
iter10_cv_split4,bull,look,close,dip,time,bullish,support,rsi,div,huge
iter10_cv_split5,bull,close,look,huge,rsi,time,dip,breakout,trade,wedg
