,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,need,gt,profit,realli,cryptocurr,chart,work,win,btc,mind
iter1_cv_split2,need,bitcoin,ask,profit,trader,cryptocurr,tweet,token,mind,free
iter1_cv_split3,need,gt,amp,ask,trader,btc,follow,pleas,twitter,away
iter1_cv_split4,bitcoin,need,gt,profit,order,chart,trader,btc,ask,mind
iter1_cv_split5,need,profit,gt,ask,trader,telegram,mind,order,gt gt,bcash
iter2_cv_split1,bitcoin,gt,profit,chart,order,need,trader,new,pleas,token
iter2_cv_split2,need,ask,profit,work,btc,insid,bcash,segwit,peopl,hunter
iter2_cv_split3,need,gt,trader,tweet,profit,order,stop,ask,twitter,win
iter2_cv_split4,need,profit,gt,bitcoin,ask,cryptocurr,twitter,trader,know,btc
iter2_cv_split5,need,gt,profit,trader,cryptocurr,free,ask,win,mind,gt gt
iter3_cv_split1,need,trade,gt,profit,ask,work,btc,use,trader,mind
iter3_cv_split2,need,profit,gt,ask,btc,twitter,mind,gt gt,hunter,away
iter3_cv_split3,bitcoin,need,gt,profit,order,ask,segwit,chart,cryptocurr,bcash
iter3_cv_split4,need,gt,chart,best,trader,new,cryptocurr,btc,profit,discount
iter3_cv_split5,bitcoin,need,profit,trader,ask,free,win,token,cryptocurr,order
iter4_cv_split1,need,profit,new,amp,ask,chart,away,trader,mind,telegram
iter4_cv_split2,bitcoin,need,gt,profit,think,ask,order,trader,work,pleas
iter4_cv_split3,gt,profit,need,discount,best,free,cryptocurr,btc,gt gt,hunter
iter4_cv_split4,need,gt,ask,profit,trader,chart,cryptocurr,twitter,year,know
iter4_cv_split5,gt,need,trader,profit,chart,ask,cryptocurr,win,telegram,offici
iter5_cv_split1,bitcoin,need,profit,chart,btc,best,ask,away,trader,know
iter5_cv_split2,need,gt,trader,segwit,btc,profit,bcash,ask,cryptocurr,mind
iter5_cv_split3,need,gt,ask,trader,trade,cryptocurr,profit,away,win,gt gt
iter5_cv_split4,need,gt,profit,ask,stop,pleas,trader,work,mind,tweet
iter5_cv_split5,bitcoin,new,gt,profit,need,order,chart,realli,year,cryptocurr
iter6_cv_split1,need,profit,gt,ask,cryptocurr,long,away,twitter,trader,offici
iter6_cv_split2,gt,need,ask,profit,btc,bitcoin,trader,realli,tweet,win
iter6_cv_split3,need,gt,profit,trader,amp,bitcoin,ask,pleas,win,know
iter6_cv_split4,need,gt,chart,profit,segwit,ask,twitter,away,win,cryptocurr
