,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,doe,valu,current,resist,price,lose,shitcoin,holder denial,mustread,mustread holder
iter1_cv_split2,doe,sell,resist,transfer,lose,credit,scale,current,valu,mustread
iter1_cv_split3,scale,peopl,lose,current,valu,price,doe,shitcoin,credit,play
iter1_cv_split4,doe,sell,current,scale,valu,price,transfer,peopl,credit,play
iter1_cv_split5,doe,sell,valu,scale,resist,transfer,current,peopl,credit,shitcoin
iter2_cv_split1,doe,sell,resist,transfer,lose,credit,play,valu,scale,current
iter2_cv_split2,doe,current,valu,resist,transfer,lose,price,shitcoin,credit,denial
iter2_cv_split3,doe,sell,valu,scale,resist,peopl,current,shitcoin,play,mustread
iter2_cv_split4,sell,scale,price,peopl,current,doe,credit,play,mustread holder,mustread
iter2_cv_split5,sell,current,valu,doe,scale,transfer,lose,price,play,credit
iter3_cv_split1,doe,current,valu,scale,resist,price,lose,credit,play,denial
iter3_cv_split2,sell,valu,current,doe,scale,resist,price,transfer,lose,peopl
iter3_cv_split3,doe,sell,resist,transfer,peopl,credit,shitcoin,denial,holder denial,mustread holder
iter3_cv_split4,doe,valu,current,sell,resist,transfer,lose,price,play,coin
iter3_cv_split5,sell,scale,current,doe,price,credit,peopl,shitcoin,play,mustread holder
iter4_cv_split1,valu,current,doe,sell,transfer,lose,price,credit,scale,denial
iter4_cv_split2,scale,current,price,shitcoin,credit,play,mustread,mustread holder,denial,holder denial
iter4_cv_split3,doe,valu,current,scale,resist,transfer,peopl,shitcoin,sell,play
iter4_cv_split4,doe,sell,scale,resist,transfer,lose,peopl,credit,play,valu
iter4_cv_split5,doe,sell,valu,current,resist,lose,price,credit,peopl,shitcoin
iter5_cv_split1,sell,scale,price,current,doe,peopl,play,holder denial,denial,mustread
iter5_cv_split2,doe,valu,current,resist,transfer,price,lose,shitcoin,credit,holder denial
iter5_cv_split3,doe,sell,scale,resist,lose,credit,shitcoin,peopl,valu,play
iter5_cv_split4,sell,valu,current,doe,scale,resist,transfer,lose,price,credit
iter5_cv_split5,doe,valu,current,sell,transfer,credit,play,scale,holder denial,mustread
iter6_cv_split1,valu,sell,current,doe,scale,resist,peopl,credit,shitcoin,play
iter6_cv_split2,doe,current,scale,valu,transfer,price,shitcoin,sell,play,denial
iter6_cv_split3,doe,current,valu,sell,resist,transfer,price,lose,credit,scale
iter6_cv_split4,doe,valu,current,lose,transfer,peopl,credit,shitcoin,price,mustread
iter6_cv_split5,sell,resist,scale,lose,doe,peopl,credit,play,shitcoin,mustread holder
iter7_cv_split1,valu,scale,resist,transfer,lose,doe,current,price,credit,shitcoin
iter7_cv_split2,doe,sell,valu,current,scale,resist,price,lose,peopl,credit
