,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,bull,time,market,look,close,week,huge,target,breakout,volum
iter1_cv_split2,look,bull,time,close,bullish,div,volum,huge,invest,dip
iter1_cv_split3,bull,look,close,time,support,bullish,dip,volum,week,cloud
iter1_cv_split4,bull,support,look,close,dip,cloud,volum,wedg,resist,good
iter1_cv_split5,look,bull,support,time,close,dip,volum,huge,rsi,bullish
iter2_cv_split1,look,bull,close,support,time,rsi,bullish,dip,soon,div
iter2_cv_split2,close,bull,time,look,support,bullish,volum,breakout,soon,long
iter2_cv_split3,bull,time,support,close,look,dip,huge,rsi,div,soon
iter2_cv_split4,look,time,close,bull,volum,cloud,breakout,bullish,huge,dip
iter2_cv_split5,bull,look,support,volum,dip,div,updat,breakout,broke,huge
iter3_cv_split1,look,dip,support,time,huge,cloud,bull,volum,close,day
iter3_cv_split2,bull,look,support,time,close,huge,bullish,week,soon,rsi
iter3_cv_split3,bull,close,time,look,bullish,breakout,soon,volum,cloud,invest
iter3_cv_split4,bull,look,time,support,close,dip,div,rsi,bullish,wedg
iter3_cv_split5,bull,look,close,time,support,volum,huge,week,breakout,rsi
iter4_cv_split1,look,time,bull,close,support,week,div,huge,rsi,wedg
iter4_cv_split2,bull,look,support,close,time,dip,week,huge,cloud,bullish
iter4_cv_split3,bull,look,close,time,support,bullish,volum,breakout,rsi,good
iter4_cv_split4,look,bull,support,time,close,volum,dip,breakout,good,target
iter4_cv_split5,bull,close,time,look,bullish,volum,breakout,rsi,huge,updat
iter5_cv_split1,bull,look,support,time,close,dip,bullish,breakout,div,cloud
iter5_cv_split2,look,bull,time,support,volum,close,huge,breakout,target,broke
iter5_cv_split3,bull,close,look,support,time,rsi,div,huge,dip,volum
iter5_cv_split4,bull,close,look,bullish,time,support,volum,rsi,div,broke
iter5_cv_split5,bull,look,time,close,bullish,cloud,dip,huge,breakout,volum
iter6_cv_split1,bull,look,close,time,support,bullish,huge,cloud,week,good
iter6_cv_split2,look,bull,time,support,close,bullish,cloud,week,dip,huge
iter6_cv_split3,look,bull,time,close,volum,support,bullish,dip,div,soon
iter6_cv_split4,bull,close,time,look,support,bullish,rsi,div,wedg,cloud
iter6_cv_split5,bull,look,time,support,close,dip,rsi,breakout,volum,huge
iter7_cv_split1,look,time,close,bull,volum,dip,rsi,support,good,breakout
iter7_cv_split2,bull,look,time,support,close,volum,huge,div,dip,bullish
iter7_cv_split3,bull,close,time,support,bullish,dip,div,week,look,rsi
iter7_cv_split4,look,close,support,time,bull,bullish,volum,soon,updat,breakout
iter7_cv_split5,look,bull,time,support,close,week,bullish,rsi,cloud,updat
iter8_cv_split1,bull,time,close,dip,support,bullish,look,div,breakout,volum
iter8_cv_split2,bull,look,close,support,time,cloud,rsi,soon,resist,updat
iter8_cv_split3,look,bull,support,dip,week,close,cloud,huge,invest,volum
iter8_cv_split4,look,bull,support,time,close,volum,rsi,breakout,div,huge
iter8_cv_split5,look,time,bull,close,bullish,support,cloud,div,week,huge
iter9_cv_split1,bull,look,close,rsi,volum,cloud,div,dip,huge,breakout
iter9_cv_split2,bull,look,time,support,close,bullish,week,dip,volum,rsi
iter9_cv_split3,look,bull,close,support,time,dip,bullish,rsi,cloud,huge
iter9_cv_split4,look,bull,support,time,close,bullish,div,week,breakout,dip
iter9_cv_split5,bull,look,time,support,close,volum,dip,breakout,cloud,wedg
iter10_cv_split1,look,close,bull,time,dip,cloud,week,huge,volum,soon
iter10_cv_split2,bull,time,close,support,look,week,bullish,rsi,volum,div
iter10_cv_split3,trade,look,bull,support,time,close,volum,huge,dip,resist
iter10_cv_split4,look,bull,support,close,dip,bullish,breakout,cloud,volum,huge
iter10_cv_split5,bull,time,close,look,support,bullish,div,cloud,huge,volum
iter11_cv_split1,time,look,close,bull,dip,sell,target,rsi,cloud,week
iter11_cv_split2,look,bull,support,close,time,volum,rsi,dip,breakout,bullish
iter11_cv_split3,bull,look,time,close,support,volum,bullish,div,dip,huge
iter11_cv_split4,bull,time,look,support,bullish,close,wedg,cloud,dip,div
iter11_cv_split5,bull,look,close,support,time,rsi,cloud,volum,div,exchang
iter12_cv_split1,bull,look,support,market,close,time,bullish,cloud,volum,updat
iter12_cv_split2,close,bull,look,time,bullish,support,dip,huge,cloud,rsi
iter12_cv_split3,bull,close,look,support,time,bullish,dip,volum,breakout,div
iter12_cv_split4,look,time,bull,close,support,volum,breakout,rsi,week,dip
iter12_cv_split5,bull,look,time,close,rsi,div,breakout,good,volum,cloud
iter13_cv_split1,look,bull,close,time,volum,breakout,rsi,cloud,good,long
iter13_cv_split2,bull,look,support,time,close,dip,huge,bullish,invest,div
iter13_cv_split3,bull,look,time,support,volum,rsi,bullish,close,breakout,div
iter13_cv_split4,close,look,time,bull,support,dip,bullish,cloud,div,week
iter13_cv_split5,bull,look,support,close,time,dip,week,bullish,volum,cloud
iter14_cv_split1,look,close,support,volum,dip,bull,time,cloud,soon,day
iter14_cv_split2,bull,time,close,look,bullish,support,dip,rsi,cloud,div
iter14_cv_split3,bull,look,close,time,support,volum,breakout,huge,rsi,invest
iter14_cv_split4,bull,look,support,time,close,div,dip,bullish,wedg,eye
iter14_cv_split5,bull,time,look,close,support,bullish,volum,rsi,breakout,cloud
iter15_cv_split1,look,bull,time,support,market,close,dip,volum,bullish,huge
iter15_cv_split2,look,bull,close,support,time,volum,dip,breakout,huge,week
iter15_cv_split3,close,bull,look,support,volum,cloud,soon,broke,wedg,long
iter15_cv_split4,look,time,bull,close,support,bullish,volum,rsi,broke,dip
iter15_cv_split5,bull,time,support,look,bullish,close,huge,div,dip,cloud
iter16_cv_split1,bull,look,time,support,close,bullish,div,cloud,huge,broke
iter16_cv_split2,bull,look,volum,support,close,dip,breakout,rsi,div,huge
iter16_cv_split3,bull,look,close,time,support,volum,bullish,rsi,dip,cloud
iter16_cv_split4,look,close,time,support,bull,bullish,resist,dip,volum,breakout
iter16_cv_split5,bull,time,close,look,support,market,breakout,dip,invest,bullish
iter17_cv_split1,bull,support,look,close,time,dip,bullish,rsi,huge,target
iter17_cv_split2,look,bull,close,support,time,market,bullish,volum,soon,dip
iter17_cv_split3,close,time,bull,look,support,week,breakout,volum,huge,bullish
iter17_cv_split4,bull,time,look,close,cloud,div,dip,volum,huge,invest
iter17_cv_split5,look,bull,close,support,time,volum,week,bullish,div,wedg
iter18_cv_split1,bull,close,look,support,time,volum,breakout,huge,dip,soon
iter18_cv_split2,bull,look,close,time,support,bullish,dip,volum,breakout,cloud
iter18_cv_split3,bull,time,look,close,rsi,broke,cloud,bullish,wedg,volum
iter18_cv_split4,look,time,close,support,bull,cloud,bullish,dip,huge,volum
iter18_cv_split5,bull,look,support,time,bullish,close,week,dip,updat,volum
iter19_cv_split1,time,bull,look,close,bullish,div,dip,soon,volum,huge
iter19_cv_split2,bull,look,close,support,volum,huge,week,bullish,cloud,div
iter19_cv_split3,bull,look,close,time,support,bullish,div,dip,good,updat
iter19_cv_split4,bull,time,look,close,support,dip,breakout,cloud,huge,rsi
iter19_cv_split5,look,close,time,support,bull,volum,bullish,breakout,updat,good
iter20_cv_split1,bull,look,close,support,time,huge,resist,week,rsi,updat
iter20_cv_split2,look,bull,close,bullish,time,week,cloud,volum,dip,soon
iter20_cv_split3,bull,look,close,time,support,bullish,cloud,volum,resist,updat
iter20_cv_split4,time,bull,close,huge,volum,dip,div,look,support,breakout
iter20_cv_split5,bull,look,time,support,close,bullish,dip,volum,div,week
iter21_cv_split1,bull,look,close,support,time,bullish,rsi,cloud,volum,div
iter21_cv_split2,bull,look,time,close,dip,volum,huge,soon,div,broke
iter21_cv_split3,look,bull,support,close,time,dip,breakout,rsi,volum,huge
iter21_cv_split4,look,bull,close,support,time,dip,bullish,volum,div,long
iter21_cv_split5,bull,time,close,look,support,bullish,rsi,cloud,target,breakout
iter22_cv_split1,look,bull,support,close,dip,volum,wedg,updat,breakout,cloud
iter22_cv_split2,bull,time,support,look,close,volum,cloud,bullish,breakout,dip
iter22_cv_split3,bull,time,close,look,bullish,dip,broke,rsi,volum,huge
iter22_cv_split4,bull,close,look,time,support,bullish,huge,rsi,invest,dip
iter22_cv_split5,bull,time,look,close,rsi,div,sell,huge,broke,bullish
iter23_cv_split1,bull,look,close,support,dip,bullish,time,target,day,cloud
iter23_cv_split2,close,time,look,volum,bull,bullish,cloud,soon,breakout,good
iter23_cv_split3,bull,look,time,close,support,volum,broke,div,breakout,don
iter23_cv_split4,bull,time,support,look,dip,cloud,wedg,breakout,volum,close
iter23_cv_split5,bull,look,close,support,time,dip,bullish,rsi,volum,div
iter24_cv_split1,bull,look,close,time,market,bullish,volum,cloud,long,soon
iter24_cv_split2,bull,look,support,close,time,volum,huge,week,bullish,dip
iter24_cv_split3,look,time,close,bull,support,bullish,cloud,dip,resist,wedg
iter24_cv_split4,bull,close,time,look,dip,support,breakout,volum,soon,rsi
iter24_cv_split5,bull,look,support,time,close,volum,bullish,breakout,cloud,huge
iter25_cv_split1,look,close,bull,support,volum,breakout,good,bullish,huge,rsi
iter25_cv_split2,bull,time,close,market,look,support,breakout,bullish,huge,cloud
iter25_cv_split3,bull,look,time,close,volum,cloud,rsi,div,huge,dip
iter25_cv_split4,bull,look,support,time,close,dip,div,breakout,volum,bullish
iter25_cv_split5,bull,look,close,time,support,bullish,dip,div,updat,cloud
iter26_cv_split1,bull,look,time,close,bullish,support,dip,wedg,broke,div
iter26_cv_split2,bull,look,close,time,support,bullish,huge,volum,div,rsi
iter26_cv_split3,look,bull,time,close,support,bullish,volum,huge,breakout,cloud
iter26_cv_split4,bull,look,market,close,time,support,dip,bullish,cloud,volum
iter26_cv_split5,look,bull,time,support,close,volum,dip,rsi,cloud,div
iter27_cv_split1,close,look,bull,support,time,cloud,soon,breakout,rsi,updat
iter27_cv_split2,bull,look,time,dip,bullish,support,close,rsi,volum,cloud
iter27_cv_split3,look,bull,close,time,bullish,dip,breakout,volum,huge,broke
iter27_cv_split4,bull,look,close,time,support,huge,volum,week,bullish,rsi
iter27_cv_split5,bull,look,support,time,volum,div,bullish,dip,close,breakout
iter28_cv_split1,look,bull,time,close,cloud,dip,volum,sell,huge,rsi
iter28_cv_split2,look,bull,time,close,support,dip,huge,div,volum,resist
iter28_cv_split3,bull,time,look,support,close,breakout,bullish,volum,huge,soon
iter28_cv_split4,bull,close,time,look,bullish,volum,sell,dip,div,invest
iter28_cv_split5,bull,look,support,close,bullish,rsi,dip,div,week,resist
iter29_cv_split1,close,time,look,bull,bullish,huge,dip,div,volum,good
iter29_cv_split2,bull,time,look,close,volum,dip,div,bullish,rsi,breakout
iter29_cv_split3,bull,look,support,close,bullish,time,week,dip,soon,cloud
iter29_cv_split4,bull,look,support,close,time,breakout,dip,cloud,huge,updat
iter29_cv_split5,look,bull,time,support,close,volum,week,rsi,invest,breakout
iter30_cv_split1,look,time,close,support,bull,huge,volum,target,day,cloud
iter30_cv_split2,bull,close,support,look,dip,wedg,div,breakout,week,bullish
iter30_cv_split3,look,time,bull,close,support,bullish,huge,cloud,rsi,updat
iter30_cv_split4,bull,close,time,look,support,div,cloud,dip,volum,long
iter30_cv_split5,bull,look,support,close,time,dip,bullish,volum,week,div
iter31_cv_split1,bull,look,support,time,div,volum,dip,broke,resist,breakout
iter31_cv_split2,bull,close,support,look,dip,time,week,bullish,cloud,wedg
iter31_cv_split3,look,bull,time,close,support,breakout,volum,bullish,week,huge
iter31_cv_split4,time,bull,look,close,bullish,huge,cloud,dip,div,week
iter31_cv_split5,look,bull,close,support,time,volum,huge,invest,broke,long
iter32_cv_split1,bull,look,time,close,support,bullish,dip,rsi,div,cloud
iter32_cv_split2,bull,look,support,time,close,dip,bullish,div,breakout,volum
iter32_cv_split3,bull,close,time,look,support,breakout,volum,huge,day,soon
iter32_cv_split4,look,bull,support,time,close,volum,breakout,week,bullish,cloud
iter32_cv_split5,close,look,time,bull,dip,volum,huge,bullish,long,rsi
iter33_cv_split1,bull,close,look,time,bullish,day,dip,volum,breakout,soon
iter33_cv_split2,bull,look,close,time,support,huge,bullish,cloud,div,rsi
iter33_cv_split3,bull,look,time,close,volum,huge,good,invest,target,dip
iter33_cv_split4,look,support,bull,time,dip,close,volum,updat,wedg,resist
iter33_cv_split5,bull,look,close,time,support,bullish,cloud,dip,week,volum
iter34_cv_split1,bull,time,look,support,close,bullish,dip,cloud,rsi,div
iter34_cv_split2,bull,amp,support,look,close,time,bullish,dip,div,rsi
iter34_cv_split3,bull,time,look,close,support,volum,breakout,bullish,div,dip
iter34_cv_split4,look,support,bull,close,volum,breakout,cloud,huge,dip,soon
iter34_cv_split5,look,close,bull,time,volum,huge,rsi,day,bullish,invest
iter35_cv_split1,bull,look,close,support,week,cloud,updat,huge,bullish,div
iter35_cv_split2,close,look,amp,time,bull,dip,bullish,week,support,soon
iter35_cv_split3,look,bull,support,volum,close,time,breakout,huge,wedg,good
iter35_cv_split4,bull,time,look,close,support,volum,breakout,dip,rsi,huge
iter35_cv_split5,bull,look,time,support,close,volum,rsi,bullish,breakout,resist
iter36_cv_split1,bull,close,look,time,support,cloud,volum,breakout,div,rsi
iter36_cv_split2,look,time,close,bull,volum,dip,cloud,broke,breakout,bullish
iter36_cv_split3,look,bull,support,close,time,huge,volum,soon,rsi,bullish
iter36_cv_split4,bull,look,time,support,bullish,close,cloud,dip,div,day
iter36_cv_split5,bull,close,look,time,support,dip,div,huge,volum,bullish
iter37_cv_split1,bull,time,look,close,support,bullish,volum,div,cloud,huge
iter37_cv_split2,look,support,bull,close,time,bullish,dip,cloud,volum,broke
iter37_cv_split3,bull,look,close,support,time,volum,broke,breakout,dip,huge
